tick,population,avg_efficiency,avg_fertility
1,39,0.4995,0.5099
2,74,0.4942,0.5234
3,100,0.4920,0.5310
4,100,0.4920,0.5310
5,100,0.4920,0.5310
6,100,0.4920,0.5310
7,100,0.4920,0.5310
8,100,0.4920,0.5310
9,100,0.4920,0.5310
10,100,0.4920,0.5310
11,100,0.4920,0.5310
12,100,0.4920,0.5310
13,100,0.4920,0.5310
14,100,0.4920,0.5310
15,100,0.4920,0.5310
16,100,0.4920,0.5310
17,100,0.4920,0.5310
18,100,0.4920,0.5310
19,100,0.4920,0.5310
20,100,0.4920,0.5310
21,100,0.4920,0.5310
22,100,0.4920,0.5310
23,100,0.4920,0.5310
24,100,0.4920,0.5310
25,100,0.4920,0.5310
26,100,0.4920,0.5310
27,100,0.4920,0.5310
28,100,0.4920,0.5310
29,100,0.4920,0.5310
30,100,0.4920,0.5310
31,100,0.4920,0.5310
32,100,0.4920,0.5310
33,100,0.4920,0.5310
34,100,0.4920,0.5310
35,100,0.4920,0.5310
36,100,0.4920,0.5310
37,100,0.4920,0.5310
38,100,0.4920,0.5310
39,100,0.4920,0.5310
40,100,0.4920,0.5310
41,100,0.4920,0.5310
42,100,0.4920,0.5310
43,100,0.4920,0.5310
44,100,0.4920,0.5310
45,100,0.4920,0.5310
46,100,0.4920,0.5310
47,100,0.4920,0.5310
48,100,0.4920,0.5310
49,100,0.4920,0.5310
50,100,0.4920,0.5310
51,100,0.4920,0.5310
52,100,0.4920,0.5310
53,100,0.4920,0.5310
54,100,0.4920,0.5310
55,100,0.4920,0.5310
56,100,0.4920,0.5310
57,100,0.4920,0.5310
58,100,0.4920,0.5310
59,100,0.4920,0.5310
60,100,0.4920,0.5310
61,100,0.4920,0.5310
62,100,0.4920,0.5310
63,100,0.4920,0.5310
64,100,0.4920,0.5310
65,100,0.4920,0.5310
66,100,0.4920,0.5310
67,100,0.4920,0.5310
68,100,0.4920,0.5310
69,100,0.4920,0.5310
70,100,0.4920,0.5310
71,100,0.4920,0.5310
72,100,0.4920,0.5310
73,100,0.4920,0.5310
74,100,0.4920,0.5310
75,100,0.4920,0.5310
76,100,0.4920,0.5310
77,100,0.4920,0.5310
78,100,0.4920,0.5310
79,100,0.4920,0.5310
80,100,0.4920,0.5310
81,100,0.4920,0.5310
82,100,0.4920,0.5310
83,100,0.4920,0.5310
84,100,0.4920,0.5310
85,100,0.4920,0.5310
86,100,0.4920,0.5310
87,100,0.4920,0.5310
88,100,0.4920,0.5310
89,100,0.4920,0.5310
90,100,0.4920,0.5310
91,100,0.4920,0.5310
92,100,0.4920,0.5310
93,100,0.4920,0.5310
94,100,0.4920,0.5310
95,100,0.4920,0.5310
96,100,0.4920,0.5310
97,100,0.4920,0.5310
98,100,0.4920,0.5310
99,100,0.4920,0.5310
100,100,0.4920,0.5310
101,100,0.4920,0.5310
102,100,0.4920,0.5310
103,100,0.4920,0.5310
104,100,0.4920,0.5310
105,100,0.4920,0.5310
106,100,0.4920,0.5310
107,100,0.4920,0.5310
108,100,0.4920,0.5310
109,100,0.4920,0.5310
110,100,0.4920,0.5310
111,100,0.4920,0.5310
112,100,0.4920,0.5310
113,100,0.4920,0.5310
114,100,0.4920,0.5310
115,100,0.4920,0.5310
116,100,0.4920,0.5310
117,100,0.4920,0.5310
118,100,0.4920,0.5310
119,100,0.4920,0.5310
120,100,0.4920,0.5310
121,100,0.4920,0.5310
122,100,0.4920,0.5310
123,100,0.4920,0.5310
124,100,0.4920,0.5310
125,100,0.4920,0.5310
126,100,0.4920,0.5310
127,100,0.4920,0.5310
128,100,0.4920,0.5310
129,100,0.4920,0.5310
130,100,0.4920,0.5310
131,100,0.4920,0.5310
132,100,0.4920,0.5310
133,100,0.4920,0.5310
134,100,0.4920,0.5310
135,100,0.4920,0.5310
136,100,0.4920,0.5310
137,100,0.4920,0.5310
138,100,0.4920,0.5310
139,100,0.4920,0.5310
140,100,0.4920,0.5310
141,100,0.4920,0.5310
142,100,0.4920,0.5310
143,100,0.4920,0.5310
144,100,0.4920,0.5310
145,100,0.4920,0.5310
146,100,0.4920,0.5310
147,100,0.4920,0.5310
148,100,0.4920,0.5310
149,100,0.4920,0.5310
150,100,0.4920,0.5310
151,100,0.4920,0.5310
152,100,0.4920,0.5310
153,100,0.4920,0.5310
154,100,0.4920,0.5310
155,100,0.4920,0.5310
156,100,0.4920,0.5310
157,100,0.4920,0.5310
158,100,0.4920,0.5310
159,100,0.4920,0.5310
160,100,0.4920,0.5310
161,100,0.4920,0.5310
162,100,0.4920,0.5310
163,100,0.4920,0.5310
164,100,0.4920,0.5310
165,100,0.4920,0.5310
166,100,0.4920,0.5310
167,100,0.4920,0.5310
168,100,0.4920,0.5310
169,100,0.4920,0.5310
170,100,0.4920,0.5310
171,100,0.4920,0.5310
172,100,0.4920,0.5310
173,100,0.4920,0.5310
174,100,0.4920,0.5310
175,100,0.4920,0.5310
176,100,0.4920,0.5310
177,100,0.4920,0.5310
178,100,0.4920,0.5310
179,100,0.4920,0.5310
180,100,0.4920,0.5310
181,100,0.4920,0.5310
182,100,0.4920,0.5310
183,100,0.4920,0.5310
184,100,0.4920,0.5310
185,100,0.4920,0.5310
186,100,0.4920,0.5310
187,100,0.4920,0.5310
188,100,0.4920,0.5310
189,100,0.4920,0.5310
190,100,0.4920,0.5310
191,100,0.4920,0.5310
192,100,0.4920,0.5310
193,100,0.4920,0.5310
194,100,0.4920,0.5310
195,100,0.4920,0.5310
196,100,0.4920,0.5310
197,100,0.4920,0.5310
198,100,0.4920,0.5310
199,100,0.4920,0.5310
200,100,0.4920,0.5310
201,100,0.4920,0.5310
202,100,0.4920,0.5310
203,100,0.4920,0.5310
204,100,0.4920,0.5310
205,100,0.4920,0.5310
206,100,0.4920,0.5310
207,100,0.4920,0.5310
208,100,0.4920,0.5310
209,100,0.4920,0.5310
210,100,0.4920,0.5310
211,100,0.4920,0.5310
212,100,0.4920,0.5310
213,100,0.4920,0.5310
214,100,0.4920,0.5310
215,100,0.4920,0.5310
216,100,0.4920,0.5310
217,100,0.4920,0.5310
218,100,0.4920,0.5310
219,100,0.4920,0.5310
220,100,0.4920,0.5310
221,100,0.4920,0.5310
222,100,0.4920,0.5310
223,100,0.4920,0.5310
224,100,0.4920,0.5310
225,100,0.4920,0.5310
226,100,0.4920,0.5310
227,100,0.4920,0.5310
228,100,0.4920,0.5310
229,100,0.4920,0.5310
230,100,0.4920,0.5310
231,100,0.4920,0.5310
232,100,0.4920,0.5310
233,100,0.4920,0.5310
234,100,0.4920,0.5310
235,100,0.4920,0.5310
236,100,0.4920,0.5310
237,100,0.4920,0.5310
238,100,0.4920,0.5310
