tick,population,avg_altruism,total_donations
1,84,0.5457,0
2,100,0.5525,0
3,99,0.5571,0
4,97,0.5636,0
5,100,0.5619,0
6,99,0.5645,0
7,99,0.5680,0
8,98,0.5723,0
9,99,0.5725,0
10,96,0.5709,0
11,100,0.5730,0
12,100,0.5730,0
13,100,0.5730,0
14,98,0.5767,0
15,100,0.5793,0
16,98,0.5834,0
17,99,0.5780,0
18,98,0.5726,0
19,98,0.5834,0
20,96,0.5854,0
21,100,0.5925,0
22,98,0.5977,0
23,100,0.5952,0
24,97,0.6020,0
25,96,0.6011,0
26,98,0.6132,0
27,98,0.6180,0
28,99,0.6253,0
29,100,0.6215,0
30,99,0.6230,0
31,97,0.6336,0
32,98,0.6361,0
33,99,0.6340,0
34,98,0.6297,0
35,98,0.6228,0
36,97,0.6149,0
37,96,0.6221,0
38,98,0.6211,0
39,99,0.6219,0
40,98,0.6209,0
41,98,0.6195,0
42,96,0.6176,0
43,100,0.6244,0
44,100,0.6244,0
45,98,0.6201,0
46,98,0.6197,0
47,96,0.6286,0
48,98,0.6340,0
49,100,0.6344,0
50,98,0.6320,0
51,98,0.6295,0
52,100,0.6333,0
53,97,0.6287,0
54,97,0.6204,0
55,99,0.6134,0
56,95,0.6125,0
57,99,0.6039,0
58,99,0.6027,0
59,99,0.6024,0
60,100,0.6013,0
61,97,0.6004,0
62,99,0.6030,0
63,99,0.5967,0
64,100,0.5944,0
65,96,0.5926,0
66,99,0.5922,0
67,97,0.5912,0
68,97,0.5834,0
69,98,0.5889,0
70,97,0.5870,0
71,97,0.5903,0
72,99,0.5929,0
73,98,0.5857,0
74,96,0.5827,0
75,100,0.5802,0
76,99,0.5774,0
77,99,0.5784,0
78,98,0.5713,0
79,100,0.5657,0
80,99,0.5646,0
81,97,0.5660,0
82,100,0.5623,0
83,98,0.5670,0
84,98,0.5692,0
85,98,0.5695,0
86,100,0.5725,0
87,99,0.5697,0
88,99,0.5692,0
89,100,0.5670,0
90,97,0.5670,0
91,100,0.5682,0
92,99,0.5703,0
93,99,0.5704,0
94,100,0.5715,0
95,96,0.5660,0
96,100,0.5648,0
97,98,0.5673,0
98,100,0.5715,0
99,99,0.5757,0
100,96,0.5799,0
101,98,0.5802,0
102,97,0.5879,0
103,98,0.5972,0
104,100,0.5988,0
105,98,0.5996,0
106,100,0.6034,0
107,98,0.6050,0
108,95,0.5982,0
109,98,0.5968,0
110,97,0.5923,0
111,96,0.5966,0
112,98,0.5946,0
113,97,0.5846,0
114,96,0.5787,0
115,98,0.5808,0
116,99,0.5785,0
117,97,0.5773,0
118,99,0.5770,0
119,96,0.5778,0
120,100,0.5796,0
121,96,0.5799,0
122,100,0.5820,0
123,100,0.5820,0
124,100,0.5820,0
125,100,0.5820,0
126,97,0.5774,0
127,99,0.5888,0
128,99,0.5928,0
129,99,0.5918,0
130,99,0.5883,0
131,100,0.5880,0
132,98,0.5818,0
133,97,0.5822,0
134,98,0.5812,0
135,97,0.5921,0
136,96,0.5832,0
137,99,0.5840,0
138,99,0.5837,0
139,99,0.5789,0
140,100,0.5811,0
141,98,0.5804,0
142,99,0.5802,0
143,100,0.5809,0
144,99,0.5844,0
145,100,0.5860,0
146,99,0.5887,0
147,99,0.5891,0
148,99,0.5861,0
149,100,0.5846,0
150,100,0.5846,0
151,99,0.5821,0
152,98,0.5793,0
153,98,0.5822,0
154,98,0.5846,0
155,98,0.5849,0
156,98,0.5870,0
157,98,0.5860,0
158,100,0.5852,0
159,98,0.5862,0
160,98,0.5828,0
161,99,0.5793,0
162,98,0.5798,0
163,99,0.5826,0
164,100,0.5840,0
165,96,0.5907,0
166,98,0.5925,0
167,98,0.5935,0
168,99,0.5979,0
169,96,0.5952,0
170,100,0.6029,0
171,95,0.6055,0
172,99,0.6145,0
173,100,0.6171,0
174,98,0.6186,0
175,99,0.6276,0
176,98,0.6249,0
177,98,0.6352,0
178,98,0.6357,0
179,100,0.6382,0
180,100,0.6382,0
181,99,0.6375,0
182,99,0.6400,0
183,98,0.6366,0
184,100,0.6398,0
185,100,0.6398,0
186,98,0.6376,0
187,99,0.6407,0
188,98,0.6389,0
189,97,0.6528,0
190,98,0.6576,0
191,96,0.6568,0
192,99,0.6500,0
193,100,0.6512,0
194,99,0.6505,0
195,98,0.6488,0
196,100,0.6451,0
197,98,0.6432,0
198,100,0.6483,0
199,98,0.6503,0
200,100,0.6400,0
201,100,0.6400,0
202,100,0.6400,0
203,99,0.6389,0
204,99,0.6375,0
205,100,0.6326,0
206,99,0.6317,0
207,98,0.6293,0
208,100,0.6213,0
209,99,0.6242,0
210,99,0.6168,0
211,98,0.6102,0
212,99,0.6131,0
213,98,0.6089,0
214,100,0.6004,0
215,100,0.6004,0
216,98,0.5950,0
217,98,0.5965,0
218,98,0.5949,0
219,99,0.5895,0
220,99,0.5876,0
221,99,0.5882,0
222,97,0.5822,0
223,100,0.5878,0
224,99,0.5845,0
225,99,0.5815,0
226,100,0.5838,0
227,99,0.5881,0
228,97,0.5916,0
229,99,0.5974,0
230,98,0.6065,0
231,99,0.6115,0
232,99,0.6113,0
233,99,0.6115,0
234,100,0.6131,0
235,99,0.6111,0
236,98,0.6089,0
237,99,0.6091,0
238,97,0.6029,0
239,97,0.6103,0
240,97,0.6146,0
241,98,0.6194,0
242,98,0.6286,0
243,99,0.6339,0
244,100,0.6348,0
245,100,0.6348,0
246,98,0.6275,0
247,99,0.6346,0
248,97,0.6359,0
249,98,0.6216,0
250,100,0.6147,0
251,99,0.6123,0
252,100,0.6121,0
253,98,0.6084,0
254,99,0.6043,0
255,98,0.5959,0
256,99,0.5862,0
257,98,0.5796,0
258,100,0.5784,0
259,100,0.5784,0
260,100,0.5784,0
261,100,0.5784,0
262,99,0.5814,0
263,99,0.5755,0
264,98,0.5758,0
265,99,0.5713,0
266,100,0.5682,0
267,100,0.5682,0
268,99,0.5713,0
269,99,0.5723,0
270,98,0.5720,0
271,98,0.5733,0
272,99,0.5779,0
273,98,0.5754,0
274,98,0.5736,0
275,99,0.5781,0
276,100,0.5771,0
277,99,0.5752,0
278,97,0.5749,0
279,99,0.5783,0
280,97,0.5791,0
281,100,0.5784,0
282,100,0.5784,0
283,99,0.5801,0
284,96,0.5850,0
285,98,0.5933,0
286,98,0.5903,0
287,98,0.5913,0
288,100,0.5953,0
289,99,0.5937,0
290,100,0.5969,0
291,100,0.5969,0
292,98,0.5912,0
293,99,0.5918,0
294,100,0.5942,0
295,99,0.5983,0
296,98,0.5918,0
297,100,0.5926,0
298,100,0.5926,0
299,97,0.5920,0
300,99,0.5978,0
301,97,0.6042,0
302,100,0.6098,0
303,97,0.6055,0
304,100,0.6119,0
305,99,0.6090,0
306,97,0.6124,0
307,98,0.6221,0
308,99,0.6255,0
309,99,0.6260,0
310,99,0.6326,0
311,100,0.6352,0
312,98,0.6379,0
313,99,0.6410,0
314,99,0.6409,0
315,99,0.6431,0
316,98,0.6500,0
317,98,0.6512,0
318,97,0.6571,0
319,100,0.6546,0
320,100,0.6546,0
321,99,0.6586,0
322,96,0.6539,0
323,100,0.6563,0
324,100,0.6563,0
325,99,0.6555,0
326,99,0.6593,0
327,99,0.6613,0
328,99,0.6537,0
329,100,0.6482,0
330,100,0.6482,0
331,99,0.6455,0
332,99,0.6441,0
333,99,0.6440,0
