tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
1,0.53,80,5,285.1,0.4906
2,0.56,95,5,315.9,0.5048
3,0.59,95,5,317.7,0.5048
4,0.62,95,5,319.7,0.5048
5,0.65,95,5,322.0,0.5048
6,0.68,95,5,324.6,0.5048
7,0.71,95,5,327.3,0.5048
8,0.74,95,5,330.4,0.5048
9,0.77,95,5,333.7,0.5048
10,0.79,95,5,337.2,0.5048
11,0.82,95,5,340.8,0.5048
12,0.84,95,5,344.9,0.5048
13,0.86,95,5,349.1,0.5048
14,0.89,95,5,353.4,0.5048
15,0.90,95,5,357.7,0.5048
16,0.92,95,5,362.2,0.5048
17,0.94,95,5,366.9,0.5048
18,0.95,95,5,371.7,0.5048
19,0.96,95,5,376.4,0.5048
20,0.98,95,5,381.4,0.5048
21,0.98,95,5,386.2,0.5048
22,0.99,95,5,391.3,0.5048
23,1.00,95,5,396.2,0.5048
24,1.00,95,5,401.2,0.5048
25,1.00,95,5,406.0,0.5048
26,1.00,95,5,410.9,0.5048
27,1.00,95,5,415.7,0.5048
28,0.99,95,5,420.4,0.5048
29,0.98,95,5,424.9,0.5048
30,0.98,95,5,429.3,0.5048
31,0.96,95,5,433.5,0.5048
32,0.95,95,5,437.6,0.5048
33,0.94,95,5,441.5,0.5048
34,0.92,95,5,445.3,0.5048
35,0.90,95,5,448.7,0.5048
36,0.89,95,5,452.3,0.5048
37,0.86,95,5,455.4,0.5048
38,0.84,95,5,458.5,0.5048
39,0.82,95,5,461.0,0.5048
40,0.79,95,5,463.3,0.5048
41,0.77,95,5,465.4,0.5048
42,0.74,95,5,467.2,0.5048
43,0.71,95,5,468.6,0.5048
44,0.68,95,5,469.8,0.5048
45,0.65,95,5,470.8,0.5048
46,0.62,95,5,471.3,0.5048
47,0.59,95,5,471.7,0.5048
48,0.56,95,5,471.6,0.5048
49,0.53,95,5,471.3,0.5048
50,0.50,95,5,470.6,0.5048
51,0.47,95,5,469.7,0.5048
52,0.44,95,5,468.3,0.5048
53,0.41,95,5,466.8,0.5048
54,0.38,95,5,464.9,0.5048
55,0.35,95,5,462.8,0.5048
56,0.32,95,5,460.5,0.5048
57,0.29,95,5,457.8,0.5048
58,0.26,95,5,455.0,0.5048
59,0.23,95,5,451.9,0.5048
60,0.21,95,5,448.5,0.5048
61,0.18,95,5,444.8,0.5048
62,0.16,95,5,441.1,0.5048
63,0.14,95,5,437.1,0.5048
64,0.11,95,5,433.0,0.5048
65,0.10,95,5,428.7,0.5048
66,0.08,95,5,424.3,0.5048
67,0.06,95,5,419.6,0.5048
68,0.05,95,5,415.1,0.5048
69,0.04,95,5,410.3,0.5048
70,0.02,95,5,405.7,0.5048
71,0.02,95,5,400.7,0.5048
72,0.01,95,5,396.0,0.5048
73,0.00,95,5,391.2,0.5048
74,0.00,95,5,386.6,0.5048
75,0.00,95,5,381.8,0.5048
76,0.00,95,5,377.3,0.5048
77,0.00,95,5,372.6,0.5048
78,0.01,95,5,368.2,0.5048
79,0.02,95,5,363.7,0.5048
80,0.02,95,5,359.5,0.5048
81,0.04,95,5,355.3,0.5048
82,0.05,95,5,351.4,0.5048
83,0.06,95,5,347.4,0.5048
84,0.08,95,5,343.8,0.5048
85,0.10,95,5,340.4,0.5048
86,0.11,95,5,337.3,0.5048
87,0.14,95,5,334.4,0.5048
88,0.16,95,5,331.7,0.5048
89,0.18,95,5,329.2,0.5048
90,0.21,95,5,327.0,0.5048
91,0.23,95,5,325.3,0.5048
92,0.26,95,5,323.7,0.5048
93,0.29,95,5,322.4,0.5048
94,0.32,95,5,321.5,0.5048
95,0.35,95,5,320.8,0.5048
96,0.38,95,5,320.4,0.5048
97,0.41,95,5,320.3,0.5048
98,0.44,95,5,320.5,0.5048
99,0.47,95,5,321.1,0.5048
100,0.50,95,5,321.9,0.5048
101,0.53,95,5,323.1,0.5048
102,0.56,95,5,324.5,0.5048
103,0.59,95,5,326.2,0.5048
104,0.62,95,5,328.3,0.5048
105,0.65,95,5,330.6,0.5048
106,0.68,95,5,333.2,0.5048
107,0.71,95,5,336.0,0.5048
108,0.74,95,5,339.1,0.5048
109,0.77,95,5,342.4,0.5048
110,0.79,95,5,345.9,0.5048
111,0.82,95,5,349.6,0.5048
112,0.84,95,5,353.6,0.5048
113,0.86,95,5,357.9,0.5048
114,0.89,95,5,362.2,0.5048
115,0.90,95,5,366.6,0.5048
116,0.92,95,5,371.1,0.5048
117,0.94,95,5,375.7,0.5048
118,0.95,95,5,380.5,0.5048
119,0.96,95,5,385.3,0.5048
120,0.98,95,5,390.3,0.5048
121,0.98,95,5,395.2,0.5048
122,0.99,95,5,400.2,0.5048
123,1.00,95,5,405.2,0.5048
124,1.00,95,5,410.2,0.5048
125,1.00,95,5,415.1,0.5048
126,1.00,95,5,419.9,0.5048
127,1.00,95,5,424.7,0.5048
128,0.99,95,5,429.5,0.5048
129,0.98,95,5,434.0,0.5048
130,0.98,95,5,438.5,0.5048
131,0.96,95,5,442.6,0.5048
132,0.95,95,5,446.9,0.5048
133,0.94,95,5,450.7,0.5048
134,0.92,95,5,454.4,0.5048
135,0.90,95,5,457.8,0.5048
136,0.89,95,5,461.2,0.5048
137,0.86,95,5,464.3,0.5048
138,0.84,95,5,467.2,0.5048
139,0.82,95,5,469.7,0.5048
140,0.79,95,5,471.9,0.5048
141,0.77,95,5,473.9,0.5048
142,0.74,95,5,475.6,0.5048
143,0.71,95,5,477.0,0.5048
144,0.68,95,5,478.1,0.5048
145,0.65,95,5,478.9,0.5048
146,0.62,95,5,479.5,0.5048
147,0.59,95,5,479.7,0.5048
148,0.56,95,5,479.5,0.5048
149,0.53,95,5,479.1,0.5048
150,0.50,95,5,478.3,0.5048
151,0.47,95,5,477.3,0.5048
152,0.44,95,5,475.9,0.5048
153,0.41,95,5,474.3,0.5048
154,0.38,95,5,472.4,0.5048
155,0.35,95,5,470.1,0.5048
156,0.32,95,5,467.8,0.5048
157,0.29,95,5,465.0,0.5048
158,0.26,95,5,462.1,0.5048
159,0.23,95,5,458.9,0.5048
160,0.21,95,5,455.5,0.5048
161,0.18,95,5,451.7,0.5048
162,0.16,95,5,447.9,0.5048
163,0.14,95,5,443.9,0.5048
164,0.11,95,5,439.7,0.5048
165,0.10,95,5,435.3,0.5048
166,0.08,95,5,430.9,0.5048
167,0.06,95,5,426.2,0.5048
168,0.05,95,5,421.5,0.5048
169,0.04,95,5,416.7,0.5048
170,0.02,95,5,412.0,0.5048
171,0.02,95,5,407.0,0.5048
172,0.01,95,5,402.2,0.5048
173,0.00,95,5,397.4,0.5048
174,0.00,95,5,392.6,0.5048
175,0.00,95,5,387.9,0.5048
176,0.00,95,5,383.2,0.5048
177,0.00,95,5,378.6,0.5048
178,0.01,95,5,374.0,0.5048
179,0.02,95,5,369.5,0.5048
180,0.02,95,5,365.2,0.5048
181,0.04,95,5,361.0,0.5048
182,0.05,95,5,356.9,0.5048
183,0.06,95,5,353.1,0.5048
184,0.08,95,5,349.3,0.5048
185,0.10,95,5,345.9,0.5048
186,0.11,95,5,342.7,0.5048
187,0.14,95,5,339.7,0.5048
188,0.16,95,5,337.0,0.5048
189,0.18,95,5,334.5,0.5048
190,0.21,95,5,332.2,0.5048
191,0.23,95,5,330.4,0.5048
192,0.26,95,5,328.8,0.5048
193,0.29,95,5,327.4,0.5048
194,0.32,95,5,326.5,0.5048
195,0.35,95,5,325.7,0.5048
196,0.38,95,5,325.2,0.5048
197,0.41,95,5,325.1,0.5048
198,0.44,95,5,325.3,0.5048
199,0.47,95,5,325.8,0.5048
200,0.50,95,5,326.6,0.5048
201,0.53,95,5,327.7,0.5048
202,0.56,95,5,329.1,0.5048
203,0.59,95,5,330.8,0.5048
204,0.62,95,5,332.8,0.5048
205,0.65,95,5,335.1,0.5048
206,0.68,95,5,337.7,0.5048
207,0.71,95,5,340.3,0.5048
208,0.74,95,5,343.5,0.5048
209,0.77,95,5,346.7,0.5048
