tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
1,190,10,0.8778,0.5084,0.8584,0.4937
2,190,10,0.8778,0.5084,0.8584,0.4937
3,190,10,0.8778,0.5084,0.8584,0.4937
4,190,10,0.8778,0.5084,0.8584,0.4937
5,190,10,0.8778,0.5084,0.8584,0.4937
6,190,10,0.8778,0.5084,0.8584,0.4937
7,190,10,0.8778,0.5084,0.8584,0.4937
8,190,10,0.8778,0.5084,0.8584,0.4937
9,190,10,0.8778,0.5084,0.8584,0.4937
10,190,10,0.8778,0.5084,0.8584,0.4937
11,190,10,0.8778,0.5084,0.8584,0.4937
12,190,10,0.8778,0.5084,0.8584,0.4937
13,190,10,0.8778,0.5084,0.8584,0.4937
14,190,10,0.8778,0.5084,0.8584,0.4937
15,190,10,0.8778,0.5084,0.8584,0.4937
16,190,10,0.8778,0.5084,0.8584,0.4937
17,190,10,0.8778,0.5084,0.8584,0.4937
18,190,10,0.8778,0.5084,0.8584,0.4937
19,190,10,0.8778,0.5084,0.8584,0.4937
20,190,10,0.8778,0.5084,0.8584,0.4937
21,190,10,0.8778,0.5084,0.8584,0.4937
22,190,10,0.8778,0.5084,0.8584,0.4937
23,190,10,0.8778,0.5084,0.8584,0.4937
24,190,10,0.8778,0.5084,0.8584,0.4937
25,190,10,0.8778,0.5084,0.8584,0.4937
26,190,10,0.8778,0.5084,0.8584,0.4937
27,190,10,0.8778,0.5084,0.8584,0.4937
28,190,10,0.8778,0.5084,0.8584,0.4937
29,190,10,0.8778,0.5084,0.8584,0.4937
30,190,10,0.8778,0.5084,0.8584,0.4937
31,190,10,0.8778,0.5084,0.8584,0.4937
32,190,10,0.8778,0.5084,0.8584,0.4937
33,190,10,0.8778,0.5084,0.8584,0.4937
34,190,10,0.8778,0.5084,0.8584,0.4937
35,190,10,0.8778,0.5084,0.8584,0.4937
36,190,10,0.8778,0.5084,0.8584,0.4937
37,190,10,0.8778,0.5084,0.8584,0.4937
38,190,10,0.8778,0.5084,0.8584,0.4937
39,190,10,0.8778,0.5084,0.8584,0.4937
40,190,10,0.8778,0.5084,0.8584,0.4937
41,190,10,0.8778,0.5084,0.8584,0.4937
42,190,10,0.8778,0.5084,0.8584,0.4937
43,190,10,0.8778,0.5084,0.8584,0.4937
44,190,10,0.8778,0.5084,0.8584,0.4937
45,190,10,0.8778,0.5084,0.8584,0.4937
46,190,10,0.8778,0.5084,0.8584,0.4937
47,190,10,0.8778,0.5084,0.8584,0.4937
48,190,10,0.8778,0.5084,0.8584,0.4937
49,190,10,0.8778,0.5084,0.8584,0.4937
50,190,10,0.8778,0.5084,0.8584,0.4937
51,190,10,0.8778,0.5084,0.8584,0.4937
52,190,10,0.8778,0.5084,0.8584,0.4937
53,190,10,0.8778,0.5084,0.8584,0.4937
54,190,10,0.8778,0.5084,0.8584,0.4937
55,190,10,0.8778,0.5084,0.8584,0.4937
56,190,10,0.8778,0.5084,0.8584,0.4937
57,190,10,0.8778,0.5084,0.8584,0.4937
58,190,10,0.8778,0.5084,0.8584,0.4937
59,190,10,0.8778,0.5084,0.8584,0.4937
60,190,10,0.8778,0.5084,0.8584,0.4937
61,190,10,0.8778,0.5084,0.8584,0.4937
62,190,10,0.8778,0.5084,0.8584,0.4937
63,190,10,0.8778,0.5084,0.8584,0.4937
64,190,10,0.8778,0.5084,0.8584,0.4937
65,190,10,0.8778,0.5084,0.8584,0.4937
66,190,10,0.8778,0.5084,0.8584,0.4937
67,190,10,0.8778,0.5084,0.8584,0.4937
68,190,10,0.8778,0.5084,0.8584,0.4937
69,190,10,0.8778,0.5084,0.8584,0.4937
70,190,10,0.8778,0.5084,0.8584,0.4937
71,190,10,0.8778,0.5084,0.8584,0.4937
72,190,10,0.8778,0.5084,0.8584,0.4937
73,190,10,0.8778,0.5084,0.8584,0.4937
74,190,10,0.8778,0.5084,0.8584,0.4937
75,190,10,0.8778,0.5084,0.8584,0.4937
76,190,10,0.8778,0.5084,0.8584,0.4937
77,190,10,0.8778,0.5084,0.8584,0.4937
78,190,10,0.8778,0.5084,0.8584,0.4937
79,190,10,0.8778,0.5084,0.8584,0.4937
80,190,10,0.8778,0.5084,0.8584,0.4937
81,190,10,0.8778,0.5084,0.8584,0.4937
82,190,10,0.8778,0.5084,0.8584,0.4937
83,190,10,0.8778,0.5084,0.8584,0.4937
84,190,10,0.8778,0.5084,0.8584,0.4937
85,190,10,0.8778,0.5084,0.8584,0.4937
86,190,10,0.8778,0.5084,0.8584,0.4937
87,190,10,0.8778,0.5084,0.8584,0.4937
88,190,10,0.8778,0.5084,0.8584,0.4937
89,190,10,0.8778,0.5084,0.8584,0.4937
90,190,10,0.8778,0.5084,0.8584,0.4937
91,190,10,0.8778,0.5084,0.8584,0.4937
92,190,10,0.8778,0.5084,0.8584,0.4937
93,190,10,0.8778,0.5084,0.8584,0.4937
94,190,10,0.8778,0.5084,0.8584,0.4937
95,190,10,0.8778,0.5084,0.8584,0.4937
96,190,10,0.8778,0.5084,0.8584,0.4937
97,190,10,0.8778,0.5084,0.8584,0.4937
98,190,10,0.8778,0.5084,0.8584,0.4937
99,190,10,0.8778,0.5084,0.8584,0.4937
100,190,10,0.8778,0.5084,0.8584,0.4937
101,190,10,0.8778,0.5084,0.8584,0.4937
102,190,10,0.8778,0.5084,0.8584,0.4937
103,190,10,0.8778,0.5084,0.8584,0.4937
104,190,10,0.8778,0.5084,0.8584,0.4937
105,190,10,0.8778,0.5084,0.8584,0.4937
106,190,10,0.8778,0.5084,0.8584,0.4937
107,190,10,0.8778,0.5084,0.8584,0.4937
108,190,10,0.8778,0.5084,0.8584,0.4937
109,190,10,0.8778,0.5084,0.8584,0.4937
110,190,10,0.8778,0.5084,0.8584,0.4937
111,190,10,0.8778,0.5084,0.8584,0.4937
112,190,10,0.8778,0.5084,0.8584,0.4937
113,190,10,0.8778,0.5084,0.8584,0.4937
114,190,10,0.8778,0.5084,0.8584,0.4937
115,190,10,0.8778,0.5084,0.8584,0.4937
116,190,10,0.8778,0.5084,0.8584,0.4937
117,190,10,0.8778,0.5084,0.8584,0.4937
118,190,10,0.8778,0.5084,0.8584,0.4937
119,190,10,0.8778,0.5084,0.8584,0.4937
120,190,10,0.8778,0.5084,0.8584,0.4937
121,190,10,0.8778,0.5084,0.8584,0.4937
122,190,10,0.8778,0.5084,0.8584,0.4937
123,190,10,0.8778,0.5084,0.8584,0.4937
124,190,10,0.8778,0.5084,0.8584,0.4937
125,190,10,0.8778,0.5084,0.8584,0.4937
126,190,10,0.8778,0.5084,0.8584,0.4937
127,190,10,0.8778,0.5084,0.8584,0.4937
128,190,10,0.8778,0.5084,0.8584,0.4937
129,190,10,0.8778,0.5084,0.8584,0.4937
130,190,10,0.8778,0.5084,0.8584,0.4937
131,190,10,0.8778,0.5084,0.8584,0.4937
132,190,10,0.8778,0.5084,0.8584,0.4937
133,190,10,0.8778,0.5084,0.8584,0.4937
134,190,10,0.8778,0.5084,0.8584,0.4937
135,190,10,0.8778,0.5084,0.8584,0.4937
136,190,10,0.8778,0.5084,0.8584,0.4937
137,190,10,0.8778,0.5084,0.8584,0.4937
138,190,10,0.8778,0.5084,0.8584,0.4937
139,190,10,0.8778,0.5084,0.8584,0.4937
140,190,10,0.8778,0.5084,0.8584,0.4937
141,190,10,0.8778,0.5084,0.8584,0.4937
142,190,10,0.8778,0.5084,0.8584,0.4937
143,190,10,0.8778,0.5084,0.8584,0.4937
144,190,10,0.8778,0.5084,0.8584,0.4937
145,190,10,0.8778,0.5084,0.8584,0.4937
146,190,10,0.8778,0.5084,0.8584,0.4937
147,190,10,0.8778,0.5084,0.8584,0.4937
148,190,10,0.8778,0.5084,0.8584,0.4937
149,190,10,0.8778,0.5084,0.8584,0.4937
150,190,10,0.8778,0.5084,0.8584,0.4937
151,190,10,0.8778,0.5084,0.8584,0.4937
152,190,10,0.8778,0.5084,0.8584,0.4937
153,190,10,0.8778,0.5084,0.8584,0.4937
154,190,10,0.8778,0.5084,0.8584,0.4937
155,190,10,0.8778,0.5084,0.8584,0.4937
156,190,10,0.8778,0.5084,0.8584,0.4937
157,190,10,0.8778,0.5084,0.8584,0.4937
158,190,10,0.8778,0.5084,0.8584,0.4937
159,190,10,0.8778,0.5084,0.8584,0.4937
160,190,10,0.8778,0.5084,0.8584,0.4937
161,190,10,0.8778,0.5084,0.8584,0.4937
162,190,10,0.8778,0.5084,0.8584,0.4937
163,190,10,0.8778,0.5084,0.8584,0.4937
164,190,10,0.8778,0.5084,0.8584,0.4937
