tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
1,200,20,0.8796,0.5033,0.8779,0.4812
2,200,20,0.8796,0.5033,0.8779,0.4812
3,200,20,0.8796,0.5033,0.8779,0.4812
4,200,20,0.8796,0.5033,0.8779,0.4812
5,199,20,0.8797,0.5029,0.8779,0.4812
6,198,21,0.8804,0.5018,0.8779,0.4751
7,197,26,0.8797,0.5009,0.8746,0.4736
8,199,35,0.8800,0.5016,0.8776,0.4766
9,198,50,0.8808,0.5017,0.8704,0.4775
10,197,50,0.8815,0.5030,0.8704,0.4775
11,197,50,0.8822,0.5013,0.8704,0.4775
12,198,50,0.8823,0.5017,0.8704,0.4775
13,192,50,0.8811,0.5020,0.8704,0.4775
14,195,50,0.8803,0.5032,0.8704,0.4775
15,195,50,0.8811,0.5028,0.8704,0.4775
16,194,50,0.8815,0.5028,0.8704,0.4775
17,193,50,0.8814,0.5037,0.8704,0.4775
18,190,50,0.8801,0.5009,0.8704,0.4775
19,191,50,0.8799,0.5005,0.8704,0.4775
20,192,50,0.8831,0.4973,0.8704,0.4775
21,192,50,0.8838,0.4925,0.8704,0.4775
22,191,50,0.8824,0.4936,0.8704,0.4775
23,194,50,0.8837,0.4960,0.8704,0.4775
24,194,50,0.8851,0.4973,0.8704,0.4775
25,191,50,0.8882,0.4941,0.8704,0.4775
26,193,50,0.8907,0.4912,0.8704,0.4775
27,195,50,0.8909,0.4902,0.8704,0.4775
28,198,50,0.8916,0.4916,0.8704,0.4775
29,197,50,0.8918,0.4922,0.8704,0.4775
30,192,50,0.8936,0.4891,0.8704,0.4775
31,196,50,0.8925,0.4910,0.8704,0.4775
32,197,50,0.8944,0.4896,0.8704,0.4775
33,196,50,0.8959,0.4913,0.8704,0.4775
34,196,50,0.8960,0.4930,0.8704,0.4775
35,197,50,0.8968,0.4950,0.8704,0.4775
36,192,50,0.8968,0.4963,0.8704,0.4775
37,189,50,0.8953,0.4941,0.8704,0.4775
38,197,50,0.8996,0.4955,0.8704,0.4775
39,199,50,0.8998,0.4960,0.8704,0.4775
40,193,50,0.8986,0.4938,0.8704,0.4775
41,198,50,0.8988,0.4956,0.8704,0.4775
42,198,50,0.9006,0.4957,0.8704,0.4775
43,196,50,0.9014,0.4941,0.8704,0.4775
44,197,50,0.9022,0.4885,0.8704,0.4775
45,194,50,0.9016,0.4875,0.8704,0.4775
46,196,50,0.9003,0.4920,0.8704,0.4775
47,197,50,0.9003,0.4921,0.8704,0.4775
48,189,50,0.8996,0.4967,0.8704,0.4775
49,194,50,0.8991,0.4967,0.8704,0.4775
50,197,50,0.8986,0.4922,0.8704,0.4775
51,193,50,0.8977,0.4915,0.8704,0.4775
52,193,50,0.8983,0.4903,0.8704,0.4775
53,195,50,0.8997,0.4954,0.8704,0.4775
54,197,50,0.9011,0.4978,0.8704,0.4775
55,197,50,0.9010,0.4982,0.8704,0.4775
56,194,50,0.9008,0.4972,0.8704,0.4775
57,196,50,0.8996,0.4975,0.8704,0.4775
58,194,50,0.9017,0.4946,0.8704,0.4775
59,194,50,0.9016,0.4976,0.8704,0.4775
60,196,50,0.9016,0.4982,0.8704,0.4775
61,191,50,0.9001,0.5007,0.8704,0.4775
62,196,50,0.9034,0.5087,0.8704,0.4775
63,190,50,0.9020,0.5105,0.8704,0.4775
64,195,50,0.9019,0.5210,0.8704,0.4775
65,192,50,0.9046,0.5270,0.8704,0.4775
66,195,50,0.9037,0.5290,0.8704,0.4775
67,196,50,0.9028,0.5293,0.8704,0.4775
68,193,50,0.9033,0.5264,0.8704,0.4775
69,190,50,0.9059,0.5257,0.8704,0.4775
70,194,50,0.9053,0.5274,0.8704,0.4775
71,189,50,0.9058,0.5287,0.8704,0.4775
72,193,50,0.9075,0.5305,0.8704,0.4775
73,195,50,0.9089,0.5330,0.8704,0.4775
74,198,50,0.9101,0.5303,0.8704,0.4775
75,197,50,0.9104,0.5308,0.8704,0.4775
76,194,50,0.9101,0.5297,0.8704,0.4775
77,195,50,0.9097,0.5328,0.8704,0.4775
78,196,50,0.9089,0.5381,0.8704,0.4775
79,197,50,0.9097,0.5358,0.8704,0.4775
80,194,50,0.9094,0.5400,0.8704,0.4775
81,196,50,0.9037,0.5404,0.8704,0.4775
82,195,50,0.9048,0.5384,0.8704,0.4775
83,195,50,0.9059,0.5414,0.8704,0.4775
84,195,50,0.9051,0.5485,0.8704,0.4775
85,197,50,0.9068,0.5540,0.8704,0.4775
86,196,50,0.9082,0.5570,0.8704,0.4775
87,193,50,0.9115,0.5559,0.8704,0.4775
88,196,50,0.9139,0.5527,0.8704,0.4775
89,193,50,0.9146,0.5524,0.8704,0.4775
90,197,50,0.9140,0.5623,0.8704,0.4775
91,197,50,0.9124,0.5633,0.8704,0.4775
92,196,50,0.9130,0.5621,0.8704,0.4775
93,191,50,0.9154,0.5630,0.8704,0.4775
94,192,50,0.9184,0.5602,0.8704,0.4775
95,194,50,0.9194,0.5671,0.8704,0.4775
96,191,50,0.9162,0.5701,0.8704,0.4775
97,197,50,0.9127,0.5780,0.8704,0.4775
98,196,50,0.9151,0.5756,0.8704,0.4775
99,192,50,0.9147,0.5704,0.8704,0.4775
100,196,50,0.9177,0.5772,0.8704,0.4775
101,198,50,0.9170,0.5772,0.8704,0.4775
102,195,50,0.9187,0.5771,0.8704,0.4775
103,190,50,0.9212,0.5797,0.8704,0.4775
104,198,50,0.9167,0.5827,0.8704,0.4775
105,193,50,0.9157,0.5821,0.8704,0.4775
106,191,50,0.9183,0.5880,0.8704,0.4775
107,195,50,0.9145,0.6038,0.8704,0.4775
108,198,50,0.9136,0.6032,0.8704,0.4775
109,193,50,0.9123,0.6045,0.8704,0.4775
110,194,50,0.9165,0.6117,0.8704,0.4775
111,194,50,0.9211,0.6100,0.8704,0.4775
112,192,50,0.9196,0.6151,0.8704,0.4775
113,192,50,0.9183,0.6185,0.8704,0.4775
114,196,50,0.9165,0.6256,0.8704,0.4775
115,195,50,0.9144,0.6312,0.8704,0.4775
116,190,50,0.9125,0.6271,0.8704,0.4775
117,192,50,0.9109,0.6338,0.8704,0.4775
118,196,50,0.9136,0.6350,0.8704,0.4775
119,195,50,0.9141,0.6352,0.8704,0.4775
120,192,50,0.9144,0.6395,0.8704,0.4775
121,197,50,0.9119,0.6404,0.8704,0.4775
122,198,50,0.9130,0.6417,0.8704,0.4775
123,197,50,0.9119,0.6421,0.8704,0.4775
124,193,50,0.9113,0.6404,0.8704,0.4775
125,198,50,0.9126,0.6410,0.8704,0.4775
126,193,50,0.9132,0.6364,0.8704,0.4775
127,192,50,0.9168,0.6360,0.8704,0.4775
128,198,50,0.9198,0.6362,0.8704,0.4775
129,197,50,0.9227,0.6395,0.8704,0.4775
130,196,50,0.9223,0.6410,0.8704,0.4775
131,194,50,0.9186,0.6446,0.8704,0.4775
132,197,50,0.9150,0.6536,0.8704,0.4775
133,190,50,0.9107,0.6634,0.8704,0.4775
134,197,50,0.9097,0.6637,0.8704,0.4775
135,195,50,0.9089,0.6678,0.8704,0.4775
136,194,50,0.9117,0.6634,0.8704,0.4775
137,195,50,0.9101,0.6626,0.8704,0.4775
138,195,50,0.9117,0.6651,0.8704,0.4775
139,194,50,0.9069,0.6719,0.8704,0.4775
140,194,50,0.9076,0.6842,0.8704,0.4775
141,196,50,0.9091,0.6826,0.8704,0.4775
142,196,50,0.9075,0.6863,0.8704,0.4775
143,196,50,0.9083,0.6878,0.8704,0.4775
144,195,50,0.9107,0.6888,0.8704,0.4775
145,196,50,0.9135,0.6916,0.8704,0.4775
146,195,50,0.9148,0.6924,0.8704,0.4775
147,198,50,0.9120,0.6921,0.8704,0.4775
148,191,50,0.9106,0.6925,0.8704,0.4775
149,189,50,0.9101,0.6954,0.8704,0.4775
150,194,50,0.9065,0.7009,0.8704,0.4775
151,198,50,0.9042,0.6963,0.8704,0.4775
152,197,50,0.9020,0.6993,0.8704,0.4775
153,198,50,0.9025,0.6987,0.8704,0.4775
154,195,50,0.8976,0.6968,0.8704,0.4775
155,193,50,0.8917,0.6985,0.8704,0.4775
156,191,50,0.8925,0.6958,0.8704,0.4775
157,192,50,0.8960,0.7024,0.8704,0.4775
158,194,50,0.9021,0.6994,0.8704,0.4775
159,195,50,0.8957,0.7020,0.8704,0.4775
160,193,50,0.8925,0.7021,0.8704,0.4775
161,194,50,0.8866,0.6988,0.8704,0.4775
162,196,50,0.8865,0.6996,0.8704,0.4775
163,194,50,0.8870,0.6982,0.8704,0.4775
164,193,50,0.8932,0.7041,0.8704,0.4775
165,190,50,0.8905,0.7046,0.8704,0.4775
166,194,50,0.8922,0.7144,0.8704,0.4775
167,196,50,0.8874,0.7227,0.8704,0.4775
168,194,50,0.8847,0.7271,0.8704,0.4775
169,196,50,0.8818,0.7344,0.8704,0.4775
