tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff
1,200,20,0.1990,0.5000,0.9022
2,200,20,0.1990,0.5000,0.9022
3,199,20,0.1990,0.5000,0.9022
4,197,22,0.1989,0.4917,0.9023
5,195,29,0.1995,0.5017,0.9018
6,195,42,0.1999,0.5006,0.9016
7,197,50,0.2005,0.5021,0.9009
8,194,50,0.2015,0.5021,0.9014
9,195,50,0.2006,0.5021,0.9018
10,198,50,0.1992,0.5021,0.9024
11,199,50,0.2003,0.5021,0.9014
12,195,50,0.2005,0.5021,0.9020
13,197,50,0.2002,0.5021,0.9026
14,196,50,0.2000,0.5021,0.9010
15,194,50,0.2009,0.5021,0.9021
16,189,50,0.2017,0.5021,0.8993
17,189,50,0.2043,0.5021,0.9015
18,189,50,0.2058,0.5021,0.9004
19,189,50,0.2065,0.5021,0.9025
20,189,50,0.2061,0.5021,0.9019
21,192,50,0.2055,0.5021,0.9015
22,194,50,0.2057,0.5021,0.9018
23,193,50,0.2029,0.5021,0.8996
24,190,50,0.2078,0.5021,0.8994
25,197,50,0.2122,0.5021,0.8957
26,195,50,0.2112,0.5021,0.8973
27,195,50,0.2145,0.5021,0.8969
28,198,50,0.2156,0.5021,0.8956
29,194,50,0.2157,0.5021,0.8939
30,192,50,0.2176,0.5021,0.8904
31,197,50,0.2188,0.5021,0.8934
32,192,50,0.2182,0.5021,0.8928
33,196,50,0.2192,0.5021,0.8934
34,191,50,0.2214,0.5021,0.8934
35,194,50,0.2220,0.5021,0.8916
36,200,50,0.2200,0.5021,0.8914
37,193,50,0.2225,0.5021,0.8906
38,193,50,0.2242,0.5021,0.8892
39,189,50,0.2296,0.5021,0.8845
40,192,50,0.2327,0.5021,0.8842
41,194,50,0.2368,0.5021,0.8838
42,194,50,0.2373,0.5021,0.8861
43,195,50,0.2397,0.5021,0.8828
44,195,50,0.2411,0.5021,0.8846
45,194,50,0.2432,0.5021,0.8856
46,192,50,0.2453,0.5021,0.8867
47,195,50,0.2471,0.5021,0.8896
48,190,50,0.2494,0.5021,0.8936
49,196,50,0.2552,0.5021,0.8930
50,195,50,0.2572,0.5021,0.8928
51,194,50,0.2598,0.5021,0.8903
52,193,50,0.2609,0.5021,0.8938
