tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_mut
1,200,20,0.4990,0.5000,0.8000
2,200,20,0.4990,0.5000,0.8000
3,200,20,0.4990,0.5000,0.8000
4,200,20,0.4990,0.5000,0.8000
5,200,20,0.4990,0.5000,0.8000
6,200,20,0.4990,0.5000,0.8000
7,200,20,0.4990,0.5000,0.8000
8,198,20,0.4990,0.5000,0.8000
9,200,20,0.4984,0.5000,0.8000
10,198,20,0.4983,0.5000,0.8000
11,196,23,0.4986,0.5074,0.8027
12,197,30,0.4992,0.5135,0.8156
13,195,42,0.4999,0.5149,0.8250
14,196,50,0.4991,0.5070,0.8314
15,193,50,0.4983,0.5070,0.8314
16,198,50,0.4981,0.5070,0.8314
17,196,50,0.4997,0.5070,0.8314
18,195,50,0.4985,0.5070,0.8314
19,196,50,0.4992,0.5070,0.8314
20,194,50,0.4998,0.5070,0.8314
21,194,50,0.4985,0.5070,0.8314
22,194,50,0.4982,0.5070,0.8314
23,194,50,0.4966,0.5070,0.8314
24,187,50,0.4968,0.5070,0.8314
25,190,50,0.4957,0.5070,0.8314
26,189,50,0.4951,0.5070,0.8314
27,192,50,0.4946,0.5070,0.8314
28,195,50,0.4955,0.5070,0.8314
29,196,50,0.4924,0.5070,0.8314
30,192,50,0.4898,0.5070,0.8314
31,193,50,0.4864,0.5070,0.8314
32,193,50,0.4857,0.5070,0.8314
33,196,50,0.4824,0.5070,0.8314
34,196,50,0.4854,0.5070,0.8314
35,198,50,0.4863,0.5070,0.8314
36,195,50,0.4843,0.5070,0.8314
37,197,50,0.4807,0.5070,0.8314
38,197,50,0.4800,0.5070,0.8314
39,196,50,0.4829,0.5070,0.8314
40,195,50,0.4807,0.5070,0.8314
41,200,50,0.4805,0.5070,0.8314
42,195,50,0.4808,0.5070,0.8314
43,195,50,0.4834,0.5070,0.8314
44,193,50,0.4847,0.5070,0.8314
45,197,50,0.4842,0.5070,0.8314
46,196,50,0.4829,0.5070,0.8314
47,195,50,0.4811,0.5070,0.8314
48,190,50,0.4826,0.5070,0.8314
49,194,50,0.4791,0.5070,0.8314
50,197,50,0.4782,0.5070,0.8314
51,197,50,0.4805,0.5070,0.8314
52,195,50,0.4795,0.5070,0.8314
53,197,50,0.4769,0.5070,0.8314
54,196,50,0.4782,0.5070,0.8314
55,198,50,0.4751,0.5070,0.8314
56,196,50,0.4790,0.5070,0.8314
57,193,50,0.4789,0.5070,0.8314
58,193,50,0.4808,0.5070,0.8314
59,191,50,0.4779,0.5070,0.8314
60,188,50,0.4832,0.5070,0.8314
61,192,50,0.4858,0.5070,0.8314
62,198,50,0.4897,0.5070,0.8314
63,193,50,0.4908,0.5070,0.8314
64,196,50,0.4877,0.5070,0.8314
65,192,50,0.4862,0.5070,0.8314
66,196,50,0.4897,0.5070,0.8314
67,193,50,0.4920,0.5070,0.8314
68,194,50,0.4946,0.5070,0.8314
69,197,50,0.4957,0.5070,0.8314
70,196,50,0.4994,0.5070,0.8314
71,198,50,0.5011,0.5070,0.8314
72,196,50,0.5025,0.5070,0.8314
73,188,50,0.5014,0.5070,0.8314
74,197,50,0.4980,0.5070,0.8314
75,198,50,0.4970,0.5070,0.8314
76,197,50,0.5000,0.5070,0.8314
77,194,50,0.5021,0.5070,0.8314
78,195,50,0.4999,0.5070,0.8314
