tick,prey_count,clan_a_count,clan_b_count,clan_c_count,clan_d_count,avg_altruism
1,250,5,5,5,5,0.4991057341366756
2,250,5,5,5,5,0.4991057341366756
3,250,5,5,5,5,0.4991057341366756
4,250,5,5,5,5,0.4991057341366756
5,250,5,5,5,5,0.4991057341366756
6,250,5,5,5,5,0.4991057341366756
7,250,5,5,5,5,0.4991057341366756
8,250,5,5,5,5,0.4991057341366756
9,250,5,5,5,5,0.4991057341366756
10,250,5,5,5,5,0.4991057341366756
11,250,5,5,5,5,0.4991057341366756
12,250,5,5,5,5,0.4991057341366756
13,250,5,5,5,5,0.4991057341366756
14,250,5,5,5,5,0.4991057341366756
15,250,5,5,5,5,0.4991057341366756
16,250,5,5,5,5,0.4991057341366756
17,250,5,5,5,5,0.4991057341366756
18,250,5,5,5,5,0.4991057341366756
19,250,5,5,5,5,0.4991057341366756
20,250,5,5,5,5,0.4991057341366756
21,250,5,5,5,5,0.4991057341366756
22,250,5,5,5,5,0.4991057341366756
23,250,5,5,5,5,0.4991057341366756
24,250,5,5,5,5,0.4991057341366756
25,250,5,5,5,5,0.4991057341366756
26,250,5,5,5,5,0.4991057341366756
27,250,5,5,5,5,0.4991057341366756
28,250,5,5,5,5,0.4991057341366756
29,250,5,5,5,5,0.4991057341366756
30,250,5,5,5,5,0.4991057341366756
31,250,5,5,5,5,0.4991057341366756
32,250,5,5,5,5,0.4991057341366756
33,250,5,5,5,5,0.4991057341366756
34,250,5,5,5,5,0.4991057341366756
35,250,5,5,5,5,0.4991057341366756
36,250,5,5,5,5,0.4991057341366756
37,250,5,5,5,5,0.4991057341366756
38,250,5,5,5,5,0.4991057341366756
39,250,5,5,5,5,0.4991057341366756
40,250,5,5,5,5,0.4991057341366756
41,250,5,5,5,5,0.4991057341366756
42,250,5,5,5,5,0.4991057341366756
43,250,5,5,5,5,0.4991057341366756
44,250,5,5,5,5,0.4991057341366756
45,250,5,5,5,5,0.4991057341366756
46,250,5,5,5,5,0.4991057341366756
47,250,5,5,5,5,0.4991057341366756
48,250,5,5,5,5,0.4991057341366756
49,250,5,5,5,5,0.4991057341366756
50,250,5,5,5,5,0.4991057341366756
51,250,5,5,5,5,0.4991057341366756
52,250,5,5,5,5,0.4991057341366756
53,250,5,5,5,5,0.4991057341366756
54,250,5,5,5,5,0.4991057341366756
55,250,5,5,5,5,0.4991057341366756
56,250,5,5,5,5,0.4991057341366756
57,250,5,5,5,5,0.4991057341366756
58,250,5,5,5,5,0.4991057341366756
59,250,5,5,5,5,0.4991057341366756
60,250,5,5,5,5,0.4991057341366756
61,250,5,5,5,5,0.4991057341366756
62,250,5,5,5,5,0.4991057341366756
63,250,5,5,5,5,0.4991057341366756
64,250,5,5,5,5,0.4991057341366756
65,250,5,5,5,5,0.4991057341366756
66,250,5,5,5,5,0.4991057341366756
67,250,5,5,5,5,0.4991057341366756
68,250,5,5,5,5,0.4991057341366756
69,250,5,5,5,5,0.4991057341366756
70,250,5,5,5,5,0.4991057341366756
71,250,5,5,5,5,0.4991057341366756
72,250,5,5,5,5,0.4991057341366756
73,250,5,5,5,5,0.4991057341366756
74,250,5,5,5,5,0.4991057341366756
75,250,5,5,5,5,0.4991057341366756
76,250,5,5,5,5,0.4991057341366756
77,250,5,5,5,5,0.4991057341366756
78,250,5,5,5,5,0.4991057341366756
79,250,5,5,5,5,0.4991057341366756
80,250,5,5,5,5,0.4991057341366756
81,250,5,5,5,5,0.4991057341366756
82,250,5,5,5,5,0.4991057341366756
83,250,5,5,5,5,0.4991057341366756
84,250,5,5,5,5,0.4991057341366756
85,250,5,5,5,5,0.4991057341366756
86,250,5,5,5,5,0.4991057341366756
87,250,5,5,5,5,0.4991057341366756
88,250,5,5,5,5,0.4991057341366756
89,250,5,5,5,5,0.4991057341366756
90,250,5,5,5,5,0.4991057341366756
91,250,5,5,5,5,0.4991057341366756
92,250,5,5,5,5,0.4991057341366756
93,250,5,5,5,5,0.4991057341366756
94,250,5,5,5,5,0.4991057341366756
95,250,5,5,5,5,0.4991057341366756
96,250,5,5,5,5,0.4991057341366756
97,250,5,5,5,5,0.4991057341366756
98,250,5,5,5,5,0.4991057341366756
99,250,5,5,5,5,0.4991057341366756
100,250,5,5,5,5,0.4991057341366756
101,250,5,5,5,5,0.4991057341366756
102,250,5,5,5,5,0.4991057341366756
103,250,5,5,5,5,0.4991057341366756
104,250,5,5,5,5,0.4991057341366756
105,250,5,5,5,5,0.4991057341366756
106,250,5,5,5,5,0.4991057341366756
107,250,5,5,5,5,0.4991057341366756
108,250,5,5,5,5,0.4991057341366756
109,250,5,5,5,5,0.4991057341366756
110,250,5,5,5,5,0.4991057341366756
111,248,5,5,5,5,0.4991057341366756
112,250,5,5,5,5,0.4991057341366756
113,250,5,5,5,5,0.4991057341366756
114,249,5,5,5,5,0.4991057341366756
115,250,5,5,5,5,0.4991057341366756
116,250,5,5,5,5,0.4991057341366756
117,250,5,5,5,5,0.4991057341366756
118,250,5,5,5,5,0.4991057341366756
119,250,5,5,5,5,0.4991057341366756
120,249,5,5,5,5,0.4991057341366756
121,250,5,5,5,5,0.4991057341366756
122,250,5,5,5,5,0.4991057341366756
123,250,5,5,5,5,0.4991057341366756
124,250,5,5,5,5,0.4991057341366756
125,250,5,5,5,5,0.4991057341366756
126,250,5,5,5,5,0.4991057341366756
127,250,5,5,5,5,0.4991057341366756
128,249,5,5,5,5,0.4991057341366756
129,250,5,5,5,5,0.4991057341366756
130,250,5,5,5,5,0.4991057341366756
131,248,5,5,5,5,0.4991057341366756
132,250,5,5,5,5,0.4991057341366756
133,250,5,5,5,5,0.4991057341366756
134,250,5,5,5,5,0.4991057341366756
135,249,5,5,5,5,0.4991057341366756
136,249,5,5,5,5,0.4991057341366756
137,249,5,5,5,5,0.4991057341366756
138,250,5,5,5,5,0.4991057341366756
139,248,5,5,5,5,0.4991057341366756
140,249,5,5,5,5,0.4991057341366756
141,250,5,5,5,5,0.4991057341366756
142,248,5,5,5,5,0.4991057341366756
143,250,5,5,5,5,0.4991057341366756
144,250,5,5,5,5,0.4991057341366756
145,250,5,5,5,5,0.4991057341366756
146,249,5,5,5,5,0.4991057341366756
147,250,5,5,5,5,0.4991057341366756
148,249,5,5,5,5,0.4991057341366756
149,248,5,5,5,5,0.4991057341366756
150,247,5,5,5,5,0.4991057341366756
