tick,pop_stark,pop_lannister,pop_targ,pop_baratheon,cannibal_acts
1,50,50,50,50,0
2,50,50,50,50,0
3,50,50,50,50,0
4,50,50,50,50,0
5,50,50,50,50,0
6,50,50,50,50,3
7,50,50,50,50,3
8,50,50,50,50,3
9,50,50,50,50,3
10,50,50,50,50,3
11,50,50,50,50,3
12,50,50,50,50,5
13,50,50,50,50,3
14,50,50,50,50,3
15,50,50,50,50,7
16,50,50,50,50,5
17,50,50,50,50,6
18,50,50,50,49,7
19,50,50,50,49,6
20,50,50,50,49,23
21,50,50,50,48,61
22,50,50,49,47,61
23,50,50,49,46,74
24,46,48,45,42,150
25,42,45,41,40,128
26,37,43,31,33,123
27,32,35,26,28,112
28,28,33,22,25,94
29,28,32,19,19,72
30,26,31,18,15,79
31,23,30,14,13,68
32,23,25,14,11,58
33,20,25,11,10,57
34,19,24,8,8,52
35,18,20,8,8,45
36,18,20,8,8,44
37,18,20,8,8,47
38,17,20,8,7,43
39,17,20,6,7,40
40,16,20,6,7,43
41,16,19,6,7,34
42,16,18,6,7,30
43,16,18,6,7,44
44,16,18,5,7,37
45,16,18,5,6,34
46,16,18,5,6,37
47,16,18,5,6,37
48,16,18,5,5,31
49,16,18,5,5,32
50,16,18,5,5,38
51,16,18,5,5,33
52,15,18,5,5,30
53,15,18,5,5,34
54,15,18,5,4,28
55,15,18,5,4,27
56,15,18,5,4,35
57,15,18,5,4,31
58,15,18,4,4,27
59,15,18,4,4,39
60,15,17,4,4,31
61,15,17,4,4,27
62,15,17,4,4,37
63,15,17,4,4,33
64,15,17,4,4,28
65,15,17,4,4,33
66,14,17,4,4,28
67,14,16,4,4,30
68,14,16,4,4,33
69,14,16,4,4,32
70,14,16,4,4,31
71,14,16,4,4,35
72,14,15,4,4,32
73,14,15,4,4,31
74,14,15,4,4,36
75,14,15,4,4,35
76,14,15,4,4,37
77,14,15,4,4,39
78,14,15,4,4,38
79,13,15,4,4,39
80,13,15,4,4,46
81,13,15,4,4,45
82,12,15,4,4,40
83,12,14,4,4,43
84,11,12,4,4,48
85,10,11,4,4,45
86,10,11,4,4,51
87,9,11,4,4,55
88,9,11,4,4,61
89,9,9,4,4,55
90,8,8,4,4,64
91,8,8,4,4,64
92,8,8,4,4,74
93,8,5,4,4,77
94,7,5,4,4,73
95,6,5,4,4,81
96,6,5,4,4,88
97,6,5,4,4,88
98,6,5,4,4,86
99,5,4,4,2,78
100,4,4,4,2,77
101,4,4,4,2,75
102,4,3,4,2,72
103,4,3,4,2,74
104,4,3,4,2,70
105,4,3,2,2,69
106,3,3,2,2,63
107,3,2,2,1,61
108,3,1,2,1,59
109,3,1,2,1,56
110,3,1,2,1,54
111,3,1,2,1,52
112,3,1,2,1,56
113,3,1,2,1,50
114,3,1,2,1,50
115,3,1,2,1,52
116,3,1,1,1,50
117,3,1,1,1,45
118,3,1,1,1,42
119,2,1,1,1,37
120,2,1,1,1,41
121,2,1,1,1,35
122,2,1,1,1,34
123,2,1,1,1,34
124,2,1,1,0,39
125,2,1,1,0,35
126,2,1,1,0,44
127,2,1,1,0,38
128,2,1,1,0,38
129,2,1,0,0,36
130,2,1,0,0,37
131,2,1,0,0,35
132,2,1,0,0,31
133,2,1,0,0,39
134,2,1,0,0,39
135,2,1,0,0,39
136,2,1,0,0,40
137,2,1,0,0,43
138,2,1,0,0,41
139,2,1,0,0,39
140,2,1,0,0,39
141,2,1,0,0,39
142,2,1,0,0,37
143,2,1,0,0,44
144,2,1,0,0,39
145,2,1,0,0,37
146,2,1,0,0,41
147,2,1,0,0,39
148,2,1,0,0,45
149,2,0,0,0,39
150,2,0,0,0,39
151,2,0,0,0,40
152,2,0,0,0,47
153,2,0,0,0,44
154,2,0,0,0,52
155,2,0,0,0,47
156,1,0,0,0,51
157,1,0,0,0,48
158,1,0,0,0,51
159,1,0,0,0,52
160,1,0,0,0,51
161,1,0,0,0,51
162,1,0,0,0,55
163,1,0,0,0,62
164,1,0,0,0,67
165,1,0,0,0,69
166,1,0,0,0,68
167,1,0,0,0,73
168,1,0,0,0,72
169,1,0,0,0,78
170,1,0,0,0,80
171,1,0,0,0,77
172,1,0,0,0,76
173,1,0,0,0,73
174,1,0,0,0,77
175,1,0,0,0,70
176,1,0,0,0,72
177,1,0,0,0,71
178,1,0,0,0,72
179,1,0,0,0,64
180,1,0,0,0,61
181,1,0,0,0,66
182,1,0,0,0,63
183,1,0,0,0,60
184,1,0,0,0,56
185,0,0,0,0,53
186,0,0,0,0,54
187,0,0,0,0,54
188,0,0,0,0,54
189,0,0,0,0,51
190,0,0,0,0,40
191,0,0,0,0,49
192,0,0,0,0,47
193,0,0,0,0,44
194,0,0,0,0,48
195,0,0,0,0,43
196,0,0,0,0,52
197,0,0,0,0,46
198,0,0,0,0,50
199,0,0,0,0,53
200,0,0,0,0,50
201,0,0,0,0,50
202,0,0,0,0,52
203,0,0,0,0,54
204,0,0,0,0,50
205,0,0,0,0,52
206,0,0,0,0,55
207,0,0,0,0,54
208,0,0,0,0,60
209,0,0,0,0,55
210,0,0,0,0,59
211,0,0,0,0,55
212,0,0,0,0,58
213,0,0,0,0,56
214,0,0,0,0,55
215,0,0,0,0,56
216,0,0,0,0,59
217,0,0,0,0,55
218,0,0,0,0,56
219,0,0,0,0,59
220,0,0,0,0,60
221,0,0,0,0,63
222,0,0,0,0,61
223,0,0,0,0,61
224,0,0,0,0,61
225,0,0,0,0,66
226,0,0,0,0,67
227,0,0,0,0,61
228,0,0,0,0,66
229,0,0,0,0,71
230,0,0,0,0,68
231,0,0,0,0,68
232,0,0,0,0,76
233,0,0,0,0,70
234,0,0,0,0,67
235,0,0,0,0,61
236,0,0,0,0,78
237,0,0,0,0,70
238,0,0,0,0,76
239,0,0,0,0,76
240,0,0,0,0,70
241,0,0,0,0,70
242,0,0,0,0,63
243,0,0,0,0,60
244,0,0,0,0,69
245,0,0,0,0,64
246,0,0,0,0,66
247,0,0,0,0,68
248,0,0,0,0,62
249,0,0,0,0,64
250,0,0,0,0,62
251,0,0,0,0,59
252,0,0,0,0,55
253,0,0,0,0,54
254,0,0,0,0,55
255,0,0,0,0,61
256,0,0,0,0,57
257,0,0,0,0,56
258,0,0,0,0,58
259,0,0,0,0,53
260,0,0,0,0,49
261,0,0,0,0,50
262,0,0,0,0,47
263,0,0,0,0,42
264,0,0,0,0,46
265,0,0,0,0,48
266,0,0,0,0,47
267,0,0,0,0,44
268,0,0,0,0,48
269,0,0,0,0,48
270,0,0,0,0,47
271,0,0,0,0,53
272,0,0,0,0,53
273,0,0,0,0,51
274,0,0,0,0,51
275,0,0,0,0,48
276,0,0,0,0,44
277,0,0,0,0,53
278,0,0,0,0,45
279,0,0,0,0,52
280,0,0,0,0,52
281,0,0,0,0,53
282,0,0,0,0,54
283,0,0,0,0,51
284,0,0,0,0,56
285,0,0,0,0,57
286,0,0,0,0,56
287,0,0,0,0,56
288,0,0,0,0,53
289,0,0,0,0,58
290,0,0,0,0,63
291,0,0,0,0,64
292,0,0,0,0,58
293,0,0,0,0,56
294,0,0,0,0,69
295,0,0,0,0,65
296,0,0,0,0,63
297,0,0,0,0,62
298,0,0,0,0,60
299,0,0,0,0,67
300,0,0,0,0,68
301,0,0,0,0,72
302,0,0,0,0,66
303,0,0,0,0,72
304,0,0,0,0,69
305,0,0,0,0,66
306,0,0,0,0,62
307,0,0,0,0,60
308,0,0,0,0,63
309,0,0,0,0,66
310,0,0,0,0,66
311,0,0,0,0,63
312,0,0,0,0,61
313,0,0,0,0,62
314,0,0,0,0,59
315,0,0,0,0,64
316,0,0,0,0,60
317,0,0,0,0,58
318,0,0,0,0,56
319,0,0,0,0,55
320,0,0,0,0,52
321,0,0,0,0,53
322,0,0,0,0,49
323,0,0,0,0,48
324,0,0,0,0,47
325,0,0,0,0,52
326,0,0,0,0,49
327,0,0,0,0,52
328,0,0,0,0,49
329,0,0,0,0,53
330,0,0,0,0,48
331,0,0,0,0,55
332,0,0,0,0,51
333,0,0,0,0,52
334,0,0,0,0,52
335,0,0,0,0,58
336,0,0,0,0,55
337,0,0,0,0,58
338,0,0,0,0,57
339,0,0,0,0,60
340,0,0,0,0,57
341,0,0,0,0,56
342,0,0,0,0,57
343,0,0,0,0,58
344,0,0,0,0,54
345,0,0,0,0,58
346,0,0,0,0,55
347,0,0,0,0,54
348,0,0,0,0,57
349,0,0,0,0,60
350,0,0,0,0,59
351,0,0,0,0,61
352,0,0,0,0,62
353,0,0,0,0,63
354,0,0,0,0,64
355,0,0,0,0,60
356,0,0,0,0,64
357,0,0,0,0,69
358,0,0,0,0,67
359,0,0,0,0,66
360,0,0,0,0,66
361,0,0,0,0,66
362,0,0,0,0,69
363,0,0,0,0,64
364,0,0,0,0,58
365,0,0,0,0,63
366,0,0,0,0,57
367,0,0,0,0,66
368,0,0,0,0,61
369,0,0,0,0,60
370,0,0,0,0,65
371,0,0,0,0,62
372,0,0,0,0,63
373,0,0,0,0,63
374,0,0,0,0,65
375,0,0,0,0,69
376,0,0,0,0,75
377,0,0,0,0,74
378,0,0,0,0,71
379,0,0,0,0,72
380,0,0,0,0,61
381,0,0,0,0,67
382,0,0,0,0,69
383,0,0,0,0,67
384,0,0,0,0,60
385,0,0,0,0,61
386,0,0,0,0,57
387,0,0,0,0,55
388,0,0,0,0,60
389,0,0,0,0,56
390,0,0,0,0,58
391,0,0,0,0,53
392,0,0,0,0,47
393,0,0,0,0,54
394,0,0,0,0,52
395,0,0,0,0,55
396,0,0,0,0,57
397,0,0,0,0,57
398,0,0,0,0,52
399,0,0,0,0,55
400,0,0,0,0,61
401,0,0,0,0,56
402,0,0,0,0,57
403,0,0,0,0,48
404,0,0,0,0,54
405,0,0,0,0,49
406,0,0,0,0,52
407,0,0,0,0,55
408,0,0,0,0,55
409,0,0,0,0,54
410,0,0,0,0,56
411,0,0,0,0,59
412,0,0,0,0,58
413,0,0,0,0,58
414,0,0,0,0,59
415,0,0,0,0,60
416,0,0,0,0,54
417,0,0,0,0,58
418,0,0,0,0,58
419,0,0,0,0,57
420,0,0,0,0,54
421,0,0,0,0,59
422,0,0,0,0,59
423,0,0,0,0,57
424,0,0,0,0,58
425,0,0,0,0,60
426,0,0,0,0,59
427,0,0,0,0,61
428,0,0,0,0,67
429,0,0,0,0,63
430,0,0,0,0,70
431,0,0,0,0,66
432,0,0,0,0,67
433,0,0,0,0,71
434,0,0,0,0,72
435,0,0,0,0,70
436,0,0,0,0,74
437,0,0,0,0,70
438,0,0,0,0,67
439,0,0,0,0,69
440,0,0,0,0,73
441,0,0,0,0,79
442,0,0,0,0,81
443,0,0,0,0,80
444,0,0,0,0,70
445,0,0,0,0,79
446,0,0,0,0,80
447,0,0,0,0,78
448,0,0,0,0,78
449,0,0,0,0,67
450,0,0,0,0,71
451,0,0,0,0,67
452,0,0,0,0,72
453,0,0,0,0,69
454,0,0,0,0,73
455,0,0,0,0,67
456,0,0,0,0,65
457,0,0,0,0,65
458,0,0,0,0,61
459,0,0,0,0,58
460,0,0,0,0,56
461,0,0,0,0,61
462,0,0,0,0,60
463,0,0,0,0,58
464,0,0,0,0,58
465,0,0,0,0,57
466,0,0,0,0,55
467,0,0,0,0,56
468,0,0,0,0,56
469,0,0,0,0,58
470,0,0,0,0,57
471,0,0,0,0,54
472,0,0,0,0,60
473,0,0,0,0,57
474,0,0,0,0,58
475,0,0,0,0,56
476,0,0,0,0,62
477,0,0,0,0,57
478,0,0,0,0,65
479,0,0,0,0,60
480,0,0,0,0,63
481,0,0,0,0,61
482,0,0,0,0,64
