tick,pop_patron,pop_client,avg_nrg_patron,avg_nrg_client,donations
1,20,180,964.5,54.6,20
2,20,180,929.2,59.2,20
3,20,180,894.0,63.8,20
4,20,180,859.0,68.3,20
5,20,180,824.2,72.9,20
6,20,180,789.6,77.4,20
7,20,180,755.2,81.9,20
8,20,180,720.9,86.3,20
9,20,180,686.8,90.8,20
10,20,180,652.8,95.2,20
11,20,180,619.0,99.6,20
12,20,180,585.4,104.0,20
13,20,180,552.0,108.3,20
14,20,180,518.7,112.6,20
15,20,180,485.6,116.9,20
16,20,180,452.7,121.2,20
17,20,180,469.7,120.0,0
18,20,180,486.6,118.7,0
19,20,180,458.6,122.4,18
20,20,180,473.1,121.4,1
21,20,180,490.0,120.2,0
22,20,180,484.4,121.4,9
23,20,180,488.8,121.5,5
24,20,180,500.6,120.8,2
25,20,180,509.9,120.4,3
26,20,180,524.1,119.4,1
27,20,180,538.2,118.4,1
28,20,180,554.8,117.2,0
29,20,180,571.2,115.9,0
30,20,180,587.6,114.7,0
31,20,180,603.9,113.5,0
32,20,180,620.1,112.3,0
33,20,180,636.3,111.0,0
34,20,180,652.3,109.8,0
35,20,180,668.3,108.6,0
36,20,180,684.2,107.4,0
37,20,180,700.1,106.2,0
38,20,180,715.8,105.0,0
39,20,180,731.5,103.9,0
40,20,180,747.0,102.7,0
41,20,180,762.6,101.5,0
42,20,180,753.1,103.1,10
43,20,180,718.8,107.5,20
44,20,180,684.7,111.8,20
45,20,180,650.8,116.1,20
46,20,180,617.1,120.4,20
47,20,180,583.5,124.7,20
48,20,180,550.0,128.9,20
49,20,180,529.2,131.8,15
50,20,180,508.5,134.6,15
51,20,180,510.2,134.9,6
52,20,180,509.4,135.5,7
53,20,180,521.0,134.7,2
54,20,180,529.9,134.1,3
55,20,180,541.3,133.3,2
56,20,180,557.5,131.9,0
57,20,180,573.5,130.5,0
58,20,180,589.4,129.0,0
59,20,180,605.2,127.6,0
60,20,180,620.8,126.2,0
61,20,180,636.2,124.8,0
62,20,180,651.5,123.4,0
63,20,180,666.6,121.9,0
64,20,180,681.5,120.5,0
65,20,180,696.3,119.0,0
66,20,180,710.9,117.6,0
67,20,180,725.4,116.2,0
68,20,180,739.7,114.7,0
69,20,180,753.8,113.3,0
70,20,180,767.7,111.8,0
71,20,180,781.4,110.4,0
72,20,180,795.0,108.9,0
73,20,180,808.4,107.5,0
74,20,180,821.6,106.0,0
75,20,180,834.7,104.6,0
76,20,180,847.5,103.1,0
77,20,180,860.2,101.7,0
78,20,180,828.0,105.2,18
79,20,180,791.0,109.2,20
80,20,180,754.3,113.2,20
81,20,180,717.8,117.1,20
82,20,180,681.5,121.0,20
83,20,180,645.4,124.9,20
84,20,180,609.6,128.7,20
85,20,180,581.4,131.6,17
86,20,180,558.4,133.9,15
87,20,180,565.3,132.9,3
88,20,180,569.6,132.2,4
89,20,180,581.2,130.7,1
90,20,180,590.2,129.4,2
91,20,180,604.0,127.5,0
92,20,180,617.6,125.7,0
93,20,180,631.0,123.9,0
94,20,180,644.2,122.1,0
95,20,180,657.3,120.2,0
96,20,180,670.1,118.4,0
97,20,180,682.7,116.6,0
98,20,180,695.2,114.8,0
99,20,180,707.5,113.0,0
100,20,180,719.5,111.3,0
101,20,180,731.4,109.5,0
102,20,180,743.1,107.7,0
103,20,180,754.6,105.9,0
104,20,180,765.9,104.2,0
105,20,180,777.0,102.4,0
106,20,180,763.1,103.4,10
107,20,180,724.6,107.2,20
108,20,180,686.5,110.8,20
109,20,180,648.6,114.5,20
110,20,180,611.2,118.1,20
111,20,180,574.1,121.6,20
112,20,180,539.8,124.8,19
113,20,180,508.3,127.7,18
114,20,180,492.0,128.8,12
115,20,180,488.1,128.6,7
116,20,180,491.7,127.6,4
117,20,180,495.2,126.5,4
118,20,180,501.0,125.2,3
119,20,180,509.2,123.6,2
120,20,180,519.8,121.7,1
121,20,180,532.6,119.6,0
122,20,180,545.2,117.5,0
123,20,180,557.6,115.4,0
124,20,180,569.7,113.3,0
125,20,180,581.7,111.2,0
126,20,180,593.5,109.2,0
127,20,180,605.0,107.1,0
128,20,180,616.4,105.1,0
129,20,180,627.5,103.1,0
130,20,180,599.0,105.5,16
131,20,180,568.3,108.1,17
132,20,180,530.5,111.5,20
133,20,180,498.1,114.3,18
