tick,pop_boss,pop_worker,avg_nrg_boss,avg_nrg_worker,contracts
1,20,180,1263.0,58.7,180
2,20,180,1524.7,67.3,180
3,20,180,1785.0,75.9,180
4,20,180,2044.1,84.4,180
5,20,180,2301.9,92.9,180
6,20,180,2558.4,101.3,180
7,20,180,2813.6,109.7,180
8,20,180,3067.5,118.1,180
9,20,180,3320.2,126.4,180
10,20,180,3571.5,134.7,180
11,20,180,3821.7,142.9,180
12,20,180,4070.6,151.1,180
13,20,180,4318.2,159.3,180
14,20,180,4564.6,167.4,180
15,20,180,4809.8,175.5,180
16,20,180,5053.7,183.5,180
17,20,180,5296.5,191.5,180
18,20,180,5538.0,199.5,180
19,20,180,5648.4,202.6,93
20,20,180,5683.7,202.9,43
21,20,180,5711.3,202.9,38
22,20,180,5738.8,203.0,38
23,20,180,5758.7,202.8,33
24,20,180,5790.5,203.0,41
25,20,180,5822.1,203.2,41
26,20,180,5841.6,203.0,33
27,20,180,5862.4,202.8,34
28,20,180,5881.7,202.6,33
29,20,180,5920.3,203.1,46
30,20,180,5952.7,203.3,42
31,20,180,5973.1,203.2,34
32,20,180,5988.8,202.8,31
33,20,180,6006.0,202.5,32
34,20,180,6043.9,203.0,46
35,20,180,6063.8,202.8,34
36,20,180,6098.5,203.2,44
37,20,180,6116.6,203.0,33
38,20,180,6139.1,202.9,36
39,20,180,6161.5,202.9,36
40,20,180,6186.7,202.9,38
41,20,180,6216.3,203.1,41
42,20,180,6239.8,203.1,37
43,20,180,6260.2,203.0,35
44,20,180,6280.5,202.9,35
45,20,180,6306.6,203.0,39
46,20,180,6326.7,202.9,35
47,20,180,6355.6,203.1,41
48,20,180,6372.4,202.9,33
49,20,180,6399.6,203.0,40
50,20,180,6423.6,203.1,38
51,20,180,6443.9,203.0,36
52,20,180,6460.5,202.8,34
53,20,180,6483.8,202.8,39
54,20,180,6510.8,203.0,42
55,20,180,6526.5,202.8,35
56,20,180,6553.5,203.0,43
57,20,180,6572.1,202.9,38
58,20,180,6585.6,202.6,35
59,20,180,6604.2,202.5,39
60,20,180,6634.0,202.9,47
61,20,180,6643.6,202.5,34
62,20,180,6670.3,202.7,46
63,20,180,6691.7,202.8,43
64,20,180,6706.3,202.6,39
65,20,180,6726.2,202.6,43
66,20,180,6740.7,202.4,40
67,20,180,6767.9,202.8,49
68,20,180,6783.8,202.7,42
69,20,180,6794.4,202.4,39
70,20,180,6817.7,202.6,48
71,20,180,6843.1,202.9,50
72,20,180,6843.8,202.2,34
73,20,180,6858.7,202.1,44
74,20,180,6889.2,202.6,55
75,20,180,6903.9,202.6,45
76,20,180,6916.3,202.4,44
77,20,180,6927.8,202.2,44
78,20,180,6953.5,202.6,54
79,20,180,6958.9,202.2,41
80,20,180,6980.0,202.4,52
81,20,180,6982.3,202.0,40
82,20,180,7009.2,202.4,57
83,20,180,7011.4,201.9,41
84,20,180,7039.6,202.5,59
85,20,180,7054.9,202.5,51
86,20,180,7053.1,201.9,40
87,20,180,7069.9,202.1,53
88,20,180,7096.2,202.6,60
89,20,180,7099.3,202.2,45
90,20,180,7104.6,201.9,47
91,20,180,7128.5,202.3,60
