tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
1,0,0,102.7058875868058,100.81330475927896
2,0,0,103.7090692860248,102.42579621379863
3,0,0,106.41124780354458,103.2366751768638
4,0,0,108.26072414254685,104.44674326096589
5,0,0,111.8083510052101,104.85560127698388
6,0,0,115.3524302410107,105.26405043498585
7,0,0,120.5929653975755,104.87209114382982
8,0,0,122.42826001898372,106.08052381196495
9,0,0,125.96171934577055,106.48774804743195
10,0,0,129.49164521323058,106.09456505866346
11,0,0,132.16804115482316,106.10177525288377
12,0,0,134.84176070047414,106.90897823690983
13,0,0,138.36280652657948,107.31537401795188
14,0,0,141.0303313068587,108.12136340321288
15,0,0,141.14518856235765,109.32654679908863
16,0,0,145.50993096060108,109.3305250115685
17,0,0,148.8382972784875,110.13449924583588
18,0,0,151.313335230056,110.13766950586901
19,0,0,154.0890350723752,110.1408365956421
20,0,0,156.86195921485205,109.74400051832541
21,0,0,158.96412177114524,110.14756127708604
22,0,0,163.4321708269233,109.75071847508792
23,0,0,166.8487218597602,110.15427251589179
24,0,0,170.38298193230762,110.55742300265486
25,0,0,172.2137077447825,112.56017033893116
26,0,0,176.2879052808394,113.36091492787118
27,0,0,179.81272616996577,113.36085877222227
28,0,0,184.3660335761618,113.760802672729
29,1,0,188.73277633699286,114.56034662933523
30,1,0,193.1942325268704,114.55909104198486
31,1,0,197.63159064170162,115.75783671022182
32,1,0,200.8774700243532,116.95538363279056
33,1,0,203.35692421134365,118.15173300843674
34,1,0,208.4100285822738,118.94688603470725
35,1,0,212.44198426741426,119.7412439079515
36,1,0,214.86227491033264,120.93480742332251
37,1,0,218.96974821275177,122.52717737517814
38,2,0,223.521908845059,123.71795495708191
39,2,0,227.6440023874186,124.90754176140379
40,2,0,232.38546575815107,126.49593897892134
41,2,0,236.80458218354187,128.48274779922139
42,3,0,241.86435524549537,130.06756981070112
43,3,0,247.4921246416252,130.85080700016937
44,3,0,252.16381688072155,131.63326095244815
45,5,0,256.9382316129867,132.81493245077468
46,5,0,262.01623689654855,134.39542227760285
47,7,0,268.69775904656194,135.5743316146042
48,7,0,272.19142834215376,137.55206204226857
49,7,0,276.656382285708,138.32781473950524
50,7,0,280.8094414039617,139.5027916840447
51,7,0,285.85249642513173,141.07380359580594
52,7,0,288.82811161279557,143.44039159934525
53,7,0,294.5182285762687,145.0016495435289
54,7,0,297.4103791661239,147.2529601599648
55,8,0,303.6327698639177,148.69889430173174
56,9,0,309.15093116388147,150.94026393805672
57,11,0,314.2302483608665,152.77610443511023
58,11,0,316.78815751079236,155.00679655190842
59,11,0,320.188946762696,157.23180092992007
60,11,0,322.5441836672307,159.05103516674708
61,11,0,325.38455813875737,161.66490530178655
62,12,0,328.48480411156356,163.47235321715524
63,12,0,330.4713752028971,165.67429045004454
64,14,0,334.65655674941974,167.28526810188987
65,15,0,337.1161407451535,169.39623035831485
66,15,0,338.4122821778761,172.36621136719603
67,15,0,339.580470021573,174.92882467691817
68,15,0,341.95607134821336,178.3598214010237
69,16,0,344.0361110930892,181.61947863684998
70,16,0,347.1769360808573,183.16561279478205
71,16,0,350.34885960213467,186.7059190526371
72,16,0,351.91661426208907,188.9360389234915
73,16,0,353.2914659475568,192.8132981934805
74,16,0,354.2269555613737,196.7864327603075
75,17,0,354.9249155835286,199.36595430600804
76,17,0,356.3381507596294,203.5945600006893
