tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
1,10,20,0,448.78920138481277,102.93886139996648
2,10,20,0,453.7296135682407,107.074783938533
3,10,21,0,481.6650853394853,110.80657055456095
4,10,24,0,540.0726216389586,114.13462538397287
5,10,25,0,561.9217504021324,117.85935215855538
6,10,25,0,564.7490300365431,122.78035420636331
7,10,25,0,566.0734823913193,125.69643525212344
8,10,25,0,570.3966102937408,131.8096002168378
9,10,25,0,573.7154150682597,136.31665201658745
10,10,25,0,575.5309010380043,139.61919676453735
11,10,25,0,576.844571521779,142.9184389677393
12,10,25,0,580.1569283350701,146.21438192873802
13,10,25,0,582.4659727915478,149.90702894677577
14,10,25,0,586.272708203569,154.3959833177955
15,10,25,0,589.5756368801782,159.2565181930025
16,10,25,0,592.8752626281108,164.9121925333343
17,10,25,0,593.6715887502955,167.80998761847403
18,10,25,0,596.467118546358,173.08095436708692
19,10,25,0,597.7598528126244,176.98494748296295
20,10,25,0,599.0512943446246,181.3486547131643
21,10,25,0,599.3414444350927,185.15874265021185
22,10,25,0,600.1313043754704,189.67534855454517
23,10,25,1,601.4203744559078,193.6290336730931
24,10,25,1,601.7081554662647,197.5329984539398
25,10,25,1,601.9956486956112,200.88067203077293
26,10,25,1,600.7828544317283,203.99765140628642
27,10,25,1,602.0712729621093,209.51151380242436
28,10,25,2,602.3584030739601,213.57013729362956
29,10,25,3,603.1452460556989,216.7470169668423
30,10,25,3,603.431302194456,221.52922791235483
31,10,25,3,602.2170722770743,223.82545428477218
32,10,25,3,602.0040565896101,226.21311458963086
33,10,25,3,601.2912539178332,229.59722539010988
34,10,25,3,602.0791640487281,232.99639740412593
35,10,25,3,601.3662862694922,235.9309637834347
36,10,25,3,600.1541213680355,237.92741516340277
37,10,25,4,600.9431686314803,241.68098106639394
38,10,25,5,600.7314268476615,244.20549542551896
39,10,25,5,599.5198968056267,247.82788649281295
40,10,25,5,598.8095782936339,251.37015838987918
41,10,25,5,598.099970100153,255.8471844208782
42,10,25,5,597.3910715148656,259.01454750153687
43,10,25,5,595.6828818281635,261.9989986795226
