tick,pop_capital,pop_labor,nouveaux_riches,avg_innov,investments
1,20,180,0,0.554,50
2,20,180,40,0.554,43
3,20,180,53,0.554,13
4,20,180,57,0.554,4
5,20,180,57,0.554,0
6,20,180,58,0.554,1
7,20,180,58,0.554,0
8,20,180,58,0.554,0
9,20,180,57,0.554,1
10,20,180,58,0.554,1
11,20,180,58,0.554,0
12,20,180,58,0.554,0
13,20,180,57,0.554,0
14,20,180,58,0.554,1
15,20,180,58,0.554,0
16,20,180,58,0.554,0
17,20,180,58,0.554,0
18,20,180,58,0.554,0
19,20,180,58,0.554,0
20,20,180,58,0.554,0
21,20,180,58,0.554,0
22,20,180,58,0.554,0
23,20,180,58,0.554,0
24,20,180,58,0.554,0
25,20,180,58,0.554,0
26,20,180,58,0.554,0
27,20,180,58,0.554,0
28,20,180,58,0.554,0
29,20,180,58,0.554,0
30,20,180,58,0.554,0
31,20,180,58,0.554,0
32,20,180,58,0.554,0
33,20,180,58,0.554,0
34,20,180,58,0.554,0
35,20,180,58,0.554,0
36,20,180,58,0.554,0
37,20,180,58,0.554,0
38,20,180,58,0.554,0
39,20,180,58,0.554,0
40,20,180,58,0.554,0
41,20,180,58,0.554,0
42,20,180,58,0.554,0
43,20,180,58,0.554,0
44,20,180,58,0.554,0
45,20,180,58,0.554,0
46,20,180,58,0.554,0
47,20,180,58,0.554,0
48,20,180,58,0.554,0
49,20,180,58,0.554,0
50,20,180,58,0.554,0
51,20,180,58,0.554,0
52,20,180,58,0.554,0
53,20,180,58,0.554,0
54,20,180,58,0.554,0
55,20,180,58,0.554,0
56,20,180,58,0.554,0
57,20,180,58,0.554,0
58,20,180,58,0.554,0
59,20,180,47,0.554,35
60,20,180,52,0.554,12
61,20,180,56,0.554,6
62,20,180,58,0.554,2
63,20,180,58,0.554,0
64,20,180,58,0.554,0
65,20,180,58,0.554,2
66,20,180,58,0.554,0
67,20,180,58,0.554,0
68,20,180,58,0.554,0
69,20,180,58,0.554,1
70,20,180,58,0.554,0
71,20,180,58,0.554,0
72,20,180,58,0.554,0
73,20,180,58,0.554,0
74,20,180,58,0.554,0
75,20,180,58,0.554,0
76,20,180,58,0.554,0
77,20,180,58,0.554,0
78,20,180,58,0.554,0
79,20,180,58,0.554,0
80,20,180,58,0.554,0
81,20,180,58,0.554,0
82,20,180,58,0.554,0
83,20,180,58,0.554,0
84,20,180,58,0.554,0
85,20,180,58,0.554,0
86,20,180,58,0.554,0
87,20,180,58,0.554,0
88,20,180,58,0.554,0
89,20,180,58,0.554,0
90,20,180,58,0.554,0
91,20,180,58,0.554,0
92,20,180,58,0.554,0
93,20,180,58,0.554,0
94,20,180,58,0.554,0
95,20,180,58,0.554,0
96,20,180,58,0.554,0
97,20,180,58,0.554,0
98,20,180,46,0.554,39
99,20,180,55,0.554,13
100,20,180,58,0.554,3
101,20,180,58,0.554,0
102,20,180,57,0.554,1
103,20,180,57,0.554,0
104,20,179,58,0.554,2
105,20,179,58,0.554,0
106,20,179,58,0.554,0
107,20,179,58,0.554,0
108,20,179,58,0.554,0
109,20,179,58,0.554,0
110,20,179,58,0.554,0
111,20,179,58,0.554,0
112,20,179,58,0.554,0
113,20,179,58,0.554,0
114,20,178,58,0.554,0
115,20,178,58,0.554,0
116,20,178,58,0.554,0
117,20,178,58,0.554,0
118,20,178,58,0.554,0
119,20,178,58,0.554,0
120,20,178,58,0.554,0
121,20,176,58,0.555,0
122,20,176,58,0.555,0
123,20,176,58,0.555,0
124,20,179,58,0.562,0
125,20,180,56,0.563,25
126,20,179,50,0.564,22
127,20,180,60,0.565,10
128,20,180,62,0.565,2
129,20,180,63,0.565,3
130,20,180,64,0.565,2
131,20,180,64,0.565,0
132,20,180,64,0.565,0
133,20,179,64,0.565,0
134,20,177,64,0.568,0
135,20,177,64,0.568,0
136,20,177,64,0.568,0
137,20,177,64,0.568,0
138,20,177,64,0.568,0
139,20,177,64,0.568,0
140,20,177,64,0.568,0
141,20,177,64,0.568,0
142,20,177,64,0.568,0
143,20,177,64,0.568,0
144,20,177,64,0.568,0
145,20,177,64,0.568,0
146,20,179,64,0.575,0
147,20,179,63,0.578,3
148,20,180,60,0.578,33
149,20,179,62,0.579,16
150,20,179,65,0.582,4
151,20,178,66,0.585,3
152,20,180,69,0.587,4
153,20,180,70,0.587,1
154,20,180,71,0.587,1
155,20,179,71,0.589,0
156,20,180,71,0.589,0
157,20,180,71,0.589,0
158,20,180,71,0.589,0
159,20,178,71,0.589,0
160,20,180,71,0.590,0
161,20,180,71,0.590,0
162,20,180,71,0.590,0
163,20,180,71,0.590,0
164,20,180,71,0.590,0
165,20,179,71,0.592,0
166,20,180,70,0.592,2
167,20,179,69,0.594,1
168,20,180,64,0.595,36
169,20,180,66,0.595,10
170,20,178,68,0.600,5
171,20,180,70,0.601,3
172,20,179,71,0.601,1
173,20,178,72,0.605,1
174,20,180,72,0.606,0
175,20,180,72,0.606,0
176,20,180,73,0.606,1
