tick,pop_republic,pop_empire,nukes_built,battles
1,50,50,0,50
2,50,100,0,100
3,50,150,0,150
4,50,150,0,150
5,50,150,0,150
6,50,150,0,150
7,50,150,0,150
8,50,150,0,150
9,50,150,0,150
10,50,150,0,150
11,50,150,0,150
12,50,150,0,150
13,50,150,0,150
14,50,150,0,150
15,50,150,0,150
16,50,150,0,150
17,50,150,0,150
18,50,150,0,150
19,50,150,0,150
20,50,150,0,150
21,50,150,0,150
22,50,150,0,150
23,50,150,0,150
24,50,150,0,150
25,50,150,0,150
26,50,150,0,150
27,50,150,0,150
28,50,150,0,150
29,50,150,0,150
30,50,150,0,150
31,50,150,0,150
32,50,150,0,150
33,50,150,0,150
34,50,150,0,150
35,50,150,0,150
36,50,150,0,150
37,50,150,0,150
38,50,150,0,150
39,50,150,0,150
40,50,150,0,150
41,50,150,0,150
42,50,150,0,150
43,50,150,0,150
44,50,150,0,150
45,50,150,0,150
46,50,150,0,150
47,50,150,0,150
48,50,150,0,150
49,50,150,0,150
50,50,150,0,150
51,50,150,0,150
52,50,150,0,150
53,50,150,0,150
54,50,150,0,150
55,50,150,0,150
56,50,150,0,150
57,50,150,0,150
58,50,150,0,150
59,50,150,0,150
60,50,150,0,150
61,50,150,0,150
62,50,150,0,150
63,50,150,0,150
64,50,150,0,150
65,50,150,0,150
66,50,150,0,150
67,50,150,0,150
68,50,150,0,150
69,50,150,0,150
70,50,150,0,150
71,50,150,0,150
72,50,150,0,150
73,50,150,0,150
74,50,150,0,150
75,50,150,0,150
76,50,150,0,150
77,50,150,0,150
78,50,150,0,150
79,50,150,0,150
80,50,150,0,150
81,50,150,0,150
82,50,150,0,150
83,50,150,0,150
84,50,150,0,150
85,50,150,0,150
86,50,150,0,150
87,50,150,0,150
88,50,150,0,150
89,50,150,0,150
90,50,150,0,150
91,50,150,0,150
92,50,150,0,150
93,50,150,0,150
94,50,150,0,150
95,50,150,0,150
96,50,150,0,150
97,50,150,0,150
98,50,150,0,150
99,50,150,0,150
100,50,150,0,150
101,50,150,0,150
102,50,150,0,150
103,50,150,0,150
104,50,150,0,150
105,50,150,0,150
106,50,150,0,150
107,50,150,0,150
108,50,150,0,150
109,50,150,0,150
110,50,150,0,150
111,50,150,0,150
112,50,150,0,150
113,50,150,0,150
114,50,150,0,150
115,50,150,0,150
116,50,150,0,150
117,50,150,0,150
118,50,150,0,150
119,50,150,0,150
120,50,150,0,150
121,50,150,0,150
122,50,150,0,150
123,50,150,0,150
124,50,150,0,150
125,50,150,0,150
126,50,150,0,150
127,50,150,0,150
128,50,150,0,150
129,50,150,0,150
130,50,150,0,150
131,50,150,0,150
132,50,150,0,150
133,50,150,0,150
134,50,150,0,150
135,50,150,0,150
136,50,150,0,150
137,50,150,0,150
138,50,150,0,150
139,50,150,0,150
140,50,150,0,150
141,50,150,0,150
142,50,150,0,150
143,50,150,0,150
144,50,150,0,150
145,50,150,0,150
146,50,150,0,150
147,50,150,0,150
148,50,150,0,150
149,50,150,0,150
150,50,150,0,150
151,50,150,0,150
152,50,150,0,150
153,50,150,0,150
154,50,150,0,150
155,50,150,0,150
156,50,150,0,150
157,50,150,0,150
158,50,150,0,150
159,50,150,0,150
160,50,150,0,150
161,50,150,0,150
162,50,150,0,150
163,50,150,0,150
164,49,150,0,150
165,50,150,0,150
166,50,150,0,150
167,50,150,0,150
168,50,150,0,150
169,50,150,0,150
170,50,150,0,150
171,50,150,0,150
172,50,150,0,150
173,50,150,0,150
174,50,150,0,150
175,50,150,0,150
176,49,150,0,150
177,50,150,0,150
178,50,150,0,150
179,50,150,0,150
180,50,150,0,150
181,50,150,0,150
182,50,150,0,150
183,50,150,0,150
184,50,150,0,150
185,50,150,0,150
186,50,150,0,150
187,50,150,0,150
188,50,150,0,150
189,50,150,0,150
190,50,150,0,150
191,50,150,0,150
192,50,150,0,150
193,50,150,0,150
194,50,150,0,150
195,50,150,0,150
196,50,150,0,150
197,50,150,0,150
198,50,150,0,150
199,50,150,0,150
200,50,150,0,150
201,50,150,0,150
202,50,150,0,150
203,50,150,0,150
204,50,150,0,150
205,50,150,0,150
206,50,150,0,150
207,50,150,0,150
208,50,150,0,150
209,50,150,0,150
210,50,150,0,150
211,50,150,0,150
212,50,150,0,150
213,50,150,0,150
214,50,150,0,150
215,50,150,0,150
216,50,150,0,150
217,50,150,0,150
218,50,150,0,150
219,50,150,0,150
220,50,150,0,150
221,50,150,0,150
222,50,150,0,150
223,50,150,0,150
224,50,150,0,150
225,50,150,0,150
226,50,150,0,150
227,50,150,0,150
228,50,150,0,150
229,50,150,0,150
230,50,150,0,136
231,50,150,0,14
232,50,150,0,136
233,50,150,0,14
234,50,150,0,136
235,50,150,0,16
236,50,150,0,134
237,50,150,0,16
238,50,150,0,134
239,50,150,0,16
240,50,150,0,134
241,50,150,0,17
242,50,150,0,133
243,50,150,0,17
244,50,150,0,133
245,50,150,0,17
246,50,150,0,135
247,50,150,0,15
248,50,150,0,135
249,50,150,0,15
250,50,150,0,135
251,50,150,0,15
252,50,150,0,135
253,50,150,0,15
254,50,150,0,135
255,50,150,0,14
256,50,150,0,136
257,50,150,0,14
258,50,150,0,136
259,50,150,0,14
260,50,150,0,136
