tick,pop_ancient,pop_primitive,avg_nrg_ancient,avg_nrg_prim
1,10,10,547.3,142.0
2,10,10,535.6,138.1
3,10,10,524.2,134.3
4,10,10,513.1,130.6
5,10,10,502.1,127.0
6,20,11,485.3,152.9
7,40,13,477.1,194.7
8,80,16,473.2,266.2
9,160,21,471.2,326.1
10,178,22,493.0,365.2
11,178,22,502.4,356.9
12,178,22,494.2,348.9
13,178,22,488.7,381.8
14,178,22,523.4,414.2
15,178,22,522.1,405.0
16,178,22,513.2,395.9
17,178,22,587.6,387.1
18,178,22,600.5,378.4
19,178,22,590.3,369.9
20,178,22,705.2,400.2
21,178,22,742.8,432.2
22,178,22,752.2,443.0
23,178,22,738.9,433.3
24,178,22,725.8,423.7
25,178,22,713.3,414.3
26,178,22,698.4,405.0
27,178,22,683.9,396.0
28,178,22,669.7,387.1
29,178,22,655.6,378.5
30,178,22,642.1,370.0
31,178,22,628.5,361.6
32,178,22,615.5,353.5
33,178,22,602.5,345.4
34,178,22,589.8,337.6
35,178,22,577.5,329.9
36,178,22,565.3,322.4
37,178,22,553.4,315.0
38,178,22,541.8,307.7
39,178,22,530.4,300.6
40,178,22,519.2,293.7
41,178,22,508.1,307.3
42,178,22,497.5,320.7
43,178,22,489.4,354.2
44,178,21,488.9,362.7
45,179,20,495.7,372.4
46,180,20,507.8,364.0
47,180,20,502.1,355.8
48,180,19,491.3,413.5
49,181,19,510.5,451.7
50,181,19,521.8,441.8
51,181,18,528.2,456.1
52,182,18,558.3,471.1
53,182,18,600.7,460.8
54,182,17,602.5,477.3
55,183,17,680.2,493.3
56,183,16,731.6,540.9
57,184,16,741.3,557.3
58,184,16,740.5,545.2
59,184,16,727.4,561.4
60,184,16,714.5,549.1
61,184,16,699.2,537.0
62,184,14,684.2,600.0
63,186,14,669.5,586.5
64,186,14,657.2,573.3
65,186,14,645.1,560.1
66,186,13,630.7,589.3
67,186,14,616.5,566.5
68,186,14,602.4,553.2
69,186,14,588.4,540.1
70,186,14,574.7,559.4
71,186,14,561.2,545.9
72,186,14,547.9,532.7
73,186,14,534.8,519.6
74,186,14,529.2,506.8
75,186,14,518.9,494.1
76,186,14,508.7,545.9
77,186,14,508.2,532.2
78,186,14,507.7,547.2
79,186,14,511.8,565.3
80,186,14,503.7,550.8
81,186,14,492.8,633.0
82,186,14,515.7,648.8
83,186,14,531.2,632.0
84,186,14,558.2,647.6
85,186,14,591.9,630.6
86,186,14,612.6,613.8
87,186,14,681.1,626.0
88,186,14,724.9,673.4
89,186,14,724.7,687.4
90,186,14,711.9,668.7
91,186,14,700.0,650.4
92,186,14,680.6,632.4
93,186,14,664.4,614.8
94,186,14,645.9,597.6
95,186,14,630.3,580.7
96,186,14,612.6,564.1
97,186,14,595.3,580.1
98,186,14,580.6,563.3
99,186,14,564.0,546.8
100,186,14,555.0,530.7
101,186,14,541.4,515.0
102,186,14,525.6,499.6
103,186,14,529.3,481.0
104,186,14,515.9,530.6
105,186,14,512.5,546.6
106,186,14,509.1,529.9
107,186,14,501.0,609.9
108,186,14,524.0,623.2
109,186,14,534.6,603.9
110,186,14,546.0,617.1
111,186,14,576.9,626.3
112,186,14,631.2,635.3
113,186,14,699.9,644.0
114,186,14,721.4,688.1
115,186,14,715.5,666.3
116,186,14,699.9,645.1
117,186,14,677.6,624.5
118,186,14,655.5,604.3
119,186,14,634.2,616.8
120,186,14,613.3,596.6
121,186,14,593.1,576.9
122,186,14,573.5,557.7
123,186,14,554.2,539.0
124,186,14,545.3,552.9
125,186,14,541.2,534.2
126,186,14,530.1,512.3
127,186,14,519.1,526.8
128,186,14,510.7,540.7
129,186,14,507.2,554.0
130,186,14,521.0,627.4
131,186,14,526.3,605.3
132,186,14,541.0,612.5
133,186,14,576.5,622.8
134,186,14,620.8,600.5
135,186,14,702.5,643.2
136,186,14,718.0,652.0
137,186,14,706.8,628.3
138,186,14,688.5,605.3
139,186,14,663.4,615.2
140,186,14,639.0,592.4
141,186,14,617.8,570.2
142,186,14,594.9,548.8
143,186,14,577.6,528.0
144,186,14,558.4,540.0
145,186,14,547.0,584.0
146,186,14,533.3,561.9
147,186,14,522.6,540.5
148,186,14,519.2,551.9
149,186,14,508.9,562.8
150,186,14,515.8,637.4
151,186,14,522.1,676.9
152,186,14,539.4,650.4
153,186,14,568.6,624.8
154,186,14,625.7,632.3
155,186,14,673.0,639.3
156,186,14,696.3,613.7
157,186,14,694.9,653.3
158,186,14,671.9,626.9
159,186,14,647.2,601.4
160,186,14,620.9,576.8
161,186,14,600.5,553.0
162,186,14,578.2,530.1
163,186,14,564.1,504.4
164,186,14,547.8,547.5
165,186,14,534.7,524.4
166,186,14,521.9,534.3
167,186,14,514.5,508.0
168,186,14,514.1,582.6
169,186,14,528.2,654.0
170,186,14,539.0,626.3
171,186,14,575.5,631.7
172,186,14,611.2,604.6
173,186,14,674.3,607.0
174,186,14,697.8,677.1
175,186,14,686.6,647.6
176,186,14,656.6,619.2
177,186,14,637.5,591.9
178,186,14,609.4,565.6
179,186,14,591.7,540.4
180,186,14,577.5,548.3
181,186,14,556.4,520.0
182,186,14,536.2,528.5
183,186,14,521.7,533.0
184,186,14,514.9,505.0
185,186,14,508.2,542.4
186,186,14,520.5,613.7
187,186,14,544.3,617.4
188,186,14,574.2,588.7
189,186,14,641.3,589.7
190,186,14,685.7,626.3
191,186,14,687.0,628.8
192,186,14,666.7,631.5
193,186,14,642.6,601.8
194,186,14,619.5,573.3
195,186,14,602.2,578.2
196,186,14,580.8,550.5
197,186,14,557.8,556.2
198,186,14,535.8,561.4
199,186,14,519.3,566.3
200,186,14,520.6,567.2
201,186,14,523.7,600.2
202,186,14,541.4,599.2
203,186,14,546.0,569.6
204,186,14,603.7,605.6
205,186,14,687.1,607.5
206,186,14,691.5,609.2
207,186,14,678.7,575.0
208,186,14,649.6,578.0
209,186,14,626.3,548.7
210,186,14,606.5,552.8
211,186,14,582.9,517.3
212,186,14,555.6,586.9
213,186,14,536.6,556.9
214,186,14,518.3,560.4
215,186,14,510.6,627.9
216,186,14,512.8,627.6
217,186,14,536.4,627.1
218,186,14,568.6,626.4
219,186,14,624.7,625.7
220,186,14,673.6,621.3
221,186,14,676.9,584.8
222,186,14,663.0,585.8
223,186,14,637.6,554.5
224,186,14,615.7,556.8
225,186,14,592.1,523.2
226,186,14,565.2,559.1
227,186,14,542.0,528.6
228,186,14,526.9,560.4
229,186,14,514.7,594.3
230,186,14,514.9,590.5
231,186,14,537.5,558.2
232,186,14,567.8,620.4
233,186,14,630.5,618.3
234,186,14,673.1,648.3
235,186,14,679.2,612.3
236,186,14,653.3,578.1
237,186,14,626.0,577.8
238,186,14,605.4,541.6
239,186,14,575.6,539.5
240,186,14,550.0,508.8
241,186,14,530.9,544.0
242,186,14,524.8,537.7
243,186,14,518.5,603.2
244,186,14,532.3,568.4
245,186,14,559.4,596.1
246,186,14,603.9,658.3
247,186,14,664.9,620.2
248,186,14,674.8,616.4
249,186,14,654.9,580.4
250,186,14,640.9,578.6
251,186,14,610.5,576.7
252,186,14,579.4,574.8
253,186,14,549.6,540.7
254,186,14,534.0,540.6
255,186,14,521.6,568.9
256,186,14,526.5,599.1
257,186,14,523.8,595.2
258,186,14,564.3,623.5
259,186,14,631.1,617.8
260,186,14,670.0,612.3
261,186,14,670.6,607.4
262,186,14,658.9,602.7
263,186,14,623.5,598.0
264,186,14,592.4,593.5
265,186,14,560.6,557.0
266,186,14,545.1,554.7
267,186,14,528.1,584.6
268,186,14,529.2,580.3
269,186,14,530.2,608.3
270,186,14,566.8,570.2
271,186,14,617.4,598.6
272,186,14,652.3,592.9
273,186,14,659.4,587.4
274,186,14,641.4,550.0
275,186,14,619.9,611.3
276,186,14,590.1,604.6
277,186,14,554.9,566.0
278,186,14,535.8,594.1
279,186,14,520.3,588.0
280,186,14,510.9,582.2
281,186,14,518.6,608.8
282,186,14,554.4,601.4
283,186,14,633.0,594.3
284,186,14,644.5,619.7
285,186,14,657.7,579.0
286,186,14,641.3,572.9
287,186,14,611.2,599.3
288,186,14,578.1,559.4
289,186,14,551.9,586.4
290,186,14,537.1,579.6
291,186,14,518.2,569.6
292,186,14,524.5,628.0
293,186,14,551.3,618.1
294,186,14,612.6,605.1
295,186,14,645.7,628.5
296,186,14,649.8,586.0
297,186,14,639.6,542.5
298,186,14,617.3,601.8
299,186,14,582.0,560.6
300,186,14,561.6,554.1
301,186,14,535.2,515.9
302,186,14,512.5,505.1
303,186,14,522.8,630.6
304,186,14,548.7,615.7
305,186,14,597.0,569.4
306,186,14,639.4,594.0
307,186,14,652.7,581.1
308,186,14,640.2,572.5
309,186,14,604.9,564.3
310,186,14,569.6,524.5
311,186,14,555.9,515.8
312,186,14,530.6,475.5
313,186,14,523.7,598.6
314,186,14,543.4,652.2
315,186,14,557.1,637.6
316,186,14,632.9,624.2
317,186,14,652.4,643.7
318,186,14,651.0,597.5
319,186,14,627.8,586.5
320,186,14,591.9,544.0
321,186,14,562.8,568.6
322,186,14,541.0,559.3
323,186,14,537.6,614.7
324,186,14,546.2,633.9
325,186,14,549.2,619.4
326,186,14,624.7,605.7
327,186,14,648.1,625.1
328,186,14,657.8,611.1
329,186,14,630.7,565.9
330,186,14,598.2,523.8
331,186,14,575.0,581.1
332,186,14,546.1,569.7
333,186,14,526.2,655.5
334,186,14,534.6,670.5
335,186,14,542.2,619.8
336,186,14,595.1,605.0
337,186,14,634.0,591.1
338,186,14,643.5,578.1
339,186,14,627.7,530.2
340,186,14,596.6,489.4
341,186,14,564.5,580.1
342,186,14,537.7,567.8
343,186,14,527.6,549.0
344,186,14,527.3,603.0
345,186,14,546.2,588.5
346,186,14,598.9,607.0
347,186,14,621.2,623.9
348,186,14,642.0,575.1
349,186,14,615.7,530.0
350,186,14,586.1,584.6
351,185,14,567.2,603.1
352,186,14,538.8,652.1
353,185,14,537.3,632.9
354,186,14,550.1,647.1
355,186,14,585.9,627.9
356,186,14,611.2,642.2
357,186,14,649.2,590.9
358,186,14,623.3,543.5
359,186,14,607.1,564.0
360,186,14,580.0,550.6
361,186,14,555.2,570.3
362,186,14,554.1,620.4
363,186,14,565.0,634.7
364,186,14,596.8,611.8
365,186,14,623.3,590.6
366,186,14,636.9,606.7
367,186,14,633.4,557.1
368,186,14,617.9,543.4
369,186,14,589.1,530.8
370,186,14,553.0,583.3
371,186,14,555.3,563.6
372,186,14,557.8,573.9
373,186,14,581.8,618.9
374,186,14,605.5,631.9
375,186,14,622.1,575.8
376,186,14,622.9,559.9
377,186,14,599.6,577.2
378,186,14,585.6,528.7
379,186,14,546.0,580.5
380,186,14,546.2,595.7
381,186,14,555.4,538.0
382,186,14,570.2,588.6
383,186,14,589.2,667.0
384,186,14,628.3,610.4
385,186,14,624.9,558.4
386,186,14,608.1,542.8
387,186,14,578.0,592.7
388,186,14,552.7,606.0
389,186,14,548.4,585.9
390,186,14,556.4,595.9
391,186,14,570.5,608.5
392,186,14,595.8,555.6
393,186,14,616.2,535.6
394,186,14,615.5,552.9
395,186,14,597.4,569.0
396,186,14,576.8,547.8
397,186,14,552.8,560.4
398,186,14,567.2,603.9
399,186,14,582.1,614.9
400,186,14,588.8,624.8
401,186,14,616.6,565.8
402,186,14,629.6,579.7
403,186,14,607.2,592.6
