tick,pop_nomad,pop_settler,avg_dist_moved_nomad,avg_dist_moved_settler
1,100,100,0.0,0.0
2,100,100,0.0,0.0
3,100,100,0.0,0.0
4,100,100,0.0,0.0
5,100,100,0.0,0.0
6,100,100,0.0,0.0
7,100,100,0.0,0.0
8,100,100,0.0,0.0
9,100,100,0.0,0.0
10,100,100,0.0,0.0
11,100,100,0.0,0.0
12,100,100,0.0,0.0
13,100,100,0.0,0.0
14,100,100,0.0,0.0
15,100,100,0.0,0.0
16,100,100,0.0,0.0
17,100,100,0.0,0.0
18,100,100,0.0,0.0
19,100,100,0.0,0.0
20,100,100,0.0,0.0
21,100,100,0.0,0.0
22,100,100,0.0,0.0
23,100,100,0.0,0.0
24,100,100,0.0,0.0
25,100,100,0.0,0.0
26,100,100,0.0,0.0
27,100,100,0.0,0.0
28,100,100,0.0,0.0
29,100,100,0.0,0.0
30,100,100,0.0,0.0
31,100,100,0.0,0.0
32,100,100,0.0,0.0
33,100,100,0.0,0.0
34,100,100,0.0,0.0
35,100,100,0.0,0.0
36,100,100,0.0,0.0
37,100,100,0.0,0.0
38,100,100,0.0,0.0
39,100,100,0.0,0.0
40,100,100,0.0,0.0
41,100,100,0.0,0.0
42,100,100,0.0,0.0
43,100,100,0.0,0.0
44,100,100,0.0,0.0
45,100,100,0.0,0.0
46,100,100,0.0,0.0
47,100,100,0.0,0.0
48,100,100,0.0,0.0
49,100,100,0.0,0.0
50,100,100,0.0,0.0
51,100,100,0.0,0.0
52,100,100,0.0,0.0
53,100,100,0.0,0.0
54,100,100,0.0,0.0
55,100,100,0.0,0.0
56,100,100,0.0,0.0
57,100,100,0.0,0.0
58,100,100,0.0,0.0
59,100,100,0.0,0.0
60,100,100,0.0,0.0
61,100,100,0.0,0.0
62,100,100,0.0,0.0
63,100,100,0.0,0.0
64,100,100,0.0,0.0
65,100,100,0.0,0.0
66,100,100,0.0,0.0
67,100,100,0.0,0.0
68,100,100,0.0,0.0
69,100,100,0.0,0.0
70,100,100,0.0,0.0
71,100,100,0.0,0.0
72,100,100,0.0,0.0
73,100,100,0.0,0.0
74,100,100,0.0,0.0
75,100,100,0.0,0.0
76,100,100,0.0,0.0
77,100,100,0.0,0.0
78,100,100,0.0,0.0
79,100,100,0.0,0.0
80,100,100,0.0,0.0
81,100,100,0.0,0.0
82,100,100,0.0,0.0
83,100,100,0.0,0.0
84,100,100,0.0,0.0
85,100,100,0.0,0.0
86,100,100,0.0,0.0
87,100,100,0.0,0.0
88,100,100,0.0,0.0
89,100,100,0.0,0.0
90,100,100,0.0,0.0
91,100,100,0.0,0.0
92,100,100,0.0,0.0
93,100,100,0.0,0.0
94,100,100,0.0,0.0
95,100,100,0.0,0.0
96,100,100,0.0,0.0
97,100,100,0.0,0.0
98,100,100,0.0,0.0
99,100,100,0.0,0.0
100,100,100,0.0,0.0
101,100,100,0.0,0.0
102,100,100,0.0,0.0
103,100,100,0.0,0.0
104,100,100,0.0,0.0
105,100,100,0.0,0.0
106,100,100,0.0,0.0
107,100,100,0.0,0.0
108,100,100,0.0,0.0
109,100,100,0.0,0.0
110,100,100,0.0,0.0
111,100,100,0.0,0.0
112,100,100,0.0,0.0
113,100,100,0.0,0.0
114,100,100,0.0,0.0
115,100,100,0.0,0.0
116,100,100,0.0,0.0
117,100,100,0.0,0.0
118,100,100,0.0,0.0
119,100,100,0.0,0.0
120,100,100,0.0,0.0
121,100,100,0.0,0.0
122,100,100,0.0,0.0
123,100,100,0.0,0.0
124,100,100,0.0,0.0
125,100,100,0.0,0.0
126,100,100,0.0,0.0
127,100,100,0.0,0.0
128,100,100,0.0,0.0
129,100,100,0.0,0.0
130,100,100,0.0,0.0
131,100,100,0.0,0.0
132,100,100,0.0,0.0
133,100,100,0.0,0.0
134,100,100,0.0,0.0
135,100,100,0.0,0.0
136,100,100,0.0,0.0
137,100,100,0.0,0.0
138,100,100,0.0,0.0
139,100,100,0.0,0.0
140,100,100,0.0,0.0
141,100,100,0.0,0.0
142,100,100,0.0,0.0
143,100,100,0.0,0.0
144,100,100,0.0,0.0
145,100,100,0.0,0.0
146,100,100,0.0,0.0
147,100,100,0.0,0.0
148,100,100,0.0,0.0
149,100,100,0.0,0.0
150,100,100,0.0,0.0
151,100,100,0.0,0.0
152,100,100,0.0,0.0
153,100,100,0.0,0.0
154,100,100,0.0,0.0
155,100,100,0.0,0.0
156,100,100,0.0,0.0
157,100,100,0.0,0.0
158,100,100,0.0,0.0
159,100,100,0.0,0.0
160,100,100,0.0,0.0
161,100,100,0.0,0.0
162,100,100,0.0,0.0
163,100,100,0.0,0.0
164,100,100,0.0,0.0
165,100,100,0.0,0.0
166,100,100,0.0,0.0
167,100,100,0.0,0.0
168,100,100,0.0,0.0
169,100,100,0.0,0.0
170,100,100,0.0,0.0
171,100,100,0.0,0.0
172,100,100,0.0,0.0
173,100,100,0.0,0.0
174,100,100,0.0,0.0
175,100,100,0.0,0.0
176,100,100,0.0,0.0
177,100,100,0.0,0.0
178,100,100,0.0,0.0
179,100,98,0.0,0.0
180,98,98,0.0,0.0
181,96,97,0.0,0.0
182,96,95,0.0,0.0
183,95,93,0.0,0.0
184,93,89,0.0,0.0
185,89,86,0.0,0.0
186,87,85,0.0,0.0
187,82,84,0.0,0.0
188,78,84,0.0,0.0
189,74,80,0.0,0.0
190,72,76,0.0,0.0
191,67,70,0.0,0.0
192,65,67,0.0,0.0
193,63,64,0.0,0.0
194,60,59,0.0,0.0
195,55,50,0.0,0.0
196,49,48,0.0,0.0
197,43,44,0.0,0.0
198,41,38,0.0,0.0
199,33,35,0.0,0.0
200,29,31,0.0,0.0
201,25,28,0.0,0.0
202,22,26,0.0,0.0
203,20,22,0.0,0.0
204,16,19,0.0,0.0
205,14,16,0.0,0.0
206,13,15,0.0,0.0
207,10,14,0.0,0.0
208,8,12,0.0,0.0
209,8,10,0.0,0.0
210,7,8,0.0,0.0
211,5,7,0.0,0.0
212,3,6,0.0,0.0
213,1,3,0.0,0.0
214,1,0,0.0,0.0
215,1,0,0.0,0.0
216,1,0,0.0,0.0
217,0,0,0.0,0.0
