tick,pop_borg,pop_loner,phase
1,50,50,ABUNDANCE
2,50,50,ABUNDANCE
3,50,50,ABUNDANCE
4,50,50,ABUNDANCE
5,50,50,ABUNDANCE
6,50,50,ABUNDANCE
7,50,50,ABUNDANCE
8,50,50,ABUNDANCE
9,50,50,ABUNDANCE
10,50,50,ABUNDANCE
11,50,50,ABUNDANCE
12,50,50,ABUNDANCE
13,50,50,ABUNDANCE
14,50,50,ABUNDANCE
15,50,50,ABUNDANCE
16,50,50,ABUNDANCE
17,50,50,ABUNDANCE
18,50,50,ABUNDANCE
19,50,50,ABUNDANCE
20,50,50,ABUNDANCE
21,50,50,ABUNDANCE
22,50,50,ABUNDANCE
23,50,50,ABUNDANCE
24,50,50,ABUNDANCE
25,50,50,ABUNDANCE
26,50,50,ABUNDANCE
27,50,50,ABUNDANCE
28,50,50,ABUNDANCE
29,50,50,ABUNDANCE
30,50,50,ABUNDANCE
31,50,50,ABUNDANCE
32,50,50,ABUNDANCE
33,50,50,ABUNDANCE
34,50,50,ABUNDANCE
35,50,50,ABUNDANCE
36,50,50,ABUNDANCE
37,50,50,ABUNDANCE
38,50,50,ABUNDANCE
39,50,50,ABUNDANCE
40,50,50,ABUNDANCE
41,50,50,ABUNDANCE
42,50,50,ABUNDANCE
43,50,50,ABUNDANCE
44,50,50,ABUNDANCE
45,50,50,ABUNDANCE
46,50,50,ABUNDANCE
47,50,50,ABUNDANCE
48,50,50,ABUNDANCE
49,50,50,ABUNDANCE
50,50,50,ABUNDANCE
51,50,50,ABUNDANCE
52,50,50,ABUNDANCE
53,50,50,ABUNDANCE
54,50,50,ABUNDANCE
55,50,50,ABUNDANCE
56,50,50,ABUNDANCE
57,50,50,ABUNDANCE
58,50,50,ABUNDANCE
59,50,50,ABUNDANCE
60,50,50,ABUNDANCE
61,50,50,ABUNDANCE
62,50,50,ABUNDANCE
63,50,50,ABUNDANCE
64,50,50,ABUNDANCE
65,50,50,ABUNDANCE
66,50,50,ABUNDANCE
67,50,50,ABUNDANCE
68,50,50,ABUNDANCE
69,50,50,ABUNDANCE
70,50,50,ABUNDANCE
71,50,50,ABUNDANCE
72,50,50,ABUNDANCE
73,50,50,ABUNDANCE
74,50,50,ABUNDANCE
75,50,50,ABUNDANCE
76,50,50,ABUNDANCE
77,50,50,ABUNDANCE
78,50,50,ABUNDANCE
79,50,50,ABUNDANCE
80,50,50,ABUNDANCE
81,50,50,ABUNDANCE
82,50,50,ABUNDANCE
83,50,50,ABUNDANCE
84,50,50,ABUNDANCE
85,50,50,ABUNDANCE
86,50,50,ABUNDANCE
87,50,50,ABUNDANCE
88,50,50,ABUNDANCE
89,50,50,ABUNDANCE
90,50,50,ABUNDANCE
91,50,50,ABUNDANCE
92,50,50,ABUNDANCE
93,50,50,ABUNDANCE
94,50,50,ABUNDANCE
95,50,50,ABUNDANCE
96,50,50,ABUNDANCE
97,50,50,ABUNDANCE
98,50,50,ABUNDANCE
99,50,50,ABUNDANCE
100,50,50,ABUNDANCE
101,50,50,ABUNDANCE
102,50,50,ABUNDANCE
103,50,50,ABUNDANCE
104,50,50,ABUNDANCE
105,50,50,ABUNDANCE
106,50,50,ABUNDANCE
107,50,50,ABUNDANCE
108,50,50,ABUNDANCE
109,50,50,ABUNDANCE
110,50,50,ABUNDANCE
111,50,50,ABUNDANCE
112,50,50,ABUNDANCE
113,50,50,ABUNDANCE
114,50,50,ABUNDANCE
115,50,50,ABUNDANCE
116,50,50,ABUNDANCE
117,50,50,ABUNDANCE
118,50,50,ABUNDANCE
119,50,50,ABUNDANCE
120,50,50,ABUNDANCE
121,50,50,ABUNDANCE
122,50,50,ABUNDANCE
123,50,50,ABUNDANCE
124,50,50,ABUNDANCE
125,50,50,ABUNDANCE
126,50,50,ABUNDANCE
127,50,50,ABUNDANCE
128,50,50,ABUNDANCE
129,50,50,ABUNDANCE
130,50,50,ABUNDANCE
131,50,50,ABUNDANCE
132,50,50,ABUNDANCE
133,50,50,ABUNDANCE
134,50,50,ABUNDANCE
135,50,50,ABUNDANCE
136,50,50,ABUNDANCE
137,50,50,ABUNDANCE
138,50,50,ABUNDANCE
139,50,50,ABUNDANCE
140,50,50,ABUNDANCE
141,50,50,ABUNDANCE
142,50,50,ABUNDANCE
143,50,50,ABUNDANCE
144,50,50,ABUNDANCE
145,50,50,ABUNDANCE
146,50,50,ABUNDANCE
147,50,50,ABUNDANCE
148,50,50,ABUNDANCE
149,50,50,ABUNDANCE
150,50,50,ABUNDANCE
151,50,50,ABUNDANCE
152,50,50,ABUNDANCE
153,50,50,ABUNDANCE
154,50,50,ABUNDANCE
155,50,50,ABUNDANCE
156,50,50,ABUNDANCE
157,50,50,ABUNDANCE
158,50,50,ABUNDANCE
159,50,50,ABUNDANCE
160,50,50,ABUNDANCE
161,50,50,ABUNDANCE
162,50,50,ABUNDANCE
163,50,50,ABUNDANCE
164,50,50,ABUNDANCE
165,50,50,ABUNDANCE
166,50,50,ABUNDANCE
167,50,50,ABUNDANCE
168,50,50,ABUNDANCE
169,50,50,ABUNDANCE
170,50,50,ABUNDANCE
171,50,50,ABUNDANCE
172,50,50,ABUNDANCE
173,50,50,ABUNDANCE
174,50,50,ABUNDANCE
175,50,50,ABUNDANCE
176,50,50,ABUNDANCE
177,50,50,ABUNDANCE
178,50,50,ABUNDANCE
179,50,50,ABUNDANCE
180,50,50,ABUNDANCE
181,50,50,ABUNDANCE
182,50,50,ABUNDANCE
183,50,50,ABUNDANCE
184,50,50,ABUNDANCE
185,50,50,ABUNDANCE
186,50,50,ABUNDANCE
187,50,50,ABUNDANCE
188,50,50,ABUNDANCE
189,50,50,ABUNDANCE
190,50,50,ABUNDANCE
191,50,50,ABUNDANCE
192,50,50,ABUNDANCE
193,50,50,ABUNDANCE
194,50,50,ABUNDANCE
195,50,50,ABUNDANCE
196,50,50,ABUNDANCE
197,50,50,ABUNDANCE
198,50,50,ABUNDANCE
199,50,50,ABUNDANCE
200,50,50,ABUNDANCE
201,50,50,ABUNDANCE
202,50,50,ABUNDANCE
203,50,50,ABUNDANCE
204,50,50,ABUNDANCE
205,50,50,ABUNDANCE
206,50,50,ABUNDANCE
207,50,50,ABUNDANCE
208,50,50,ABUNDANCE
209,50,50,ABUNDANCE
210,50,50,ABUNDANCE
211,50,50,ABUNDANCE
212,50,50,ABUNDANCE
213,50,50,ABUNDANCE
214,50,50,ABUNDANCE
215,50,50,ABUNDANCE
216,50,50,ABUNDANCE
217,50,50,ABUNDANCE
218,50,50,ABUNDANCE
219,50,50,ABUNDANCE
220,50,50,ABUNDANCE
221,50,50,ABUNDANCE
222,50,50,ABUNDANCE
223,50,50,ABUNDANCE
224,50,50,ABUNDANCE
225,50,50,ABUNDANCE
226,50,50,ABUNDANCE
227,50,50,ABUNDANCE
228,50,50,ABUNDANCE
229,50,50,ABUNDANCE
230,50,50,ABUNDANCE
231,50,50,ABUNDANCE
232,50,50,ABUNDANCE
233,50,50,ABUNDANCE
234,50,50,ABUNDANCE
235,50,50,ABUNDANCE
236,50,50,ABUNDANCE
237,50,50,ABUNDANCE
238,50,50,ABUNDANCE
239,50,50,ABUNDANCE
240,50,50,ABUNDANCE
241,50,50,ABUNDANCE
242,50,50,ABUNDANCE
243,50,50,ABUNDANCE
244,50,50,ABUNDANCE
245,50,50,ABUNDANCE
246,50,50,ABUNDANCE
247,50,50,ABUNDANCE
248,50,50,ABUNDANCE
249,50,50,ABUNDANCE
250,50,50,ABUNDANCE
251,50,50,ABUNDANCE
252,50,50,ABUNDANCE
253,50,50,ABUNDANCE
254,50,50,ABUNDANCE
255,50,50,ABUNDANCE
256,50,50,ABUNDANCE
257,50,50,ABUNDANCE
258,50,50,ABUNDANCE
259,50,50,ABUNDANCE
260,50,50,ABUNDANCE
261,50,50,ABUNDANCE
262,50,50,ABUNDANCE
263,50,50,ABUNDANCE
264,50,50,ABUNDANCE
265,50,50,ABUNDANCE
266,50,50,ABUNDANCE
267,50,50,ABUNDANCE
268,50,50,ABUNDANCE
269,50,50,ABUNDANCE
270,50,50,ABUNDANCE
271,50,50,ABUNDANCE
272,50,50,ABUNDANCE
273,50,50,ABUNDANCE
274,50,50,ABUNDANCE
275,50,50,ABUNDANCE
276,50,50,ABUNDANCE
277,50,50,ABUNDANCE
278,50,50,ABUNDANCE
279,50,50,ABUNDANCE
280,50,50,ABUNDANCE
281,50,50,ABUNDANCE
282,50,50,ABUNDANCE
283,50,50,ABUNDANCE
