tick,pop_prey,pop_pred,walls_built
1,20,0,0
2,20,0,0
3,21,0,0
4,21,0,0
5,21,0,0
6,21,0,0
7,21,0,0
8,21,0,0
9,24,0,0
10,24,0,0
11,25,0,0
12,27,0,0
13,29,0,0
14,33,0,0
15,40,0,0
16,46,0,0
17,59,0,0
18,81,0,0
19,112,0,0
20,150,0,0
21,150,0,0
22,150,0,0
23,150,0,0
24,150,0,0
25,150,0,0
26,150,0,0
27,150,0,0
28,150,0,0
29,150,0,0
30,150,0,0
31,150,0,0
32,150,0,0
33,150,0,0
34,150,0,0
35,150,0,0
36,150,0,0
37,150,0,0
38,150,0,0
39,150,0,0
40,150,0,0
41,150,0,0
42,150,0,0
43,150,0,0
44,150,0,0
45,150,0,0
46,150,0,0
47,150,0,0
48,150,0,0
49,150,0,0
50,150,0,0
51,150,0,0
52,150,0,0
53,150,0,0
54,150,0,0
55,150,0,0
56,150,0,0
57,150,0,0
58,149,0,0
59,150,0,0
60,150,0,0
61,150,0,0
62,150,0,0
63,150,0,0
64,150,0,0
65,150,0,0
66,150,0,0
67,150,0,0
68,150,0,0
69,150,0,0
70,150,0,0
71,150,0,0
72,150,0,0
73,150,0,0
74,149,0,0
75,150,0,0
76,150,0,0
77,150,0,0
78,150,0,0
79,150,0,0
80,150,0,0
81,150,0,0
82,150,0,0
83,150,0,0
84,150,0,0
85,150,0,0
86,150,0,0
87,150,0,0
88,150,0,0
89,150,0,0
90,150,0,0
91,150,0,0
92,150,0,0
93,150,0,0
94,150,0,0
95,150,0,0
96,150,0,0
97,149,0,0
98,150,0,0
99,150,0,0
100,150,5,0
101,149,5,0
102,149,5,0
103,150,5,0
104,149,5,0
105,150,5,0
106,150,5,0
107,148,5,0
108,147,5,0
109,148,5,0
110,150,5,0
111,150,5,0
112,150,5,0
113,150,5,0
114,150,5,0
115,150,5,0
116,150,5,0
117,150,5,0
118,149,5,0
119,150,5,0
120,150,5,0
121,150,5,0
122,150,5,0
123,150,5,0
124,149,5,0
125,150,5,0
126,150,5,0
127,150,5,0
128,150,5,0
129,150,5,0
130,150,5,0
131,150,5,0
132,150,5,0
133,150,5,0
134,150,5,0
135,150,5,0
136,150,5,0
137,150,5,0
138,150,5,0
139,150,5,0
140,150,5,0
141,150,5,0
142,150,5,0
143,150,5,0
144,150,5,0
145,150,5,0
146,149,5,0
147,150,5,0
148,150,5,0
149,150,5,0
150,150,5,0
151,150,5,0
152,150,5,0
153,150,5,0
154,150,5,0
155,150,5,0
156,150,5,0
157,150,5,0
158,150,5,0
159,150,5,0
160,150,5,0
161,150,5,0
162,150,5,0
163,150,5,0
164,150,5,0
165,150,5,0
166,150,5,0
167,150,5,0
168,150,5,0
169,150,5,0
170,150,5,0
171,149,5,0
172,150,5,0
173,150,5,0
174,149,5,0
175,150,5,0
176,150,5,0
177,150,5,0
178,149,5,0
179,150,5,0
180,150,5,0
181,150,5,0
182,150,5,0
183,150,5,0
184,150,5,0
185,150,5,0
186,150,5,0
187,150,5,0
188,150,5,0
189,150,5,0
190,150,5,0
191,150,5,0
192,150,5,0
193,149,5,0
194,150,5,0
195,150,5,0
196,150,5,0
197,150,5,0
198,150,5,0
199,150,5,0
200,150,5,0
201,150,5,0
202,150,5,0
203,150,5,0
204,150,5,0
205,150,5,0
206,150,5,0
207,150,5,0
208,150,5,0
209,150,5,0
210,150,5,0
211,150,5,0
212,150,5,0
213,150,5,0
214,150,5,0
215,150,5,0
216,150,5,0
217,150,5,0
218,150,5,0
219,150,5,0
220,150,5,0
221,150,5,0
222,150,5,0
223,150,5,0
224,150,5,0
225,150,5,0
226,150,5,0
227,150,5,0
228,150,5,0
229,150,5,0
230,150,5,0
231,150,5,0
232,150,5,0
233,150,5,0
234,150,5,0
235,150,5,0
236,150,5,0
237,150,5,0
238,150,5,0
239,150,5,0
240,150,5,0
241,150,5,0
242,150,5,0
243,150,5,0
244,150,5,0
245,150,5,0
246,150,5,0
247,150,5,0
248,150,5,0
249,150,5,0
250,150,5,0
251,150,5,0
252,150,5,0
253,150,5,0
254,150,5,0
255,150,5,0
256,150,5,0
257,150,5,0
258,150,5,0
259,150,5,0
260,150,5,0
261,150,5,0
262,150,5,0
263,150,5,0
264,150,5,0
265,150,5,0
266,150,5,0
267,150,5,0
268,150,5,0
269,150,5,0
270,150,5,0
271,150,5,0
272,150,5,0
273,150,5,0
274,150,5,0
275,150,5,0
276,150,5,0
277,150,5,0
278,150,5,0
279,150,5,0
280,150,5,0
281,150,5,0
282,150,5,0
283,150,5,0
284,150,5,0
285,150,5,0
286,150,5,0
287,150,5,0
288,150,5,0
289,150,5,0
290,150,5,0
291,150,5,0
292,150,5,0
293,150,5,0
294,150,5,0
295,150,5,0
296,150,5,0
297,150,5,0
298,150,5,0
299,150,5,0
300,150,5,0
301,150,5,0
302,150,5,0
303,150,5,0
304,150,5,0
305,150,5,0
306,150,5,0
307,150,5,0
308,150,5,0
309,150,5,0
310,150,5,0
311,150,5,0
312,150,5,0
313,150,5,0
314,150,5,0
315,150,5,0
316,150,5,0
317,150,5,0
318,150,5,0
319,150,5,0
320,150,5,0
321,150,5,0
322,150,5,0
323,150,5,0
324,150,5,0
325,150,5,0
326,150,5,0
327,150,5,0
328,150,5,0
329,150,5,0
330,150,5,0
331,150,5,0
332,150,5,0
333,150,5,0
334,150,5,0
335,150,5,0
336,150,5,0
337,150,5,0
338,150,5,0
339,150,5,0
340,150,5,0
341,150,5,0
342,150,5,0
343,150,5,0
344,150,5,0
345,150,5,0
346,150,5,0
347,150,5,0
348,150,5,0
349,150,5,0
350,150,5,0
351,150,5,0
352,150,5,0
353,150,5,0
354,150,5,0
355,150,5,0
356,150,5,0
357,150,5,0
358,150,5,0
359,150,5,0
360,150,5,0
361,150,5,0
362,150,5,0
363,150,5,0
364,150,5,0
365,150,5,0
366,150,5,0
367,150,5,0
368,150,5,0
369,150,5,0
370,150,5,0
371,150,5,0
372,150,5,0
373,150,5,0
