tick,avg_deviation,energy_cost,correction_count
1,0.82,1.8,9
2,1.06,1.6,8
3,1.44,2.8,14
4,1.52,2.8,14
5,1.32,2.8,14
6,1.43,2.4,12
7,1.51,2.2,11
8,1.63,2.2,11
9,1.81,2.6,13
10,1.86,2.6,13
11,2.03,2.8,14
12,2.30,3.2,16
13,2.56,3.8,19
14,2.74,3.2,16
15,2.82,3.0,15
16,2.78,3.6,18
17,2.67,3.2,16
18,2.93,3.6,18
19,3.04,2.8,14
20,3.04,2.8,14
21,3.18,3.2,16
22,3.04,3.4,17
23,3.12,3.0,15
24,3.16,3.6,18
25,2.95,3.2,16
26,3.26,3.2,16
27,3.35,2.8,14
28,3.47,3.2,16
29,3.23,3.0,15
30,3.28,3.6,18
31,3.36,3.8,19
32,3.26,3.0,15
33,3.14,2.6,13
34,3.21,3.2,16
35,3.25,3.4,17
36,3.50,3.4,17
37,3.51,3.4,17
38,3.22,3.6,18
39,3.48,3.4,17
40,3.29,3.8,19
41,3.32,4.0,20
42,3.55,4.0,20
43,3.35,3.8,19
44,3.29,3.6,18
45,3.35,3.2,16
46,3.28,3.2,16
47,3.31,3.8,19
48,3.50,3.2,16
49,3.54,3.4,17
50,3.62,3.4,17
