tick,commander_pos,avg_lag,formation_breakages,energy_cost
1,(51|50),1.00,0,2.0
2,(52|50),1.00,0,2.0
3,(53|50),1.00,0,2.0
4,(54|50),1.00,0,2.0
5,(55|50),1.00,0,2.0
6,(56|50),1.00,0,2.0
7,(57|50),1.00,0,2.0
8,(58|50),1.00,0,2.0
9,(59|50),1.00,0,2.0
10,(60|50),1.00,0,2.0
11,(61|50),1.00,0,2.0
12,(62|50),1.00,0,2.0
13,(63|50),1.00,0,2.0
14,(64|50),1.00,0,2.0
15,(65|50),1.00,0,2.0
16,(66|50),1.00,0,2.0
17,(67|50),1.00,0,2.0
18,(68|50),1.00,0,2.0
19,(69|50),1.00,0,2.0
20,(70|50),1.00,0,2.0
21,(71|50),1.00,0,2.0
22,(72|50),1.00,0,2.0
23,(73|50),1.00,0,2.0
24,(74|50),1.00,0,2.0
25,(74|51),1.00,0,2.0
26,(74|52),1.00,0,2.0
27,(74|53),1.00,0,2.0
28,(74|54),1.00,0,2.0
29,(74|55),1.00,0,2.0
30,(74|56),1.00,0,2.0
31,(74|57),1.00,0,2.0
32,(74|58),1.00,0,2.0
33,(74|59),1.00,0,2.0
34,(74|60),1.00,0,2.0
35,(74|61),1.00,0,2.0
36,(74|62),1.00,0,2.0
37,(74|63),1.00,0,2.0
38,(74|64),1.00,0,2.0
39,(74|65),1.00,0,2.0
40,(74|66),1.00,0,2.0
41,(74|67),1.00,0,2.0
42,(74|68),1.00,0,2.0
43,(74|69),1.00,0,2.0
44,(74|70),1.00,0,2.0
45,(74|71),1.00,0,2.0
46,(74|72),1.00,0,2.0
47,(74|73),1.00,0,2.0
48,(74|74),1.00,0,2.0
49,(74|75),1.00,0,2.0
50,(73|75),1.00,0,2.0
51,(72|75),1.00,0,2.0
52,(71|75),1.00,0,2.0
53,(70|75),1.00,0,2.0
54,(69|75),1.00,0,2.0
55,(68|75),1.00,0,2.0
56,(67|75),1.00,0,2.0
57,(66|75),1.00,0,2.0
58,(65|75),1.00,0,2.0
59,(64|75),1.00,0,2.0
60,(63|75),1.00,0,2.0
61,(62|75),1.00,0,2.0
62,(61|75),1.00,0,2.0
63,(60|75),1.00,0,2.0
64,(59|75),1.00,0,2.0
65,(58|75),1.00,0,2.0
66,(57|75),1.00,0,2.0
67,(56|75),1.00,0,2.0
68,(55|75),1.00,0,2.0
69,(54|75),1.00,0,2.0
70,(53|75),1.00,0,2.0
71,(52|75),1.00,0,2.0
72,(51|75),1.00,0,2.0
73,(50|75),1.00,0,2.0
74,(49|75),1.00,0,2.0
75,(49|74),1.00,0,2.0
76,(49|73),1.00,0,2.0
77,(49|72),1.00,0,2.0
78,(49|71),1.00,0,2.0
79,(49|70),1.00,0,2.0
80,(49|69),1.00,0,2.0
81,(49|68),1.00,0,2.0
82,(49|67),1.00,0,2.0
83,(49|66),1.00,0,2.0
84,(49|65),1.00,0,2.0
85,(49|64),1.00,0,2.0
86,(49|63),1.00,0,2.0
87,(49|62),1.00,0,2.0
88,(49|61),1.00,0,2.0
89,(49|60),1.00,0,2.0
90,(49|59),1.00,0,2.0
91,(49|58),1.00,0,2.0
92,(49|57),1.00,0,2.0
93,(49|56),1.00,0,2.0
94,(49|55),1.00,0,2.0
95,(49|54),1.00,0,2.0
96,(49|53),1.00,0,2.0
97,(49|52),1.00,0,2.0
98,(49|51),1.00,0,2.0
99,(49|50),1.00,0,2.0
100,(49|49),1.00,0,2.0
