tick,commander_energy,squad_size,payroll_cost,formation_breakages
1,1974.8,5,25.0,0
2,1949.6,5,25.0,0
3,1924.4,5,25.0,0
4,1899.2,5,25.0,0
5,1874.0,5,25.0,0
6,1848.6,5,25.0,0
7,1823.2,5,25.0,0
8,1797.8,5,25.0,0
9,1772.4,5,25.0,0
10,1747.0,5,25.0,0
11,1721.8,5,25.0,0
12,1696.6,5,25.0,0
13,1671.4,5,25.0,0
14,1646.2,5,25.0,0
15,1621.0,5,25.0,0
16,1595.8,5,25.0,0
17,1570.6,5,25.0,0
18,1545.4,5,25.0,0
19,1520.2,5,25.0,0
20,1495.0,5,25.0,0
21,1469.6,5,25.0,0
22,1444.2,5,25.0,0
23,1418.8,5,25.0,0
24,1393.4,5,25.0,0
25,1368.0,5,25.0,0
26,1342.6,5,25.0,0
27,1317.4,5,25.0,0
28,1292.2,5,25.0,0
29,1267.0,5,25.0,0
30,1241.8,5,25.0,0
31,1216.6,5,25.0,0
32,1191.4,5,25.0,0
33,1166.2,5,25.0,0
34,1141.0,5,25.0,0
35,1115.8,5,25.0,0
36,1090.6,5,25.0,0
37,1065.2,5,25.0,0
38,1039.8,5,25.0,0
39,1014.4,5,25.0,0
40,989.0,5,25.0,0
41,963.6,5,25.0,0
42,938.4,5,25.0,0
43,913.2,5,25.0,0
44,888.0,5,25.0,0
45,862.8,5,25.0,0
46,837.6,5,25.0,0
47,812.4,5,25.0,0
48,787.2,5,25.0,0
49,762.0,5,25.0,0
50,736.8,5,25.0,0
51,711.6,5,25.0,0
52,686.4,5,25.0,0
53,661.0,5,25.0,0
54,635.6,5,25.0,0
55,610.2,5,25.0,0
56,584.8,5,25.0,0
57,559.4,5,25.0,0
58,534.2,5,25.0,0
59,509.0,5,25.0,0
60,483.8,5,25.0,0
61,458.6,5,25.0,0
62,433.4,5,25.0,0
63,408.2,5,25.0,0
64,383.0,5,25.0,0
65,357.8,5,25.0,0
66,332.6,5,25.0,0
67,307.4,5,25.0,0
68,282.2,5,25.0,0
69,256.8,5,25.0,0
70,231.4,5,25.0,0
71,206.0,5,25.0,0
72,180.6,5,25.0,0
73,155.2,5,25.0,0
74,130.0,5,25.0,0
75,104.8,5,25.0,0
76,79.6,5,25.0,0
77,54.4,5,25.0,0
78,29.2,5,25.0,0
79,4.0,5,25.0,0
80,3.8,0,0.0,0
