tick,commander_energy,squad_size,prey_count
1,1974.8,5,50
2,1949.6,5,50
3,1924.4,5,50
4,1899.2,5,50
5,1923.3,5,50
6,1947.4,5,49
7,1922.4,5,48
8,1897.2,5,48
9,1872.2,5,48
10,1847.0,5,48
11,1821.8,5,48
12,1796.6,5,48
13,1771.4,5,48
14,1746.2,5,48
15,1721.0,5,48
16,1696.0,5,48
17,1671.0,5,48
18,1645.8,5,48
19,1668.3,5,48
20,1643.1,5,47
21,1617.9,5,47
22,1592.7,5,47
23,1567.5,5,47
24,1542.3,5,47
25,1517.1,5,47
26,1491.9,5,47
27,1466.7,5,47
28,1441.5,5,47
29,1416.3,5,47
30,1391.1,5,47
31,1365.9,5,47
32,1340.7,5,47
33,1315.5,5,47
34,1290.3,5,47
35,1265.1,5,47
36,1239.9,5,47
37,1214.7,5,47
38,1189.5,5,47
39,1164.3,5,47
40,1139.1,5,47
41,1113.9,5,47
42,1088.7,5,47
43,1107.9,5,47
44,1082.7,5,46
45,1057.5,5,46
46,1032.3,5,46
47,1007.3,5,46
48,982.3,5,46
49,957.1,5,46
50,931.9,5,46
51,950.4,5,46
52,925.2,5,45
53,900.0,5,45
54,917.2,5,45
55,892.0,5,44
56,866.8,5,44
57,841.6,5,44
58,816.4,5,44
59,791.2,5,44
60,766.0,5,44
61,740.8,5,44
62,715.6,5,44
63,690.4,5,44
64,665.2,5,44
65,640.0,5,44
66,655.8,5,44
67,630.6,5,43
68,605.4,5,43
69,580.2,5,43
70,555.0,5,43
71,529.8,5,43
72,504.6,5,43
73,479.4,5,43
74,454.2,5,43
75,429.0,5,43
76,403.8,5,43
77,378.6,5,43
78,353.4,5,43
79,328.2,5,43
80,303.0,5,43
81,277.8,5,43
82,252.6,5,43
83,227.4,5,43
84,202.2,5,43
85,216.7,5,43
86,191.5,5,42
87,166.3,5,42
88,141.1,5,42
89,115.9,5,42
90,90.7,5,42
91,65.5,5,42
92,40.3,5,42
93,15.1,5,42
94,4.9,2,42
95,4.7,0,42
