tick,lord_energy,peasant_count,wolf_count,knights_active
1,1015.0,20,0,5
2,1030.0,20,0,5
3,1045.0,20,0,5
4,1060.0,20,0,5
5,1075.0,20,0,5
6,1090.0,20,0,5
7,1105.0,20,0,5
8,1120.0,20,0,5
9,1135.0,20,0,5
10,1150.0,20,0,5
11,1165.0,20,0,5
12,1180.0,20,0,5
13,1195.0,20,0,5
14,1210.0,20,0,5
15,1225.0,20,0,5
16,1240.0,20,0,5
17,1255.0,20,0,5
18,1270.0,20,0,5
19,1285.0,20,0,5
20,1300.0,20,0,5
21,1315.0,20,0,5
22,1330.0,20,0,5
23,1345.0,20,0,5
24,1360.0,20,0,5
25,1375.0,20,0,5
26,1390.0,20,0,5
27,1405.0,20,0,5
28,1420.0,20,0,5
29,1435.0,20,0,5
30,1450.0,20,0,5
31,1465.0,20,0,5
32,1480.0,20,0,5
33,1495.0,20,0,5
34,1510.0,20,0,5
35,1525.0,20,0,5
36,1540.0,20,0,5
37,1555.0,20,0,5
38,1570.0,20,0,5
39,1585.0,20,0,5
40,1600.0,20,0,5
41,1615.0,20,0,5
42,1630.0,20,0,5
43,1645.0,20,0,5
44,1660.0,20,0,5
45,1675.0,20,0,5
46,1690.0,20,0,5
47,1705.0,20,0,5
48,1720.0,20,0,5
49,1735.0,20,0,5
50,1750.0,20,1,5
51,1765.0,20,1,5
52,1780.0,20,1,5
53,1795.0,20,1,5
54,1810.0,20,1,5
55,1825.0,20,1,5
56,1840.0,20,1,5
57,1855.0,20,1,5
58,1870.0,19,1,5
59,1883.0,19,1,5
60,1896.0,19,1,5
61,1909.0,19,1,5
62,1922.0,19,1,5
63,1935.0,19,1,5
64,1948.0,18,1,5
65,1959.0,18,1,5
66,1970.0,18,1,5
67,1981.0,18,1,5
68,1992.0,18,1,5
69,2003.0,17,1,5
70,2012.0,17,1,5
71,2021.0,17,1,5
72,2030.0,17,1,5
73,2039.0,16,1,5
74,2046.0,16,0,5
75,2053.0,16,0,5
76,2060.0,16,0,5
77,2067.0,16,0,5
78,2074.0,16,0,5
79,2081.0,16,0,5
80,2088.0,16,0,5
81,2095.0,16,0,5
82,2102.0,16,0,5
83,2109.0,16,0,5
84,2116.0,16,0,5
85,2123.0,16,0,5
86,2130.0,16,0,5
87,2137.0,16,0,5
88,2144.0,16,0,5
89,2151.0,16,0,5
90,2158.0,16,0,5
91,2165.0,16,0,5
92,2172.0,16,0,5
93,2179.0,16,0,5
94,2186.0,16,0,5
95,2193.0,16,0,5
96,2200.0,16,0,5
97,2207.0,16,0,5
98,2214.0,16,0,5
99,2221.0,16,0,5
100,2228.0,16,1,5
101,2235.0,16,1,5
102,2242.0,16,1,5
103,2249.0,16,1,5
104,2256.0,16,1,5
105,2263.0,16,1,5
106,2270.0,16,1,5
107,2277.0,16,1,5
108,2284.0,16,1,5
109,2291.0,16,1,5
110,2298.0,16,1,5
111,2305.0,16,1,5
112,2312.0,16,1,5
113,2319.0,16,1,5
114,2326.0,16,1,5
115,2333.0,16,1,5
116,2340.0,16,1,5
117,2347.0,16,1,5
118,2354.0,16,1,5
119,2361.0,16,1,5
120,2368.0,16,1,5
121,2375.0,16,1,5
122,2382.0,16,1,5
123,2389.0,16,1,5
124,2396.0,15,1,5
125,2401.0,15,1,5
126,2406.0,15,1,5
127,2411.0,15,1,5
128,2416.0,15,1,5
129,2421.0,15,1,5
130,2426.0,15,1,5
131,2431.0,15,1,5
132,2436.0,14,1,5
133,2439.0,14,1,5
134,2442.0,14,1,5
135,2445.0,14,1,5
136,2448.0,14,1,5
137,2451.0,14,1,5
138,2454.0,14,1,5
139,2457.0,14,0,5
140,2460.0,14,0,5
141,2463.0,14,0,5
142,2466.0,14,0,5
143,2469.0,14,0,5
144,2472.0,14,0,5
145,2475.0,14,0,5
146,2478.0,14,0,5
147,2481.0,14,0,5
148,2484.0,14,0,5
149,2487.0,14,0,5
150,2490.0,14,1,5
151,2493.0,14,1,5
152,2496.0,14,1,5
153,2499.0,14,1,5
154,2502.0,14,1,5
155,2505.0,14,1,5
156,2508.0,14,1,5
157,2511.0,14,1,5
158,2514.0,14,1,5
159,2517.0,14,1,5
160,2520.0,14,1,5
161,2523.0,14,1,5
162,2526.0,14,1,5
163,2529.0,14,1,5
164,2532.0,14,1,5
165,2535.0,14,1,5
166,2538.0,14,1,5
167,2541.0,14,1,5
168,2544.0,14,1,5
169,2547.0,14,1,5
170,2550.0,14,1,5
171,2553.0,14,1,5
172,2556.0,14,1,5
173,2559.0,14,1,5
174,2562.0,14,1,5
175,2565.0,14,1,5
176,2568.0,14,1,5
177,2571.0,14,1,5
178,2574.0,14,1,5
179,2577.0,14,1,5
180,2580.0,14,1,5
181,2583.0,14,1,5
182,2586.0,14,1,5
183,2589.0,14,1,5
184,2592.0,14,1,5
185,2595.0,14,1,5
186,2598.0,14,1,5
187,2601.0,14,1,5
188,2604.0,14,1,5
189,2607.0,14,1,5
190,2610.0,14,1,5
191,2613.0,14,1,5
192,2616.0,14,1,5
193,2619.0,14,0,5
194,2622.0,14,0,5
195,2625.0,14,0,5
196,2628.0,14,0,5
197,2631.0,14,0,5
198,2634.0,14,0,5
199,2637.0,14,0,5
200,2640.0,14,1,5
201,2643.0,14,1,5
202,2646.0,14,1,5
203,2649.0,14,1,5
204,2652.0,14,1,5
205,2655.0,14,1,5
206,2658.0,14,1,5
207,2661.0,14,1,5
208,2664.0,14,1,5
209,2667.0,14,1,5
210,2670.0,14,1,5
211,2673.0,14,1,5
212,2676.0,14,1,5
213,2679.0,14,1,5
214,2682.0,14,1,5
215,2685.0,14,1,5
216,2688.0,14,1,5
217,2691.0,14,1,5
218,2694.0,14,1,5
219,2697.0,14,1,5
220,2700.0,14,1,5
221,2703.0,14,1,5
222,2706.0,14,1,5
223,2709.0,14,1,5
224,2712.0,14,1,5
225,2715.0,14,1,5
226,2718.0,14,1,5
227,2721.0,14,1,5
228,2724.0,14,1,5
229,2727.0,14,1,5
230,2730.0,14,1,5
231,2733.0,14,1,5
232,2736.0,14,1,5
233,2739.0,14,1,5
234,2742.0,14,1,5
235,2745.0,14,1,5
236,2748.0,13,1,5
237,2749.0,13,1,5
238,2750.0,13,1,5
239,2751.0,13,1,5
240,2752.0,13,1,5
241,2753.0,13,1,5
242,2754.0,12,1,5
243,2753.0,12,1,5
244,2752.0,12,1,5
245,2751.0,12,1,5
246,2750.0,12,0,5
247,2749.0,12,0,5
248,2748.0,12,0,5
249,2747.0,12,0,5
250,2746.0,12,1,5
251,2745.0,12,1,5
252,2744.0,12,1,5
253,2743.0,12,1,5
254,2742.0,12,1,5
255,2741.0,12,1,5
256,2740.0,12,1,5
257,2739.0,12,1,5
258,2738.0,12,1,5
259,2737.0,12,1,5
260,2736.0,12,1,5
261,2735.0,12,1,5
