tick,lord_energy,peasant_count,wolf_count,wall_integrity
1,340.0,20,0,94
2,380.0,20,0,94
3,420.0,20,0,94
4,460.0,20,0,94
5,500.0,20,0,94
6,540.0,20,0,94
7,580.0,20,0,94
8,620.0,20,0,94
9,660.0,20,0,94
10,700.0,20,0,94
11,740.0,20,0,94
12,780.0,20,0,94
13,820.0,20,0,94
14,860.0,20,0,94
15,900.0,20,0,94
16,940.0,20,0,94
17,980.0,20,0,94
18,1020.0,20,0,94
19,1060.0,20,0,94
20,1100.0,20,0,94
21,1140.0,20,0,94
22,1180.0,20,0,94
23,1220.0,20,0,94
24,1260.0,20,0,94
25,1300.0,20,0,94
26,1340.0,20,0,94
27,1380.0,20,0,94
28,1420.0,20,0,94
29,1460.0,20,0,94
30,1500.0,20,0,94
31,1540.0,20,0,94
32,1580.0,20,0,94
33,1620.0,20,0,94
34,1660.0,20,0,94
35,1700.0,20,0,94
36,1740.0,20,0,94
37,1780.0,20,0,94
38,1820.0,20,0,94
39,1860.0,20,0,94
40,1900.0,20,0,94
41,1940.0,20,0,94
42,1980.0,20,0,94
43,2020.0,20,0,94
44,2060.0,20,0,94
45,2100.0,20,0,94
46,2140.0,20,0,94
47,2180.0,20,0,94
48,2220.0,20,0,94
49,2260.0,20,0,94
50,2300.0,20,1,94
51,2340.0,20,1,94
52,2380.0,20,1,94
53,2420.0,20,1,94
54,2460.0,20,1,94
55,2500.0,20,1,94
56,2540.0,20,1,94
57,2580.0,20,1,94
58,2620.0,20,1,94
59,2660.0,20,1,94
60,2700.0,20,1,94
61,2740.0,20,1,94
62,2780.0,20,1,94
63,2820.0,20,1,94
64,2860.0,20,1,94
65,2900.0,20,1,94
66,2940.0,20,1,94
67,2980.0,20,1,94
68,3020.0,20,1,94
69,3060.0,20,1,94
70,3100.0,20,1,94
71,3140.0,20,1,94
72,3180.0,20,1,94
73,3220.0,20,1,94
74,3260.0,20,1,94
75,3300.0,20,1,94
76,3340.0,20,1,94
77,3380.0,20,1,94
78,3420.0,20,1,94
79,3460.0,20,1,94
80,3500.0,20,1,94
81,3540.0,20,1,94
82,3580.0,20,1,94
83,3620.0,20,1,94
84,3660.0,20,1,94
85,3700.0,20,1,94
86,3740.0,20,1,94
87,3780.0,20,1,94
88,3820.0,20,1,94
89,3860.0,20,1,94
90,3900.0,20,1,94
91,3940.0,20,1,94
92,3980.0,20,1,94
93,4020.0,20,1,94
94,4060.0,20,1,94
95,4100.0,20,1,94
96,4140.0,20,1,94
97,4180.0,20,1,93
98,4220.0,20,1,93
99,4260.0,20,1,93
100,4300.0,20,2,93
101,4340.0,20,2,93
102,4380.0,20,2,93
103,4420.0,19,2,93
104,4458.0,19,2,93
105,4496.0,19,2,93
106,4534.0,19,2,93
107,4572.0,19,2,93
108,4610.0,18,2,93
109,4646.0,17,2,93
110,4680.0,17,2,93
111,4714.0,16,2,93
112,4746.0,16,2,93
113,4778.0,15,2,93
114,4808.0,15,2,93
115,4838.0,15,2,93
116,4868.0,15,2,93
117,4898.0,14,2,93
118,4926.0,14,2,93
119,4954.0,14,2,93
120,4982.0,13,2,93
121,5008.0,13,2,93
122,5034.0,13,2,93
123,5060.0,13,2,93
124,5086.0,13,2,93
125,5112.0,13,2,93
126,5138.0,13,2,93
127,5164.0,12,2,93
128,5188.0,11,2,93
129,5210.0,10,2,93
130,5230.0,9,2,93
131,5248.0,9,2,93
132,5266.0,8,2,93
133,5282.0,8,2,93
134,5298.0,7,2,93
135,5312.0,7,2,93
136,5326.0,6,2,93
137,5338.0,6,2,93
138,5350.0,6,2,93
139,5362.0,6,2,93
140,5374.0,5,2,93
141,5384.0,5,2,93
142,5394.0,5,2,93
143,5404.0,5,2,93
144,5414.0,4,2,93
145,5422.0,4,2,93
146,5430.0,4,2,93
147,5438.0,4,2,93
148,5446.0,3,2,93
149,5452.0,3,2,92
150,5458.0,3,3,92
151,5464.0,2,3,92
152,5468.0,2,3,92
153,5472.0,2,3,92
154,5476.0,2,3,92
155,5480.0,2,3,92
156,5484.0,1,3,92
157,5486.0,1,3,92
158,5488.0,1,3,92
159,5490.0,1,3,92
160,5492.0,1,3,92
161,5494.0,1,3,92
162,5496.0,1,3,92
163,5498.0,1,3,92
164,5500.0,1,3,92
165,5502.0,1,3,92
166,5504.0,1,3,92
167,5506.0,1,3,92
168,5508.0,1,3,92
169,5510.0,1,3,92
170,5512.0,1,3,92
171,5514.0,0,3,92
