tick,avg_dissonance,converged_count,consensus_variance
1,51.40,1,1621.31
2,50.90,1,1602.22
3,50.38,1,1581.71
4,49.94,1,1564.93
5,49.47,1,1541.45
6,49.07,1,1522.41
7,48.81,1,1516.94
8,48.12,1,1483.82
9,47.53,1,1452.78
10,47.03,1,1420.19
11,46.50,1,1404.30
12,46.22,1,1381.46
13,45.52,1,1347.86
14,45.12,1,1327.51
15,44.76,1,1309.18
16,44.31,1,1291.40
17,43.90,1,1275.66
18,43.53,1,1255.81
19,43.12,2,1232.27
20,42.72,3,1214.65
21,42.16,3,1189.66
22,41.70,3,1168.38
23,41.29,3,1140.12
24,40.91,3,1123.35
25,40.51,4,1110.59
26,39.82,4,1083.26
27,39.30,5,1063.16
28,38.74,5,1036.52
29,38.21,5,1023.86
30,37.79,5,1012.96
31,37.40,5,1005.32
32,36.83,6,985.96
33,36.40,6,969.29
34,35.91,6,948.10
35,35.55,6,940.57
36,35.15,6,923.94
37,34.73,6,907.29
38,34.37,6,890.88
39,33.95,6,879.99
40,33.50,6,860.26
41,33.02,6,843.08
42,32.68,6,830.21
43,32.08,6,803.72
44,31.61,8,784.94
45,31.31,8,774.35
46,31.05,8,767.21
47,30.62,8,754.54
48,30.18,8,734.91
49,29.82,8,713.39
50,29.45,8,709.42
51,29.13,8,699.60
52,28.68,8,682.63
53,28.43,8,671.50
54,28.03,8,657.59
55,27.46,8,633.63
56,27.10,8,624.35
57,26.72,9,609.01
58,26.23,9,597.28
59,25.64,9,573.60
60,25.25,9,562.26
61,24.97,10,550.38
62,24.66,10,538.46
63,24.37,10,534.67
64,23.96,11,525.73
65,23.48,11,509.71
66,23.08,11,500.09
67,22.78,11,494.93
68,22.21,13,481.73
69,21.82,13,477.19
70,21.54,13,470.93
71,21.29,13,469.05
72,20.95,13,459.41
73,20.67,14,448.23
74,20.15,16,436.55
75,19.76,17,428.81
76,19.43,17,422.88
77,19.11,18,415.85
78,18.68,18,403.15
79,18.14,19,386.45
80,17.87,19,381.35
81,17.61,19,373.87
82,17.17,20,366.23
83,16.91,20,356.90
84,16.57,21,346.25
85,16.34,21,339.29
86,16.05,22,334.65
87,15.74,22,323.29
88,15.43,22,319.04
89,15.21,23,317.69
90,14.91,23,309.32
91,14.49,23,299.04
92,14.22,23,289.79
93,13.89,23,283.60
94,13.70,23,277.24
95,13.38,23,271.05
96,13.23,23,267.26
97,12.88,23,256.57
98,12.60,23,248.29
99,12.42,23,241.96
100,12.09,23,234.25
