tick,sci_error,sci_variance,cult_error,cult_variance
1,75.48,351.63,78.16,389.95
2,74.64,347.91,78.31,365.26
3,74.00,340.89,78.09,321.81
4,73.49,323.56,78.23,303.51
5,72.88,323.50,78.23,276.28
6,72.45,326.53,78.03,238.01
7,71.83,327.57,77.87,220.76
8,71.47,321.13,77.70,188.23
9,70.51,323.32,77.84,177.80
10,69.88,311.75,77.52,171.96
11,68.93,317.51,77.26,164.45
12,68.18,320.97,77.03,156.18
13,67.17,335.06,76.88,139.52
14,66.51,324.41,76.81,131.21
15,65.75,305.37,76.77,123.31
16,64.80,306.49,76.43,114.57
17,63.69,305.59,76.74,107.29
18,62.85,292.26,76.91,94.04
19,62.25,286.86,76.84,89.52
20,61.76,277.05,77.02,83.58
21,61.34,279.32,77.25,77.75
22,60.59,287.97,77.25,65.43
23,59.40,280.80,77.03,57.73
24,58.98,273.37,77.27,56.08
25,58.05,253.08,77.20,50.65
26,57.32,241.57,77.40,41.86
27,56.75,241.66,77.36,38.05
28,55.87,242.99,77.38,30.95
29,54.86,242.50,77.20,25.80
30,54.42,242.90,77.52,22.75
31,53.66,243.13,77.51,20.27
32,52.93,234.82,77.38,15.42
33,52.23,225.24,77.25,13.71
34,51.40,206.41,77.31,9.68
35,50.72,223.37,77.16,7.24
36,49.85,216.96,77.11,6.68
37,49.13,217.26,77.05,6.60
38,48.69,220.68,77.07,4.25
39,48.13,227.77,77.15,1.80
40,47.51,238.00,77.14,1.74
41,47.04,228.89,76.94,1.59
42,46.68,225.52,76.93,1.50
43,45.66,218.34,76.93,1.50
44,45.09,218.09,76.93,1.50
45,44.17,222.01,76.93,1.50
46,43.58,205.52,76.93,1.50
47,42.97,202.54,76.94,1.12
48,42.41,201.50,76.88,0.62
49,41.79,202.17,76.80,0.60
50,41.34,198.25,76.80,0.60
51,40.59,193.43,76.80,0.60
52,39.71,194.80,76.89,0.44
53,38.82,199.75,76.89,0.44
54,37.87,203.59,76.89,0.44
55,37.03,203.05,76.94,0.39
56,36.18,210.39,76.83,0.38
57,35.41,198.72,76.83,0.38
58,34.77,185.53,76.81,0.37
59,34.07,186.91,76.81,0.37
60,33.26,174.88,76.83,0.32
61,32.82,161.78,76.83,0.32
62,31.98,160.33,76.83,0.32
63,31.23,160.42,76.77,0.32
64,30.44,157.67,76.77,0.32
65,30.04,161.72,76.75,0.29
66,29.00,170.12,76.70,0.28
67,28.45,165.87,76.71,0.26
68,27.96,161.47,76.71,0.26
69,27.26,154.18,76.71,0.26
70,26.53,149.38,76.71,0.26
71,26.22,147.75,76.71,0.26
72,25.90,145.83,76.66,0.24
73,24.69,138.72,76.66,0.24
74,23.93,134.97,76.66,0.24
75,23.86,130.66,76.64,0.21
76,22.99,122.78,76.64,0.21
77,22.58,119.17,76.65,0.19
78,21.79,120.14,76.65,0.19
79,20.89,118.49,76.65,0.19
80,20.18,118.16,76.65,0.19
81,19.82,119.08,76.63,0.19
82,19.25,112.71,76.63,0.19
83,18.83,103.46,76.63,0.19
84,18.02,98.21,76.60,0.18
85,17.38,101.66,76.61,0.17
86,16.93,96.45,76.61,0.17
87,16.32,92.46,76.61,0.16
88,15.17,86.95,76.61,0.16
89,14.48,91.83,76.61,0.16
90,13.85,90.49,76.61,0.16
91,13.14,90.62,76.62,0.15
92,12.79,90.47,76.62,0.15
93,12.22,87.38,76.62,0.15
94,11.53,89.43,76.62,0.15
95,10.64,81.13,76.62,0.15
96,10.15,81.59,76.62,0.15
97,9.77,76.08,76.62,0.15
98,9.10,70.22,76.62,0.15
99,8.53,74.20,76.61,0.15
100,8.15,68.62,76.61,0.15
