tick,truth_pos,sci_error,sci_pop,cult_error,cult_pop
1,20.0|20.0,0.0,20,0.0,20
2,20.0|20.0,0.0,20,0.0,20
3,20.0|20.0,0.0,20,0.0,20
4,20.0|20.0,0.0,20,0.0,20
5,20.0|20.0,0.0,20,0.0,20
6,20.0|20.0,0.0,20,0.0,20
7,20.0|20.0,0.0,20,0.0,20
8,20.0|20.0,0.0,20,0.0,20
9,20.0|20.0,0.0,20,0.0,20
10,20.0|20.0,0.0,20,0.0,20
11,20.0|20.0,0.0,20,0.0,20
12,20.0|20.0,0.0,20,0.0,20
13,20.0|20.0,0.0,20,0.0,20
14,20.0|20.0,0.0,20,0.0,20
15,20.0|20.0,0.0,20,0.0,20
16,20.0|20.0,0.0,20,0.0,20
17,20.0|20.0,0.0,20,0.0,20
18,20.0|20.0,0.0,20,0.0,20
19,20.0|20.0,0.0,20,0.0,20
20,20.0|20.0,0.0,20,0.0,20
21,21.0|21.0,1.4,20,1.4,20
22,22.0|22.0,2.5,20,2.8,20
23,23.0|23.0,3.2,20,4.2,20
24,24.0|24.0,3.5,20,5.7,20
25,25.0|25.0,4.2,20,7.1,20
26,26.0|26.0,5.0,20,8.5,20
27,27.0|27.0,5.0,20,9.9,20
28,28.0|28.0,5.6,20,11.3,20
29,29.0|29.0,6.0,20,12.7,20
30,30.0|30.0,6.7,20,14.1,20
31,31.0|31.0,7.1,20,15.6,20
32,32.0|32.0,6.9,20,17.0,20
33,33.0|33.0,7.5,20,18.4,20
34,34.0|34.0,8.2,20,19.8,20
35,35.0|35.0,9.0,20,21.2,20
36,36.0|36.0,9.1,20,22.6,20
37,37.0|37.0,9.7,20,24.0,20
38,38.0|38.0,9.9,20,25.5,20
39,39.0|39.0,10.5,20,26.9,20
40,40.0|40.0,11.3,20,28.3,20
41,41.0|41.0,12.2,20,29.7,20
42,42.0|42.0,12.4,20,31.1,20
43,43.0|43.0,12.6,20,32.5,20
44,44.0|44.0,13.7,20,33.9,20
45,45.0|45.0,14.3,20,35.4,20
46,46.0|46.0,14.2,20,36.8,20
47,47.0|47.0,14.9,20,38.2,20
48,48.0|48.0,15.8,20,39.6,20
49,49.0|49.0,16.2,20,41.0,20
50,50.0|50.0,16.8,20,42.4,20
51,51.0|51.0,16.7,20,43.8,20
52,52.0|52.0,16.7,20,45.3,20
53,53.0|53.0,17.1,20,46.7,20
54,54.0|54.0,17.4,20,48.1,20
55,55.0|55.0,17.4,20,49.5,20
56,56.0|56.0,18.1,20,50.9,20
57,57.0|57.0,18.0,20,52.3,20
58,58.0|58.0,18.5,20,0.0,0
59,59.0|59.0,19.6,20,0.0,0
60,60.0|60.0,20.1,20,0.0,0
61,61.0|61.0,20.8,20,0.0,0
62,62.0|62.0,21.0,20,0.0,0
63,63.0|63.0,22.0,20,0.0,0
64,64.0|64.0,22.5,20,0.0,0
65,65.0|65.0,22.2,20,0.0,0
66,66.0|66.0,22.9,20,0.0,0
67,67.0|67.0,22.8,20,0.0,0
68,68.0|68.0,22.9,20,0.0,0
69,69.0|69.0,23.8,20,0.0,0
70,70.0|70.0,24.0,20,0.0,0
71,71.0|71.0,23.3,19,0.0,0
72,72.0|72.0,24.1,19,0.0,0
73,73.0|73.0,24.8,19,0.0,0
74,74.0|74.0,25.1,19,0.0,0
75,75.0|75.0,25.1,18,0.0,0
76,76.0|76.0,25.6,18,0.0,0
77,77.0|77.0,26.3,18,0.0,0
78,78.0|78.0,26.6,18,0.0,0
79,79.0|79.0,26.1,18,0.0,0
80,80.0|80.0,26.6,18,0.0,0
81,80.0|80.0,25.1,17,0.0,0
82,80.0|80.0,24.6,17,0.0,0
83,80.0|80.0,23.1,17,0.0,0
84,80.0|80.0,22.3,17,0.0,0
85,80.0|80.0,21.0,17,0.0,0
86,80.0|80.0,19.1,16,0.0,0
87,80.0|80.0,18.0,16,0.0,0
88,80.0|80.0,17.2,16,0.0,0
89,80.0|80.0,16.0,16,0.0,0
90,80.0|80.0,15.5,16,0.0,0
91,80.0|80.0,13.9,15,0.0,0
92,80.0|80.0,12.1,15,0.0,0
93,80.0|80.0,10.8,14,0.0,0
94,80.0|80.0,10.0,14,0.0,0
95,80.0|80.0,9.3,14,0.0,0
96,80.0|80.0,8.8,14,0.0,0
97,80.0|80.0,7.6,14,0.0,0
98,80.0|80.0,7.2,14,0.0,0
99,80.0|80.0,6.4,14,0.0,0
100,80.0|80.0,5.7,14,0.0,0
