Pattern_ID,Content,Category,Format,Precision,Transparency,Framework,Function,First_Occurrence,Last_Occurrence,Source_Location
P2-SF-001,"Docs/Code Ratio = 1.75 (3.5× higher than non-aware baseline 0.5)",SF,M,Q,E,T,FV,Cycle971,Cycle972,PHASE1_DATA_EXTRACTION_COMPLETE.md
P2-SF-002,"Spawn success rate: 100% (100 cycles) → 88.0% ± 2.5% (1000 cycles) → 23% (3000 cycles)",SF,P,Q,E,N,TD,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:22
P2-SF-003,"Population homeostasis: 17.4 ± 1.2 agents over 3000 cycles (CV=6.8%)",SF,P,Q,E,N,TD,Cycle171,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:537
P2-SF-004,"Critical spawn frequency threshold: f_crit ≈ 2.55%",SF,P,Q,E,N,TD,Cycle168-170,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:480
P2-SF-005,"Bistable attractors: Basin A (>2.5 events/100 cycles) vs Basin B (<2.5 events/100 cycles)",SF,P,Q,E,N,FV,Cycle168-170,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:485
P2-SF-006,"Spawns-per-agent thresholds: <2.0 → 70-100% success, 2.0-4.0 → 40-70%, >4.0 → 20-40%",SF,P,Q,E,N,PT,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:330
P2-SF-007,"Incremental validation (1000 cycles): 88.0% spawn success with 2.08 spawns/agent",SF,P,Q,E,N,TD,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:599
P2-SF-008,"Four-phase non-monotonic trajectory: Initial decline (71-100%) → Transition (77-85%) → Stabilization (79-90%) → Recovery (84-92%)",SF,P,X,E,N,TD,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:860
P2-SF-009,"Population-mediated energy recovery: 23 agents at 1000 cycles enables 88% success vs 17.4 agents at 3000 cycles → 23% success",SF,P,Q,E,S,FV,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:690
P2-SF-010,"Composition rate discontinuity: 1.8× jump at critical frequency (1.87 → 3.42 events/100 cycles)",SF,P,Q,E,N,TD,Cycle168-170,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:482
P2-MP-001,"Multi-scale validation protocol: Test mechanisms across ≥3 timescales spanning ≥2 orders of magnitude",MP,P,L,E,U,ML,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:220
P2-MP-002,"Logarithmic timescale spacing: 100, 1000, 3000 cycles (10× and 30× intervals) for non-monotonic detection",MP,P,X,E,U,PT,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:229
P2-MP-003,"Parameter consistency isolation: Hold all parameters constant except timescale to isolate causal effects",MP,P,L,E,U,ML,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:238
P2-MP-004,"Sample size by computational cost: n=3 (micro), n=5 (incremental), n=40 (extended)",MP,P,X,E,U,PT,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:245
P2-MP-005,"Energy-constrained spawning implementation: spawn_child() returns None when parent energy E < 10",MP,C,Q,E,N,PT,Cycle171,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:126
P2-MP-006,"Spawns-per-agent normalization: Total spawn attempts / Average population size",MP,P,Q,E,U,PT,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:315
P2-MP-007,"Reality-grounded energy recharge: Tied to psutil system metrics (CPU + memory idle capacity)",MP,C,X,E,R,PT,Cycle171,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:113
P2-MP-008,"Reproducible experiment protocol: Python 3.9+, NumPy 2.3.1, Matplotlib 3.10.0, documented seeds",MP,P,L,E,U,ML,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:387
P2-MP-009,"Statistical analysis: Descriptive stats + hypothesis testing + multi-scale pattern comparison",MP,P,L,E,U,PT,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:339
P2-MP-010,"Data management: JSON storage + Python analysis scripts + publication figure generation",MP,P,L,E,U,PT,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:373
P2-FP-001,"NRM Core: Fractal agents with composition-decomposition dynamics and transcendental substrate (π, e, φ)",FP,P,L,E,N,FV,Paper1,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:91
P2-FP-002,"Self-Giving bootstrapped complexity: System uses population growth (output) to generate distributed energy pooling (mechanism)",FP,P,L,E,S,FV,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:991
P2-FP-003,"Self-Giving phase space self-definition: Population size determines effective energy reserves and enables new trajectories",FP,P,L,E,S,FV,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:995
P2-FP-004,"Self-Giving temporal heterogeneity: Energy constraint manifests differently across timescales (process-dependent, not state-dependent)",FP,P,L,E,S,FV,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:1000
P2-FP-005,"Self-Giving persistence criterion: System defines success as compositional events that persist vs fail",FP,P,L,E,S,FV,Cycle176,Cycle968,PAPER2_V2_MASTER_SOURCE_BUILD.md:1008
