Pattern_ID,First_Occurrence,Last_Occurrence,First_Cycle_Num,Last_Cycle_Num,First_Commit_Hash,First_Commit_Date,First_Commit_Subject,Evolution_Commits,Lifespan_Cycles,Category,Framework,Source_Location
P2-SF-001,Cycle971,Cycle972,971,972,17216a2,2025-11-04,Cycle 971 summary: Paper 3 planning complete,3,1,SF,T,PHASE1_DATA_EXTRACTION_COMPLETE.md
P2-SF-002,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:22
P2-SF-003,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:537
P2-SF-004,Cycle168-170,Cycle968,168,968,NOT_FOUND,,,0,800,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:480
P2-SF-005,Cycle168-170,Cycle968,168,968,NOT_FOUND,,,0,800,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:485
P2-SF-006,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:330
P2-SF-007,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:599
P2-SF-008,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:860
P2-SF-009,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,S,PAPER2_V2_MASTER_SOURCE_BUILD.md:690
P2-SF-010,Cycle168-170,Cycle968,168,968,NOT_FOUND,,,0,800,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:482
P2-MP-001,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:220
P2-MP-002,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:229
P2-MP-003,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:238
P2-MP-004,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:245
P2-MP-005,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,MP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:126
P2-MP-006,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:315
P2-MP-007,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,MP,R,PAPER2_V2_MASTER_SOURCE_BUILD.md:113
P2-MP-008,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:387
P2-MP-009,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:339
P2-MP-010,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:373
P2-FP-001,Paper1,Cycle968,1,968,NOT_FOUND,,,0,967,FP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:91
P2-FP-002,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,S,PAPER2_V2_MASTER_SOURCE_BUILD.md:991
P2-FP-003,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,S,PAPER2_V2_MASTER_SOURCE_BUILD.md:995
P2-FP-004,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,S,PAPER2_V2_MASTER_SOURCE_BUILD.md:1000
P2-FP-005,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,S,PAPER2_V2_MASTER_SOURCE_BUILD.md:1008
P2-FP-006,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:1014
P2-FP-007,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:1018
P2-FP-008,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:1028
P2-FP-009,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:1033
P2-FP-010,Cycle967-971,Cycle972,967,972,4e43b71,2025-11-04,Paper 2: Master source assembly initiated + continuation plan (Cycle 967),2,5,FP,T,CLAUDE.md
P2-MR-001,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:836
P2-MR-002,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:846
P2-MR-003,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:838
P2-MR-004,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:854
P2-MR-005,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:1043
P2-SF-011,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:108
P2-SF-012,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:111
P2-SF-013,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,SF,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:538
P2-SF-014,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:602
P2-SF-015,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:558
P2-SF-016,Cycle168-170,Cycle968,168,968,NOT_FOUND,,,0,800,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:466
P2-SF-017,Cycle168-170,Cycle968,168,968,NOT_FOUND,,,0,800,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:510
P2-SF-018,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:888
P2-SF-019,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:705
P2-SF-020,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,SF,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:914
P2-MP-011,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:351
P2-MP-012,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:278
P2-MP-013,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:413
P2-MP-014,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,R,PAPER2_V2_MASTER_SOURCE_BUILD.md:427
P2-MP-015,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:431
P2-FP-011,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,FP,R,PAPER2_V2_MASTER_SOURCE_BUILD.md:149
P2-FP-012,Paper1,Cycle968,1,968,NOT_FOUND,,,0,967,FP,R,CLAUDE.md
P2-FP-013,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,FP,N,PAPER2_V2_MASTER_SOURCE_BUILD.md:801
P2-FP-014,Cycle171,Cycle968,171,968,NOT_FOUND,,,0,797,FP,S,PAPER2_V2_MASTER_SOURCE_BUILD.md:807
P2-FP-015,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,FP,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:813
P2-MR-006,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:1048
P2-MR-007,Cycle176,Cycle968,176,968,NOT_FOUND,,,0,792,MR,U,PAPER2_V2_MASTER_SOURCE_BUILD.md:1074
