Experimental_Cycle,Composition_Frequency_Pct,Random_Seed,Composition_Threshold,Maximum_Agent_Count,Initial_Agent_Count,Mean_Composition_Events,Bistable_Basin_Classification,Spawn_Accuracy_Percent,actual_freq_pct,actual_spawns,agent_count_mean,agent_count_std,avg_agent_count,avg_cycle_time_ms,avg_cycles_per_sec,basin_classifications,basin_threshold,composition_mean,cycles,cycles_completed,cycles_per_sec,cycles_per_second,database_condition,decomposition_mean,dist_A,dist_B,diversity,dominant,dominant_fraction,duration,elapsed_seconds,expected_spawns,fft_analysis,fft_peak_count_agents,fft_peak_count_composition,fft_peak_count_decomposition,fft_top_freqs_agents,fft_top_freqs_composition,fft_top_freqs_decomposition,fft_top_powers_agents,fft_top_powers_composition,fft_top_powers_decomposition,final_agent_count,final_agents,final_db_size_mb,final_memory_mb,fraction,initial_db_size_mb,initial_memory_mb,max_composition_events,memory_increase_mb,mult,peak_agents,protocol,runtime,spawn_count,spawn_freq_pct,spawn_interval_cycles,spawning_freq,spread
133,,,,50,,,B,,,,,,,21.565476179122925,,,,,,1000,46.36853659609741,,,,0.3146114354771612,0.15177138792275707,,,1.0,21.5663480758667,,,,,,,,,,,,,,,,33.53125,,,28.59375,,4.9375,,3,,,,,,,
133,,,,100,,,B,,,,,,,19.01805090904236,,,,,,1000,52.579306292538405,,,,0.3146114354771612,0.15177138792275707,,,1.0,19.01888918876648,,,,,,,,,,,,,,,,33.671875,,,33.53125,,0.140625,,3,,,,,,,
133,,,,200,,,B,,,,,,,24.535791635513306,,,,,,1000,40.755366667161574,,,,0.3146114354771612,0.15177138792275707,,,1.0,24.536645889282227,,,,,,,,,,,,,,,,34.046875,,,33.671875,,0.375,,3,,,,,,,
133,,,,500,,,B,,,,,,,19.967399835586548,,,,,,1000,50.079462848931634,,,,0.3146114354771612,0.15177138792275707,,,1.0,19.968265295028687,,,,,,,,,,,,,,,,34.515625,,,34.046875,,0.46875,,3,,,,,,,
133,,,,1000,,,B,,,,,,,20.791744470596313,,,,,,1000,48.09402206656157,,,,0.3146114354771612,0.15177138792275707,,,1.0,20.79260492324829,,,,,,,,,,,,,,,,34.609375,,,34.515625,,0.09375,,3,,,,,,,
133,,,300,,,,B,,,,,,,,,,,,,,155.53492701939436,,,,0.41466591913129314,0.2763302297035199,0.03,"[6.264336, 5.869293, 6.209821]",,19.28827214241028,,,,,,,,,,,,,,,,,1.0,,,,,0.3,,,,,,,,0.1
133,,,300,,,,B,,,,,,,,,,,,,,155.4910171396835,,,,0.43086767417619065,0.28009401899540776,0.06,"[6.245486, 5.852983, 6.200112]",,19.293719053268433,,,,,,,,,,,,,,,,,1.0,,,,,0.6,,,,,,,,0.1
133,,,300,,,,B,,,,,,,,,,,,,,156.15947514759736,,,,0.45402415539814645,0.28891332923560337,0.1,"[6.220353, 5.831237, 6.187168]",,19.211130142211914,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,0.1
133,,,300,,,,B,,,,,,,,,,,,,,154.06435583617565,,,,0.48510807385055976,0.3054865514453951,0.15,"[6.188938, 5.804054, 6.170988]",,19.472382068634033,,,,,,,,,,,,,,,,,1.0,,,,,1.4999999999999998,,,,,,,,0.1
133,,,300,,,,B,,,,,,,,,,,,,,156.20465930362352,,,,0.48829054020531687,0.29225666771692305,0.25,"[5.811946, 6.009737, 6.248414]",,19.205573081970215,,,,,,,,,,,,,,,,,1.0,,,,,2.5,,,,,,,,0.1
