tick,population,avg_energy
1,10,109.27
2,20,88.91
3,40,78.73
4,50,75.82
5,50,74.37
6,50,72.92
7,50,71.47
8,50,70.02
9,50,68.57
10,50,67.12
11,50,65.67
12,50,64.22
13,50,62.76
14,50,61.31
15,50,59.86
16,50,58.41
17,50,56.96
18,50,55.51
19,50,54.06
20,49,53.70
21,48,54.83
22,48,56.33
23,50,55.48
24,50,54.03
25,50,52.58
26,50,51.12
27,49,50.69
28,49,50.68
29,47,52.83
30,48,54.72
31,48,56.22
32,49,56.52
33,50,55.37
34,50,53.92
35,50,52.46
36,50,51.01
37,50,49.55
38,50,48.10
39,50,46.65
40,50,45.19
41,50,43.74
42,50,42.29
43,50,40.83
44,50,39.38
45,50,37.93
46,50,36.47
47,50,35.02
48,49,34.28
49,46,36.56
50,48,39.53
51,49,40.18
52,46,42.87
53,44,49.75
54,49,51.95
55,49,51.93
56,50,50.86
57,50,49.40
58,50,47.94
59,50,46.47
60,50,45.01
61,50,43.55
62,50,42.09
63,50,40.62
64,50,39.16
65,50,37.70
66,50,36.23
67,49,35.51
68,48,36.23
69,49,36.94
70,48,37.71
71,49,38.38
72,49,38.37
73,48,39.18
74,45,43.42
75,46,48.72
76,47,52.26
77,48,54.15
78,49,54.47
79,47,56.79
80,49,57.37
81,50,56.18
82,48,57.01
83,50,56.12
84,50,54.66
85,49,54.30
86,50,53.17
87,50,51.70
88,50,50.23
89,50,48.76
90,50,47.28
91,50,45.81
92,50,44.34
93,50,42.87
94,50,41.40
95,49,40.77
96,47,42.52
97,50,42.80
98,47,44.01
99,48,46.07
100,47,48.59
101,44,55.25
102,47,59.32
103,48,61.05
104,49,61.23
105,50,59.97
106,50,58.50
107,49,58.21
108,50,57.00
109,50,55.53
110,50,54.07
111,50,52.60
112,50,51.13
113,50,49.66
114,50,48.19
115,50,46.72
116,50,45.25
117,50,43.78
118,50,42.31
119,50,40.84
120,48,41.04
121,48,42.51
122,44,48.04
123,49,50.44
124,50,49.42
125,49,48.98
126,48,50.01
127,49,50.45
128,50,49.42
129,46,52.20
130,48,54.49
131,48,55.99
132,49,56.28
133,50,55.12
134,49,54.79
135,50,53.66
136,50,52.19
137,50,50.73
138,50,49.26
139,50,47.80
140,50,46.34
141,50,44.87
142,50,43.41
143,50,41.94
144,48,42.18
145,48,43.66
146,45,48.21
147,48,51.17
148,49,51.58
149,50,50.54
150,50,49.10
151,49,48.64
152,43,55.50
153,48,58.66
154,50,57.71
155,49,57.43
156,48,58.61
157,50,57.67
158,50,56.21
159,50,54.75
160,50,53.29
161,50,51.83
162,50,50.37
163,50,48.91
164,50,47.45
165,50,45.99
166,50,44.53
167,49,43.96
168,50,43.06
169,47,44.31
170,50,44.49
171,47,45.81
172,48,47.85
173,49,48.33
174,50,47.34
175,47,48.89
176,50,48.80
177,47,50.41
178,50,50.22
179,47,51.89
180,48,53.78
181,48,55.26
182,49,55.57
183,49,55.56
184,50,54.42
185,50,52.96
186,50,51.50
187,50,50.05
188,50,48.59
189,50,47.13
190,50,45.67
191,50,44.21
192,48,44.58
193,48,46.07
194,50,45.63
195,48,46.07
196,48,47.59
197,50,47.10
198,47,48.64
199,49,49.58
200,48,50.60
201,48,52.09
202,46,55.95
203,48,58.07
204,50,57.15
205,48,58.04
206,50,57.11
207,50,55.65
208,50,54.19
209,50,52.73
210,50,51.27
211,50,49.81
212,49,49.34
213,50,48.32
214,50,46.85
215,50,45.38
216,49,44.83
