tick,population,avg_efficiency,avg_fertility
1,40,0.6041,0.5227
2,76,0.6007,0.5485
3,100,0.5990,0.5741
4,100,0.5990,0.5741
5,100,0.5990,0.5741
6,100,0.5990,0.5741
7,100,0.5990,0.5741
8,100,0.5990,0.5741
9,100,0.5990,0.5741
10,100,0.5990,0.5741
11,100,0.5990,0.5741
12,99,0.6048,0.5734
13,100,0.6065,0.5775
14,100,0.6065,0.5775
15,100,0.6065,0.5775
16,100,0.6065,0.5775
17,100,0.6065,0.5775
18,100,0.6065,0.5775
19,100,0.6065,0.5775
20,100,0.6065,0.5775
21,100,0.6065,0.5775
22,100,0.6065,0.5775
23,100,0.6065,0.5775
24,100,0.6065,0.5775
25,100,0.6065,0.5775
26,100,0.6065,0.5775
27,100,0.6065,0.5775
28,100,0.6065,0.5775
29,100,0.6065,0.5775
30,100,0.6065,0.5775
31,100,0.6065,0.5775
32,100,0.6065,0.5775
33,100,0.6065,0.5775
34,100,0.6065,0.5775
35,100,0.6065,0.5775
36,100,0.6065,0.5775
37,100,0.6065,0.5775
38,100,0.6065,0.5775
39,100,0.6065,0.5775
40,100,0.6065,0.5775
41,100,0.6065,0.5775
42,100,0.6065,0.5775
43,100,0.6065,0.5775
44,100,0.6065,0.5775
45,100,0.6065,0.5775
46,100,0.6065,0.5775
47,100,0.6065,0.5775
48,100,0.6065,0.5775
49,100,0.6065,0.5775
50,100,0.6065,0.5775
51,100,0.6065,0.5775
52,100,0.6065,0.5775
53,100,0.6065,0.5775
54,100,0.6065,0.5775
55,100,0.6065,0.5775
56,100,0.6065,0.5775
57,100,0.6065,0.5775
58,100,0.6065,0.5775
59,100,0.6065,0.5775
60,100,0.6065,0.5775
61,100,0.6065,0.5775
62,100,0.6065,0.5775
63,100,0.6065,0.5775
64,100,0.6065,0.5775
65,100,0.6065,0.5775
66,100,0.6065,0.5775
67,100,0.6065,0.5775
68,100,0.6065,0.5775
69,100,0.6065,0.5775
70,100,0.6065,0.5775
71,100,0.6065,0.5775
72,100,0.6065,0.5775
73,100,0.6065,0.5775
74,100,0.6065,0.5775
75,100,0.6065,0.5775
76,100,0.6065,0.5775
77,100,0.6065,0.5775
78,100,0.6065,0.5775
79,100,0.6065,0.5775
80,100,0.6065,0.5775
81,100,0.6065,0.5775
82,100,0.6065,0.5775
83,100,0.6065,0.5775
84,100,0.6065,0.5775
85,100,0.6065,0.5775
86,100,0.6065,0.5775
87,100,0.6065,0.5775
88,100,0.6065,0.5775
89,100,0.6065,0.5775
90,100,0.6065,0.5775
91,100,0.6065,0.5775
92,100,0.6065,0.5775
93,100,0.6065,0.5775
94,100,0.6065,0.5775
95,100,0.6065,0.5775
96,100,0.6065,0.5775
97,100,0.6065,0.5775
98,100,0.6065,0.5775
99,100,0.6065,0.5775
100,100,0.6065,0.5775
101,100,0.6065,0.5775
102,100,0.6065,0.5775
103,100,0.6065,0.5775
104,100,0.6065,0.5775
105,100,0.6065,0.5775
106,100,0.6065,0.5775
107,100,0.6065,0.5775
108,100,0.6065,0.5775
109,100,0.6065,0.5775
110,100,0.6065,0.5775
111,100,0.6065,0.5775
112,100,0.6065,0.5775
113,100,0.6065,0.5775
114,100,0.6065,0.5775
115,100,0.6065,0.5775
116,100,0.6065,0.5775
117,100,0.6065,0.5775
118,100,0.6065,0.5775
119,100,0.6065,0.5775
120,100,0.6065,0.5775
121,100,0.6065,0.5775
122,100,0.6065,0.5775
123,100,0.6065,0.5775
124,100,0.6065,0.5775
125,100,0.6065,0.5775
126,100,0.6065,0.5775
127,100,0.6065,0.5775
128,100,0.6065,0.5775
129,100,0.6065,0.5775
130,100,0.6065,0.5775
131,100,0.6065,0.5775
132,100,0.6065,0.5775
133,100,0.6065,0.5775
134,100,0.6065,0.5775
135,100,0.6065,0.5775
136,100,0.6065,0.5775
137,100,0.6065,0.5775
138,100,0.6065,0.5775
139,100,0.6065,0.5775
140,100,0.6065,0.5775
141,100,0.6065,0.5775
142,100,0.6065,0.5775
143,100,0.6065,0.5775
144,100,0.6065,0.5775
145,100,0.6065,0.5775
146,100,0.6065,0.5775
147,100,0.6065,0.5775
148,100,0.6065,0.5775
149,100,0.6065,0.5775
150,100,0.6065,0.5775
151,100,0.6065,0.5775
152,100,0.6065,0.5775
153,100,0.6065,0.5775
154,100,0.6065,0.5775
155,100,0.6065,0.5775
156,100,0.6065,0.5775
157,100,0.6065,0.5775
158,100,0.6065,0.5775
159,100,0.6065,0.5775
160,100,0.6065,0.5775
161,100,0.6065,0.5775
162,100,0.6065,0.5775
163,100,0.6065,0.5775
164,100,0.6065,0.5775
165,100,0.6065,0.5775
166,100,0.6065,0.5775
167,100,0.6065,0.5775
168,100,0.6065,0.5775
169,100,0.6065,0.5775
170,100,0.6065,0.5775
171,100,0.6065,0.5775
172,100,0.6065,0.5775
173,100,0.6065,0.5775
174,100,0.6065,0.5775
175,100,0.6065,0.5775
176,100,0.6065,0.5775
177,100,0.6065,0.5775
178,100,0.6065,0.5775
179,100,0.6065,0.5775
180,100,0.6065,0.5775
181,100,0.6065,0.5775
182,100,0.6065,0.5775
183,100,0.6065,0.5775
184,100,0.6065,0.5775
185,100,0.6065,0.5775
186,100,0.6065,0.5775
187,100,0.6065,0.5775
188,100,0.6065,0.5775
189,100,0.6065,0.5775
190,100,0.6065,0.5775
191,100,0.6065,0.5775
192,100,0.6065,0.5775
