tick,population,avg_donate_bias,meme_count
1,76,1.0132,1
2,100,1.0100,1
3,100,1.0100,1
4,100,1.0100,1
5,99,1.0101,1
6,100,1.0100,1
7,100,1.0100,1
8,98,1.0102,1
9,99,1.0101,1
10,94,1.0106,1
11,99,1.0101,1
12,96,1.0104,1
13,98,1.0102,1
14,98,1.0102,1
15,96,1.0104,1
16,99,1.0101,1
17,97,1.0103,1
18,97,1.0103,1
19,99,1.0101,1
20,100,1.0100,1
21,97,1.0103,1
22,100,1.0100,1
23,99,1.0101,1
24,98,1.0102,1
25,97,1.0103,1
26,100,1.0100,1
27,98,1.0102,1
28,100,1.0100,1
29,97,1.0103,1
30,99,1.0101,1
31,99,1.0101,1
32,98,1.0102,1
33,98,1.0102,1
34,98,1.0102,1
35,96,1.0104,1
36,99,1.0101,1
37,99,1.0101,1
38,97,1.0103,1
39,100,1.0100,1
40,97,1.0103,1
41,97,1.0103,1
42,99,1.0101,1
43,97,1.0103,1
44,97,1.0103,1
45,96,1.0104,1
46,99,1.0101,1
47,99,1.0101,1
48,100,1.0100,1
49,99,1.0101,1
50,99,1.0101,1
51,99,1.0101,1
52,97,1.0103,1
53,98,1.0102,1
54,99,1.0101,1
55,98,1.0102,1
56,99,1.0101,1
57,98,1.0102,1
58,98,1.0102,1
59,99,1.0101,1
60,99,1.0101,1
61,100,1.0100,1
62,98,1.0102,1
63,100,1.0100,1
64,100,1.0100,1
65,100,1.0100,1
66,98,1.0102,1
67,98,1.0102,1
68,97,1.0103,1
69,100,1.0100,1
70,100,1.0100,1
71,99,1.0101,1
72,98,1.0102,1
73,97,1.0103,1
74,97,1.0103,1
75,98,1.0102,1
76,100,1.0100,1
77,99,1.0101,1
78,99,1.0101,1
79,98,1.0102,1
80,100,1.0100,1
81,99,1.0101,1
82,97,1.0103,1
83,98,1.0102,1
84,100,1.0100,1
85,99,1.0101,1
86,98,1.0102,1
87,99,1.0101,1
88,98,1.0102,1
89,98,1.0102,1
90,100,1.0100,1
91,99,1.0101,1
92,98,1.0102,1
93,97,1.0103,1
94,99,1.0101,1
95,98,1.0102,1
96,100,1.0100,1
97,98,1.0102,1
98,98,1.0102,1
99,99,1.0101,1
100,100,1.0100,1
101,99,1.0101,1
102,99,1.0101,1
103,99,1.0101,1
104,97,1.0103,1
105,100,1.0100,1
106,99,1.0101,1
107,99,1.0101,1
108,100,1.0100,1
109,99,1.0101,1
110,100,1.0100,1
111,100,1.0100,1
112,100,1.0100,1
113,100,1.0100,1
114,94,1.0106,1
115,99,1.0101,1
116,100,1.0100,1
117,98,1.0102,1
118,98,1.0102,1
119,99,1.0101,1
120,98,1.0102,1
121,97,1.0103,1
122,99,1.0101,1
123,99,1.0101,1
124,100,1.0100,1
125,98,1.0102,1
126,98,1.0102,1
127,98,1.0000,0
128,90,1.0000,0
129,99,1.0000,0
130,98,1.0000,0
131,99,1.0000,0
132,98,1.0000,0
133,94,1.0000,0
134,98,1.0000,0
135,99,1.0000,0
136,99,1.0000,0
137,99,1.0000,0
138,97,1.0000,0
139,98,1.0000,0
140,99,1.0000,0
141,98,1.0000,0
142,100,1.0000,0
143,98,1.0000,0
144,97,1.0000,0
145,98,1.0000,0
146,98,1.0000,0
147,98,1.0000,0
148,99,1.0000,0
149,100,1.0000,0
150,99,1.0000,0
151,97,1.0000,0
152,100,1.0000,0
153,98,1.0000,0
154,100,1.0000,0
155,99,1.0000,0
156,100,1.0000,0
157,99,1.0000,0
158,99,1.0000,0
159,99,1.0000,0
160,99,1.0000,0
161,98,1.0000,0
162,97,1.0000,0
163,97,1.0000,0
164,98,1.0000,0
165,99,1.0000,0
166,98,1.0000,0
167,100,1.0000,0
168,99,1.0000,0
169,98,1.0000,0
170,98,1.0000,0
171,98,1.0000,0
172,99,1.0000,0
173,97,1.0000,0
174,99,1.0000,0
175,100,1.0000,0
176,98,1.0000,0
177,98,1.0000,0
178,96,1.0000,0
179,98,1.0000,0
180,98,1.0000,0
181,98,1.0000,0
182,97,1.0000,0
183,99,1.0000,0
184,98,1.0000,0
185,97,1.0000,0
186,100,1.0000,0
187,96,1.0000,0
188,100,1.0000,0
189,99,1.0000,0
190,99,1.0000,0
191,100,1.0000,0
192,99,1.0000,0
193,98,1.0000,0
194,100,1.0000,0
195,98,1.0000,0
196,100,1.0000,0
197,99,1.0000,0
198,99,1.0000,0
199,97,1.0000,0
200,98,1.0000,0
201,99,1.0000,0
202,100,1.0000,0
203,99,1.0000,0
204,100,1.0000,0
205,98,1.0000,0
206,97,1.0000,0
207,100,1.0000,0
208,99,1.0000,0
209,96,1.0000,0
210,99,1.0000,0
211,98,1.0000,0
212,99,1.0000,0
213,99,1.0000,0
214,100,1.0000,0
215,99,1.0000,0
216,98,1.0000,0
217,98,1.0000,0
218,99,1.0000,0
219,97,1.0000,0
220,98,1.0000,0
221,99,1.0000,0
222,99,1.0000,0
223,99,1.0000,0
224,97,1.0000,0
225,99,1.0000,0
226,99,1.0000,0
227,98,1.0000,0
228,98,1.0000,0
229,99,1.0000,0
230,98,1.0000,0
231,100,1.0000,0
232,99,1.0000,0
233,100,1.0000,0
234,99,1.0000,0
235,99,1.0000,0
236,100,1.0000,0
237,97,1.0000,0
238,98,1.0000,0
239,98,1.0000,0
240,99,1.0000,0
241,98,1.0000,0
242,96,1.0000,0
243,100,1.0000,0
244,99,1.0000,0
