tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
1,0.53,80,5,284.9,0.4895
2,0.56,95,5,316.9,0.5047
3,0.59,95,5,320.3,0.5047
4,0.62,95,5,323.8,0.5047
5,0.65,95,5,327.8,0.5047
6,0.68,95,5,332.0,0.5047
7,0.71,95,5,336.4,0.5047
8,0.74,95,5,341.1,0.5047
9,0.77,95,5,346.1,0.5047
10,0.79,95,5,351.2,0.5047
11,0.82,95,5,356.5,0.5047
12,0.84,95,5,362.2,0.5047
13,0.86,95,5,368.1,0.5047
14,0.89,95,5,374.2,0.5047
15,0.90,95,5,380.2,0.5047
16,0.92,95,5,386.4,0.5047
17,0.94,95,5,392.8,0.5047
18,0.95,95,5,399.4,0.5047
19,0.96,95,5,405.9,0.5047
20,0.98,95,5,412.6,0.5047
21,0.98,95,5,419.3,0.5047
22,0.99,95,5,426.2,0.5047
23,1.00,95,5,433.0,0.5047
24,1.00,95,5,439.8,0.5047
25,1.00,95,5,446.6,0.5047
26,1.00,95,5,453.3,0.5047
27,1.00,95,5,460.0,0.5047
28,0.99,95,5,466.9,0.5047
29,0.98,95,5,473.4,0.5047
30,0.98,95,5,479.9,0.5047
31,0.96,95,5,486.2,0.5047
32,0.95,95,5,492.5,0.5047
33,0.94,95,5,498.5,0.5047
34,0.92,95,5,504.3,0.5047
35,0.90,95,5,509.8,0.5047
36,0.89,95,5,515.4,0.5047
37,0.86,95,5,520.6,0.5047
38,0.84,95,5,525.6,0.5047
39,0.82,95,5,530.2,0.5047
40,0.79,95,5,534.6,0.5047
41,0.77,95,5,538.7,0.5047
42,0.74,95,5,542.6,0.5047
43,0.71,95,5,546.1,0.5047
44,0.68,95,5,549.3,0.5047
45,0.65,95,5,552.3,0.5047
46,0.62,95,5,554.9,0.5047
47,0.59,95,5,557.3,0.5047
48,0.56,95,5,559.2,0.5047
49,0.53,95,5,560.8,0.5047
50,0.50,95,5,562.2,0.5047
51,0.47,95,5,563.2,0.5047
52,0.44,95,5,563.8,0.5047
53,0.41,95,5,564.2,0.5047
54,0.38,95,5,564.3,0.5047
55,0.35,95,5,564.1,0.5047
56,0.32,95,5,563.6,0.5047
57,0.29,95,5,562.8,0.5047
58,0.26,95,5,561.8,0.5047
59,0.23,95,5,560.5,0.5047
60,0.21,95,5,558.9,0.5047
61,0.18,95,5,557.0,0.5047
62,0.16,95,5,554.9,0.5047
63,0.14,95,5,552.7,0.5047
64,0.11,95,5,550.3,0.5047
65,0.10,95,5,547.6,0.5047
66,0.08,95,5,544.7,0.5047
67,0.06,95,5,541.7,0.5047
68,0.05,95,5,538.7,0.5047
69,0.04,95,5,535.4,0.5047
70,0.02,95,5,532.3,0.5047
71,0.02,95,5,528.9,0.5047
72,0.01,95,5,525.5,0.5047
73,0.00,95,5,522.1,0.5047
74,0.00,95,5,518.7,0.5047
75,0.00,95,5,515.5,0.5047
76,0.00,95,5,512.0,0.5047
77,0.00,95,5,508.8,0.5047
78,0.01,95,5,505.5,0.5047
79,0.02,95,5,502.2,0.5047
80,0.02,95,5,499.2,0.5047
81,0.04,95,5,496.2,0.5047
82,0.05,95,5,493.4,0.5047
83,0.06,95,5,490.6,0.5047
84,0.08,95,5,488.0,0.5047
85,0.10,95,5,485.7,0.5047
86,0.11,95,5,483.6,0.5047
87,0.14,95,5,481.7,0.5047
88,0.16,95,5,480.0,0.5047
89,0.18,95,5,478.5,0.5047
90,0.21,95,5,477.2,0.5047
91,0.23,95,5,476.5,0.5047
92,0.26,95,5,475.9,0.5047
93,0.29,95,5,475.4,0.5047
94,0.32,95,5,475.5,0.5047
95,0.35,95,5,475.8,0.5047
96,0.38,95,5,476.1,0.5047
97,0.41,95,5,477.0,0.5047
98,0.44,95,5,478.1,0.5047
99,0.47,95,5,479.6,0.5047
100,0.50,95,5,481.2,0.5047
101,0.53,95,5,483.3,0.5047
102,0.56,95,5,485.7,0.5047
103,0.59,95,5,488.3,0.5047
104,0.62,95,5,491.2,0.5047
105,0.65,95,5,494.5,0.5047
106,0.68,95,5,498.0,0.5047
107,0.71,95,5,501.7,0.5047
108,0.74,95,5,505.8,0.5047
109,0.77,95,5,510.0,0.5047
110,0.79,95,5,514.6,0.5047
111,0.82,95,5,519.2,0.5047
112,0.84,95,5,524.2,0.5047
113,0.86,95,5,529.5,0.5047
114,0.89,95,5,534.8,0.5047
115,0.90,95,5,540.2,0.5047
116,0.92,95,5,545.8,0.5047
117,0.94,95,5,551.6,0.5047
118,0.95,95,5,557.5,0.5047
119,0.96,95,5,563.4,0.5047
120,0.98,95,5,569.5,0.5047
121,0.98,95,5,575.5,0.5047
122,0.99,95,5,581.7,0.5047
123,1.00,95,5,588.0,0.5047
124,1.00,95,5,594.1,0.5047
125,1.00,95,5,600.2,0.5047
126,1.00,95,5,606.3,0.5047
127,1.00,95,5,612.5,0.5047
128,0.99,95,5,618.5,0.5047
129,0.98,95,5,624.2,0.5047
130,0.98,95,5,630.1,0.5047
131,0.96,95,5,635.6,0.5047
132,0.95,95,5,641.1,0.5047
133,0.94,95,5,646.3,0.5047
134,0.92,95,5,651.4,0.5047
135,0.90,95,5,656.2,0.5047
136,0.89,95,5,661.0,0.5047
137,0.86,95,5,665.5,0.5047
138,0.84,95,5,669.9,0.5047
139,0.82,95,5,673.7,0.5047
140,0.79,95,5,677.3,0.5047
141,0.77,95,5,680.8,0.5047
142,0.74,95,5,684.0,0.5047
143,0.71,95,5,686.7,0.5047
144,0.68,95,5,689.2,0.5047
145,0.65,95,5,691.6,0.5047
146,0.62,95,5,693.5,0.5047
147,0.59,95,5,695.0,0.5047
148,0.56,95,5,696.3,0.5047
149,0.53,95,5,697.4,0.5047
150,0.50,95,5,698.0,0.5047
151,0.47,95,5,698.3,0.5047
152,0.44,95,5,698.3,0.5047
153,0.41,95,5,698.0,0.5047
154,0.38,95,5,697.3,0.5047
155,0.35,95,5,696.5,0.5047
156,0.32,95,5,695.4,0.5047
157,0.29,95,5,693.9,0.5047
158,0.26,95,5,692.2,0.5047
159,0.23,95,5,690.3,0.5047
160,0.21,95,5,688.0,0.5047
161,0.18,95,5,685.5,0.5047
162,0.16,95,5,682.8,0.5047
163,0.14,95,5,679.9,0.5047
164,0.11,95,5,676.9,0.5047
165,0.10,95,5,673.5,0.5047
166,0.08,95,5,670.1,0.5047
167,0.06,95,5,666.4,0.5047
168,0.05,95,5,662.7,0.5047
169,0.04,95,5,658.9,0.5047
170,0.02,95,5,655.1,0.5047
171,0.02,95,5,651.1,0.5047
172,0.01,95,5,647.1,0.5047
173,0.00,95,5,643.1,0.5047
174,0.00,95,5,639.2,0.5047
175,0.00,95,5,635.2,0.5047
176,0.00,95,5,631.3,0.5047
177,0.00,95,5,627.4,0.5047
178,0.01,95,5,623.6,0.5047
179,0.02,95,5,619.7,0.5047
180,0.02,95,5,616.0,0.5047
181,0.04,95,5,612.4,0.5047
182,0.05,95,5,609.1,0.5047
183,0.06,95,5,605.6,0.5047
184,0.08,95,5,602.6,0.5047
185,0.10,95,5,599.7,0.5047
186,0.11,95,5,596.9,0.5047
187,0.14,95,5,594.5,0.5047
188,0.16,95,5,592.2,0.5047
189,0.18,95,5,590.3,0.5047
190,0.21,95,5,588.4,0.5047
191,0.23,95,5,587.0,0.5047
192,0.26,95,5,585.9,0.5047
193,0.29,95,5,584.9,0.5047
194,0.32,95,5,584.4,0.5047
195,0.35,95,5,584.1,0.5047
196,0.38,95,5,584.0,0.5047
197,0.41,95,5,584.3,0.5047
198,0.44,95,5,584.8,0.5047
199,0.47,95,5,585.8,0.5047
200,0.50,95,5,586.9,0.5047
201,0.53,95,5,588.5,0.5047
202,0.56,95,5,590.2,0.5047
203,0.59,95,5,592.4,0.5047
204,0.62,95,5,594.8,0.5047
205,0.65,95,5,597.6,0.5047
206,0.68,95,5,600.6,0.5047
207,0.71,95,5,603.7,0.5047
208,0.74,95,5,607.4,0.5047
209,0.77,95,5,611.1,0.5047
210,0.79,95,5,615.0,0.5047
211,0.82,95,5,619.2,0.5047
212,0.84,95,5,623.8,0.5047
213,0.86,95,5,628.5,0.5047
214,0.89,95,5,633.4,0.5047
215,0.90,95,5,638.3,0.5047
216,0.92,95,5,643.4,0.5047
217,0.94,95,5,648.6,0.5047
218,0.95,95,5,654.0,0.5047
219,0.96,95,5,659.5,0.5047
220,0.98,95,5,665.1,0.5047
221,0.98,95,5,670.7,0.5047
222,0.99,95,5,676.4,0.5047
223,1.00,95,5,682.1,0.5047
224,1.00,95,5,687.8,0.5047
225,1.00,95,5,693.5,0.5047
226,1.00,95,5,699.2,0.5047
227,1.00,95,5,704.7,0.5047
228,0.99,95,5,710.4,0.5047
229,0.98,95,5,715.7,0.5047
230,0.98,95,5,720.9,0.5047
231,0.96,95,5,726.1,0.5047
232,0.95,95,5,731.1,0.5047
233,0.94,95,5,736.0,0.5047
234,0.92,95,5,740.5,0.5047
235,0.90,95,5,744.9,0.5047
236,0.89,95,5,749.3,0.5047
237,0.86,95,5,753.3,0.5047
238,0.84,95,5,757.2,0.5047
239,0.82,95,5,760.6,0.5047
240,0.79,95,5,763.9,0.5047
241,0.77,95,5,766.8,0.5047
242,0.74,95,5,769.6,0.5047
243,0.71,95,5,771.9,0.5047
244,0.68,95,5,774.0,0.5047
245,0.65,95,5,775.9,0.5047
246,0.62,95,5,777.4,0.5047
247,0.59,95,5,778.6,0.5047
248,0.56,95,5,779.4,0.5047
249,0.53,95,5,780.0,0.5047
250,0.50,95,5,780.2,0.5047
251,0.47,95,5,780.2,0.5047
252,0.44,95,5,779.7,0.5047
253,0.41,95,5,779.0,0.5047
254,0.38,95,5,778.0,0.5047
255,0.35,95,5,776.7,0.5047
256,0.32,95,5,775.3,0.5047
257,0.29,95,5,773.3,0.5047
258,0.26,95,5,771.2,0.5047
259,0.23,95,5,769.0,0.5047
260,0.21,95,5,766.3,0.5047
261,0.18,95,5,763.4,0.5047
262,0.16,95,5,760.3,0.5047
263,0.14,95,5,757.0,0.5047
264,0.11,95,5,753.5,0.5047
265,0.10,95,5,749.8,0.5047
266,0.08,95,5,746.0,0.5047
267,0.06,95,5,741.9,0.5047
268,0.05,95,5,737.9,0.5047
269,0.04,95,5,733.7,0.5047
270,0.02,95,5,729.5,0.5047
271,0.02,95,5,725.1,0.5047
272,0.01,95,5,720.8,0.5047
273,0.00,95,5,716.4,0.5047
274,0.00,95,5,712.1,0.5047
275,0.00,95,5,707.8,0.5047
276,0.00,95,5,703.5,0.5047
277,0.00,95,5,699.3,0.5047
278,0.01,95,5,695.0,0.5047
279,0.02,95,5,690.8,0.5047
280,0.02,95,5,686.8,0.5047
281,0.04,95,5,682.8,0.5047
282,0.05,95,5,679.1,0.5047
283,0.06,95,5,675.4,0.5047
284,0.08,95,5,672.0,0.5047
285,0.10,95,5,668.6,0.5047
286,0.11,95,5,665.7,0.5047
287,0.14,95,5,662.8,0.5047
288,0.16,95,5,660.2,0.5047
289,0.18,95,5,657.9,0.5047
290,0.21,95,5,655.7,0.5047
291,0.23,95,5,654.0,0.5047
292,0.26,95,5,652.5,0.5047
293,0.29,95,5,651.3,0.5047
294,0.32,95,5,650.4,0.5047
295,0.35,95,5,649.8,0.5047
296,0.38,95,5,649.3,0.5047
297,0.41,95,5,649.3,0.5047
298,0.44,95,5,649.5,0.5047
299,0.47,95,5,650.2,0.5047
300,0.50,95,5,651.0,0.5047
301,0.53,95,5,652.2,0.5047
302,0.56,95,5,653.7,0.5047
303,0.59,95,5,655.5,0.5047
304,0.62,95,5,657.5,0.5047
305,0.65,95,5,660.0,0.5047
306,0.68,95,5,662.8,0.5047
307,0.71,95,5,665.6,0.5047
308,0.74,95,5,668.8,0.5047
309,0.77,95,5,672.3,0.5047
310,0.79,95,5,675.9,0.5047
311,0.82,95,5,679.8,0.5047
312,0.84,95,5,684.0,0.5047
313,0.86,95,5,688.5,0.5047
314,0.89,95,5,693.1,0.5047
315,0.90,95,5,697.7,0.5047
316,0.92,95,5,702.5,0.5047
317,0.94,95,5,707.4,0.5047
318,0.95,95,5,712.5,0.5047
319,0.96,95,5,717.7,0.5047
320,0.98,95,5,723.0,0.5047
321,0.98,95,5,728.3,0.5047
322,0.99,95,5,733.7,0.5047
323,1.00,95,5,739.2,0.5047
324,1.00,95,5,744.6,0.5047
325,1.00,95,5,749.9,0.5047
326,1.00,95,5,755.3,0.5047
327,1.00,95,5,760.7,0.5047
328,0.99,95,5,765.9,0.5047
329,0.98,95,5,771.0,0.5047
330,0.98,95,5,776.1,0.5047
331,0.96,95,5,780.9,0.5047
332,0.95,95,5,785.6,0.5047
333,0.94,95,5,790.2,0.5047
334,0.92,95,5,794.6,0.5047
335,0.90,95,5,798.7,0.5047
336,0.89,95,5,802.7,0.5047
337,0.86,95,5,806.6,0.5047
338,0.84,95,5,810.2,0.5047
339,0.82,95,5,813.3,0.5047
340,0.79,95,5,816.2,0.5047
341,0.77,95,5,819.0,0.5047
342,0.74,95,5,821.5,0.5047
343,0.71,95,5,823.5,0.5047
344,0.68,95,5,825.4,0.5047
