tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
1,0.53,95,5,298.3,0.4609
2,0.56,95,5,271.5,0.4609
3,0.59,95,5,247.9,0.4609
4,0.62,95,5,227.9,0.4609
5,0.65,95,5,214.2,0.4593
6,0.68,95,5,201.7,0.4610
7,0.71,95,5,193.1,0.4567
8,0.74,95,5,178.8,0.4532
9,0.77,95,5,166.7,0.4493
10,0.79,95,5,158.9,0.4468
11,0.82,95,5,154.6,0.4446
12,0.84,95,5,154.5,0.4369
13,0.86,95,5,150.0,0.4369
14,0.89,95,5,155.6,0.4372
15,0.90,95,5,160.7,0.4412
16,0.92,95,5,161.3,0.4412
17,0.94,95,5,162.7,0.4412
18,0.95,95,5,164.9,0.4412
19,0.96,95,5,172.4,0.4438
20,0.98,95,5,176.1,0.4438
21,0.98,95,5,186.3,0.4432
22,0.99,95,5,201.3,0.4491
23,1.00,95,5,206.2,0.4491
24,1.00,95,5,215.9,0.4570
25,1.00,95,5,226.2,0.4598
26,1.00,95,5,231.3,0.4598
27,1.00,95,5,236.5,0.4598
28,0.99,95,5,241.8,0.4598
29,0.98,95,5,251.8,0.4597
30,0.98,95,5,256.5,0.4597
31,0.96,95,5,261.0,0.4597
32,0.95,95,5,265.7,0.4597
33,0.94,95,5,275.2,0.4587
34,0.92,95,5,279.7,0.4587
35,0.90,95,5,283.7,0.4587
36,0.89,95,5,287.6,0.4587
37,0.86,95,5,291.3,0.4587
38,0.84,95,5,295.4,0.4587
39,0.82,95,5,298.8,0.4587
40,0.79,95,5,301.9,0.4587
41,0.77,95,5,305.2,0.4587
42,0.74,95,5,308.4,0.4587
43,0.71,95,5,321.2,0.4597
44,0.68,95,5,323.4,0.4597
45,0.65,95,5,325.4,0.4597
46,0.62,95,5,332.2,0.4590
47,0.59,95,5,333.4,0.4590
48,0.56,95,5,334.5,0.4590
49,0.53,95,5,335.1,0.4590
50,0.50,95,5,335.6,0.4590
51,0.47,95,5,335.9,0.4590
52,0.44,95,5,340.9,0.4584
53,0.41,95,5,340.4,0.4584
54,0.38,95,5,339.7,0.4584
55,0.35,95,5,339.3,0.4584
56,0.32,95,5,343.7,0.4569
57,0.29,95,5,342.3,0.4569
58,0.26,95,5,345.3,0.4556
59,0.23,95,5,343.2,0.4556
60,0.21,95,5,346.1,0.4571
61,0.18,95,5,343.4,0.4571
62,0.16,95,5,345.5,0.4493
63,0.14,95,5,342.2,0.4493
64,0.11,95,5,338.8,0.4493
65,0.10,95,5,335.5,0.4493
66,0.08,95,5,331.9,0.4493
67,0.06,95,5,328.5,0.4493
68,0.05,95,5,325.2,0.4493
69,0.04,95,5,321.7,0.4493
70,0.02,95,5,318.3,0.4493
71,0.02,95,5,320.2,0.4478
72,0.01,95,5,326.9,0.4455
73,0.00,95,5,323.2,0.4455
74,0.00,95,5,319.6,0.4455
75,0.00,95,5,321.1,0.4469
76,0.00,95,5,317.2,0.4469
77,0.00,95,5,318.5,0.4476
78,0.01,95,5,319.4,0.4500
79,0.02,95,5,315.1,0.4500
80,0.02,95,5,311.1,0.4500
81,0.04,95,5,307.3,0.4500
82,0.05,95,5,303.9,0.4500
83,0.06,95,5,300.6,0.4500
84,0.08,95,5,302.5,0.4556
85,0.10,95,5,304.5,0.4503
86,0.11,95,5,301.3,0.4503
87,0.14,95,5,298.4,0.4503
88,0.16,95,5,295.7,0.4503
89,0.18,95,5,293.2,0.4503
90,0.21,95,5,290.9,0.4503
91,0.23,95,5,289.3,0.4503
92,0.26,95,5,287.9,0.4503
93,0.29,95,5,286.8,0.4503
94,0.32,95,5,286.3,0.4503
95,0.35,95,5,286.0,0.4503
96,0.38,95,5,296.3,0.4605
97,0.41,95,5,301.1,0.4605
98,0.44,95,5,301.4,0.4605
99,0.47,95,5,302.3,0.4605
100,0.50,95,5,308.4,0.4621
101,0.53,95,5,309.9,0.4621
102,0.56,95,5,316.6,0.4647
103,0.59,95,5,318.2,0.4647
104,0.62,95,5,320.3,0.4647
105,0.65,95,5,322.7,0.4647
106,0.68,95,5,330.4,0.4655
107,0.71,95,5,333.0,0.4655
108,0.74,95,5,336.4,0.4655
109,0.77,95,5,339.4,0.4655
