tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
1,180,20,0.8727,0.4956,0.8937,0.5177
2,180,20,0.8727,0.4956,0.8937,0.5177
3,180,20,0.8727,0.4956,0.8937,0.5177
4,180,20,0.8727,0.4956,0.8937,0.5177
5,180,20,0.8727,0.4956,0.8937,0.5177
6,180,20,0.8727,0.4956,0.8937,0.5177
7,180,20,0.8727,0.4956,0.8937,0.5177
8,177,20,0.8724,0.4943,0.8937,0.5177
9,179,20,0.8718,0.4942,0.8937,0.5177
10,180,20,0.8717,0.4932,0.8937,0.5177
11,178,20,0.8723,0.4921,0.8937,0.5177
12,178,20,0.8724,0.4921,0.8937,0.5177
13,175,20,0.8709,0.4907,0.8937,0.5177
14,179,20,0.8702,0.4915,0.8937,0.5177
15,177,20,0.8696,0.4915,0.8937,0.5177
16,177,20,0.8685,0.4916,0.8937,0.5177
17,174,20,0.8683,0.4922,0.8937,0.5177
18,178,20,0.8674,0.4937,0.8937,0.5177
19,174,20,0.8669,0.4942,0.8937,0.5177
20,175,20,0.8671,0.4965,0.8937,0.5177
21,175,20,0.8681,0.4933,0.8937,0.5177
22,174,20,0.8687,0.4974,0.8937,0.5177
23,177,20,0.8679,0.4951,0.8937,0.5177
24,175,20,0.8678,0.4956,0.8937,0.5177
25,177,20,0.8700,0.4959,0.8937,0.5177
26,175,20,0.8714,0.4964,0.8937,0.5177
27,171,20,0.8686,0.4933,0.8937,0.5177
28,177,20,0.8659,0.4925,0.8937,0.5177
29,175,20,0.8665,0.4939,0.8937,0.5177
30,175,20,0.8686,0.4934,0.8937,0.5177
31,175,20,0.8692,0.4963,0.8937,0.5177
32,174,20,0.8677,0.4982,0.8937,0.5177
33,176,20,0.8660,0.4982,0.8937,0.5177
34,175,20,0.8643,0.5012,0.8937,0.5177
35,174,20,0.8630,0.4995,0.8937,0.5177
36,175,20,0.8611,0.4952,0.8937,0.5177
37,178,20,0.8600,0.4944,0.8937,0.5177
38,177,20,0.8596,0.4952,0.8937,0.5177
39,174,20,0.8584,0.4953,0.8937,0.5177
40,178,20,0.8574,0.4979,0.8937,0.5177
41,179,20,0.8576,0.5001,0.8937,0.5177
42,175,20,0.8575,0.5005,0.8937,0.5177
43,176,20,0.8551,0.4975,0.8937,0.5177
44,177,20,0.8560,0.4975,0.8937,0.5177
45,177,20,0.8542,0.4994,0.8937,0.5177
46,179,20,0.8533,0.5010,0.8937,0.5177
47,178,20,0.8520,0.5018,0.8937,0.5177
48,178,20,0.8506,0.4999,0.8937,0.5177
49,179,20,0.8494,0.4989,0.8937,0.5177
50,179,20,0.8492,0.4985,0.8937,0.5177
51,177,20,0.8486,0.4991,0.8937,0.5177
52,177,20,0.8488,0.4982,0.8937,0.5177
53,177,20,0.8494,0.5005,0.8937,0.5177
54,179,20,0.8491,0.5008,0.8937,0.5177
55,175,20,0.8488,0.4995,0.8937,0.5177
56,178,20,0.8486,0.4988,0.8937,0.5177
57,177,20,0.8493,0.4984,0.8937,0.5177
58,178,20,0.8486,0.4984,0.8937,0.5177
59,180,20,0.8470,0.4981,0.8937,0.5177
60,177,20,0.8481,0.4983,0.8937,0.5177
61,177,20,0.8487,0.4984,0.8937,0.5177
62,175,20,0.8451,0.5001,0.8937,0.5177
63,178,20,0.8441,0.4963,0.8937,0.5177
64,180,20,0.8426,0.4971,0.8937,0.5177
65,175,20,0.8413,0.4954,0.8937,0.5177
66,176,20,0.8350,0.4993,0.8937,0.5177
67,178,20,0.8328,0.4950,0.8937,0.5177
68,175,20,0.8361,0.4969,0.8937,0.5177
69,174,20,0.8376,0.4994,0.8937,0.5177
70,176,20,0.8362,0.5018,0.8937,0.5177
71,177,20,0.8369,0.5004,0.8937,0.5177
72,175,20,0.8382,0.5052,0.8937,0.5177
73,176,20,0.8398,0.5107,0.8937,0.5177
74,178,20,0.8359,0.5094,0.8937,0.5177
75,180,20,0.8354,0.5073,0.8937,0.5177
76,173,20,0.8365,0.5034,0.8937,0.5177
77,179,20,0.8341,0.5029,0.8937,0.5177
78,177,20,0.8336,0.5016,0.8937,0.5177
79,176,20,0.8354,0.5060,0.8937,0.5177
80,176,20,0.8323,0.5070,0.8937,0.5177
81,177,20,0.8353,0.5131,0.8937,0.5177
82,175,20,0.8302,0.5102,0.8937,0.5177
83,174,20,0.8279,0.5109,0.8937,0.5177
84,177,20,0.8293,0.5120,0.8937,0.5177
85,180,20,0.8279,0.5146,0.8937,0.5177
86,178,20,0.8275,0.5149,0.8937,0.5177
87,173,20,0.8252,0.5185,0.8937,0.5177
88,179,20,0.8248,0.5227,0.8937,0.5177
89,178,20,0.8264,0.5227,0.8937,0.5177
90,175,20,0.8280,0.5226,0.8937,0.5177
91,179,20,0.8295,0.5267,0.8937,0.5177
92,177,20,0.8286,0.5240,0.8937,0.5177
93,178,20,0.8270,0.5251,0.8937,0.5177
94,175,20,0.8252,0.5275,0.8937,0.5177
95,177,20,0.8225,0.5269,0.8937,0.5177
96,175,20,0.8227,0.5286,0.8937,0.5177
97,175,20,0.8225,0.5340,0.8937,0.5177
98,176,20,0.8220,0.5307,0.8937,0.5177
99,176,20,0.8247,0.5316,0.8937,0.5177
100,179,20,0.8268,0.5382,0.8937,0.5177
101,177,20,0.8257,0.5385,0.8937,0.5177
102,177,20,0.8251,0.5415,0.8937,0.5177
103,178,20,0.8244,0.5434,0.8937,0.5177
104,179,20,0.8220,0.5418,0.8937,0.5177
105,176,20,0.8209,0.5410,0.8937,0.5177
106,178,20,0.8239,0.5432,0.8937,0.5177
107,172,20,0.8218,0.5487,0.8937,0.5177
108,177,20,0.8204,0.5544,0.8937,0.5177
109,177,20,0.8214,0.5581,0.8937,0.5177
110,178,20,0.8237,0.5555,0.8937,0.5177
111,177,20,0.8241,0.5556,0.8937,0.5177
112,177,20,0.8197,0.5577,0.8937,0.5177
113,178,20,0.8191,0.5563,0.8937,0.5177
114,177,20,0.8180,0.5586,0.8937,0.5177
115,178,20,0.8171,0.5615,0.8937,0.5177
116,176,20,0.8170,0.5602,0.8937,0.5177
117,176,20,0.8182,0.5665,0.8937,0.5177
118,175,20,0.8180,0.5719,0.8937,0.5177
119,177,20,0.8138,0.5682,0.8937,0.5177
120,177,20,0.8162,0.5762,0.8937,0.5177
121,174,20,0.8127,0.5727,0.8937,0.5177
122,178,20,0.8108,0.5758,0.8937,0.5177
123,176,20,0.8125,0.5742,0.8937,0.5177
124,178,20,0.8144,0.5716,0.8937,0.5177
125,177,20,0.8160,0.5732,0.8937,0.5177
126,176,20,0.8165,0.5761,0.8937,0.5177
127,176,20,0.8154,0.5761,0.8937,0.5177
128,179,20,0.8163,0.5797,0.8937,0.5177
129,180,20,0.8156,0.5791,0.8937,0.5177
130,178,20,0.8164,0.5757,0.8937,0.5177
131,179,20,0.8153,0.5745,0.8937,0.5177
132,174,20,0.8105,0.5788,0.8937,0.5177
133,175,20,0.8049,0.5771,0.8937,0.5177
134,177,20,0.8061,0.5800,0.8937,0.5177
135,174,20,0.8052,0.5832,0.8937,0.5177
136,175,20,0.8115,0.5846,0.8937,0.5177
137,175,20,0.8093,0.5828,0.8937,0.5177
138,179,20,0.8140,0.5861,0.8937,0.5177
139,179,20,0.8134,0.5861,0.8937,0.5177
140,176,20,0.8154,0.5868,0.8937,0.5177
141,178,20,0.8197,0.5897,0.8937,0.5177
142,179,20,0.8229,0.5890,0.8937,0.5177
143,175,20,0.8163,0.5907,0.8937,0.5177
144,175,20,0.8151,0.5985,0.8937,0.5177
145,177,20,0.8169,0.5971,0.8937,0.5177
146,174,20,0.8212,0.5992,0.8937,0.5177
147,178,20,0.8190,0.5976,0.8937,0.5177
148,176,20,0.8199,0.6013,0.8937,0.5177
149,178,20,0.8233,0.6017,0.8937,0.5177
150,176,20,0.8271,0.6019,0.8937,0.5177
151,175,20,0.8305,0.5980,0.8937,0.5177
152,180,20,0.8353,0.5996,0.8937,0.5177
153,178,20,0.8349,0.6025,0.8937,0.5177
154,176,20,0.8334,0.5985,0.8937,0.5177
155,178,20,0.8368,0.5965,0.8937,0.5177
156,176,20,0.8387,0.5900,0.8937,0.5177
157,174,20,0.8464,0.5952,0.8937,0.5177
158,176,20,0.8534,0.6044,0.8937,0.5177
