tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
1,200,20,0.8793,0.4953,0.8672,0.5181
2,200,20,0.8793,0.4953,0.8672,0.5181
3,200,20,0.8793,0.4953,0.8672,0.5181
4,200,20,0.8793,0.4953,0.8672,0.5181
5,200,20,0.8793,0.4953,0.8672,0.5181
6,199,20,0.8794,0.4950,0.8672,0.5181
7,200,20,0.8787,0.4939,0.8672,0.5181
8,198,20,0.8786,0.4923,0.8672,0.5181
9,200,20,0.8787,0.4916,0.8672,0.5181
10,197,20,0.8794,0.4918,0.8672,0.5181
11,197,20,0.8805,0.4926,0.8672,0.5181
12,193,20,0.8803,0.4931,0.8672,0.5181
13,189,20,0.8794,0.4942,0.8672,0.5181
14,191,20,0.8797,0.4980,0.8672,0.5181
15,194,20,0.8813,0.5008,0.8672,0.5181
16,191,20,0.8806,0.5026,0.8672,0.5181
17,190,20,0.8799,0.4982,0.8672,0.5181
18,187,20,0.8788,0.4937,0.8672,0.5181
19,196,20,0.8766,0.4917,0.8672,0.5181
20,192,20,0.8773,0.4915,0.8672,0.5181
21,195,20,0.8766,0.4907,0.8672,0.5181
22,195,20,0.8756,0.4905,0.8672,0.5181
23,193,20,0.8745,0.4920,0.8672,0.5181
24,194,20,0.8749,0.4936,0.8672,0.5181
25,193,20,0.8749,0.4906,0.8672,0.5181
26,195,20,0.8749,0.4911,0.8672,0.5181
27,197,20,0.8740,0.4907,0.8672,0.5181
28,200,20,0.8728,0.4885,0.8672,0.5181
29,197,20,0.8731,0.4879,0.8672,0.5181
30,194,20,0.8727,0.4891,0.8672,0.5181
31,194,20,0.8707,0.4878,0.8672,0.5181
32,198,20,0.8720,0.4843,0.8672,0.5181
33,200,20,0.8717,0.4850,0.8672,0.5181
34,195,20,0.8720,0.4829,0.8672,0.5181
35,199,20,0.8716,0.4831,0.8672,0.5181
36,196,20,0.8718,0.4847,0.8672,0.5181
37,199,20,0.8720,0.4864,0.8672,0.5181
38,195,20,0.8721,0.4863,0.8672,0.5181
39,198,20,0.8711,0.4864,0.8672,0.5181
40,196,20,0.8704,0.4865,0.8672,0.5181
41,197,20,0.8700,0.4891,0.8672,0.5181
42,198,20,0.8715,0.4903,0.8672,0.5181
43,196,20,0.8715,0.4922,0.8672,0.5181
44,199,20,0.8711,0.4928,0.8672,0.5181
45,195,20,0.8727,0.4934,0.8672,0.5181
46,200,20,0.8708,0.4928,0.8672,0.5181
47,197,20,0.8711,0.4929,0.8672,0.5181
48,199,20,0.8703,0.4934,0.8672,0.5181
49,194,20,0.8699,0.4942,0.8672,0.5181
50,196,20,0.8698,0.4958,0.8672,0.5181
51,198,20,0.8711,0.4963,0.8672,0.5181
52,194,20,0.8706,0.4965,0.8672,0.5181
53,196,20,0.8695,0.4961,0.8672,0.5181
54,194,20,0.8701,0.4940,0.8672,0.5181
55,192,20,0.8677,0.4950,0.8672,0.5181
56,192,20,0.8673,0.4961,0.8672,0.5181
57,192,20,0.8659,0.4970,0.8672,0.5181
58,196,20,0.8660,0.4979,0.8672,0.5181
59,195,20,0.8685,0.4994,0.8672,0.5181
60,195,20,0.8687,0.4991,0.8672,0.5181
61,194,20,0.8670,0.4983,0.8672,0.5181
62,194,20,0.8664,0.5016,0.8672,0.5181
63,192,20,0.8668,0.5016,0.8672,0.5181
64,194,20,0.8663,0.4991,0.8672,0.5181
65,196,20,0.8672,0.4955,0.8672,0.5181
66,194,20,0.8653,0.5004,0.8672,0.5181
67,193,20,0.8687,0.5054,0.8672,0.5181
68,191,20,0.8665,0.5059,0.8672,0.5181
69,197,20,0.8662,0.5076,0.8672,0.5181
70,196,20,0.8656,0.5069,0.8672,0.5181
71,199,20,0.8651,0.5078,0.8672,0.5181
72,195,20,0.8644,0.5091,0.8672,0.5181
73,198,20,0.8636,0.5083,0.8672,0.5181
74,197,20,0.8629,0.5085,0.8672,0.5181
75,195,20,0.8623,0.5114,0.8672,0.5181
76,197,20,0.8611,0.5123,0.8672,0.5181
77,194,20,0.8629,0.5129,0.8672,0.5181
78,196,20,0.8630,0.5133,0.8672,0.5181
79,197,20,0.8619,0.5152,0.8672,0.5181
80,197,20,0.8607,0.5169,0.8672,0.5181
81,199,20,0.8604,0.5154,0.8672,0.5181
82,197,20,0.8620,0.5130,0.8672,0.5181
83,195,20,0.8599,0.5172,0.8672,0.5181
84,193,20,0.8610,0.5174,0.8672,0.5181
85,198,20,0.8629,0.5165,0.8672,0.5181
86,197,20,0.8640,0.5148,0.8672,0.5181
87,197,20,0.8615,0.5116,0.8672,0.5181
88,197,20,0.8611,0.5125,0.8672,0.5181
89,196,20,0.8604,0.5089,0.8672,0.5181
90,196,20,0.8635,0.5094,0.8672,0.5181
91,196,20,0.8620,0.5104,0.8672,0.5181
92,195,20,0.8613,0.5079,0.8672,0.5181
93,196,20,0.8591,0.5077,0.8672,0.5181
94,198,20,0.8588,0.5068,0.8672,0.5181
95,196,20,0.8578,0.5064,0.8672,0.5181
96,194,20,0.8587,0.5066,0.8672,0.5181
97,197,20,0.8587,0.5060,0.8672,0.5181
98,195,20,0.8587,0.5092,0.8672,0.5181
99,192,20,0.8606,0.5077,0.8672,0.5181
100,197,20,0.8590,0.5070,0.8672,0.5181
101,196,20,0.8610,0.5074,0.8672,0.5181
102,195,20,0.8608,0.5031,0.8672,0.5181
103,196,20,0.8648,0.5039,0.8672,0.5181
104,188,20,0.8664,0.5007,0.8672,0.5181
105,196,20,0.8657,0.5025,0.8672,0.5181
106,197,20,0.8671,0.5000,0.8672,0.5181
107,196,20,0.8674,0.5027,0.8672,0.5181
108,195,20,0.8637,0.4982,0.8672,0.5181
109,193,20,0.8658,0.4994,0.8672,0.5181
110,198,20,0.8667,0.4965,0.8672,0.5181
111,194,20,0.8696,0.4956,0.8672,0.5181
112,196,20,0.8676,0.4927,0.8672,0.5181
113,188,20,0.8709,0.4943,0.8672,0.5181
114,195,20,0.8725,0.4940,0.8672,0.5181
115,193,20,0.8732,0.4953,0.8672,0.5181
116,199,20,0.8763,0.4932,0.8672,0.5181
117,196,20,0.8793,0.4952,0.8672,0.5181
118,196,20,0.8764,0.4956,0.8672,0.5181
119,197,20,0.8751,0.4904,0.8672,0.5181
120,198,20,0.8747,0.4934,0.8672,0.5181
121,193,20,0.8753,0.4930,0.8672,0.5181
122,198,20,0.8726,0.4947,0.8672,0.5181
123,198,20,0.8724,0.4941,0.8672,0.5181
124,196,20,0.8714,0.4929,0.8672,0.5181
125,195,20,0.8713,0.4928,0.8672,0.5181
126,193,20,0.8697,0.4962,0.8672,0.5181
