tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff,avg_pred_eff
1,200,20,0.4987,0.5000,0.9016,0.5000
2,200,20,0.4987,0.5000,0.9016,0.5000
3,200,20,0.4987,0.5000,0.9016,0.5000
4,200,20,0.4987,0.5000,0.9016,0.5000
5,200,20,0.4987,0.5000,0.9016,0.5000
6,199,20,0.4987,0.5000,0.9016,0.5000
7,199,20,0.4991,0.5000,0.9019,0.5000
8,200,20,0.4994,0.5000,0.9017,0.5000
9,195,21,0.4994,0.4969,0.9017,0.4995
10,195,26,0.4997,0.5027,0.9024,0.4983
11,198,36,0.4977,0.5039,0.9046,0.4947
12,196,50,0.4979,0.4952,0.9049,0.4959
13,195,50,0.4988,0.4952,0.9044,0.4959
14,199,50,0.5012,0.4952,0.9044,0.4959
15,195,50,0.5019,0.4952,0.9040,0.4959
16,193,50,0.5025,0.4952,0.9052,0.4959
17,197,50,0.5026,0.4952,0.9034,0.4959
18,195,50,0.5029,0.4952,0.9033,0.4959
19,195,50,0.5023,0.4952,0.9041,0.4959
20,196,50,0.5044,0.4952,0.9051,0.4959
21,195,50,0.5049,0.4952,0.9065,0.4959
22,194,50,0.5041,0.4952,0.9072,0.4959
23,189,50,0.5048,0.4952,0.9090,0.4959
24,193,50,0.5091,0.4952,0.9104,0.4959
25,187,50,0.5122,0.4952,0.9099,0.4959
26,194,50,0.5099,0.4952,0.9091,0.4959
27,194,50,0.5123,0.4952,0.9112,0.4959
28,192,50,0.5136,0.4952,0.9124,0.4959
29,195,50,0.5161,0.4952,0.9148,0.4959
30,196,50,0.5157,0.4952,0.9124,0.4959
31,193,50,0.5172,0.4952,0.9139,0.4959
32,195,50,0.5153,0.4952,0.9153,0.4959
33,196,50,0.5157,0.4952,0.9162,0.4959
34,193,50,0.5164,0.4952,0.9186,0.4959
35,195,50,0.5170,0.4952,0.9170,0.4959
36,199,50,0.5162,0.4952,0.9172,0.4959
37,198,50,0.5167,0.4952,0.9169,0.4959
38,194,50,0.5175,0.4952,0.9177,0.4959
39,194,50,0.5160,0.4952,0.9160,0.4959
40,196,50,0.5166,0.4952,0.9145,0.4959
41,197,50,0.5162,0.4952,0.9175,0.4959
42,193,50,0.5160,0.4952,0.9184,0.4959
43,198,50,0.5180,0.4952,0.9208,0.4959
44,197,50,0.5174,0.4952,0.9217,0.4959
45,192,50,0.5176,0.4952,0.9203,0.4959
46,196,50,0.5164,0.4952,0.9210,0.4959
47,193,50,0.5170,0.4952,0.9218,0.4959
48,195,50,0.5148,0.4952,0.9230,0.4959
49,197,50,0.5130,0.4952,0.9229,0.4959
50,197,50,0.5113,0.4952,0.9258,0.4959
51,195,50,0.5130,0.4952,0.9271,0.4959
52,196,50,0.5101,0.4952,0.9259,0.4959
53,192,50,0.5110,0.4952,0.9299,0.4959
54,197,50,0.5137,0.4952,0.9274,0.4959
55,195,50,0.5149,0.4952,0.9291,0.4959
56,195,50,0.5142,0.4952,0.9272,0.4959
57,198,50,0.5132,0.4952,0.9276,0.4959
58,196,50,0.5123,0.4952,0.9293,0.4959
59,191,50,0.5103,0.4952,0.9343,0.4959
60,195,50,0.5105,0.4952,0.9406,0.4959
61,197,50,0.5082,0.4952,0.9438,0.4959
62,195,50,0.5053,0.4952,0.9445,0.4959
63,191,50,0.5060,0.4952,0.9429,0.4959
64,191,50,0.4998,0.4952,0.9426,0.4959
65,189,50,0.5013,0.4952,0.9431,0.4959
66,195,50,0.5056,0.4952,0.9463,0.4959
67,195,50,0.5028,0.4952,0.9483,0.4959
68,195,50,0.5019,0.4952,0.9459,0.4959
69,195,50,0.5051,0.4952,0.9471,0.4959
70,200,50,0.5044,0.4952,0.9490,0.4959
71,188,50,0.5088,0.4952,0.9512,0.4959
72,196,50,0.5080,0.4952,0.9475,0.4959
73,195,50,0.5093,0.4952,0.9476,0.4959
74,198,50,0.5126,0.4952,0.9464,0.4959
75,196,50,0.5124,0.4952,0.9464,0.4959
76,196,50,0.5108,0.4952,0.9452,0.4959
77,191,50,0.5101,0.4952,0.9438,0.4959
