tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_age
1,200,20,0.5002,0.5000,1.0
2,200,20,0.5002,0.5000,2.0
3,200,20,0.5002,0.5000,3.0
4,200,20,0.5002,0.5000,4.0
5,200,20,0.5002,0.5000,5.0
6,199,21,0.5002,0.5077,5.7
7,200,23,0.5003,0.4864,6.1
8,200,27,0.5003,0.5471,6.1
9,200,35,0.5003,0.5748,5.5
10,200,50,0.5003,0.6504,4.5
11,200,50,0.5003,0.6504,5.5
12,199,50,0.5003,0.6504,6.5
13,200,50,0.4997,0.6504,7.5
14,200,50,0.4997,0.6504,8.5
15,200,50,0.4997,0.6504,9.5
16,200,50,0.4997,0.6504,10.5
17,200,50,0.4997,0.6504,11.5
18,200,50,0.4997,0.6504,12.5
19,199,50,0.4997,0.6504,13.5
20,200,50,0.4998,0.6504,14.5
21,200,50,0.4998,0.6504,15.5
22,200,50,0.4998,0.6504,16.5
23,200,50,0.4998,0.6504,17.5
24,200,50,0.4998,0.6504,18.5
25,200,50,0.4998,0.6504,19.5
26,200,50,0.4998,0.6504,20.5
27,199,50,0.4998,0.6504,21.5
28,200,50,0.4996,0.6504,22.5
29,199,50,0.4996,0.6504,23.5
30,199,50,0.5000,0.6504,24.5
31,198,50,0.4998,0.6504,25.5
32,197,50,0.4984,0.6504,26.5
33,200,50,0.4981,0.6504,27.5
34,197,50,0.4980,0.6504,28.5
35,199,50,0.4993,0.6504,29.5
36,197,50,0.4995,0.6504,30.5
37,199,50,0.4996,0.6504,31.5
38,200,50,0.4999,0.6504,32.5
39,199,50,0.4999,0.6504,33.5
40,198,50,0.4999,0.6504,34.5
41,200,50,0.4993,0.6504,35.5
42,200,50,0.4993,0.6504,36.5
43,198,50,0.4993,0.6504,37.5
44,199,50,0.4988,0.6504,38.5
45,200,50,0.4984,0.6504,39.5
46,198,50,0.4984,0.6504,40.5
47,197,50,0.4996,0.6504,41.5
48,196,50,0.4997,0.6504,42.5
49,197,50,0.5001,0.6504,43.5
50,198,50,0.4996,0.6504,44.5
51,197,50,0.4995,0.6504,45.5
52,200,50,0.5000,0.6504,46.5
53,195,50,0.5000,0.6504,47.5
54,198,50,0.4997,0.6504,48.5
55,198,50,0.5001,0.6504,49.5
56,199,50,0.4995,0.6504,50.5
57,198,50,0.5005,0.6504,51.5
58,200,50,0.5010,0.6504,52.5
59,199,50,0.5010,0.6504,53.5
60,199,50,0.5018,0.6504,54.5
61,199,50,0.5019,0.6504,55.5
62,199,50,0.5022,0.6504,56.5
63,198,50,0.5027,0.6504,57.5
64,199,50,0.5027,0.6504,58.5
65,198,50,0.5029,0.6504,59.5
66,198,50,0.5026,0.6504,60.5
67,194,50,0.5024,0.6504,61.5
68,195,50,0.5039,0.6504,62.5
69,199,50,0.5054,0.6504,63.5
70,198,50,0.5054,0.6504,64.5
71,197,50,0.5045,0.6504,65.5
72,199,50,0.5045,0.6504,66.5
73,197,50,0.5047,0.6504,67.5
74,199,50,0.5061,0.6504,68.5
75,198,50,0.5055,0.6504,69.5
76,199,50,0.5055,0.6504,70.5
77,199,50,0.5059,0.6504,71.5
78,195,50,0.5060,0.6504,72.5
79,198,50,0.5049,0.6504,73.5
80,199,50,0.5048,0.6504,74.5
81,199,50,0.5047,0.6504,75.5
82,194,50,0.5047,0.6504,76.5
83,198,50,0.5050,0.6504,77.5
84,198,50,0.5059,0.6504,78.5
85,199,50,0.5057,0.6504,79.5
86,199,50,0.5058,0.6504,80.5
87,197,50,0.5051,0.6504,81.5
88,198,50,0.5043,0.6504,82.5
89,198,50,0.5042,0.6504,83.5
90,197,50,0.5038,0.6504,84.5
91,196,50,0.5044,0.6504,85.5
92,196,50,0.5047,0.6504,86.5
93,199,50,0.5048,0.6504,87.5
94,199,50,0.5055,0.6504,88.5
95,198,50,0.5060,0.6504,89.5
96,199,50,0.5040,0.6504,90.5
97,199,50,0.5038,0.6504,91.5
98,197,50,0.5044,0.6504,92.5
99,199,50,0.5030,0.6504,93.5
100,199,50,0.5029,0.6504,94.5
101,199,50,0.5035,0.6504,95.5
102,195,50,0.5034,0.6504,96.5
103,198,50,0.5049,0.6504,97.5
104,199,50,0.5046,0.6504,98.5
105,199,50,0.5043,0.6504,99.5
106,198,50,0.5050,0.6504,100.5
107,197,50,0.5046,0.6504,101.5
108,199,50,0.5042,0.6504,102.5
109,199,50,0.5034,0.6504,103.5
110,197,50,0.5034,0.6504,104.5
111,194,50,0.5049,0.6504,105.5
112,198,50,0.5053,0.6504,106.5
113,199,50,0.5053,0.6504,107.5
114,196,50,0.5062,0.6504,108.5
115,199,50,0.5055,0.6504,109.5
116,200,50,0.5066,0.6504,110.5
117,198,50,0.5072,0.6504,111.5
118,197,50,0.5067,0.6504,112.5
119,198,50,0.5053,0.6504,113.5
120,198,50,0.5060,0.6504,114.5
121,199,50,0.5075,0.6504,115.5
122,197,50,0.5059,0.6504,116.5
123,199,50,0.5079,0.6504,117.5
124,198,50,0.5089,0.6504,118.5
125,199,50,0.5098,0.6504,119.5
126,198,50,0.5094,0.6504,120.5
127,198,50,0.5088,0.6504,121.5
128,198,50,0.5072,0.6504,122.5
129,197,50,0.5059,0.6504,123.5
130,200,50,0.5059,0.6504,124.5
131,199,50,0.5061,0.6504,125.5
132,198,50,0.5073,0.6504,126.5
133,197,50,0.5078,0.6504,127.5
134,198,50,0.5051,0.6504,128.5
135,196,50,0.5059,0.6504,129.5
136,198,50,0.5023,0.6504,130.5
137,199,50,0.5017,0.6504,131.5
138,198,50,0.5024,0.6504,132.5
139,197,50,0.5026,0.6504,133.5
140,198,50,0.5031,0.6504,134.5
141,199,50,0.5028,0.6504,135.5
142,195,50,0.5033,0.6504,136.5
143,198,50,0.5033,0.6504,137.5
144,198,50,0.5039,0.6504,138.5
145,200,50,0.5036,0.6504,139.5
146,194,50,0.5041,0.6504,140.5
147,196,50,0.5059,0.6504,141.5
148,193,50,0.5016,0.6504,142.5
149,197,50,0.5023,0.6504,143.5
150,198,50,0.5016,0.6504,144.5
151,200,50,0.5020,0.6504,145.5
152,199,50,0.5017,0.6504,146.5
153,197,50,0.5047,0.6504,147.5
154,197,50,0.5063,0.6504,148.5
155,199,50,0.5073,0.6504,149.5
156,199,50,0.5068,0.6504,150.5
157,198,50,0.5077,0.6504,151.5
