tick,pop,avg_energy,avg_cannibalism,cannibal_acts
1,199,283.1,0.0953,0
2,200,280.4,0.0952,0
3,200,276.8,0.0952,0
4,200,273.2,0.0952,0
5,200,269.6,0.0952,0
6,200,266.1,0.0952,0
7,200,262.6,0.0952,0
8,200,259.2,0.0952,0
9,200,255.8,0.0952,0
10,200,252.5,0.0952,0
11,200,249.2,0.0952,0
12,200,245.9,0.0952,0
13,200,242.7,0.0952,0
14,200,239.5,0.0952,0
15,200,236.3,0.0952,0
16,200,233.2,0.0952,0
17,200,230.0,0.0952,0
18,200,227.0,0.0952,0
19,200,223.9,0.0952,0
20,200,220.9,0.0952,0
21,200,217.9,0.0952,0
22,200,214.9,0.0952,0
23,200,212.0,0.0952,0
24,200,209.1,0.0952,0
25,200,206.2,0.0952,0
26,200,203.4,0.0952,0
27,200,200.6,0.0952,0
28,200,197.8,0.0952,0
29,200,195.0,0.0952,0
30,199,193.3,0.0952,0
31,200,192.0,0.0948,0
32,200,189.3,0.0948,0
33,200,186.6,0.0948,0
34,200,183.9,0.0948,0
35,200,181.3,0.0948,0
36,200,178.7,0.0948,0
37,200,176.2,0.0948,0
38,200,173.6,0.0948,0
39,200,171.1,0.0948,0
40,200,168.6,0.0948,0
41,199,167.0,0.0948,0
42,200,166.1,0.0944,0
43,200,163.6,0.0944,0
44,200,161.2,0.0944,0
45,200,158.8,0.0944,0
46,200,156.5,0.0944,0
47,200,154.1,0.0944,0
48,200,151.8,0.0944,0
49,200,149.5,0.0944,0
50,200,147.2,0.0944,0
51,200,145.0,0.0944,0
52,200,142.7,0.0944,0
53,200,140.5,0.0944,0
54,200,138.2,0.0944,0
55,200,135.9,0.0944,0
56,200,133.6,0.0944,0
57,200,131.4,0.0944,0
58,200,129.1,0.0944,0
59,200,126.8,0.0944,0
60,200,124.6,0.0944,0
61,200,122.3,0.0944,0
62,200,120.0,0.0944,0
63,200,117.8,0.0944,0
64,102,226.8,0.0891,0
65,104,227.9,0.0876,0
66,108,233.3,0.0857,0
67,115,244.2,0.0822,0
68,128,263.6,0.0770,0
69,153,293.9,0.0699,0
70,200,332.1,0.0614,0
71,200,327.3,0.0614,0
72,200,322.5,0.0614,0
73,200,317.7,0.0614,0
74,200,313.0,0.0614,0
75,200,308.3,0.0614,0
76,200,303.6,0.0614,0
77,200,299.0,0.0614,0
78,200,294.4,0.0614,0
79,200,289.9,0.0614,0
80,200,285.4,0.0614,0
81,200,280.9,0.0614,0
82,200,276.5,0.0614,0
83,200,272.1,0.0614,0
84,200,267.7,0.0614,0
85,200,263.4,0.0614,0
86,200,259.2,0.0614,0
87,200,254.9,0.0614,0
88,200,250.7,0.0614,0
89,200,246.6,0.0614,0
90,200,242.5,0.0614,0
91,200,238.4,0.0614,0
92,200,234.4,0.0614,0
93,200,230.4,0.0614,0
94,200,226.4,0.0614,0
95,200,222.5,0.0614,0
96,200,218.7,0.0614,0
97,200,214.8,0.0614,0
98,200,211.1,0.0614,0
99,200,207.3,0.0614,0
100,200,203.6,0.0614,0
101,200,199.9,0.0614,0
102,200,196.3,0.0614,0
103,200,192.8,0.0614,0
104,200,189.3,0.0614,0
105,200,186.0,0.0614,0
106,200,182.7,0.0614,0
107,200,179.6,0.0614,0
108,200,176.6,0.0614,0
109,200,173.6,0.0614,0
110,200,170.6,0.0614,0
111,200,167.7,0.0614,0
112,200,164.8,0.0614,0
113,200,162.0,0.0614,0
114,200,159.1,0.0614,0
115,200,156.4,0.0614,0
116,200,153.6,0.0614,0
117,200,150.9,0.0614,0
118,200,148.2,0.0614,0
119,200,145.6,0.0614,0
120,200,142.9,0.0614,0
121,200,140.3,0.0614,0
122,200,137.7,0.0614,0
123,200,135.1,0.0614,0
124,198,133.9,0.0617,0
125,199,135.4,0.0621,0
126,200,134.5,0.0619,0
127,196,134.6,0.0629,0
128,200,138.8,0.0621,0
129,200,136.2,0.0621,0
130,200,133.5,0.0621,0
131,200,130.9,0.0621,0
132,200,128.3,0.0621,0
133,200,125.8,0.0621,0
134,200,123.2,0.0621,0
135,200,120.7,0.0621,0
136,200,118.2,0.0621,0
137,200,115.7,0.0621,0
138,200,113.3,0.0621,0
139,200,110.9,0.0621,0
140,200,108.5,0.0621,0
141,200,106.1,0.0621,0
142,200,103.7,0.0621,0
143,200,101.4,0.0621,0
144,200,99.1,0.0621,0
145,200,96.8,0.0621,0
146,200,94.5,0.0621,0
147,200,92.3,0.0621,0
148,200,90.1,0.0621,0
149,200,87.9,0.0621,0
150,200,85.8,0.0621,0
151,200,83.6,0.0621,0
152,199,81.9,0.0623,0
153,200,81.8,0.0624,0
154,199,80.2,0.0617,0
155,196,81.7,0.0613,0
156,186,94.1,0.0600,0
157,193,122.7,0.0587,0
158,186,142.5,0.0579,0
159,177,184.3,0.0493,0
160,187,229.5,0.0457,0
161,193,250.5,0.0440,0
162,189,269.4,0.0406,0
163,195,283.9,0.0394,0
164,199,286.1,0.0387,0
165,200,282.9,0.0386,0
166,200,278.8,0.0386,0
167,200,274.8,0.0386,0
168,200,270.8,0.0386,0
169,200,266.9,0.0386,0
170,200,263.0,0.0386,0
171,200,259.1,0.0386,0
172,200,255.3,0.0386,0
173,200,251.5,0.0386,0
174,200,247.8,0.0386,0
175,199,245.3,0.0387,0
176,200,242.8,0.0390,0
177,200,239.2,0.0390,0
178,200,235.6,0.0390,0
179,200,232.1,0.0390,0
180,200,228.6,0.0390,0
181,200,225.2,0.0390,0
182,200,221.8,0.0390,0
183,200,218.5,0.0390,0
184,200,215.2,0.0390,0
185,199,213.0,0.0391,0
186,200,211.0,0.0394,0
187,200,207.8,0.0394,0
188,200,204.6,0.0394,0
189,200,201.5,0.0394,0
190,200,198.4,0.0394,0
191,200,195.3,0.0394,0
192,199,193.3,0.0393,0
193,199,192.7,0.0392,0
194,200,191.1,0.0394,0
195,200,188.1,0.0394,0
196,199,186.2,0.0395,0
197,200,184.8,0.0395,0
198,200,182.0,0.0395,0
199,200,179.3,0.0395,0
200,200,176.6,0.0395,0
201,200,173.9,0.0395,0
202,200,171.3,0.0395,0
203,199,169.5,0.0395,0
204,199,169.3,0.0409,0
205,199,169.1,0.0410,0
206,197,170.6,0.0413,0
207,199,173.4,0.0420,0
208,198,174.0,0.0422,0
209,199,175.3,0.0424,0
210,196,177.7,0.0436,0
211,199,181.9,0.0437,0
212,198,182.5,0.0436,0
213,198,184.5,0.0457,0
214,194,190.3,0.0472,0
215,197,198.9,0.0466,0
216,199,201.1,0.0475,0
217,196,203.5,0.0473,0
218,196,210.1,0.0488,0
219,195,217.7,0.0526,0
220,200,220.9,0.0525,0
221,198,219.8,0.0529,0
222,194,225.9,0.0534,0
223,199,231.2,0.0538,0
224,198,231.3,0.0541,0
225,196,235.0,0.0545,0
226,195,242.4,0.0542,0
227,195,251.0,0.0575,0
228,193,262.1,0.0568,0
229,199,267.1,0.0554,0
230,200,264.4,0.0553,0
231,198,263.2,0.0558,0
232,198,264.2,0.0555,0
233,198,265.1,0.0564,0
234,196,268.8,0.0561,0
235,197,273.1,0.0558,0
236,200,272.1,0.0558,0
237,200,268.2,0.0558,0
238,199,265.7,0.0556,0
239,200,262.9,0.0554,0
240,200,259.0,0.0554,0
241,200,255.2,0.0554,0
242,200,251.4,0.0554,0
243,200,247.7,0.0554,0
244,200,244.0,0.0554,0
245,200,240.3,0.0554,0
246,200,236.7,0.0554,0
247,200,233.0,0.0554,0
248,200,229.5,0.0554,0
249,200,225.9,0.0554,0
250,200,222.4,0.0554,0
251,200,219.0,0.0554,0
252,200,215.5,0.0554,0
253,200,212.1,0.0554,0
254,199,209.8,0.0556,0
255,200,207.8,0.0556,0
256,200,204.4,0.0556,0
257,200,201.1,0.0556,0
258,200,197.8,0.0556,0
259,200,194.5,0.0556,0
260,200,191.3,0.0556,0
261,199,189.0,0.0555,0
262,199,188.2,0.0555,0
263,200,186.5,0.0555,0
264,200,183.3,0.0555,0
265,200,180.2,0.0555,0
266,200,177.1,0.0555,0
267,200,174.1,0.0555,0
268,200,171.0,0.0555,0
269,200,168.0,0.0555,0
270,200,165.1,0.0555,0
271,200,162.1,0.0555,0
272,199,160.0,0.0556,0
273,200,158.7,0.0563,0
274,200,155.8,0.0563,0
275,200,152.9,0.0563,0
276,200,150.1,0.0563,0
277,200,147.3,0.0563,0
278,200,144.5,0.0563,0
279,200,141.7,0.0563,0
280,200,139.0,0.0563,0
281,199,137.0,0.0565,0
282,200,136.0,0.0563,0
283,200,133.3,0.0563,0
284,200,130.6,0.0563,0
285,200,127.9,0.0563,0
286,200,125.3,0.0563,0
287,198,124.0,0.0565,0
288,200,124.9,0.0561,0
289,200,122.2,0.0561,0
290,200,119.7,0.0561,0
291,200,117.1,0.0561,0
292,200,114.6,0.0561,0
293,200,112.1,0.0561,0
294,200,109.7,0.0561,0
295,200,107.3,0.0561,0
296,200,104.9,0.0561,0
297,199,103.0,0.0559,0
298,199,103.1,0.0560,0
299,200,102.5,0.0558,0
300,200,100.1,0.0558,0
301,200,97.7,0.0558,0
302,199,95.9,0.0559,0
303,198,96.4,0.0559,0
304,199,98.4,0.0560,0
305,198,98.9,0.0560,0
306,199,100.8,0.0558,0
307,196,102.4,0.0557,0
308,198,108.6,0.0561,0
309,197,111.4,0.0563,0
310,198,115.5,0.0564,0
311,197,118.3,0.0573,0
312,198,122.3,0.0570,0
313,198,124.5,0.0570,0
314,196,128.0,0.0556,0
315,192,137.8,0.0574,0
316,194,153.2,0.0573,0
317,194,164.7,0.0562,0
318,194,176.3,0.0561,0
319,195,186.9,0.0578,0
320,196,194.8,0.0590,0
321,198,199.2,0.0595,0
322,194,204.8,0.0616,0
323,197,212.8,0.0608,0
324,195,218.9,0.0613,0
325,193,229.9,0.0615,0
326,193,243.4,0.0620,0
327,199,249.1,0.0676,0
328,199,247.6,0.0677,0
329,200,245.0,0.0677,0
330,198,243.7,0.0682,0
331,198,244.7,0.0675,0
332,200,243.2,0.0694,0
333,198,241.9,0.0690,0
334,200,240.5,0.0695,0
335,200,236.9,0.0695,0
336,199,234.5,0.0698,0
337,200,232.1,0.0696,0
338,199,229.7,0.0694,0
339,199,228.6,0.0687,0
340,199,227.5,0.0684,0
341,200,225.2,0.0683,1
342,200,221.8,0.0683,0
343,199,219.4,0.0684,1
344,200,217.4,0.0687,0
345,199,215.2,0.0689,1
346,199,214.3,0.0692,0
347,199,213.5,0.0693,0
348,200,211.6,0.0690,1
349,198,210.6,0.0677,0
350,199,211.1,0.0673,1
351,198,211.4,0.0663,0
352,200,210.9,0.0693,1
353,200,207.8,0.0693,0
354,200,204.7,0.0693,1
355,198,203.7,0.0697,1
356,197,206.5,0.0684,0
357,199,208.4,0.0712,2
358,198,208.8,0.0708,0
359,200,208.3,0.0706,1
360,200,205.3,0.0706,1
361,197,205.3,0.0709,1
362,200,206.3,0.0735,1
363,199,204.3,0.0737,1
364,198,204.7,0.0737,0
365,198,206.4,0.0740,2
366,200,206.1,0.0738,0
367,197,205.8,0.0707,1
368,198,208.9,0.0696,1
369,198,210.6,0.0693,0
370,196,214.4,0.0693,1
371,197,219.7,0.0693,0
372,196,224.5,0.0696,1
373,197,229.7,0.0691,0
374,199,231.3,0.0757,0
