tick,pop_rich,pop_poor,avg_nrg_rich,avg_nrg_poor,trades
1,20,180,1004.3,49.1,0
2,20,180,1008.6,48.2,0
3,20,180,1012.8,47.3,0
4,20,180,1017.0,46.4,0
5,20,180,1021.3,45.5,0
6,20,180,1025.4,44.6,0
7,20,180,1029.6,43.8,0
8,20,180,1033.8,42.9,0
9,20,180,1037.9,42.0,0
10,20,180,1042.0,41.1,0
11,20,180,1046.1,40.3,0
12,20,180,1050.1,39.4,0
13,20,180,1054.2,38.6,0
14,20,180,1058.2,37.7,0
15,20,180,1062.2,36.9,0
16,20,180,1066.2,36.0,0
17,20,180,1070.1,35.2,0
18,20,180,1074.1,34.4,0
19,20,180,1078.0,33.5,0
20,20,180,1081.9,32.7,0
21,20,180,1085.8,31.9,0
22,20,180,1089.7,31.1,0
23,20,180,1093.5,30.3,0
24,20,180,1097.3,29.5,0
25,20,180,1101.1,28.7,0
26,20,180,1104.9,27.9,0
27,20,180,1108.7,27.1,0
28,20,180,1112.4,26.3,0
29,20,180,1116.2,25.5,0
30,20,180,1119.9,24.7,0
31,20,180,1123.6,23.9,0
32,20,180,1127.3,23.1,0
33,20,180,1130.9,22.4,0
34,20,180,1134.6,21.6,0
35,20,180,1138.2,20.8,0
36,20,180,1141.8,20.1,0
37,20,180,1145.4,19.3,0
38,20,180,1148.9,18.6,0
39,20,180,1152.5,17.8,0
40,20,180,1156.0,17.1,0
41,20,180,1159.5,16.3,0
42,20,180,1163.0,15.6,0
43,20,180,1166.5,14.9,0
44,20,180,1170.0,14.1,0
45,20,180,1173.4,13.4,0
46,20,180,1176.8,12.7,0
47,20,180,1180.2,12.0,0
48,20,180,1183.6,11.2,0
49,20,180,1187.0,10.5,0
50,20,180,1190.4,9.8,0
51,20,180,1193.6,9.1,0
52,20,180,1196.7,8.4,0
53,20,180,1199.6,7.7,0
54,20,180,1202.4,7.0,0
55,20,180,1205.1,6.3,0
56,20,180,1207.7,5.6,0
57,20,180,1210.1,4.9,0
58,20,180,1212.3,4.2,0
59,20,180,1214.5,3.6,0
60,20,180,1216.5,2.9,0
61,20,180,1218.3,2.2,0
62,20,180,1220.0,1.5,0
63,20,180,1221.6,0.9,0
64,20,180,1223.1,0.2,0
65,20,0,1224.4,0.0,0
66,40,0,847.8,0.0,0
67,79,0,662.9,0.0,0
68,157,0,569.5,0.0,0
69,195,0,554.9,0.0,0
70,195,0,561.2,0.0,0
71,195,0,567.4,0.0,0
72,195,0,573.6,0.0,0
73,195,0,579.8,0.0,0
74,195,0,585.9,0.0,0
75,195,0,591.9,0.0,0
76,195,0,598.0,0.0,0
77,195,0,603.9,0.0,0
78,195,0,609.9,0.0,0
79,195,0,615.8,0.0,0
80,195,0,621.6,0.0,0
81,195,0,627.4,0.0,0
82,195,0,633.2,0.0,0
83,195,0,638.9,0.0,0
84,195,0,644.6,0.0,0
85,195,0,650.3,0.0,0
86,195,0,655.9,0.0,0
87,195,0,661.5,0.0,0
88,195,0,667.0,0.0,0
89,195,0,672.5,0.0,0
90,195,0,678.0,0.0,0
91,195,0,683.4,0.0,0
92,195,0,688.8,0.0,0
93,195,0,694.1,0.0,0
94,195,0,699.4,0.0,0
95,195,0,704.7,0.0,0
96,195,0,709.9,0.0,0
97,195,0,715.1,0.0,0
98,195,0,720.2,0.0,0
99,195,0,725.3,0.0,0
100,195,0,730.4,0.0,0
101,195,0,735.5,0.0,0
102,195,0,740.5,0.0,0
103,195,0,745.5,0.0,0
104,195,0,750.4,0.0,0
105,195,0,755.3,0.0,0
106,195,0,760.2,0.0,0
107,195,0,765.0,0.0,0
108,195,0,769.8,0.0,0
109,195,0,774.6,0.0,0
110,195,0,779.3,0.0,0
111,195,0,784.0,0.0,0
112,195,0,788.7,0.0,0
113,195,0,793.3,0.0,0
114,195,0,797.9,0.0,0
115,195,0,802.5,0.0,0
116,195,0,807.0,0.0,0
117,195,0,811.5,0.0,0
118,195,0,816.0,0.0,0
119,195,0,820.3,0.0,0
120,195,0,824.6,0.0,0
121,195,0,828.7,0.0,0
122,195,0,832.8,0.0,0
123,195,0,836.7,0.0,0
124,195,0,840.6,0.0,0
125,195,0,844.3,0.0,0
126,195,0,847.9,0.0,0
127,195,0,851.4,0.0,0
128,195,0,854.9,0.0,0
129,195,0,858.2,0.0,0
130,195,0,861.4,0.0,0
131,195,0,864.5,0.0,0
132,195,0,867.5,0.0,0
133,195,0,870.4,0.0,0
134,195,0,873.2,0.0,0
135,195,0,875.9,0.0,0
136,195,0,878.5,0.0,0
137,195,0,881.0,0.0,0
138,195,0,883.4,0.0,0
139,195,0,885.7,0.0,0
140,195,0,887.8,0.0,0
141,195,0,889.9,0.0,0
142,195,0,891.9,0.0,0
143,195,0,893.8,0.0,0
144,195,0,895.5,0.0,0
145,195,0,897.2,0.0,0
146,195,0,898.8,0.0,0
147,195,0,900.2,0.0,0
148,195,0,901.6,0.0,0
149,195,0,902.9,0.0,0
150,195,0,904.1,0.0,0
151,195,0,905.1,0.0,0
152,195,0,906.1,0.0,0
153,195,0,907.0,0.0,0
154,195,0,907.8,0.0,0
155,195,0,908.5,0.0,0
156,195,0,909.1,0.0,0
157,195,0,909.6,0.0,0
158,195,0,910.0,0.0,0
159,195,0,910.3,0.0,0
160,195,0,910.5,0.0,0
161,195,0,910.7,0.0,0
162,195,0,910.7,0.0,0
163,195,0,910.7,0.0,0
164,195,0,910.5,0.0,0
165,195,0,910.3,0.0,0
166,195,0,910.0,0.0,0
167,195,0,909.6,0.0,0
168,195,0,909.1,0.0,0
169,195,0,908.7,0.0,1
170,195,0,908.2,0.0,2
171,195,0,907.7,0.0,2
172,195,0,907.1,0.0,2
173,195,0,906.4,0.0,2
174,195,0,905.7,0.0,2
175,195,0,904.8,0.0,2
176,195,0,903.8,0.0,1
177,195,0,902.8,0.0,2
178,195,0,901.8,0.0,3
179,195,0,900.7,0.0,3
180,195,0,899.6,0.0,3
181,195,0,898.4,0.0,3
182,195,0,897.1,0.0,3
183,195,0,895.7,0.0,3
184,195,0,894.1,0.0,1
185,195,0,892.3,0.0,0
186,195,0,890.4,0.0,0
187,195,0,888.5,0.0,0
188,195,0,886.5,0.0,0
189,195,0,884.5,0.0,0
190,195,0,882.4,0.0,0
191,195,0,880.2,0.0,0
192,195,0,877.9,0.0,0
193,195,0,875.6,0.0,0
194,195,0,873.3,0.0,0
195,195,0,870.9,0.0,0
196,195,0,868.4,0.0,0
197,195,0,865.9,0.0,0
198,195,0,863.4,0.0,0
199,195,0,860.7,0.0,0
200,195,0,858.1,0.0,0
201,195,0,855.4,0.0,0
202,195,0,852.6,0.0,0
203,195,0,849.8,0.0,0
204,195,0,847.0,0.0,0
205,195,0,844.1,0.0,0
206,195,0,841.1,0.0,0
207,195,0,838.1,0.0,0
208,195,0,835.1,0.0,0
209,195,0,832.1,0.0,0
210,195,0,829.0,0.0,0
211,195,0,825.8,0.0,0
212,195,0,822.7,0.0,0
213,195,0,819.5,0.0,0
214,195,0,816.2,0.0,0
215,195,0,813.0,0.0,0
216,195,0,809.7,0.0,0
217,195,0,806.3,0.0,0
218,195,0,803.0,0.0,0
219,195,0,799.6,0.0,0
220,195,0,796.2,0.0,0
221,195,0,792.8,0.0,0
222,195,0,789.3,0.0,0
223,195,0,785.8,0.0,0
224,195,0,782.3,0.0,0
225,195,0,778.8,0.0,0
226,195,0,775.2,0.0,0
227,196,0,770.1,0.0,0
228,196,0,766.6,0.0,0
229,197,0,761.5,0.0,0
230,197,0,758.0,0.0,0
231,197,0,754.5,0.0,0
232,197,0,750.9,0.0,0
233,198,0,745.9,0.0,0
234,200,0,739.7,0.0,0
235,200,0,736.3,0.0,0
236,200,0,732.8,0.0,0
237,200,0,729.4,0.0,0
238,200,0,725.9,0.0,0
239,200,0,722.5,0.0,0
240,200,0,719.0,0.0,0
241,200,0,715.5,0.0,0
242,200,0,712.0,0.0,0
243,200,0,708.5,0.0,0
244,200,0,705.0,0.0,0
245,200,0,701.5,0.0,0
246,200,0,698.0,0.0,0
247,200,0,694.5,0.0,0
248,200,0,691.0,0.0,0
249,200,0,687.5,0.0,0
250,200,0,684.0,0.0,0
251,200,0,680.5,0.0,0
252,200,0,677.0,0.0,0
253,200,0,673.5,0.0,0
254,200,0,670.0,0.0,0
255,200,0,666.5,0.0,0
256,200,0,663.0,0.0,0
257,200,0,659.5,0.0,0
258,200,0,656.0,0.0,0
259,200,0,652.5,0.0,0
260,200,0,649.0,0.0,0
261,200,0,645.6,0.0,0
262,200,0,642.1,0.0,0
263,200,0,638.7,0.0,0
264,200,0,635.2,0.0,0
265,200,0,631.8,0.0,0
266,200,0,628.3,0.0,0
267,200,0,624.9,0.0,0
268,200,0,621.5,0.0,0
269,200,0,618.1,0.0,0
270,200,0,614.7,0.0,0
271,200,0,611.4,0.0,0
272,200,0,608.0,0.0,0
273,200,0,604.7,0.0,0
274,200,0,601.3,0.0,0
275,200,0,598.0,0.0,0
276,200,0,594.7,0.0,0
277,200,0,591.4,0.0,0
278,200,0,588.1,0.0,0
279,200,0,584.8,0.0,0
280,200,0,581.6,0.0,0
281,200,0,578.4,0.0,0
282,200,0,575.1,0.0,0
283,200,0,571.9,0.0,0
284,200,0,568.7,0.0,0
285,200,0,565.6,0.0,0
286,200,0,562.4,0.0,0
287,200,0,559.3,0.0,0
288,200,0,556.1,0.0,0
289,200,0,553.0,0.0,0
290,200,0,549.9,0.0,0
291,200,0,546.8,0.0,0
292,200,0,543.8,0.0,0
293,200,0,540.7,0.0,0
