tick,pop_capital,pop_labor,nouveaux_riches,avg_nrg_capital,avg_nrg_labor,contracts
1,20,180,0,1131.7,54.2,92
2,20,180,0,1256.7,58.1,88
3,20,180,0,1382.6,62.1,89
4,20,180,0,1484.0,65.2,73
5,20,180,0,1605.7,69.0,87
6,20,180,0,1720.9,72.6,83
7,20,180,0,1860.9,77.1,100
8,20,180,0,1971.8,80.5,81
9,20,180,0,2101.6,84.7,94
10,20,180,0,2215.8,88.2,84
11,20,180,0,2344.4,92.3,94
12,20,180,0,2463.3,96.1,88
13,20,180,0,2580.2,99.7,87
14,20,180,0,2702.5,103.6,91
15,20,180,0,2827.1,107.6,93
16,20,180,0,2970.5,112.2,106
17,20,180,0,3086.4,115.9,88
18,20,180,0,3213.6,120.0,96
19,20,180,0,3331.2,123.7,90
20,20,180,0,3443.7,127.2,87
21,20,180,0,3548.2,130.5,82
22,20,180,0,3664.1,134.1,90
23,20,180,0,3775.0,137.6,87
24,20,180,0,3880.8,140.9,84
25,20,180,0,4004.1,144.8,96
26,20,180,0,4126.7,148.8,96
27,20,180,0,4254.6,152.9,100
28,20,180,0,4358.1,156.1,84
29,20,180,0,4465.5,159.5,87
30,20,180,0,4569.3,162.7,85
31,20,180,0,4678.7,166.2,89
32,20,180,0,4765.1,168.8,74
33,20,180,0,4870.4,172.1,87
34,20,180,0,4961.8,174.9,78
35,20,180,0,5046.8,177.5,74
36,20,180,0,5120.9,179.6,67
37,20,180,0,5196.2,181.8,68
38,20,180,0,5278.5,184.3,73
39,20,180,0,5349.9,186.4,66
40,20,180,0,5427.0,188.6,70
41,20,180,0,5490.2,190.4,61
42,20,180,0,5550.2,192.1,59
43,20,180,0,5597.9,193.3,51
44,20,180,0,5637.9,194.2,46
45,20,180,0,5686.7,195.4,52
46,20,180,0,5739.7,196.8,55
47,20,180,0,5776.0,197.6,44
48,20,180,0,5798.7,197.9,35
49,20,180,0,5821.3,198.2,35
50,20,180,0,5861.7,199.2,47
51,20,180,0,5887.8,199.6,38
52,20,180,0,5914.7,200.1,39
53,20,180,0,5942.4,200.5,40
54,20,180,0,5964.9,200.9,37
55,20,180,0,5970.2,200.5,26
56,20,180,0,5983.8,200.5,32
57,20,180,0,5993.8,200.4,30
58,20,180,0,6024.0,201.0,44
59,20,180,0,6029.6,200.7,28
60,20,180,0,6039.0,200.5,31
61,20,180,0,6040.2,200.1,26
62,20,180,0,6069.2,200.7,45
63,20,180,0,6084.0,200.8,36
64,20,180,0,6083.1,200.2,26
65,20,180,0,6102.5,200.5,40
66,20,180,0,6103.3,200.1,28
67,20,180,0,6121.4,200.3,40
68,20,180,0,6140.2,200.5,41
69,20,180,0,6168.7,201.1,48
70,20,180,0,6172.5,200.8,32
71,20,180,0,6180.1,200.7,35
72,20,180,0,6194.5,200.8,40
73,20,180,0,6206.7,200.8,39
74,20,180,0,6218.2,200.8,39
75,20,180,0,6226.0,200.7,37
76,20,180,0,6231.6,200.5,36
77,20,180,0,6236.6,200.3,36
78,20,180,0,6252.8,200.5,44
79,20,180,0,6259.3,200.3,38
80,20,180,0,6263.6,200.1,37
81,20,180,0,6276.2,200.2,43
82,20,180,0,6302.9,200.8,53
83,20,180,0,6303.5,200.5,36
84,20,180,0,6309.4,200.4,40
85,20,180,0,6319.0,200.4,43
86,20,180,0,6329.5,200.4,44
87,20,180,0,6318.4,199.7,30
88,20,180,0,6320.1,199.4,39
89,20,180,0,6331.6,199.5,46
90,20,180,0,6355.7,200.1,55
91,20,180,0,6353.7,199.7,38
92,20,180,0,6361.4,199.7,45
93,20,180,0,6362.5,199.4,41
94,20,180,0,6371.9,199.5,47
95,20,180,0,6376.1,199.3,44
96,20,180,0,6361.8,198.5,32
97,20,180,0,6369.2,198.5,47
98,20,180,0,6390.8,199.1,57
99,20,180,0,6389.3,198.8,42
100,20,180,0,6381.1,198.2,38
101,20,180,0,6402.2,198.7,58
102,20,180,0,6431.2,199.6,64
103,20,180,0,6431.1,199.3,45
104,20,180,0,6433.4,199.2,47
105,20,180,0,6448.3,199.5,56
106,20,180,0,6459.4,199.7,54
107,20,180,0,6443.0,198.9,36
108,20,180,0,6445.5,198.8,49
109,20,180,0,6451.8,198.8,52
110,20,180,0,6455.8,198.8,51
111,20,180,0,6450.2,198.4,45
112,20,180,0,6463.3,198.7,58
113,20,180,0,6466.8,198.7,52
114,20,180,0,6450.2,197.9,39
115,20,180,0,6452.5,197.8,52
116,20,180,0,6464.5,198.1,59
117,20,180,0,6460.8,197.8,49
118,20,180,0,6465.4,197.8,55
119,20,180,0,6478.3,198.2,61
120,20,180,0,6478.4,198.0,53
121,20,180,0,6479.4,198.0,54
122,20,180,0,6491.5,198.3,62
123,20,180,0,6494.0,198.3,56
124,20,180,0,6475.1,197.5,42
125,20,180,0,6479.4,197.5,58
126,20,180,0,6487.4,197.7,61
127,20,180,0,6459.2,196.6,37
128,20,180,0,6473.6,197.0,66
129,20,180,0,6481.2,197.2,62
130,20,180,0,6479.2,197.1,56
131,20,180,0,6482.5,197.1,60
132,20,180,0,6488.0,197.3,62
133,20,180,0,6495.8,197.5,64
134,20,180,0,6489.5,197.2,55
135,20,180,0,6493.0,197.3,62
136,20,180,0,6483.9,196.9,54
137,20,180,0,6486.2,197.0,62
138,20,180,0,6498.1,197.4,69
139,20,180,0,6489.9,197.0,56
140,20,180,0,6491.6,197.1,63
141,20,180,0,6482.2,196.7,56
142,20,180,0,6467.9,196.1,53
143,20,180,0,6469.4,196.2,64
144,20,180,0,6448.0,195.4,49
145,20,180,0,6451.4,195.5,66
146,20,180,0,6455.6,195.7,67
147,20,180,0,6456.1,195.7,65
148,20,180,0,6450.0,195.5,61
149,20,180,0,6468.5,196.2,78
150,20,180,0,6452.1,195.6,55
151,20,180,0,6456.0,195.8,69
152,20,180,0,6451.7,195.6,64
153,20,180,0,6442.4,195.3,61
154,20,180,0,6451.9,195.7,74
155,20,180,0,6451.6,195.7,68
156,20,180,0,6436.0,195.2,58
157,20,180,0,6448.0,195.7,77
158,20,180,0,6442.9,195.5,66
159,20,180,0,6425.4,194.9,58
160,20,180,0,6431.1,195.2,74
161,20,180,0,6417.0,194.8,61
162,20,180,0,6399.4,194.2,59
163,20,180,0,6385.9,193.7,62
164,20,180,0,6391.2,194.0,75
165,20,180,0,6389.8,194.0,71
166,20,180,0,6359.8,193.0,52
167,20,180,0,6369.5,193.4,79
168,20,180,0,6350.3,192.8,60
169,20,180,0,6358.8,193.2,79
170,20,180,0,6351.8,193.0,69
171,20,180,0,6342.8,192.8,68
172,20,180,0,6328.9,192.4,65
173,20,180,0,6320.4,192.1,69
174,20,180,0,6299.7,191.5,61
175,20,180,0,6303.7,191.7,78
176,20,180,0,6310.0,192.1,80
177,20,180,0,6312.6,192.3,78
178,20,180,0,6317.5,192.5,80
179,20,180,0,6299.5,192.0,65
180,20,180,0,6315.1,192.7,88
181,20,180,0,6300.3,192.2,68
182,20,180,0,6279.2,191.6,64
183,20,180,0,6256.4,190.8,63
184,20,180,0,6248.1,190.7,73
185,20,180,0,6229.0,190.1,66
186,20,180,0,6220.0,189.9,73
187,20,180,0,6216.3,189.9,77
188,20,180,0,6228.3,190.4,88
189,20,180,0,6217.4,190.2,73
190,20,180,0,6214.9,190.2,79
191,20,180,0,6216.1,190.4,82
192,20,180,0,6212.4,190.4,79
193,20,180,0,6200.7,190.1,74
194,20,180,0,6198.9,190.1,81
195,20,180,0,6196.5,190.2,81
196,20,180,0,6167.0,189.2,63
197,20,180,0,6144.8,188.5,68
198,20,180,0,6150.4,188.9,87
199,20,180,0,6136.2,188.5,74
200,20,180,0,6127.5,188.3,78
201,20,180,0,6108.0,187.8,71
202,20,180,0,6116.2,188.2,90
203,20,180,0,6110.4,188.1,81
204,20,180,0,6085.1,187.3,68
