tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,avg_nrg_labor,contracts
1,20,180,0,0.508,55.7,84
2,20,180,0,0.508,63.1,103
3,20,180,0,0.508,69.6,96
4,20,180,0,0.508,75.9,93
5,20,180,0,0.508,81.5,87
6,20,180,0,0.508,86.6,80
7,20,180,0,0.508,90.8,71
8,20,180,0,0.508,96.5,84
9,20,180,0,0.508,102.0,85
10,20,180,0,0.508,106.1,69
11,20,180,0,0.508,111.5,84
12,20,180,0,0.508,116.6,79
13,20,180,0,0.508,121.1,68
14,20,180,0,0.508,125.3,66
15,20,180,0,0.508,131.0,83
16,20,180,0,0.508,136.3,74
17,20,180,0,0.508,141.9,71
18,20,180,0,0.508,147.6,77
19,20,180,0,0.508,152.0,54
20,20,180,0,0.508,157.7,64
21,20,180,0,0.508,162.9,62
22,20,180,0,0.508,168.3,61
23,20,180,0,0.508,173.9,60
24,20,180,0,0.508,180.0,66
25,20,180,0,0.508,185.8,59
26,20,180,0,0.508,191.5,53
27,20,180,0,0.508,197.1,56
28,20,180,0,0.508,202.8,56
29,20,180,0,0.508,209.3,64
30,20,180,0,0.508,216.3,61
31,20,180,0,0.508,222.8,57
32,20,180,0,0.508,228.7,39
33,20,180,0,0.508,234.9,45
34,20,180,0,0.508,241.6,40
35,20,180,0,0.508,248.7,44
36,20,180,0,0.508,255.1,35
37,20,180,0,0.508,261.7,33
38,20,180,0,0.508,269.2,34
39,20,180,0,0.508,276.4,27
40,20,180,0,0.508,283.6,23
41,20,180,0,0.508,291.7,30
42,20,180,0,0.508,298.8,21
43,20,180,0,0.508,306.1,12
44,20,180,0,0.508,313.3,12
45,20,180,0,0.508,320.6,13
46,20,180,0,0.508,327.4,10
47,20,180,0,0.508,334.7,10
48,20,180,0,0.508,341.7,5
49,20,180,0,0.508,348.7,8
50,20,180,0,0.508,354.4,6
51,20,180,0,0.508,360.4,6
52,20,180,0,0.508,365.4,5
53,20,180,0,0.508,370.8,2
54,20,180,0,0.508,374.4,3
55,20,180,0,0.508,378.9,2
56,20,180,0,0.508,382.5,1
57,20,180,0,0.508,386.0,1
58,20,180,0,0.508,388.9,0
59,20,180,0,0.508,390.5,1
60,20,180,0,0.508,392.8,0
61,20,180,0,0.508,394.3,0
62,20,180,0,0.508,396.5,0
63,20,180,0,0.508,397.3,1
64,20,180,0,0.508,398.5,0
65,20,180,0,0.508,399.7,0
66,20,180,0,0.508,400.6,0
67,20,180,0,0.508,401.3,0
68,20,180,0,0.508,401.7,0
69,20,180,0,0.508,401.9,0
70,20,180,0,0.508,402.6,0
71,20,180,0,0.508,402.9,0
72,20,180,0,0.508,402.7,0
73,20,180,0,0.508,403.4,0
74,20,180,0,0.508,403.5,0
75,20,180,0,0.508,403.3,0
76,20,180,0,0.508,404.0,0
77,20,180,0,0.508,403.5,0
78,20,180,0,0.508,403.8,0
79,20,180,0,0.508,403.6,0
80,20,180,0,0.508,403.6,0
81,20,180,0,0.508,403.4,0
82,20,180,0,0.508,403.7,0
83,20,180,0,0.508,403.6,0
84,20,180,0,0.508,403.6,0
85,20,180,0,0.508,403.5,0
86,20,180,0,0.508,403.1,0
87,20,180,0,0.508,403.7,0
88,20,180,0,0.508,403.8,0
89,20,180,0,0.508,403.5,0
90,20,180,0,0.508,403.1,0
91,20,180,0,0.508,403.4,0
92,20,180,0,0.508,404.0,0
93,20,180,0,0.508,403.2,0
94,20,180,0,0.508,403.5,0
95,20,180,0,0.508,403.5,0
96,20,180,0,0.508,403.8,0
97,20,180,0,0.508,403.5,0
98,20,180,0,0.508,403.2,0
99,20,180,0,0.508,403.3,0
100,20,180,0,0.508,403.6,0
101,20,180,0,0.508,403.8,0
102,20,180,0,0.508,403.8,0
103,20,180,0,0.508,403.6,0
104,20,180,0,0.508,403.4,0
105,20,180,0,0.508,403.2,0
106,20,180,0,0.508,403.4,0
107,20,180,0,0.508,403.1,0
108,20,180,0,0.508,402.9,0
109,20,180,0,0.508,402.8,0
110,20,180,0,0.508,403.3,0
111,20,180,0,0.508,403.3,0
112,20,180,0,0.508,403.2,0
113,20,180,0,0.508,402.8,0
114,20,180,0,0.508,403.2,0
115,20,180,0,0.508,403.3,0
116,20,180,0,0.508,403.1,0
117,20,180,0,0.508,403.5,0
118,20,180,0,0.508,402.8,0
119,20,180,0,0.508,402.4,0
120,20,180,0,0.508,402.0,0
121,20,180,0,0.508,401.9,0
122,20,180,0,0.508,400.7,0
123,20,180,0,0.508,401.5,0
124,20,180,0,0.508,401.0,0
125,20,180,0,0.508,401.2,0
126,20,180,0,0.508,401.2,0
127,20,180,0,0.508,401.8,0
128,20,180,0,0.508,400.9,0
129,20,180,0,0.508,401.2,0
130,20,180,0,0.508,401.6,0
131,20,180,0,0.508,401.1,0
132,20,180,0,0.508,400.8,0
133,20,180,0,0.508,400.7,0
134,20,180,0,0.508,400.9,0
135,20,180,0,0.508,401.0,0
136,20,180,0,0.508,401.3,0
137,20,180,0,0.508,400.9,0
138,20,180,0,0.508,400.6,0
139,20,180,0,0.508,400.0,0
140,20,180,0,0.508,399.6,0
141,20,180,0,0.508,400.0,0
142,20,180,0,0.508,399.8,0
143,20,180,0,0.508,399.7,0
144,20,180,0,0.508,399.1,0
145,20,180,0,0.508,399.4,0
146,20,180,0,0.508,399.9,0
147,20,180,0,0.508,399.2,0
148,20,180,0,0.508,399.2,0
149,20,180,0,0.508,399.5,0
150,20,180,0,0.508,397.9,0
151,20,180,0,0.508,398.2,0
152,20,180,0,0.508,398.4,0
153,20,180,0,0.508,397.7,0
154,20,180,0,0.508,398.5,0
155,20,180,0,0.508,397.6,0
156,20,180,0,0.508,397.0,0
157,20,180,0,0.508,397.8,0
158,20,180,0,0.508,397.4,0
159,20,180,0,0.508,397.1,0
160,20,180,0,0.508,397.9,0
161,20,180,0,0.508,397.6,0
162,20,180,0,0.508,397.2,0
163,20,180,0,0.508,397.1,0
164,20,180,0,0.508,396.3,0
165,20,180,0,0.508,397.1,0
166,20,180,0,0.508,396.8,0
167,20,180,0,0.508,396.5,0
168,20,180,0,0.508,396.9,0
169,20,180,0,0.508,396.2,0
