tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
1,0,0,106.46425224079272,99.2916834991498
2,0,0,110.37204022934463,99.78407531480045
3,0,0,114.27592042990801,100.27597473863544
4,0,0,116.4758967502708,101.56738226304661
5,0,0,118.67367309431326,102.85749837993336
6,0,0,122.56925166201165,103.34632438070322
7,0,0,124.76093465114235,104.63466155547232
8,0,0,127.80042595728393,105.52171039306666
9,0,0,128.28687777211937,107.60787218182338
10,0,0,130.47284313513995,108.49194780879137
11,0,0,132.6566225327975,109.77513936013237
12,0,0,134.83821815105745,110.65704771992203
13,0,0,136.1676321736991,111.93807417135191
14,0,0,139.7199871941636,112.41781959633036
15,0,0,141.56878985960765,113.29708527588383
16,0,0,145.11574372238624,113.37547168975775
17,0,0,147.80915063130203,113.85377971721779
18,0,0,150.49986413330893,115.13160943665038
19,0,0,154.03788692181382,116.00816132636352
20,0,0,155.17002854072206,117.68383666418696
21,0,0,157.03506165815546,118.55783632667257
22,0,0,158.0165492491355,119.4309619894957
23,0,0,159.02873584586047,120.703214526656
24,0,0,161.00588661584464,121.17419481127914
25,0,0,163.39838662251432,122.44470411561765
26,0,0,164.93849412917731,123.31394291065185
27,1,0,170.3516003646218,123.78231246689099
28,1,0,175.7592934938308,123.8502136535739
29,1,0,178.6115789299106,124.31804693907011
30,1,0,181.20983850412267,125.18541239128085
31,1,0,186.37930037157224,125.65191047803937
32,1,0,189.69675688028062,126.91794206671113
33,1,0,193.8718538477822,126.98270762379421
34,1,0,200.2326893547678,127.44740841532023
35,1,0,207.06170286253456,127.51164450605471
36,1,0,210.2366592969006,129.17581636069843
37,1,0,213.90636414617046,130.03832404348753
38,1,0,218.66648813920804,131.69996921859385
39,1,0,224.6491956611584,132.97654700877186
40,1,0,231.18798543811022,134.25184822115972
41,1,0,238.60331949723235,135.10927987208834
42,2,0,244.49498449641126,136.38244835161285
43,4,0,249.06299960223407,138.85434366265784
44,5,0,253.5363779452714,140.1237670783918
45,5,0,259.28997599373463,142.17532681046322
46,7,0,263.7833532425356,145.44142924304936
47,7,0,269.3938970843846,147.9042655732029
48,7,0,275.7259768197568,150.3646390670263
49,7,0,282.0808506331251,152.42255218735588
50,7,0,288.0983643148446,153.67840739456514
51,7,0,291.70053028710674,155.71333891817247
52,7,0,295.7397038214173,159.32075192780175
53,9,0,299.2600105415339,162.46062988898402
54,9,0,303.2764746867965,164.18952271841408
55,9,0,307.83244493943533,167.5298588133808
56,11,0,309.43131195961735,171.05299670946067
57,11,0,313.3160817007419,175.17317527967833
58,12,0,316.0798956637893,177.92474839793638
59,12,0,319.15945061653616,182.2049792458117
60,12,1,321.3023179313567,186.89310958194844
61,12,2,322.54339259798917,191.56537868348772
62,12,2,325.8047544957333,196.78478578334148
63,12,2,328.8012564051441,201.11268844613016
64,13,2,331.3964422373971,206.86667047297806
65,13,2,334.62544650817745,213.03384167743428
66,13,2,337.3393640708057,216.64754196945853
67,13,3,340.5155061767767,220.01566075633616
68,13,3,342.32177536793836,223.84659168203473
69,14,3,344.36192155451687,228.0609523272627
70,14,3,345.5857478790301,231.8649359357537
71,14,3,347.88353731909984,236.99922994314053
72,15,4,349.76768455240006,240.76634908411145
73,15,5,350.78356198543133,246.00110157915273
74,15,5,353.01785536203244,250.9972592934308
75,17,5,354.6178432995162,256.17962636580995
76,18,6,356.16884936874465,261.5780582610528
77,18,6,360.32643280994523,266.9863614564227
78,18,6,361.2195275523239,271.6342265411912
79,18,6,363.49573363398554,275.53224136909404
80,18,6,363.7200889266965,279.49141987209595
81,18,6,363.7056085185567,284.2656832423875
82,18,6,364.62532627121374,289.4581986525767
83,19,6,365.47762725380255,292.8307431598818
84,19,7,365.96264138778304,298.25892221739997
85,19,8,366.006285482688,304.5551845500231
86,19,10,368.03603452208176,310.12864252039265
87,19,10,368.4258852701018,314.7381253046987
88,19,11,368.2377717139587,319.18982416578666
89,19,11,367.653350201131,325.3773822533338
90,19,11,368.2112570727271,328.8523172721689
91,19,12,367.17592165548893,332.1163124278593
92,19,12,368.39355817266545,335.3935488461718
93,19,13,367.31179329271515,338.85994834632146
94,19,13,367.01837741081715,342.15683632196607
