tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
1,20,180,0,0.580,83
2,20,180,0,0.580,94
3,20,180,0,0.580,93
4,20,180,0,0.580,97
5,20,180,0,0.580,92
6,20,180,0,0.580,85
7,20,180,0,0.580,57
8,20,180,0,0.580,57
9,20,180,0,0.580,61
10,20,180,0,0.580,58
11,20,180,0,0.580,41
12,20,180,0,0.580,45
13,20,180,0,0.580,48
14,20,180,0,0.580,47
15,20,180,0,0.580,59
16,20,180,0,0.580,38
17,20,180,0,0.580,44
18,20,180,0,0.580,51
19,20,180,0,0.580,42
20,20,180,0,0.580,31
21,20,180,0,0.580,42
22,20,180,0,0.580,39
23,20,180,0,0.580,38
24,20,180,0,0.580,42
25,20,180,0,0.580,35
26,20,180,0,0.580,33
27,20,180,0,0.580,40
28,20,180,0,0.580,30
29,20,180,0,0.580,34
30,20,180,0,0.580,34
31,20,180,0,0.580,29
32,20,180,0,0.580,28
33,20,180,0,0.580,20
34,20,180,0,0.580,12
35,20,180,0,0.580,14
36,20,180,0,0.580,8
37,20,180,0,0.580,5
38,20,180,0,0.580,2
39,20,180,0,0.580,2
40,20,180,0,0.580,2
41,20,180,0,0.580,2
42,20,180,0,0.580,0
43,20,180,0,0.580,2
44,20,180,0,0.580,0
45,20,180,0,0.580,0
46,20,180,0,0.580,0
47,20,180,0,0.580,0
48,20,180,0,0.580,0
49,20,180,0,0.580,0
50,20,180,0,0.580,0
51,20,180,0,0.580,0
52,20,180,0,0.580,0
53,20,180,0,0.580,0
54,20,180,0,0.580,0
55,20,180,0,0.580,0
56,20,180,0,0.580,0
57,20,180,0,0.580,0
58,20,180,0,0.580,0
59,20,180,0,0.580,0
60,20,180,0,0.580,0
61,20,180,0,0.580,0
62,20,180,0,0.580,0
63,20,180,0,0.580,0
64,20,180,0,0.580,0
65,20,180,0,0.580,0
66,20,180,0,0.580,0
67,20,180,0,0.580,0
68,20,180,0,0.580,0
69,20,180,0,0.580,0
70,20,180,0,0.580,0
71,20,180,0,0.580,0
72,20,180,0,0.580,0
73,20,180,0,0.580,0
74,20,180,0,0.580,0
75,20,180,0,0.580,0
76,20,180,0,0.580,0
77,20,180,0,0.580,0
78,20,180,0,0.580,0
79,20,180,0,0.580,0
80,20,180,0,0.580,0
81,20,180,0,0.580,0
82,20,180,0,0.580,0
83,20,180,0,0.580,0
84,20,180,0,0.580,0
85,20,180,0,0.580,0
86,20,180,0,0.580,0
87,20,180,0,0.580,0
88,20,180,0,0.580,0
89,20,180,0,0.580,0
90,20,180,0,0.580,0
91,20,180,0,0.580,0
92,20,180,0,0.580,0
93,20,180,0,0.580,0
94,20,180,0,0.580,0
95,20,180,0,0.580,0
96,20,180,0,0.580,0
97,20,180,0,0.580,0
98,20,180,0,0.580,0
99,20,180,0,0.580,0
100,20,180,0,0.580,0
101,20,180,0,0.580,0
102,20,180,0,0.580,0
103,20,180,0,0.580,0
104,20,180,0,0.580,0
105,20,180,0,0.580,0
106,20,180,0,0.580,0
107,20,180,0,0.580,0
108,20,180,0,0.580,0
109,20,180,0,0.580,0
110,20,180,0,0.580,0
111,20,180,0,0.580,0
112,20,180,0,0.580,0
113,20,180,0,0.580,0
114,20,180,0,0.580,0
115,20,180,0,0.580,0
116,20,180,0,0.580,0
117,20,180,0,0.580,0
118,20,180,0,0.580,0
119,20,180,0,0.580,0
120,20,180,0,0.580,0
121,20,180,0,0.580,0
122,20,180,0,0.580,0
123,20,180,0,0.580,0
124,20,180,0,0.580,0
125,20,180,0,0.580,0
126,20,180,0,0.580,0
127,20,180,0,0.580,0
128,20,180,0,0.580,0
129,20,180,0,0.580,0
130,20,180,0,0.580,0
131,20,180,0,0.580,0
132,20,180,0,0.580,0
133,20,180,0,0.580,0
134,20,180,0,0.580,0
135,20,180,0,0.580,0
136,20,180,0,0.580,0
137,20,180,0,0.580,0
138,20,180,0,0.580,0
139,20,180,0,0.580,0
140,20,180,0,0.580,0
141,20,180,0,0.580,0
142,20,180,0,0.580,0
143,20,180,0,0.580,0
144,20,180,0,0.580,0
145,20,180,0,0.580,0
146,20,180,0,0.580,0
147,20,180,0,0.580,0
148,20,180,0,0.580,0
149,20,180,0,0.580,0
150,20,180,0,0.580,0
151,20,180,0,0.580,0
152,20,180,0,0.580,0
153,20,180,0,0.580,0
154,20,180,0,0.580,0
155,20,180,0,0.580,0
156,20,180,0,0.580,0
157,20,180,0,0.580,0
158,20,180,0,0.580,0
159,20,180,0,0.580,0
160,20,180,0,0.580,0
161,20,180,0,0.580,0
162,20,180,0,0.580,0
163,20,180,0,0.580,0
164,20,180,0,0.580,0
165,20,180,0,0.580,0
166,20,180,0,0.580,0
167,20,180,0,0.580,0
168,20,180,0,0.580,0
169,20,180,0,0.580,0
170,20,180,0,0.580,0
171,20,180,0,0.580,0
172,20,180,0,0.580,0
173,20,180,0,0.580,0
174,20,180,0,0.580,0
175,20,180,0,0.580,0
176,20,180,0,0.580,0
177,20,180,0,0.580,0
178,20,180,0,0.580,0
179,20,180,0,0.580,0
180,20,180,0,0.580,0
181,20,180,0,0.580,0
182,20,180,0,0.580,0
183,20,180,0,0.580,0
184,20,180,0,0.580,0
185,20,180,0,0.580,0
186,20,180,0,0.580,0
187,20,180,0,0.580,0
188,20,180,0,0.580,0
189,20,180,0,0.580,0
190,20,180,0,0.580,0
191,20,180,0,0.580,0
192,20,180,0,0.580,0
193,20,180,0,0.580,0
194,20,180,0,0.580,0
195,20,180,0,0.580,0
196,20,180,0,0.580,0
197,20,180,0,0.580,0
198,20,180,0,0.580,0
199,20,180,0,0.580,0
200,20,180,0,0.580,0
201,20,180,0,0.580,0
202,20,180,0,0.580,0
203,20,180,0,0.580,0
204,20,180,0,0.580,0
205,20,180,0,0.580,0
206,20,180,0,0.580,0
207,20,180,0,0.580,0
208,20,180,0,0.580,0
209,20,180,0,0.580,0
210,20,180,0,0.580,0
211,20,180,0,0.580,0
212,20,180,0,0.580,0
213,20,180,0,0.580,0
214,20,180,0,0.580,0
215,20,180,0,0.580,0
216,20,180,0,0.580,0
217,20,180,0,0.580,0
218,20,180,0,0.580,0
219,20,180,0,0.580,0
220,20,180,0,0.580,0
221,20,180,0,0.580,0
222,20,180,0,0.580,0
223,20,180,0,0.580,0
224,20,180,0,0.580,0
225,20,180,0,0.580,0
226,20,180,0,0.580,0
227,20,180,0,0.580,0
228,20,180,0,0.580,0
229,20,180,0,0.580,0
230,20,180,0,0.580,0
231,20,180,0,0.580,0
232,20,180,0,0.580,0
233,20,180,0,0.580,0
234,20,180,0,0.580,0
235,20,180,0,0.580,0
236,20,180,0,0.580,0
237,20,180,0,0.580,0
238,20,180,0,0.580,0
239,20,180,0,0.580,0
240,20,180,0,0.580,0
241,20,180,0,0.580,0
242,20,180,0,0.580,0
243,20,180,0,0.580,0
244,20,180,0,0.580,0
245,20,180,0,0.580,0
246,20,180,0,0.580,0
247,20,180,0,0.580,0
