tick,tax_rate,subsidy,treasury,pop_rich,pop_poor,avg_nrg_poor
1,0.025,10.0,-0.0,20,170,54.7
2,0.025,10.0,0.0,20,168,62.0
3,0.025,10.0,0.0,20,136,63.6
4,0.025,10.0,-0.0,20,131,72.2
5,0.025,10.0,91.8,20,116,78.6
6,0.025,10.0,211.7,22,103,84.9
7,0.025,10.2,658.2,24,83,90.6
8,0.026,10.4,1330.3,31,50,95.0
9,0.025,10.1,2882.4,32,30,99.0
10,0.025,10.0,4382.8,22,5,99.4
11,0.023,9.2,6096.1,17,14,99.3
12,0.017,6.6,7220.8,15,23,99.0
13,0.013,5.0,8057.0,13,29,99.0
14,0.010,3.9,8647.0,13,33,98.9
15,0.010,3.9,9213.6,12,34,98.9
16,0.007,2.7,9633.8,11,51,98.7
17,0.006,2.3,9931.0,11,51,98.4
18,0.006,2.3,10226.0,11,46,98.2
19,0.006,2.3,10534.9,11,40,98.1
20,0.006,2.3,10852.6,11,41,98.2
21,0.006,2.3,11170.5,11,40,98.0
22,0.006,2.3,11487.4,11,39,97.8
23,0.006,2.3,11803.4,11,37,98.0
24,0.006,2.3,12119.7,12,37,98.0
25,0.006,2.5,12454.6,12,38,98.0
26,0.006,2.5,12795.4,12,37,97.9
27,0.006,2.5,13146.3,13,38,97.8
28,0.009,3.4,13652.8,13,33,97.9
29,0.010,4.2,14290.8,15,26,98.5
30,0.013,5.4,15121.6,15,15,98.1
31,0.013,5.4,16005.5,15,34,98.5
32,0.013,5.4,16767.8,13,23,98.7
33,0.011,4.5,17402.9,12,33,98.8
34,0.009,3.7,17902.6,12,53,98.8
35,0.009,3.7,18337.5,11,58,98.9
36,0.006,2.3,18589.8,11,79,98.7
37,0.006,2.3,18804.8,11,81,98.4
38,0.006,2.3,19017.6,10,87,98.1
39,0.005,2.0,19191.0,10,88,97.8
40,0.005,2.0,19365.2,10,89,97.4
41,0.005,2.0,19536.2,10,95,97.0
42,0.005,2.0,19697.3,10,95,96.5
43,0.005,2.0,19853.2,10,93,96.0
44,0.005,2.0,20012.5,11,93,95.7
45,0.008,3.2,20270.1,10,89,96.0
46,0.005,2.0,20446.3,10,92,95.6
47,0.005,2.0,20610.4,11,95,95.4
48,0.009,3.5,20887.0,12,89,95.7
49,0.009,3.7,21183.1,11,76,95.8
50,0.009,3.5,21491.2,11,75,96.2
51,0.009,3.5,21801.9,12,72,96.4
52,0.012,4.8,22214.4,12,56,96.7
53,0.012,4.8,22713.8,12,67,97.7
54,0.012,4.8,23178.2,12,47,97.5
55,0.009,3.5,23560.2,12,67,97.9
56,0.009,3.5,23867.1,11,66,98.0
57,0.005,2.0,24073.5,12,95,97.8
58,0.008,3.0,24334.0,13,90,97.7
59,0.010,4.2,24681.5,11,68,98.0
60,0.008,3.1,24960.5,14,80,97.9
61,0.010,4.0,25275.9,13,59,97.9
62,0.008,3.2,25594.2,11,71,97.8
63,0.005,1.9,25769.0,11,101,97.4
64,0.005,1.9,25914.9,11,98,96.6
65,0.005,1.9,26065.7,11,96,95.7
66,0.005,1.9,26212.9,11,101,95.1
67,0.005,1.9,26349.5,10,103,94.3
68,0.005,2.0,26484.4,11,106,93.8
69,0.008,3.4,26718.1,11,104,94.1
70,0.008,3.4,26954.1,11,104,94.3
71,0.008,3.4,27193.0,11,103,94.5
72,0.008,3.4,27425.6,11,103,94.7
73,0.008,3.4,27653.7,11,102,94.8
74,0.008,3.4,27873.1,10,96,94.6
75,0.005,2.0,28023.4,10,96,93.9
76,0.005,2.0,28183.0,10,101,93.3
77,0.005,2.0,28327.5,10,104,92.5
78,0.005,2.0,28465.7,10,104,91.9
79,0.005,2.0,28600.6,10,103,90.9
80,0.005,2.0,28736.3,10,108,90.4
81,0.005,2.0,28862.1,11,105,89.1
82,0.007,2.6,29031.2,12,104,88.9
83,0.010,3.8,29283.5,11,104,89.7
84,0.006,2.6,29454.1,13,110,89.7
85,0.012,4.6,29736.8,13,108,90.8
86,0.012,4.6,30039.9,14,103,91.3
87,0.013,5.2,30381.7,13,93,91.8
88,0.012,4.9,30710.2,12,90,92.5
89,0.010,4.1,30993.5,12,93,93.0
90,0.010,4.1,31255.9,11,96,93.5
91,0.008,3.4,31471.1,11,104,93.9
92,0.008,3.4,31678.9,12,101,93.5
93,0.009,3.7,31911.3,12,103,93.7
94,0.009,3.7,32148.3,13,100,93.5
95,0.010,4.1,32406.0,13,98,93.6
96,0.010,4.1,32666.6,15,90,93.3
97,0.015,5.9,33073.9,14,78,93.8
98,0.013,5.2,33502.1,16,87,94.8
99,0.014,5.5,33919.1,15,77,95.3
100,0.013,5.3,34335.2,14,73,95.4
101,0.011,4.5,34710.7,12,87,95.9
102,0.009,3.5,34965.2,12,96,95.7
103,0.009,3.5,35183.9,10,105,95.6
104,0.005,2.0,35307.2,10,107,94.3
105,0.005,2.0,35423.9,10,108,92.9
106,0.005,2.0,35534.1,10,105,91.5
107,0.005,2.0,35657.5,10,110,90.6
108,0.005,2.0,35767.4,11,111,89.7
109,0.008,3.2,35927.3,11,116,89.9
110,0.009,3.6,36091.5,11,116,89.8
111,0.007,2.7,36219.4,12,113,88.7
112,0.007,3.0,36377.7,13,110,88.0
113,0.010,3.9,36603.3,12,110,88.3
114,0.009,3.7,36800.4,12,113,88.5
115,0.008,3.2,36971.8,12,115,88.4
116,0.008,3.2,37127.6,10,117,88.3
117,0.005,2.0,37229.4,12,112,86.5
118,0.010,4.0,37444.2,11,119,87.6
119,0.007,2.6,37564.9,10,118,86.8
120,0.005,2.0,37655.3,10,117,85.3
121,0.005,2.0,37740.3,11,116,83.9
122,0.009,3.4,37887.5,10,115,83.6
123,0.009,3.7,38034.2,10,120,84.2
124,0.009,3.7,38149.3,8,119,84.3
125,0.005,2.0,38214.8,7,115,82.3
126,0.005,2.0,38289.7,7,116,81.3
127,0.005,2.0,38365.7,8,116,80.2
128,0.005,2.0,38437.3,9,119,79.5
129,0.007,2.8,38539.3,9,122,79.5
130,0.009,3.4,38647.2,7,124,80.0
131,0.007,2.8,38740.5,7,123,79.3
132,0.006,2.4,38828.5,8,118,77.8
133,0.006,2.3,38913.3,7,122,77.6
134,0.005,2.0,38983.5,6,121,76.5
135,0.005,2.0,39054.5,8,122,75.6
136,0.006,2.3,39143.2,5,122,74.9
137,0.005,2.0,39209.7,7,120,73.4
138,0.005,2.1,39278.9,7,121,72.7
139,0.005,2.1,39337.8,7,121,71.9
140,0.005,2.1,39393.0,6,123,71.7
141,0.008,3.3,39468.5,6,125,72.2
142,0.008,3.3,39536.7,5,123,71.9
143,0.008,3.4,39623.8,4,124,72.3
144,0.009,3.7,39718.4,5,123,72.5
145,0.009,3.5,39814.9,8,121,72.3
146,0.016,6.6,40036.5,5,120,74.7
147,0.009,3.5,40148.7,4,121,74.8
148,0.009,3.7,40273.0,2,122,75.0
149,0.005,2.0,40327.3,3,123,73.9
150,0.006,2.2,40388.7,3,121,72.6
151,0.006,2.2,40447.4,4,122,71.9
152,0.013,5.1,40575.1,2,121,72.9
153,0.020,7.9,40804.7,2,116,75.4
154,0.005,2.0,40866.0,1,121,75.1
155,0.005,2.0,40919.6,3,122,73.9
156,0.004,1.8,40964.2,5,121,72.3
157,0.009,3.5,41071.7,3,122,72.5
158,0.007,2.8,41148.6,3,122,71.8
159,0.021,8.2,41378.0,2,116,73.9
160,0.025,10.1,41676.9,4,106,76.7
161,0.022,8.8,42029.5,2,105,79.9
162,0.030,11.9,42456.5,1,93,83.1
163,0.011,4.4,42685.4,1,112,85.4
164,0.011,4.4,42843.5,2,108,84.5
165,0.007,2.9,42955.9,2,114,83.7
166,0.017,6.9,43202.0,1,114,85.3
167,0.024,9.5,43475.4,1,101,87.2
168,0.046,18.4,43973.7,0,66,92.1
169,0.046,18.4,45362.9,1,42,96.2
170,0.039,15.6,46446.2,1,31,97.4
171,0.022,8.7,47304.1,3,48,98.0
172,0.028,11.4,47844.2,2,24,97.5
173,0.041,16.4,49097.5,1,45,96.6
174,0.043,17.2,50692.3,3,23,98.4
175,0.037,14.9,52120.7,1,49,96.9
176,0.014,5.4,52633.3,3,79,97.1
177,0.031,12.6,53059.0,3,15,98.8
178,0.028,11.1,53987.5,0,51,97.3
179,0.028,11.1,54897.7,0,78,97.5
180,0.028,11.1,55244.8,0,32,98.3
181,0.028,11.1,55873.5,1,43,97.4
182,0.017,6.8,56482.3,2,106,97.6
183,0.021,8.4,56728.9,0,81,98.6
184,0.021,8.4,56948.5,1,42,98.7
185,0.034,13.6,57177.5,1,5,96.9
186,0.035,14.0,58903.5,2,99,97.5
187,0.023,9.1,59288.0,1,75,98.5
188,0.014,5.6,59485.7,1,117,97.8
189,0.014,5.6,59576.2,1,124,97.2
190,0.003,1.3,59593.8,1,128,93.6
191,0.014,5.6,59649.5,3,129,93.3
192,0.008,3.2,59685.4,3,132,91.3
193,0.012,4.8,59720.1,3,133,90.5
194,0.018,7.2,59758.1,1,132,91.3
195,0.014,5.6,59789.0,2,131,91.0
196,0.025,10.2,59867.6,3,124,93.6
197,0.037,14.9,60025.8,4,70,97.9
198,0.034,13.8,60476.9,3,24,97.1
199,0.033,13.1,61681.8,0,80,97.2
200,0.033,13.1,62210.9,1,44,97.5
201,0.022,8.7,62694.7,3,85,97.4
202,0.027,10.9,62863.0,0,45,98.2
203,0.027,10.9,63337.2,2,48,96.9
204,0.014,5.7,63770.1,3,132,96.6
205,0.022,8.8,63799.8,1,125,97.8
206,0.022,8.7,63827.4,2,92,98.5
207,0.030,11.8,63846.4,5,4,99.2
208,0.035,14.1,64444.3,2,36,95.9
209,0.029,11.6,65646.6,1,124,98.4
210,0.021,8.6,65644.9,0,77,98.7
211,0.021,8.6,65618.2,0,49,98.8
212,0.021,8.6,65721.2,0,45,97.4
213,0.021,8.6,65940.0,1,61,96.7
214,0.043,17.2,65917.1,0,0,0.0
215,0.043,17.2,67571.2,1,96,97.8
216,0.046,18.3,68228.1,0,24,99.4
217,0.046,18.3,69288.7,4,69,96.1
218,0.025,9.9,69981.9,1,95,98.3
219,0.038,15.0,69957.1,0,1,95.1
220,0.038,15.0,71272.4,3,89,96.5
