tick,population,avg_energy,project_progress
1,400,465.0,6000.0
2,500,584.2,16598.2
3,500,617.1,35807.1
4,500,665.4,56659.9
5,500,688.5,79927.9
6,500,642.4,104354.4
7,500,587.5,126473.0
8,500,537.2,145845.7
9,500,492.9,162706.2
10,500,453.8,177350.8
11,500,564.3,190040.9
12,500,604.5,208256.7
13,500,646.8,228481.8
14,500,678.6,250819.4
15,500,630.8,274750.2
16,500,578.2,296291.7
17,500,529.0,315200.1
18,500,485.7,331651.1
19,500,447.4,345934.5
20,500,553.7,358305.9
21,500,598.6,375990.7
22,500,643.5,395922.4
23,500,671.8,418096.1
24,500,626.5,441688.1
25,500,575.3,463020.5
26,500,526.5,481784.1
27,500,483.4,498107.5
28,500,445.4,512278.2
29,500,554.9,524550.2
30,500,600.0,542297.3
31,500,642.0,562299.0
32,500,669.5,584400.3
33,500,629.4,607877.1
34,500,574.2,629347.6
35,500,525.5,648058.7
36,500,482.6,664335.6
37,500,444.7,678465.5
38,500,550.3,690701.4
39,500,594.5,708216.8
40,500,644.7,727944.0
41,500,671.2,750178.3
42,500,623.1,773737.7
43,500,572.0,794891.3
44,500,524.4,813492.7
45,500,482.5,829718.1
46,500,444.6,843842.0
47,500,554.2,856072.6
48,500,597.4,873783.2
49,500,645.5,893652.7
50,500,673.0,915927.6
51,500,623.8,939577.6
52,500,572.7,960769.0
53,500,524.8,979402.1
54,500,481.7,995643.5
55,500,443.5,1009726.7
