tick,pop_earth,pop_mars,pop_alpha,migrations
1,0,46,104,100
2,0,46,104,100
3,0,46,104,100
4,0,46,104,100
5,0,46,104,100
6,0,46,104,100
7,0,46,104,100
8,0,46,104,100
9,0,46,104,100
10,0,46,104,100
11,0,46,104,100
12,0,46,104,100
13,0,46,104,100
14,0,46,104,100
15,0,46,104,100
16,0,46,104,100
17,0,46,104,100
18,0,46,104,100
19,0,46,104,100
20,0,46,104,100
21,0,46,104,100
22,0,46,104,100
23,0,46,104,100
24,0,46,104,100
25,0,46,104,100
26,0,46,104,100
27,0,46,104,100
28,0,46,104,100
29,0,46,104,100
30,0,46,104,100
31,0,46,104,100
32,0,46,104,100
33,0,46,104,100
34,0,46,104,100
35,0,46,104,100
36,0,46,104,100
37,0,46,104,100
38,0,46,104,100
39,0,46,104,100
40,0,46,104,100
41,0,79,104,100
42,0,143,104,100
43,0,200,104,100
44,0,200,104,100
45,0,200,104,100
46,0,200,105,100
47,0,200,109,100
48,0,200,115,100
49,0,200,127,100
50,0,200,148,100
51,0,200,183,100
52,0,200,200,100
53,0,200,200,100
54,0,200,200,100
55,0,200,200,100
56,0,200,200,100
57,0,200,200,100
58,0,200,200,100
59,0,200,200,100
60,0,200,200,100
61,0,200,200,100
62,0,200,200,100
63,0,200,200,100
64,0,200,200,100
65,0,200,200,100
66,0,200,200,100
67,0,200,200,100
68,0,200,200,100
69,0,200,200,100
70,0,200,200,100
71,0,200,200,100
72,0,200,200,100
73,0,200,200,100
74,0,200,200,100
75,0,200,200,100
76,0,200,200,100
77,0,200,200,100
78,0,200,200,100
79,0,200,200,100
80,0,200,200,100
81,0,200,200,100
82,0,200,200,100
83,0,200,200,100
84,0,200,200,100
85,0,200,200,100
86,0,200,200,100
87,0,200,200,100
88,0,200,200,100
89,0,200,200,100
90,0,200,200,100
91,0,200,200,100
92,0,200,200,100
93,0,200,200,100
94,0,200,200,100
95,0,200,200,100
96,0,200,200,100
97,0,200,200,100
98,0,200,200,100
99,0,200,200,100
100,0,200,200,100
101,0,200,200,100
102,0,200,200,100
103,0,200,200,100
104,0,200,200,100
105,0,200,200,100
106,0,200,200,100
107,0,200,200,100
108,0,200,200,100
109,0,200,200,100
110,0,200,200,100
111,0,200,200,100
112,0,200,200,100
113,0,200,200,100
114,0,200,200,100
115,0,200,200,100
116,0,200,200,100
117,0,200,200,100
118,0,200,200,100
119,0,200,200,100
120,0,200,200,100
121,0,200,200,100
122,0,200,200,100
123,0,200,200,100
124,0,200,200,100
125,0,200,200,100
126,0,200,200,100
127,0,200,200,100
128,0,200,200,100
129,0,200,200,100
130,0,200,200,100
131,0,200,200,100
132,0,200,200,100
133,0,200,200,100
134,0,200,200,100
135,0,200,200,100
136,0,200,200,100
137,0,200,200,100
138,0,200,200,100
139,0,200,200,100
140,0,200,200,100
141,0,200,200,100
142,0,200,200,100
143,0,200,200,100
144,0,200,200,100
145,0,200,200,100
146,0,200,200,100
147,0,200,200,100
148,0,200,200,100
149,0,200,200,100
150,0,200,200,100
151,0,200,200,100
152,0,200,200,100
153,0,200,200,100
154,0,200,200,100
155,0,200,200,100
156,0,200,200,100
157,0,200,200,100
158,0,200,200,100
159,0,200,200,100
160,0,200,200,100
161,0,200,200,100
162,0,200,200,100
163,0,200,200,100
164,0,200,200,100
165,0,200,200,100
166,0,200,200,100
167,0,200,200,100
168,0,200,200,100
169,0,200,200,100
170,0,200,200,100
171,0,200,200,100
172,0,200,200,100
173,0,200,200,100
174,0,200,200,100
175,0,200,200,100
176,0,200,200,100
177,0,200,200,100
178,0,200,200,100
179,0,200,200,100
180,0,200,200,100
181,0,200,200,100
182,0,200,200,100
183,0,200,200,100
184,0,200,200,100
185,0,200,200,100
186,0,200,200,100
187,0,200,200,100
188,0,200,200,100
189,0,200,200,100
190,0,200,200,100
191,0,200,200,100
192,0,200,200,100
193,0,200,200,100
194,0,200,200,100
195,0,200,200,100
196,0,200,200,100
197,0,200,200,100
198,0,200,200,100
199,0,200,200,100
200,0,200,200,100
201,0,200,200,100
202,0,200,200,100
203,0,200,200,100
204,0,200,200,100
205,0,200,200,100
206,0,200,200,100
207,0,200,200,100
208,0,200,200,100
209,0,200,200,100
210,0,200,200,100
211,0,200,200,100
212,0,200,200,100
213,0,200,200,100
214,0,200,200,100
215,0,200,200,100
216,0,200,200,100
217,0,200,200,100
218,0,200,200,100
219,0,200,200,100
220,0,200,200,100
221,0,200,200,100
222,0,200,200,100
223,0,200,200,100
224,0,200,200,100
225,0,200,200,100
226,0,200,200,100
227,0,200,200,100
228,0,200,200,100
229,0,200,200,100
230,0,200,200,100
231,0,200,200,100
232,0,200,200,100
233,0,200,200,100
234,0,200,200,100
235,0,200,200,100
236,0,200,200,100
237,0,200,200,100
238,0,200,200,100
239,0,200,200,100
240,0,200,200,100
241,0,200,200,100
242,0,200,200,100
243,0,200,200,100
244,0,200,200,100
245,0,200,200,100
246,0,200,200,100
247,0,200,200,100
248,0,200,200,100
249,0,200,200,100
250,0,200,200,100
251,0,200,200,100
252,0,200,200,100
253,0,200,200,100
254,0,200,200,100
255,0,200,200,100
256,0,200,200,100
257,0,200,200,100
258,0,200,200,100
259,0,200,200,100
260,0,200,200,100
261,0,200,200,100
262,0,200,200,100
263,0,200,200,100
264,0,200,200,100
265,0,200,200,100
266,0,200,200,100
267,0,200,200,100
268,0,200,200,100
269,0,200,200,100
270,0,200,200,100
271,0,200,200,100
272,0,200,200,100
273,0,200,200,100
274,0,200,200,100
275,0,200,200,100
276,0,200,200,100
277,0,200,200,100
278,0,200,200,100
279,0,200,200,100
280,0,200,200,100
281,0,200,200,100
282,0,200,200,100
283,0,200,200,100
284,0,200,200,100
285,0,200,200,100
286,0,200,200,100
287,0,200,200,100
288,0,200,200,100
289,0,200,200,100
290,0,200,200,100
291,0,200,200,100
292,0,200,200,100
293,0,200,200,100
294,0,200,200,100
295,0,200,200,100
296,0,200,200,100
297,0,200,200,100
298,0,200,200,100
299,0,200,200,100
300,0,200,200,100
301,0,200,200,100
302,0,200,200,100
303,0,200,200,100
304,0,200,200,100
305,0,200,200,100
306,0,200,200,100
307,0,200,200,100
308,0,200,200,100
309,0,200,200,100
310,0,200,200,100
311,0,200,200,100
312,0,200,200,100
313,0,200,200,100
314,0,200,200,100
315,0,200,200,100
316,0,200,200,100
317,0,200,200,100
318,0,200,200,100
319,0,200,200,100
320,0,200,199,100
321,0,200,200,100
322,0,200,200,100
323,0,200,200,100
324,0,200,200,100
325,0,200,200,100
326,0,200,200,100
327,0,200,200,100
328,0,200,200,100
329,0,200,200,100
330,0,200,200,100
331,0,200,200,100
332,0,200,200,100
333,0,200,200,100
334,0,200,200,100
335,0,200,200,100
336,0,200,200,100
337,0,200,200,100
338,0,200,200,100
339,0,200,200,100
340,0,200,200,100
341,0,200,200,100
342,0,200,200,100
343,0,200,200,100
344,0,200,200,100
345,0,200,200,100
346,0,200,200,100
347,0,200,200,100
348,0,200,200,100
349,0,200,200,100
350,0,200,200,100
351,0,200,200,100
352,0,200,200,100
353,0,200,200,100
354,0,200,200,100
355,0,200,200,100
356,0,200,200,100
357,0,200,200,100
358,0,200,200,100
359,0,200,200,100
360,0,200,200,100
361,0,200,200,100
362,0,200,200,100
363,0,200,200,100
364,0,200,200,100
365,0,200,200,100
366,0,200,200,100
367,0,200,200,100
368,0,200,200,100
369,0,200,200,100
370,0,200,200,100
371,0,200,200,100
372,0,200,200,100
373,0,200,200,100
374,0,200,200,100
375,0,200,200,100
376,0,200,200,100
377,0,200,200,100
378,0,200,200,100
379,0,200,200,100
380,0,200,200,100
381,0,200,200,100
382,0,200,200,100
383,0,200,200,100
384,0,200,200,100
385,0,200,200,100
386,0,200,200,100
387,0,200,200,100
388,0,200,200,100
389,0,200,200,100
390,0,200,200,100
391,0,200,200,100
392,0,200,200,100
393,0,200,200,100
394,0,200,200,100
395,0,200,200,100
396,0,200,200,100
397,0,200,200,100
398,0,200,200,100
399,0,200,200,100
400,0,200,200,100
401,0,200,200,100
402,0,200,200,100
403,0,200,200,100
404,0,200,200,100
405,0,200,200,100
406,0,200,200,100
407,0,200,200,100
408,0,200,200,100
409,0,200,200,100
410,0,200,200,100
411,0,200,200,100
412,0,200,200,100
413,0,200,200,100
414,0,200,200,100
415,0,200,200,100
416,0,200,200,100
417,0,200,200,100
418,0,200,200,100
419,0,200,200,100
420,0,200,200,100
421,0,200,200,100
422,0,200,200,100
423,0,200,200,100
424,0,200,200,100
425,0,200,200,100
426,0,200,200,100
427,0,200,200,100
428,0,200,200,100
429,0,200,200,100
430,0,200,200,100
431,0,200,200,100
432,0,200,200,100
433,0,200,200,100
434,0,200,200,100
435,0,200,200,100
436,0,200,200,100
437,0,200,200,100
438,0,200,200,100
439,0,200,200,100
440,0,200,200,100
441,0,200,200,100
442,0,200,200,100
443,0,200,200,100
444,0,200,200,100
445,0,200,200,100
446,0,200,200,100
447,0,200,200,100
448,0,200,200,100
449,0,200,200,100
450,0,200,200,100
451,0,200,200,100
452,0,200,200,100
453,0,200,200,100
454,0,200,200,100
455,0,200,200,100
456,0,200,200,100
457,0,200,200,100
458,0,200,200,100
459,0,200,200,100
460,0,200,200,100
461,0,200,200,100
462,0,200,200,100
463,0,200,200,100
464,0,200,200,100
465,0,200,200,100
466,0,200,200,100
467,0,200,200,100
468,0,200,200,100
469,0,200,200,100
470,0,200,200,100
471,0,200,200,100
472,0,200,200,100
473,0,200,200,100
474,0,200,200,100
475,0,200,200,100
476,0,200,200,100
477,0,200,200,100
478,0,200,200,100
479,0,200,200,100
480,0,200,200,100
481,0,200,200,100
482,0,200,200,100
483,0,200,200,100
484,0,200,200,100
485,0,200,200,100
486,0,200,200,100
487,0,200,200,100
488,0,200,200,100
489,0,200,200,100
490,0,200,200,100
491,0,200,200,100
492,0,200,200,100
493,0,200,200,100
494,0,200,200,100
495,0,200,200,100
496,0,200,200,100
497,0,200,200,100
498,0,200,200,100
499,0,200,200,100
500,0,200,200,100
501,0,200,200,100
502,0,200,200,100
503,0,200,200,100
504,0,200,200,100
505,0,200,200,100
506,0,200,200,100
507,0,200,200,100
508,0,200,200,100
509,0,200,200,100
510,0,200,200,100
511,0,200,200,100
512,0,200,200,100
513,0,200,200,100
514,0,200,200,100
515,0,200,200,100
516,0,200,200,100
517,0,200,200,100
518,0,200,200,100
519,0,200,200,100
520,0,200,200,100
521,0,200,200,100
522,0,200,200,100
523,0,200,200,100
524,0,200,200,100
525,0,200,200,100
526,0,200,200,100
527,0,200,200,100
528,0,200,200,100
529,0,200,200,100
530,0,200,200,100
531,0,200,200,100
532,0,200,200,100
533,0,200,200,100
534,0,200,200,100
535,0,200,200,100
536,0,200,200,100
537,0,200,200,100
538,0,200,200,100
539,0,200,200,100
540,0,200,200,100
541,0,200,200,100
542,0,200,200,100
543,0,200,200,100
544,0,200,200,100
545,0,200,200,100
546,0,200,200,100
547,0,200,200,100
548,0,200,200,100
549,0,200,200,100
550,0,200,200,100
551,0,200,200,100
552,0,200,200,100
553,0,200,200,100
554,0,200,200,100
555,0,200,200,100
556,0,200,200,100
557,0,200,200,100
558,0,200,200,100
559,0,200,200,100
560,0,200,200,100
561,0,200,200,100
562,0,200,200,100
563,0,200,200,100
564,0,200,200,100
565,0,200,200,100
566,0,200,200,100
567,0,200,200,100
568,0,200,200,100
569,0,200,200,100
570,0,200,200,100
571,0,200,200,100
572,0,200,200,100
573,0,200,200,100
574,0,200,200,100
575,0,200,200,100
576,0,200,200,100
577,0,200,200,100
578,0,200,200,100
579,0,200,200,100
580,0,200,200,100
581,0,200,200,100
582,0,200,200,100
583,0,200,200,100
584,0,200,200,100
585,0,200,200,100
586,0,200,200,100
587,0,200,200,100
588,0,200,200,100
589,0,200,200,100
590,0,200,200,100
591,0,200,200,100
592,0,200,200,100
593,0,200,200,100
594,0,200,200,100
595,0,200,200,100
596,0,200,200,100
597,0,200,200,100
598,0,200,200,100
599,0,200,200,100
600,0,200,200,100
601,0,200,200,100
602,0,200,200,100
603,0,200,200,100
604,0,200,200,100
605,0,200,200,100
606,0,200,200,100
607,0,200,200,100
608,0,200,200,100
609,0,200,200,100
610,0,200,200,100
611,0,200,200,100
612,0,200,200,100
613,0,200,200,100
614,0,200,200,100
615,0,200,200,100
616,0,200,200,100
617,0,200,200,100
618,0,200,200,100
619,0,200,200,100
620,0,200,200,100
621,0,200,200,100
622,0,200,200,100
623,0,200,200,100
624,0,200,200,100
625,0,200,200,100
626,0,200,200,100
627,0,200,200,100
628,0,200,200,100
629,0,200,200,100
630,0,200,200,100
631,0,200,200,100
632,0,200,200,100
633,0,200,200,100
634,0,200,200,100
635,0,200,200,100
636,0,200,200,100
637,0,200,200,100
638,0,200,200,100
639,0,200,200,100
640,0,200,200,100
641,0,200,200,100
642,0,200,200,100
643,0,200,200,100
644,0,200,200,100
645,0,200,200,100
646,0,200,200,100
647,0,200,200,100
648,0,200,200,100
649,0,200,200,100
650,0,200,200,100
651,0,200,200,100
652,0,200,200,100
653,0,200,200,100
654,0,200,200,100
655,0,200,200,100
656,0,200,200,100
657,0,200,200,100
658,0,200,200,100
659,0,200,200,100
660,0,200,200,100
661,0,200,200,100
662,0,200,200,100
663,0,200,200,100
664,0,200,200,100
665,0,200,200,100
666,0,200,200,100
667,0,200,200,100
668,0,200,200,100
669,0,200,200,100
670,0,200,200,100
671,0,200,200,100
672,0,200,200,100
673,0,200,200,100
674,0,200,200,100
675,0,200,200,100
676,0,200,200,100
677,0,200,200,100
678,0,200,200,100
679,0,200,200,100
680,0,200,200,100
681,0,200,200,100
682,0,200,200,100
683,0,200,200,100
684,0,200,200,100
685,0,200,200,100
686,0,200,200,100
687,0,200,200,100
688,0,200,200,100
689,0,200,200,100
690,0,200,200,100
