tick,population,avg_energy,entropy_rate
1,1000,9443.6,0.001
2,1000,8909.2,0.002
3,1000,8396.5,0.003
4,1000,7905.3,0.004
5,1000,7435.3,0.005
6,1000,6986.1,0.006
7,1000,6557.4,0.007
8,1000,6148.6,0.008
9,1000,5759.5,0.009
10,1000,5389.4,0.010
11,1000,5038.0,0.011
12,1000,4704.6,0.012
13,1000,4388.7,0.013
14,1000,4089.8,0.014
15,1000,3807.3,0.015
16,1000,3540.6,0.016
17,1000,3289.1,0.017
18,1000,3052.3,0.018
19,1000,2829.6,0.019
20,1000,2620.3,0.020
21,1000,2423.9,0.021
22,1000,2239.8,0.022
23,1000,2067.5,0.023
24,1000,1906.4,0.024
25,1000,1756.0,0.025
26,1000,1615.6,0.026
27,1000,1484.8,0.027
28,1000,1363.1,0.028
29,1000,1249.9,0.029
30,1000,1144.9,0.030
31,1000,1047.4,0.031
32,1000,957.2,0.032
33,1000,873.7,0.033
34,1000,796.5,0.034
35,1000,725.3,0.035
36,1000,659.6,0.036
37,1000,599.2,0.037
38,1000,543.5,0.038
39,1000,492.4,0.039
40,1000,445.5,0.040
41,1000,402.5,0.041
42,1000,695.6,0.042
43,1000,710.7,0.043
44,1000,659.4,0.044
45,1000,597.5,0.045
46,1000,538.4,0.046
47,1000,483.6,0.047
48,1000,434.4,0.048
49,1000,712.4,0.049
50,1000,716.8,0.050
51,1000,667.4,0.051
52,1000,604.4,0.052
53,1000,541.1,0.053
54,1000,482.6,0.054
55,1000,429.3,0.055
56,1000,696.7,0.056
57,1000,707.1,0.057
58,1000,652.9,0.058
59,1000,583.7,0.059
60,1000,519.3,0.060
61,1000,460.8,0.061
62,1000,655.6,0.062
63,1000,705.9,0.063
64,1000,662.0,0.064
65,1000,595.4,0.065
66,1000,527.5,0.066
67,1000,464.5,0.067
68,1000,652.0,0.068
69,1000,696.6,0.069
70,1000,647.1,0.070
71,1000,584.4,0.071
72,1000,514.2,0.072
73,1000,449.7,0.073
74,1000,637.5,0.074
75,1000,672.2,0.075
76,1000,629.1,0.076
77,1000,559.5,0.077
78,1000,490.5,0.078
79,1000,585.3,0.079
80,1000,670.2,0.080
81,1000,643.0,0.081
82,1000,577.9,0.082
83,1000,510.7,0.083
84,1000,568.3,0.084
85,1000,672.2,0.085
86,1000,638.6,0.086
87,1000,580.9,0.087
88,1000,515.0,0.088
89,1000,565.7,0.089
90,1000,667.8,0.090
91,1000,636.4,0.091
92,1000,574.6,0.092
93,1000,506.4,0.093
94,1000,558.2,0.094
95,1000,639.2,0.095
96,1000,608.8,0.096
97,1000,558.7,0.097
98,1000,491.9,0.098
99,1000,549.3,0.099
100,1000,642.2,0.100
101,1000,604.5,0.104
102,1000,542.0,0.108
103,1000,564.5,0.112
104,1000,656.3,0.116
