tick,pop,avg_dist_to_food,agents_at_food
1,100,69.4,1
2,200,60.8,1
3,200,60.8,1
4,200,60.8,1
5,200,60.8,1
6,200,60.8,1
7,200,60.9,1
8,200,60.8,1
9,200,60.8,1
10,200,60.8,1
11,200,60.8,1
12,200,60.8,2
13,200,60.8,2
14,200,60.9,2
15,200,60.9,2
16,200,60.9,2
17,200,60.9,2
18,200,60.9,2
19,200,60.9,2
20,200,60.9,2
21,200,60.9,2
22,200,60.9,2
23,200,60.9,2
24,200,60.9,2
25,200,61.0,2
26,200,60.9,2
27,200,61.0,2
28,200,61.0,2
29,200,61.0,2
30,200,61.0,2
31,200,61.0,2
32,200,60.9,2
33,200,60.9,2
34,200,60.9,2
35,200,61.0,2
36,200,60.9,2
37,200,60.9,2
38,200,60.9,2
39,200,60.9,2
40,200,60.9,2
41,200,60.9,2
42,200,60.9,2
43,200,60.8,2
44,200,60.9,2
45,200,60.9,2
46,200,60.8,2
47,200,60.9,2
48,200,60.9,2
49,200,61.0,2
50,200,60.9,2
51,200,60.9,2
52,200,60.9,2
53,200,60.9,2
54,200,61.0,2
55,200,61.0,2
56,200,61.0,2
57,200,61.0,2
58,200,61.0,2
59,200,61.0,2
60,200,61.1,2
61,200,61.0,2
62,200,61.0,2
63,200,61.1,2
64,200,61.1,2
65,200,61.1,2
66,200,61.0,2
67,200,61.0,2
68,200,61.1,2
69,200,61.0,2
70,200,61.0,2
71,200,61.1,2
72,200,61.1,2
73,200,61.1,2
74,200,61.1,2
75,200,61.1,2
76,200,61.1,2
77,199,61.0,2
78,200,60.9,3
79,200,60.9,4
80,200,60.9,3
81,200,61.0,2
82,200,61.0,2
83,200,61.0,2
84,200,61.0,2
85,200,61.0,2
86,200,61.0,2
87,200,61.0,2
88,200,61.0,3
89,200,61.0,3
90,200,61.0,3
91,200,61.0,2
92,200,61.0,1
93,200,61.0,1
94,200,60.9,1
95,200,61.0,1
96,200,61.0,1
97,200,61.0,1
98,200,60.9,1
99,200,60.9,1
100,200,60.9,1
101,200,61.0,1
102,200,60.9,2
103,200,60.9,2
104,199,61.2,2
105,200,61.3,1
106,200,61.3,1
107,200,61.3,1
108,199,61.5,1
109,196,62.1,1
110,198,62.2,1
111,197,62.3,1
112,198,62.0,1
113,200,62.3,1
114,199,62.2,1
115,197,62.5,2
116,200,62.3,2
117,194,62.7,2
118,198,62.5,2
119,197,62.1,2
120,197,62.0,2
121,198,62.2,2
122,196,62.4,2
123,197,62.6,2
124,197,62.6,2
125,197,62.5,2
126,200,62.0,2
127,197,62.1,2
128,199,62.2,2
129,197,61.8,2
130,196,61.4,2
131,196,61.3,2
132,194,60.4,2
133,199,59.7,2
134,193,58.7,2
135,197,58.1,2
136,192,57.1,1
137,196,57.0,2
138,194,56.5,2
139,195,56.2,2
140,198,55.8,2
141,195,55.3,2
142,199,55.1,3
143,198,55.1,2
144,195,54.8,2
145,199,55.4,2
146,200,55.4,2
147,197,55.3,2
148,198,55.3,2
149,199,55.2,2
150,198,55.2,2
151,199,55.2,2
152,197,54.9,2
153,198,55.0,2
154,200,54.7,2
155,199,54.5,2
156,197,54.3,2
157,199,54.0,2
158,199,54.1,2
159,199,54.3,2
160,199,54.4,2
161,198,54.3,2
162,199,54.3,2
163,199,54.0,1
164,198,53.7,1
165,199,54.1,1
166,199,54.3,1
167,198,54.4,1
168,199,54.5,1
169,200,54.5,1
170,200,54.5,1
171,198,54.2,1
172,199,54.0,2
173,200,54.1,2
174,198,54.1,1
175,200,54.0,1
176,199,54.1,2
177,200,54.0,2
178,198,54.0,2
179,200,53.8,2
180,199,53.9,2
181,199,53.9,1
182,200,53.8,1
183,200,53.8,1
184,200,53.8,1
