tick,pop,avg_dist,at_food,intent_move_to_food,knowledge_spread
1,50,84.8,0,1,0
2,50,84.8,0,1,0
3,50,84.8,0,1,0
4,50,84.8,0,1,0
5,50,84.8,0,1,0
6,50,84.8,0,1,0
7,50,84.8,0,1,0
8,50,84.7,0,1,0
9,50,84.7,0,1,0
10,50,84.7,0,1,0
11,50,84.7,0,1,0
12,50,84.7,0,1,0
13,50,84.7,0,1,0
14,50,84.7,0,1,0
15,50,84.6,0,1,0
16,50,84.6,0,1,0
17,50,84.6,0,1,0
18,50,84.6,0,1,0
19,50,84.6,0,1,0
20,50,84.6,0,1,0
21,50,84.6,0,1,0
22,50,84.5,0,1,0
23,50,84.5,0,1,0
24,50,84.5,0,1,0
25,50,84.5,0,1,0
26,50,84.5,0,1,0
27,50,84.5,0,1,0
28,50,84.5,0,1,0
29,50,84.4,0,1,0
30,50,84.4,0,1,0
31,50,84.4,0,1,0
32,50,84.4,0,1,0
33,50,84.4,0,1,0
34,50,84.4,0,1,0
35,50,84.4,0,1,0
36,50,84.3,0,1,0
37,50,84.3,0,1,0
38,50,84.3,0,1,0
39,50,84.3,0,1,0
40,50,84.3,0,1,0
41,50,84.3,0,1,0
42,50,84.3,0,1,0
43,50,84.2,0,1,0
44,50,84.2,0,1,0
45,50,84.2,0,1,0
46,50,84.2,0,1,0
47,50,84.2,0,1,0
48,50,84.2,0,1,0
49,50,84.2,0,1,0
50,50,84.2,0,1,0
51,50,84.1,0,1,0
52,50,84.1,0,1,0
53,50,84.1,0,1,0
54,50,84.1,0,1,0
55,50,84.1,0,1,0
56,50,84.1,0,1,0
57,50,84.1,0,1,0
58,50,84.0,0,1,0
59,50,84.0,0,1,0
60,50,84.0,0,1,0
61,50,84.0,0,1,0
62,50,84.0,0,1,0
63,50,84.0,0,1,0
64,49,84.9,0,0,0
65,49,84.9,0,0,0
66,49,84.9,0,0,0
67,49,84.9,0,0,0
68,49,84.9,0,0,0
69,49,84.9,0,0,0
70,49,84.9,0,0,0
71,49,84.9,0,0,0
72,49,84.9,0,0,0
73,49,84.9,0,0,0
74,49,84.9,0,0,0
75,49,84.9,0,0,0
76,49,84.9,0,0,0
77,49,84.9,0,0,0
78,49,84.9,0,0,0
79,49,84.9,0,0,0
80,49,84.9,0,0,0
81,49,84.9,0,0,0
82,49,84.9,0,0,0
83,49,84.9,0,0,0
84,49,84.9,0,0,0
85,49,84.9,0,0,0
86,49,84.9,0,0,0
87,49,84.9,0,0,0
88,49,84.9,0,0,0
89,49,84.9,0,0,0
90,49,84.9,0,0,0
91,49,84.9,0,0,0
92,49,84.9,0,0,0
93,49,84.9,0,0,0
94,49,84.9,0,0,0
95,49,84.9,0,0,0
96,49,84.9,0,0,0
97,49,84.9,0,0,0
98,49,84.9,0,0,0
99,49,84.9,0,0,0
100,49,84.9,0,0,0
101,49,84.9,0,0,0
102,49,84.9,0,0,0
103,49,84.9,0,0,0
104,49,84.9,0,0,0
105,49,84.9,0,0,0
106,49,84.9,0,0,0
107,49,84.9,0,0,0
108,49,84.9,0,0,0
109,49,84.9,0,0,0
110,49,84.9,0,0,0
111,49,84.9,0,0,0
112,49,84.9,0,0,0
113,49,84.9,0,0,0
114,49,84.9,0,0,0
115,49,84.9,0,0,0
116,49,84.9,0,0,0
117,49,84.9,0,0,0
118,49,84.9,0,0,0
119,49,84.9,0,0,0
120,49,84.9,0,0,0
121,49,84.9,0,0,0
122,49,84.9,0,0,0
123,49,84.9,0,0,0
124,49,84.9,0,0,0
125,49,84.9,0,0,0
126,49,84.9,0,0,0
127,49,84.9,0,0,0
128,49,84.9,0,0,0
129,49,84.9,0,0,0
130,49,84.9,0,0,0
131,49,84.9,0,0,0
132,49,84.9,0,0,0
133,49,84.9,0,0,0
134,49,84.9,0,0,0
135,49,84.9,0,0,0
136,49,84.9,0,0,0
137,49,84.9,0,0,0
138,49,84.9,0,0,0
139,49,84.9,0,0,0
140,49,84.9,0,0,0
141,49,84.9,0,0,0
142,49,84.9,0,0,0
143,49,84.9,0,0,0
144,49,84.9,0,0,0
145,49,84.9,0,0,0
146,49,84.9,0,0,0
147,49,84.9,0,0,0
148,49,84.9,0,0,0
149,49,84.9,0,0,0
150,49,84.9,0,0,0
151,49,84.9,0,0,0
152,49,84.9,0,0,0
153,49,84.9,0,0,0
154,49,84.9,0,0,0
155,49,84.9,0,0,0
156,49,84.9,0,0,0
157,49,84.9,0,0,0
158,49,84.9,0,0,0
159,49,84.9,0,0,0
160,49,84.9,0,0,0
161,49,84.9,0,0,0
162,49,84.9,0,0,0
163,49,84.9,0,0,0
164,49,84.9,0,0,0
165,49,84.9,0,0,0
166,49,84.9,0,0,0
167,49,84.9,0,0,0
168,49,84.9,0,0,0
169,49,84.9,0,0,0
170,49,84.9,0,0,0
171,49,84.9,0,0,0
172,49,84.9,0,0,0
173,49,84.9,0,0,0
174,49,84.9,0,0,0
175,49,84.9,0,0,0
176,49,84.9,0,0,0
177,49,84.9,0,0,0
178,49,84.9,0,0,0
179,49,84.9,0,0,0
180,49,84.9,0,0,0
181,49,84.9,0,0,0
182,49,84.9,0,0,0
183,49,84.9,0,0,0
184,49,84.9,0,0,0
185,49,84.9,0,0,0
186,49,84.9,0,0,0
187,49,84.9,0,0,0
188,49,84.9,0,0,0
189,49,84.9,0,0,0
190,49,84.9,0,0,0
191,49,84.9,0,0,0
192,49,84.9,0,0,0
193,49,84.9,0,0,0
194,49,84.9,0,0,0
195,49,84.9,0,0,0
196,49,84.9,0,0,0
197,49,84.9,0,0,0
198,49,84.9,0,0,0
199,49,84.9,0,0,0
200,49,84.9,0,0,0
201,49,84.9,0,0,0
202,49,84.9,0,0,0
203,49,84.9,0,0,0
204,49,84.9,0,0,0
205,49,84.9,0,0,0
206,49,84.9,0,0,0
207,49,84.9,0,0,0
208,49,84.9,0,0,0
209,49,84.9,0,0,0
210,49,84.9,0,0,0
211,49,84.9,0,0,0
212,49,84.9,0,0,0
213,49,84.9,0,0,0
214,49,84.9,0,0,0
215,49,84.9,0,0,0
216,49,84.9,0,0,0
217,49,84.9,0,0,0
218,49,84.9,0,0,0
219,49,84.9,0,0,0
220,49,84.9,0,0,0
221,49,84.9,0,0,0
222,49,84.9,0,0,0
223,49,84.9,0,0,0
224,49,84.9,0,0,0
225,49,84.9,0,0,0
226,49,84.9,0,0,0
227,49,84.9,0,0,0
228,49,84.9,0,0,0
229,49,84.9,0,0,0
230,49,84.9,0,0,0
231,49,84.9,0,0,0
232,49,84.9,0,0,0
233,49,84.9,0,0,0
234,49,84.9,0,0,0
235,49,84.9,0,0,0
236,49,84.9,0,0,0
237,49,84.9,0,0,0
238,49,84.9,0,0,0
239,49,84.9,0,0,0
240,49,84.9,0,0,0
241,49,84.9,0,0,0
242,49,84.9,0,0,0
243,49,84.9,0,0,0
244,49,84.9,0,0,0
245,49,84.9,0,0,0
246,49,84.9,0,0,0
247,49,84.9,0,0,0
248,49,84.9,0,0,0
249,49,84.9,0,0,0
250,49,84.9,0,0,0
251,49,84.9,0,0,0
252,49,84.9,0,0,0
253,49,84.9,0,0,0
254,49,84.9,0,0,0
255,49,84.9,0,0,0
256,49,84.9,0,0,0
257,49,84.9,0,0,0
258,49,84.9,0,0,0
259,49,84.9,0,0,0
260,49,84.9,0,0,0
261,49,84.9,0,0,0
262,49,84.9,0,0,0
263,49,84.9,0,0,0
264,49,84.9,0,0,0
265,49,84.9,0,0,0
266,49,84.9,0,0,0
267,49,84.9,0,0,0
268,49,84.9,0,0,0
269,49,84.9,0,0,0
270,49,84.9,0,0,0
271,49,84.9,0,0,0
272,49,84.9,0,0,0
273,49,84.9,0,0,0
274,49,84.9,0,0,0
275,49,84.9,0,0,0
276,49,84.9,0,0,0
277,49,84.9,0,0,0
278,49,84.9,0,0,0
279,49,84.9,0,0,0
280,49,84.9,0,0,0
281,49,84.9,0,0,0
282,49,84.9,0,0,0
283,49,84.9,0,0,0
284,49,84.9,0,0,0
285,49,84.9,0,0,0
286,49,84.9,0,0,0
287,49,84.9,0,0,0
288,49,84.9,0,0,0
289,49,84.9,0,0,0
290,49,84.9,0,0,0
291,49,84.9,0,0,0
292,49,84.9,0,0,0
293,49,84.9,0,0,0
294,49,84.9,0,0,0
295,49,84.9,0,0,0
296,49,84.9,0,0,0
297,49,84.9,0,0,0
298,49,84.9,0,0,0
299,49,84.9,0,0,0
300,49,84.9,0,0,0
301,49,84.9,0,0,0
302,49,84.9,0,0,0
303,49,84.9,0,0,0
304,49,84.9,0,0,0
305,49,84.9,0,0,0
306,49,84.9,0,0,0
307,49,84.9,0,0,0
308,49,84.9,0,0,0
309,49,84.9,0,0,0
310,49,84.9,0,0,0
311,49,84.9,0,0,0
312,49,84.9,0,0,0
313,49,84.9,0,0,0
314,49,84.9,0,0,0
315,49,84.9,0,0,0
316,49,84.9,0,0,0
317,49,84.9,0,0,0
318,49,84.9,0,0,0
319,49,84.9,0,0,0
320,49,84.9,0,0,0
321,49,84.9,0,0,0
322,49,84.9,0,0,0
323,49,84.9,0,0,0
324,49,84.9,0,0,0
325,49,84.9,0,0,0
326,49,84.9,0,0,0
327,49,84.9,0,0,0
328,49,84.9,0,0,0
329,49,84.9,0,0,0
330,49,84.9,0,0,0
331,49,84.9,0,0,0
332,49,84.9,0,0,0
333,49,84.9,0,0,0
334,49,84.9,0,0,0
335,49,84.9,0,0,0
336,49,84.9,0,0,0
337,49,84.9,0,0,0
338,49,84.9,0,0,0
339,49,84.9,0,0,0
340,49,84.9,0,0,0
341,49,84.9,0,0,0
342,49,84.9,0,0,0
343,49,84.9,0,0,0
344,49,84.9,0,0,0
345,49,84.9,0,0,0
346,49,84.9,0,0,0
347,49,84.9,0,0,0
348,49,84.9,0,0,0
349,49,84.9,0,0,0
350,49,84.9,0,0,0
351,49,84.9,0,0,0
352,49,84.9,0,0,0
353,49,84.9,0,0,0
354,49,84.9,0,0,0
355,49,84.9,0,0,0
356,49,84.9,0,0,0
357,49,84.9,0,0,0
358,49,84.9,0,0,0
359,49,84.9,0,0,0
360,49,84.9,0,0,0
361,49,84.9,0,0,0
362,49,84.9,0,0,0
363,49,84.9,0,0,0
364,49,84.9,0,0,0
365,49,84.9,0,0,0
366,49,84.9,0,0,0
367,49,84.9,0,0,0
368,49,84.9,0,0,0
369,49,84.9,0,0,0
370,49,84.9,0,0,0
371,49,84.9,0,0,0
372,49,84.9,0,0,0
373,49,84.9,0,0,0
374,49,84.9,0,0,0
375,49,84.9,0,0,0
376,49,84.9,0,0,0
377,49,84.9,0,0,0
378,49,84.9,0,0,0
379,49,84.9,0,0,0
380,49,84.9,0,0,0
381,49,84.9,0,0,0
382,49,84.9,0,0,0
383,49,84.9,0,0,0
384,49,84.9,0,0,0
385,49,84.9,0,0,0
386,49,84.9,0,0,0
387,49,84.9,0,0,0
388,49,84.9,0,0,0
389,49,84.9,0,0,0
390,49,84.9,0,0,0
391,49,84.9,0,0,0
392,49,84.9,0,0,0
393,49,84.9,0,0,0
394,49,84.9,0,0,0
395,49,84.9,0,0,0
396,49,84.9,0,0,0
397,49,84.9,0,0,0
398,49,84.9,0,0,0
399,49,84.9,0,0,0
400,49,84.9,0,0,0
401,49,84.9,0,0,0
402,49,84.9,0,0,0
403,49,84.9,0,0,0
404,49,84.9,0,0,0
405,49,84.9,0,0,0
406,49,84.9,0,0,0
407,49,84.9,0,0,0
408,49,84.9,0,0,0
409,49,84.9,0,0,0
410,49,84.9,0,0,0
411,49,84.9,0,0,0
412,49,84.9,0,0,0
413,49,84.9,0,0,0
414,49,84.9,0,0,0
415,49,84.9,0,0,0
416,49,84.9,0,0,0
417,49,84.9,0,0,0
418,49,84.9,0,0,0
419,49,84.9,0,0,0
420,49,84.9,0,0,0
421,49,84.9,0,0,0
422,49,84.9,0,0,0
423,49,84.9,0,0,0
424,49,84.9,0,0,0
425,49,84.9,0,0,0
426,49,84.9,0,0,0
427,49,84.9,0,0,0
428,49,84.9,0,0,0
429,49,84.9,0,0,0
430,49,84.9,0,0,0
431,49,84.9,0,0,0
432,49,84.9,0,0,0
433,49,84.9,0,0,0
434,49,84.9,0,0,0
435,49,84.9,0,0,0
436,49,84.9,0,0,0
437,49,84.9,0,0,0
438,49,84.9,0,0,0
439,49,84.9,0,0,0
440,49,84.9,0,0,0
441,49,84.9,0,0,0
442,49,84.9,0,0,0
443,49,84.9,0,0,0
444,49,84.9,0,0,0
445,49,84.9,0,0,0
446,49,84.9,0,0,0
447,49,84.9,0,0,0
448,49,84.9,0,0,0
449,49,84.9,0,0,0
450,49,84.9,0,0,0
451,49,84.9,0,0,0
452,49,84.9,0,0,0
453,49,84.9,0,0,0
454,49,84.9,0,0,0
455,49,84.9,0,0,0
456,49,84.9,0,0,0
457,49,84.9,0,0,0
458,49,84.9,0,0,0
459,49,84.9,0,0,0
460,49,84.9,0,0,0
461,49,84.9,0,0,0
462,49,84.9,0,0,0
463,49,84.9,0,0,0
464,49,84.9,0,0,0
465,49,84.9,0,0,0
466,49,84.9,0,0,0
467,49,84.9,0,0,0
468,49,84.9,0,0,0
469,49,84.9,0,0,0
470,49,84.9,0,0,0
471,49,84.9,0,0,0
472,49,84.9,0,0,0
473,49,84.9,0,0,0
474,49,84.9,0,0,0
475,49,84.9,0,0,0
476,49,84.9,0,0,0
477,49,84.9,0,0,0
478,49,84.9,0,0,0
479,49,84.9,0,0,0
480,49,84.9,0,0,0
481,49,84.9,0,0,0
482,49,84.9,0,0,0
483,49,84.9,0,0,0
484,49,84.9,0,0,0
485,49,84.9,0,0,0
486,49,84.9,0,0,0
487,49,84.9,0,0,0
488,49,84.9,0,0,0
489,49,84.9,0,0,0
490,49,84.9,0,0,0
491,49,84.9,0,0,0
492,49,84.9,0,0,0
493,49,84.9,0,0,0
494,49,84.9,0,0,0
495,49,84.9,0,0,0
496,49,84.9,0,0,0
497,49,84.9,0,0,0
498,49,84.9,0,0,0
499,49,84.9,0,0,0
500,49,84.9,0,0,0
501,49,84.9,0,0,0
502,49,84.9,0,0,0
503,49,84.9,0,0,0
504,49,84.9,0,0,0
505,49,84.9,0,0,0
506,49,84.9,0,0,0
507,49,84.9,0,0,0
508,49,84.9,0,0,0
509,49,84.9,0,0,0
510,49,84.9,0,0,0
511,49,84.9,0,0,0
512,49,84.9,0,0,0
513,49,84.9,0,0,0
514,49,84.9,0,0,0
515,49,84.9,0,0,0
516,49,84.9,0,0,0
517,49,84.9,0,0,0
518,49,84.9,0,0,0
519,49,84.9,0,0,0
520,49,84.9,0,0,0
521,49,84.9,0,0,0
522,49,84.9,0,0,0
523,49,84.9,0,0,0
524,49,84.9,0,0,0
525,49,84.9,0,0,0
526,49,84.9,0,0,0
527,49,84.9,0,0,0
528,49,84.9,0,0,0
529,49,84.9,0,0,0
530,49,84.9,0,0,0
531,49,84.9,0,0,0
532,49,84.9,0,0,0
533,49,84.9,0,0,0
534,49,84.9,0,0,0
535,49,84.9,0,0,0
536,49,84.9,0,0,0
537,49,84.9,0,0,0
538,49,84.9,0,0,0
539,49,84.9,0,0,0
540,49,84.9,0,0,0
541,49,84.9,0,0,0
542,49,84.9,0,0,0
543,49,84.9,0,0,0
544,49,84.9,0,0,0
545,49,84.9,0,0,0
546,49,84.9,0,0,0
547,49,84.9,0,0,0
548,49,84.9,0,0,0
549,49,84.9,0,0,0
550,49,84.9,0,0,0
551,49,84.9,0,0,0
552,49,84.9,0,0,0
553,49,84.9,0,0,0
554,49,84.9,0,0,0
555,49,84.9,0,0,0
556,49,84.9,0,0,0
557,49,84.9,0,0,0
558,49,84.9,0,0,0
559,49,84.9,0,0,0
560,49,84.9,0,0,0
561,49,84.9,0,0,0
562,49,84.9,0,0,0
563,49,84.9,0,0,0
564,49,84.9,0,0,0
565,49,84.9,0,0,0
566,49,84.9,0,0,0
567,49,84.9,0,0,0
568,49,84.9,0,0,0
569,49,84.9,0,0,0
570,49,84.9,0,0,0
571,49,84.9,0,0,0
572,49,84.9,0,0,0
573,49,84.9,0,0,0
574,49,84.9,0,0,0
575,49,84.9,0,0,0
576,49,84.9,0,0,0
577,49,84.9,0,0,0
578,49,84.9,0,0,0
579,49,84.9,0,0,0
580,49,84.9,0,0,0
581,49,84.9,0,0,0
582,49,84.9,0,0,0
583,49,84.9,0,0,0
584,49,84.9,0,0,0
585,49,84.9,0,0,0
586,49,84.9,0,0,0
587,49,84.9,0,0,0
588,49,84.9,0,0,0
589,49,84.9,0,0,0
590,49,84.9,0,0,0
591,49,84.9,0,0,0
592,49,84.9,0,0,0
593,49,84.9,0,0,0
594,49,84.9,0,0,0
595,49,84.9,0,0,0
596,49,84.9,0,0,0
597,49,84.9,0,0,0
598,49,84.9,0,0,0
599,49,84.9,0,0,0
600,49,84.9,0,0,0
601,49,84.9,0,0,0
602,49,84.9,0,0,0
603,49,84.9,0,0,0
604,49,84.9,0,0,0
605,49,84.9,0,0,0
606,49,84.9,0,0,0
607,49,84.9,0,0,0
608,49,84.9,0,0,0
609,49,84.9,0,0,0
610,49,84.9,0,0,0
611,49,84.9,0,0,0
612,49,84.9,0,0,0
613,49,84.9,0,0,0
614,49,84.9,0,0,0
615,49,84.9,0,0,0
616,49,84.9,0,0,0
617,49,84.9,0,0,0
618,49,84.9,0,0,0
619,49,84.9,0,0,0
620,49,84.9,0,0,0
621,49,84.9,0,0,0
622,49,84.9,0,0,0
623,49,84.9,0,0,0
624,49,84.9,0,0,0
625,49,84.9,0,0,0
626,49,84.9,0,0,0
627,49,84.9,0,0,0
628,49,84.9,0,0,0
629,49,84.9,0,0,0
630,49,84.9,0,0,0
631,49,84.9,0,0,0
632,49,84.9,0,0,0
633,49,84.9,0,0,0
634,49,84.9,0,0,0
635,49,84.9,0,0,0
636,49,84.9,0,0,0
637,49,84.9,0,0,0
638,49,84.9,0,0,0
639,49,84.9,0,0,0
640,49,84.9,0,0,0
641,49,84.9,0,0,0
642,49,84.9,0,0,0
643,49,84.9,0,0,0
644,49,84.9,0,0,0
645,49,84.9,0,0,0
646,49,84.9,0,0,0
647,49,84.9,0,0,0
648,49,84.9,0,0,0
649,49,84.9,0,0,0
650,49,84.9,0,0,0
651,49,84.9,0,0,0
652,49,84.9,0,0,0
653,49,84.9,0,0,0
654,49,84.9,0,0,0
655,49,84.9,0,0,0
656,49,84.9,0,0,0
657,49,84.9,0,0,0
658,49,84.9,0,0,0
659,49,84.9,0,0,0
660,49,84.9,0,0,0
661,49,84.9,0,0,0
662,49,84.9,0,0,0
663,49,84.9,0,0,0
664,49,84.9,0,0,0
665,49,84.9,0,0,0
666,49,84.9,0,0,0
667,49,84.9,0,0,0
668,49,84.9,0,0,0
669,49,84.9,0,0,0
670,49,84.9,0,0,0
671,49,84.9,0,0,0
672,49,84.9,0,0,0
673,49,84.9,0,0,0
674,49,84.9,0,0,0
675,49,84.9,0,0,0
676,49,84.9,0,0,0
677,49,84.9,0,0,0
678,49,84.9,0,0,0
679,49,84.9,0,0,0
680,49,84.9,0,0,0
681,49,84.9,0,0,0
682,49,84.9,0,0,0
683,49,84.9,0,0,0
684,49,84.9,0,0,0
685,49,84.9,0,0,0
686,49,84.9,0,0,0
687,49,84.9,0,0,0
688,49,84.9,0,0,0
689,49,84.9,0,0,0
690,49,84.9,0,0,0
691,49,84.9,0,0,0
692,49,84.9,0,0,0
693,49,84.9,0,0,0
694,49,84.9,0,0,0
695,49,84.9,0,0,0
696,49,84.9,0,0,0
697,49,84.9,0,0,0
698,49,84.9,0,0,0
699,49,84.9,0,0,0
700,49,84.9,0,0,0
701,49,84.9,0,0,0
702,49,84.9,0,0,0
703,49,84.9,0,0,0
704,49,84.9,0,0,0
705,49,84.9,0,0,0
706,49,84.9,0,0,0
707,49,84.9,0,0,0
708,49,84.9,0,0,0
709,49,84.9,0,0,0
710,49,84.9,0,0,0
711,49,84.9,0,0,0
712,49,84.9,0,0,0
713,49,84.9,0,0,0
714,49,84.9,0,0,0
715,49,84.9,0,0,0
716,49,84.9,0,0,0
717,49,84.9,0,0,0
718,49,84.9,0,0,0
719,49,84.9,0,0,0
720,49,84.9,0,0,0
721,49,84.9,0,0,0
722,49,84.9,0,0,0
723,49,84.9,0,0,0
724,49,84.9,0,0,0
725,49,84.9,0,0,0
726,49,84.9,0,0,0
727,49,84.9,0,0,0
728,49,84.9,0,0,0
729,49,84.9,0,0,0
730,49,84.9,0,0,0
731,49,84.9,0,0,0
732,49,84.9,0,0,0
733,49,84.9,0,0,0
734,49,84.9,0,0,0
735,49,84.9,0,0,0
736,49,84.9,0,0,0
737,49,84.9,0,0,0
738,49,84.9,0,0,0
739,49,84.9,0,0,0
740,49,84.9,0,0,0
741,49,84.9,0,0,0
742,49,84.9,0,0,0
743,49,84.9,0,0,0
744,49,84.9,0,0,0
745,49,84.9,0,0,0
746,49,84.9,0,0,0
747,49,84.9,0,0,0
748,49,84.9,0,0,0
749,49,84.9,0,0,0
750,49,84.9,0,0,0
751,49,84.9,0,0,0
752,49,84.9,0,0,0
753,49,84.9,0,0,0
754,49,84.9,0,0,0
755,49,84.9,0,0,0
756,49,84.9,0,0,0
757,49,84.9,0,0,0
758,49,84.9,0,0,0
759,49,84.9,0,0,0
760,49,84.9,0,0,0
761,49,84.9,0,0,0
762,49,84.9,0,0,0
763,49,84.9,0,0,0
764,49,84.9,0,0,0
765,49,84.9,0,0,0
766,49,84.9,0,0,0
767,49,84.9,0,0,0
768,49,84.9,0,0,0
769,49,84.9,0,0,0
770,49,84.9,0,0,0
771,49,84.9,0,0,0
772,49,84.9,0,0,0
773,49,84.9,0,0,0
774,49,84.9,0,0,0
775,49,84.9,0,0,0
776,49,84.9,0,0,0
777,49,84.9,0,0,0
778,49,84.9,0,0,0
779,49,84.9,0,0,0
780,49,84.9,0,0,0
781,49,84.9,0,0,0
782,49,84.9,0,0,0
783,49,84.9,0,0,0
784,49,84.9,0,0,0
785,49,84.9,0,0,0
786,49,84.9,0,0,0
787,49,84.9,0,0,0
788,49,84.9,0,0,0
789,49,84.9,0,0,0
790,49,84.9,0,0,0
791,49,84.9,0,0,0
792,49,84.9,0,0,0
793,49,84.9,0,0,0
794,49,84.9,0,0,0
795,49,84.9,0,0,0
796,49,84.9,0,0,0
797,49,84.9,0,0,0
798,49,84.9,0,0,0
799,49,84.9,0,0,0
800,49,84.9,0,0,0
801,49,84.9,0,0,0
802,49,84.9,0,0,0
803,49,84.9,0,0,0
804,49,84.9,0,0,0
805,49,84.9,0,0,0
806,49,84.9,0,0,0
807,49,84.9,0,0,0
808,49,84.9,0,0,0
809,49,84.9,0,0,0
810,49,84.9,0,0,0
811,49,84.9,0,0,0
812,49,84.9,0,0,0
813,49,84.9,0,0,0
814,49,84.9,0,0,0
815,49,84.9,0,0,0
816,49,84.9,0,0,0
817,49,84.9,0,0,0
818,49,84.9,0,0,0
819,49,84.9,0,0,0
820,49,84.9,0,0,0
821,49,84.9,0,0,0
