tick,pop,avg_dist,at_food,knowledge_spread
1,50,84.8,0,0
2,50,84.8,0,0
3,50,84.8,0,0
4,50,84.8,0,0
5,50,84.8,0,0
6,50,84.8,0,0
7,50,84.8,0,0
8,50,84.7,0,0
9,50,84.7,0,0
10,50,84.7,0,0
11,50,84.7,0,0
12,50,84.7,0,0
13,50,84.7,0,0
14,50,84.7,0,0
15,50,84.6,0,0
16,50,84.6,0,0
17,50,84.6,0,0
18,50,84.6,0,0
19,50,84.6,0,0
20,50,84.6,0,0
21,50,84.6,0,0
22,50,84.5,0,0
23,50,84.5,0,0
24,50,84.5,0,0
25,50,84.5,0,0
26,50,84.5,0,0
27,50,84.5,0,0
28,50,84.5,0,0
29,50,84.4,0,0
30,50,84.4,0,0
31,50,84.4,0,0
32,50,84.4,0,0
33,50,84.4,0,0
34,50,84.4,0,0
35,50,84.4,0,0
36,50,84.3,0,0
37,50,84.3,0,0
38,50,84.3,0,0
39,50,84.3,0,0
40,50,84.3,0,0
41,50,84.3,0,0
42,50,84.3,0,0
43,50,84.2,0,0
44,50,84.2,0,0
45,50,84.2,0,0
46,50,84.2,0,0
47,50,84.2,0,0
48,50,84.2,0,0
49,50,84.2,0,0
50,50,84.1,0,0
51,50,84.1,0,0
52,50,84.1,0,0
53,50,84.1,0,0
54,50,84.1,0,0
55,50,84.1,0,0
56,50,84.1,0,0
57,50,84.1,0,0
58,50,84.0,0,0
59,50,84.0,0,0
60,50,84.0,0,0
61,50,84.0,0,0
62,50,84.0,0,0
63,50,84.0,0,0
64,50,84.0,0,0
65,50,83.9,0,0
66,50,83.9,0,0
67,50,83.9,0,0
68,50,83.9,0,0
69,50,83.9,0,0
70,50,83.9,0,0
71,50,83.9,0,0
72,50,83.8,0,0
73,50,83.8,0,0
74,50,83.8,0,0
75,50,83.8,0,0
76,50,83.8,0,0
77,50,83.8,0,0
78,50,83.8,0,0
79,50,83.7,0,0
80,50,83.7,0,0
81,50,83.7,0,0
82,50,83.7,0,0
83,50,83.7,0,0
84,50,83.7,0,0
85,50,83.7,0,0
86,50,83.6,0,0
87,50,83.6,0,0
88,50,83.6,0,0
89,50,83.6,0,0
90,50,83.6,0,0
91,50,83.6,0,0
92,50,83.6,0,0
93,50,83.5,0,0
94,50,83.5,0,0
95,50,83.5,0,0
96,50,83.5,0,0
97,50,83.5,0,0
98,50,83.5,0,0
99,50,83.5,0,0
100,50,83.4,0,0
101,50,83.4,0,0
102,50,83.4,0,0
103,50,83.4,0,0
104,50,83.4,0,0
105,50,83.4,0,0
