tick,pop,walls_built
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,11,0
7,11,0
8,11,0
9,11,0
10,12,0
11,12,0
12,13,0
13,13,0
14,13,0
15,13,0
16,13,0
17,15,0
18,15,0
19,16,0
20,16,0
21,16,0
22,16,0
23,17,0
24,17,0
25,18,0
26,20,0
27,20,0
28,20,0
29,21,0
30,21,0
31,21,0
32,21,0
33,23,0
34,23,0
35,24,0
36,25,0
37,25,0
38,26,0
39,28,0
40,28,0
41,30,0
42,31,0
43,34,0
44,35,0
45,37,0
46,40,0
47,43,0
48,46,0
49,51,0
50,54,0
51,62,0
52,68,0
53,83,0
54,92,0
55,107,0
56,126,0
57,157,0
58,160,0
59,160,0
60,160,0
61,160,0
62,160,0
63,160,0
64,160,0
65,160,0
66,160,0
67,160,0
68,160,0
69,160,0
70,160,0
71,160,0
72,160,0
73,160,0
74,160,0
75,160,0
76,160,0
77,160,0
78,160,0
79,160,0
80,160,0
81,160,0
82,160,0
83,160,0
84,160,0
85,160,0
86,160,0
87,160,0
88,160,0
89,160,0
90,160,0
91,160,0
92,160,0
93,160,0
94,160,0
95,160,0
96,160,0
97,160,0
98,160,0
99,160,0
100,160,0
101,160,0
102,160,0
103,160,0
104,160,0
105,160,0
106,160,0
107,160,0
108,160,0
109,160,0
110,160,0
111,160,0
112,160,0
113,160,0
114,160,0
115,160,0
116,160,0
117,160,0
118,160,0
119,160,0
120,160,0
121,160,0
122,160,0
123,160,0
124,160,0
125,160,0
126,160,0
127,160,0
128,160,0
129,160,0
130,160,0
131,160,0
132,160,0
133,160,0
134,160,0
135,160,0
136,160,0
137,160,0
138,160,0
139,160,0
140,160,0
141,160,0
142,160,0
143,160,0
144,160,0
145,160,0
146,160,0
147,160,0
148,160,0
149,160,0
150,160,0
151,160,0
152,160,0
153,160,0
154,160,0
155,160,0
156,160,0
157,160,0
158,160,0
159,160,0
160,160,0
161,160,0
162,160,0
163,160,0
164,160,0
165,160,0
166,160,0
167,160,0
168,160,0
169,160,0
170,160,0
171,160,0
172,160,0
173,160,0
174,160,0
175,160,0
176,160,0
177,160,0
178,160,0
179,160,0
180,160,0
181,160,0
182,160,0
183,160,0
184,160,0
185,160,0
186,160,0
187,160,0
188,160,0
189,160,0
190,160,0
191,160,0
192,160,0
193,160,0
194,160,0
195,160,0
196,160,0
197,160,0
198,160,0
199,160,0
200,160,0
201,160,0
202,160,0
203,160,0
204,160,0
205,160,0
206,160,0
207,160,0
208,160,0
209,160,0
210,160,0
211,160,0
212,160,0
213,160,0
214,160,0
215,160,0
216,160,0
217,160,0
218,160,0
219,160,0
220,160,0
221,160,0
222,160,0
223,160,0
224,160,0
225,160,0
226,160,0
227,160,0
228,160,0
229,160,0
230,160,0
231,160,0
232,160,0
233,160,0
234,160,0
235,160,0
236,160,0
237,160,0
238,160,0
239,160,0
240,160,0
241,160,0
242,160,0
243,160,0
244,160,0
245,160,0
246,160,0
247,160,0
248,160,0
249,160,0
250,160,0
251,160,0
252,160,0
253,160,0
254,160,0
255,160,0
256,160,0
257,160,0
258,160,0
259,160,0
260,160,0
261,160,0
262,160,0
263,160,0
264,160,0
265,160,0
266,160,0
267,160,0
268,160,0
269,160,0
270,160,0
271,160,0
272,160,0
273,160,0
274,160,0
275,160,0
276,160,0
277,160,0
278,160,0
279,160,0
280,160,0
281,160,0
282,160,0
283,160,0
284,160,0
285,160,0
286,160,0
287,160,0
288,160,0
289,160,0
290,160,0
291,160,0
292,160,0
293,160,0
294,160,0
295,160,0
296,160,0
297,160,0
298,160,0
299,160,0
300,160,0
301,160,0
302,160,0
303,160,0
304,160,0
305,160,0
306,160,0
307,160,0
308,160,0
309,160,0
310,160,0
311,160,0
312,160,0
313,160,0
314,160,0
315,160,0
316,160,0
317,160,0
318,160,0
319,160,0
320,160,0
321,160,0
322,160,0
323,160,0
324,160,0
325,160,0
326,160,0
327,160,0
328,160,0
329,160,0
330,160,0
331,160,0
332,160,0
333,160,0
334,160,0
335,160,0
336,160,0
337,160,0
338,160,0
339,160,0
340,160,0
341,160,0
342,160,0
343,160,0
344,160,0
345,160,0
346,160,0
347,160,0
348,160,0
349,160,0
350,160,0
351,160,0
352,160,0
353,160,0
354,160,0
355,160,0
356,160,0
357,160,0
358,160,0
359,160,0
360,160,0
361,160,0
362,160,0
363,160,0
364,160,0
365,160,0
366,160,0
367,160,0
368,160,0
369,160,0
370,160,0
371,160,0
372,160,0
373,160,0
374,160,0
375,160,0
376,160,0
377,160,0
378,160,0
379,160,0
380,160,0
381,160,0
382,160,0
383,160,0
384,160,0
385,160,0
386,160,0
387,160,0
388,160,0
389,160,0
390,160,0
391,160,0
392,160,0
393,160,0
394,160,0
395,160,0
396,160,0
397,160,0
398,160,0
399,160,0
400,160,0
401,160,0
402,160,0
403,160,0
404,160,0
405,160,0
406,160,0
407,160,0
408,160,0
409,160,0
410,160,0
411,160,0
412,160,0
413,160,0
414,160,0
415,160,0
416,160,0
417,160,0
418,160,0
419,160,0
420,160,0
421,160,0
422,160,0
423,160,0
424,160,0
425,160,0
426,160,0
427,160,0
428,160,0
429,160,0
430,160,0
431,160,0
432,160,0
433,160,0
434,160,0
435,160,0
436,160,0
437,160,0
438,160,0
439,160,0
440,160,0
441,160,0
442,160,0
443,160,0
444,160,0
445,160,0
446,160,0
447,160,0
448,160,0
449,160,0
450,160,0
451,160,0
452,160,0
453,160,0
454,160,0
455,160,0
456,160,0
457,160,0
458,160,0
459,160,0
460,160,0
461,160,0
462,160,0
463,160,0
464,160,0
465,160,0
466,160,0
467,160,0
468,160,0
469,160,0
470,160,0
471,160,0
472,160,0
473,160,0
474,160,0
475,160,0
476,160,0
477,160,0
478,160,0
479,160,0
480,160,0
481,160,0
482,160,0
483,160,0
484,160,0
485,160,0
486,160,0
487,160,0
488,160,0
489,160,0
490,160,0
491,160,0
492,160,0
493,160,0
494,160,0
495,160,0
496,160,0
497,160,0
498,160,0
499,160,0
500,160,0
