tick,pop,farms_built,avg_energy
1,20,0,783.1
2,20,0,766.5
3,20,0,750.3
4,20,0,734.3
5,20,0,718.7
6,20,0,703.4
7,20,0,688.4
8,20,0,673.7
9,20,0,659.3
10,20,0,645.2
11,20,0,631.4
12,40,0,543.9
13,60,0,514.8
14,60,0,513.8
15,60,0,512.7
16,61,0,510.9
17,61,0,510.0
18,62,0,508.4
19,62,0,507.4
20,63,0,505.9
21,66,0,503.1
22,69,0,500.8
23,73,0,498.6
24,78,0,496.8
25,87,0,494.1
26,99,0,491.9
27,123,0,488.7
28,158,0,486.6
29,160,0,482.9
30,160,0,478.6
31,160,0,475.0
32,160,0,472.0
33,160,0,470.9
34,160,0,467.2
35,160,0,464.9
36,160,0,460.6
37,160,0,459.4
38,160,0,456.9
39,160,0,455.0
40,160,0,452.1
41,160,0,449.8
42,160,0,447.1
43,160,0,445.4
44,160,0,443.4
45,160,0,440.7
46,160,0,439.1
47,160,0,436.8
48,160,0,434.8
49,160,0,433.2
50,160,0,431.2
51,160,0,428.5
52,160,0,426.8
53,160,0,424.8
54,160,0,423.0
55,160,0,421.5
56,160,0,420.4
57,160,0,417.6
58,160,0,414.9
59,160,0,414.4
60,160,0,413.0
61,160,0,411.4
62,160,0,409.1
63,160,0,408.4
64,160,0,405.8
65,160,0,404.1
66,160,0,402.2
67,160,0,402.1
68,160,0,400.4
69,160,0,398.1
70,160,0,396.2
71,160,0,394.1
72,160,0,393.6
73,160,0,391.4
74,160,0,390.3
75,160,0,389.2
76,160,0,386.9
77,160,0,384.9
78,160,0,384.8
79,160,0,382.6
80,160,0,379.8
81,160,0,379.7
82,160,0,378.6
83,160,0,376.8
84,160,0,374.5
85,160,0,373.0
86,160,0,372.1
87,160,0,370.2
88,160,0,367.8
89,160,0,367.9
90,160,0,365.7
91,160,0,363.9
92,160,0,362.1
93,160,0,361.2
94,160,0,360.1
95,160,0,358.2
96,160,0,356.9
97,159,0,357.3
98,160,0,356.3
99,160,0,355.0
100,160,0,354.0
101,160,0,352.2
102,160,0,349.9
103,160,0,348.9
104,160,0,347.3
105,160,0,346.4
106,160,0,344.2
107,160,0,342.0
108,159,0,345.0
109,160,0,342.8
110,160,0,341.4
111,160,0,340.8
112,160,0,339.2
113,159,0,339.1
114,159,0,340.6
115,160,0,340.3
116,160,0,340.1
117,160,0,336.9
118,160,0,336.6
119,160,0,334.9
120,160,0,332.9
121,159,0,334.4
122,159,0,336.0
123,160,0,334.1
124,160,0,333.1
125,160,0,333.3
126,160,0,330.4
127,160,0,329.5
128,160,0,327.5
129,160,0,326.7
130,159,0,326.4
131,160,0,327.2
132,160,0,325.1
133,160,0,323.8
134,160,0,323.6
135,160,0,321.0
136,160,0,321.4
137,160,0,319.4
138,160,0,317.0
139,160,0,315.7
140,159,0,318.0
141,159,0,319.6
142,160,0,317.9
143,160,0,318.1
144,160,0,316.5
145,160,0,314.3
146,160,0,314.3
147,160,0,312.4
148,159,0,313.8
149,160,0,313.4
150,159,0,313.1
151,160,0,314.9
152,160,0,312.4
153,160,0,311.3
154,160,0,310.9
155,160,0,309.5
156,160,0,309.0
157,160,0,307.7
158,160,0,306.1
159,160,0,305.5
160,160,0,304.1
161,160,0,303.1
162,160,0,302.2
163,160,0,302.0
164,160,0,299.9
165,160,0,299.7
166,160,0,298.2
167,160,0,297.8
168,160,0,295.6
169,160,0,296.0
170,159,0,296.7
171,160,0,296.8
172,159,0,298.0
173,160,0,297.5
174,157,0,303.0
175,159,0,307.1
176,159,0,308.8
177,160,0,309.9
178,159,0,310.4
179,160,0,309.4
180,160,0,309.0
181,158,0,312.8
182,156,0,322.4
183,158,0,328.7
184,158,0,334.7
185,160,0,335.2
186,160,0,333.8
187,159,0,333.5
188,160,0,334.1
189,160,0,333.3
190,159,0,333.8
191,160,0,333.6
192,160,0,332.2
193,160,0,330.8
194,160,0,329.8
195,160,0,330.4
196,159,0,329.5
197,159,0,331.6
198,160,0,332.6
199,159,0,332.6
200,160,0,332.3
201,160,0,332.4
202,160,0,330.7
203,160,0,329.7
204,160,0,329.5
205,160,0,328.2
206,160,0,327.2
207,160,0,326.1
208,160,0,326.9
209,160,0,323.4
210,160,0,324.5
211,160,0,323.0
212,160,0,321.6
213,160,0,321.2
214,160,0,319.3
215,159,0,322.0
216,160,0,321.0
217,159,0,322.9
218,160,0,324.1
219,160,0,322.1
220,160,0,321.5
221,160,0,320.2
222,160,0,320.6
223,160,0,320.0
224,160,0,318.7
225,160,0,317.6
226,160,0,318.6
227,160,0,316.6
228,160,0,317.0
229,160,0,315.8
230,160,0,315.0
231,160,0,314.1
232,160,0,313.9
233,160,0,313.0
234,160,0,312.8
235,160,0,312.9
236,160,0,310.8
237,160,0,311.5
238,160,0,309.4
239,159,0,311.9
240,160,0,312.8
241,160,0,310.9
242,160,0,312.5
243,160,0,310.2
244,160,0,310.7
245,160,0,309.7
246,160,0,309.2
247,160,0,308.0
248,160,0,308.6
249,160,0,308.8
250,159,0,309.2
251,160,0,309.5
252,160,0,308.9
253,160,0,308.0
254,160,0,308.0
255,160,0,307.9
256,160,0,308.6
257,160,0,305.8
258,160,0,306.2
259,160,0,305.9
260,160,0,305.2
261,160,0,305.8
262,160,0,304.5
263,160,0,303.8
264,160,0,303.5
265,160,0,304.4
266,160,0,301.5
267,160,0,302.1
268,160,0,302.2
269,160,0,302.0
270,160,0,301.3
271,160,0,299.3
272,160,0,299.4
273,160,0,298.8
274,160,0,299.9
275,160,0,298.9
276,160,0,296.9
277,160,0,299.2
278,160,0,297.8
279,160,0,298.1
280,160,0,295.9
281,160,0,296.2
282,160,0,296.0
283,160,0,295.2
284,160,0,295.3
285,160,0,295.2
286,160,0,294.6
287,160,0,293.6
288,160,0,293.7
289,160,0,292.5
290,160,0,292.8
291,160,0,292.9
292,160,0,292.7
293,160,0,291.6
294,160,0,291.1
295,160,0,291.7
296,160,0,291.1
297,160,0,289.6
298,160,0,290.3
299,160,0,288.4
300,159,0,291.9
301,160,0,291.9
302,160,0,291.1
303,160,0,291.8
304,159,0,293.2
305,160,0,292.8
306,160,0,293.5
307,160,0,293.2
308,160,0,292.1
309,160,0,292.1
310,160,0,291.6
311,160,0,291.8
312,160,0,291.9
313,160,0,291.4
314,160,0,289.5
315,160,0,289.9
316,160,0,288.9
317,160,0,290.4
318,160,0,288.7
319,160,0,289.2
320,160,0,287.0
321,160,0,287.9
322,160,0,289.1
323,160,0,286.4
324,160,0,286.0
325,160,0,288.2
326,160,0,286.1
327,160,0,286.8
328,160,0,283.9
329,160,0,285.5
330,160,0,284.9
331,160,0,285.1
332,160,0,283.8
333,160,0,284.9
334,160,0,284.5
335,160,0,283.4
336,160,0,281.8
337,160,0,282.8
338,160,0,283.3
339,160,0,281.8
340,160,0,280.6
341,160,0,281.9
342,160,0,281.1
343,160,0,281.0
344,160,0,280.1
345,160,0,281.0
346,160,0,278.9
347,160,0,279.0
348,160,0,277.9
349,160,0,279.4
350,160,0,278.0
351,160,0,278.5
352,160,0,277.6
353,160,0,278.7
354,160,0,277.3
355,160,0,277.4
356,160,0,277.3
357,160,0,276.6
358,160,0,275.5
359,160,0,275.8
360,160,0,274.9
361,160,0,276.1
362,160,0,274.8
363,160,0,274.8
364,160,0,275.5
365,160,0,274.2
366,160,0,274.1
367,160,0,274.1
368,160,0,272.6
369,160,0,272.2
370,160,0,274.1
371,160,0,272.2
372,160,0,273.7
373,160,0,271.3
374,160,0,271.7
375,160,0,271.1
376,160,0,271.2
377,160,0,272.1
378,160,0,270.1
379,160,0,269.9
380,160,0,270.2
381,160,0,269.1
382,160,0,269.0
383,160,0,268.1
384,160,0,268.9
385,160,0,267.7
386,160,0,267.1
387,160,0,268.0
388,160,0,266.5
389,160,0,267.3
390,160,0,267.3
391,160,0,265.9
392,160,0,265.5
393,160,0,266.1
394,160,0,265.5
395,160,0,265.2
396,160,0,265.8
397,160,0,264.4
398,160,0,264.3
399,160,0,263.6
400,160,0,262.7
401,160,0,263.7
402,160,0,262.8
403,160,0,263.0
404,160,0,262.7
405,160,0,261.3
406,160,0,262.7
407,160,0,260.8
408,160,0,260.3
409,160,0,260.9
410,160,0,260.5
411,160,0,259.3
412,160,0,260.4
413,160,0,259.6
414,160,0,258.6
415,160,0,258.5
416,160,0,258.7
417,160,0,258.3
418,160,0,257.7
419,160,0,256.6
420,160,0,256.6
421,160,0,257.0
422,160,0,255.7
423,160,0,255.2
424,160,0,256.2
425,160,0,254.9
426,160,0,254.9
427,160,0,253.5
428,160,0,254.7
429,160,0,253.2
430,160,0,254.6
431,160,0,253.4
432,160,0,252.9
433,160,0,252.3
434,160,0,251.4
435,160,0,252.1
436,160,0,252.2
437,160,0,251.5
438,160,0,252.0
439,160,0,249.6
440,160,0,250.4
441,160,0,251.2
442,160,0,250.1
443,160,0,250.1
444,160,0,249.3
445,160,0,248.8
446,160,0,249.2
447,160,0,248.3
448,160,0,248.1
