tick,avg_dist_to_city,urban_pop,rural_pop,avg_energy_urban,avg_energy_rural
1,49.3,0,50,0.0,107.1
2,49.3,0,50,0.0,114.1
3,49.3,0,50,0.0,120.9
4,49.3,0,50,0.0,127.6
5,49.3,0,50,0.0,134.2
6,49.3,0,50,0.0,140.6
7,49.3,0,50,0.0,146.9
8,49.3,0,50,0.0,153.1
9,49.3,0,50,0.0,159.2
10,49.3,0,50,0.0,165.1
11,49.3,0,50,0.0,170.9
12,49.3,0,50,0.0,176.6
13,49.3,0,50,0.0,182.2
14,49.3,0,50,0.0,187.7
15,49.3,0,50,0.0,193.0
16,49.3,0,50,0.0,198.3
17,49.3,0,50,0.0,203.5
18,49.3,0,50,0.0,208.5
19,49.3,0,50,0.0,213.5
20,49.3,0,50,0.0,218.3
21,49.3,0,50,0.0,223.1
22,49.3,0,50,0.0,227.7
23,49.3,0,50,0.0,232.3
24,49.3,0,50,0.0,236.8
25,49.3,0,50,0.0,241.2
26,49.3,0,50,0.0,245.5
27,49.3,0,50,0.0,249.7
28,49.3,0,50,0.0,253.8
29,49.3,0,50,0.0,257.9
30,49.3,0,50,0.0,261.9
31,49.3,0,50,0.0,265.8
32,49.3,0,50,0.0,269.6
33,49.3,0,50,0.0,273.3
34,49.3,0,50,0.0,277.0
35,49.3,0,50,0.0,280.6
36,49.3,0,50,0.0,284.1
37,49.3,0,50,0.0,287.5
38,49.3,0,50,0.0,290.9
39,49.3,0,50,0.0,294.2
40,49.3,0,50,0.0,297.5
41,49.1,0,51,0.0,303.8
42,49.1,0,51,0.0,307.1
43,48.8,0,51,0.0,319.3
44,48.4,0,52,0.0,325.3
45,48.4,0,52,0.0,328.5
46,48.3,0,54,0.0,336.5
47,47.7,0,55,0.0,341.9
48,47.7,0,55,0.0,345.1
49,47.7,0,57,0.0,352.3
50,47.5,0,58,0.0,357.4
51,47.8,0,63,0.0,368.4
52,47.1,0,65,0.0,374.4
53,46.5,0,71,0.0,384.5
54,46.1,0,76,0.0,392.3
55,45.0,0,82,0.0,399.9
56,45.4,0,88,0.0,406.5
57,44.8,0,92,0.0,416.4
58,44.5,0,99,0.0,422.0
59,44.2,0,106,0.0,427.1
60,43.6,2,112,500.0,429.6
61,42.3,4,124,494.8,435.0
62,42.5,5,134,495.0,439.5
63,42.4,7,152,494.3,444.5
64,42.5,7,153,496.1,445.8
65,42.5,7,153,499.6,447.3
66,42.5,7,153,499.7,448.6
67,42.5,7,153,500.6,448.9
68,42.5,7,153,499.0,448.9
69,42.5,7,153,502.4,448.8
70,42.5,7,153,497.6,448.1
71,42.5,7,153,497.2,447.5
72,42.5,7,153,494.8,448.0
73,42.5,7,153,496.0,447.2
74,42.4,7,153,494.1,446.4
75,42.4,7,153,495.1,445.7
76,42.4,7,153,491.3,445.5
77,42.4,7,153,493.1,444.5
78,42.4,7,153,488.7,443.9
79,42.3,7,152,490.0,446.3
80,42.4,7,153,490.3,446.2
81,42.4,7,153,491.4,446.5
82,42.4,7,153,485.5,445.9
83,42.4,7,153,489.2,444.5
84,42.4,7,153,485.3,443.9
85,42.4,7,153,486.9,443.1
86,42.4,7,153,484.9,442.6
87,42.4,7,153,486.1,442.1
88,42.4,7,153,484.7,441.5
89,42.4,7,153,481.5,441.4
90,42.4,7,153,481.9,440.7
91,42.4,7,153,485.7,438.6
92,42.3,7,153,479.6,438.5
93,42.3,7,153,479.5,438.0
94,42.3,7,153,480.0,437.3
95,42.3,7,153,479.0,437.2
96,42.3,7,153,477.4,436.7
97,42.3,7,153,481.2,435.0
98,42.4,7,153,476.9,434.6
99,42.4,7,153,477.2,434.5
100,42.4,7,153,475.7,433.6
101,42.4,7,153,474.8,432.9
102,42.3,7,153,475.4,431.3
103,42.3,7,153,479.3,432.0
104,42.3,7,153,473.4,430.1
105,42.3,7,153,475.0,430.1
106,42.3,7,153,473.1,429.1
107,42.3,7,153,473.2,428.1
108,42.3,7,153,471.5,427.5
109,42.3,7,153,473.0,427.8
110,42.3,7,153,471.8,425.9
111,42.3,7,153,471.4,426.6
112,42.3,7,153,469.5,425.0
113,42.3,7,153,473.3,423.5
114,42.3,7,153,471.4,424.1
115,42.3,7,153,468.7,423.1
116,42.3,7,153,467.2,422.1
117,42.4,7,153,470.8,421.0
118,42.4,7,153,466.0,420.7
119,42.4,7,153,467.3,419.8
120,42.4,7,153,467.3,419.8
121,42.4,7,153,468.1,418.3
122,42.4,7,153,465.4,417.6
123,42.3,7,153,468.4,417.0
124,42.3,7,153,465.9,416.5
125,42.3,7,153,463.9,414.7
126,42.3,7,153,466.7,415.4
127,42.3,7,153,464.2,414.2
128,42.4,7,153,466.8,414.1
129,42.4,7,153,463.5,413.1
130,42.3,7,153,461.5,411.5
131,42.3,7,153,460.5,411.3
132,42.3,7,153,462.9,410.9
133,42.4,7,153,465.0,410.1
134,42.3,7,153,461.3,410.0
135,42.3,7,153,461.0,409.3
136,42.3,7,153,459.6,408.9
137,42.3,7,153,461.2,409.7
138,42.3,7,153,459.9,410.3
139,42.3,7,153,462.0,410.7
140,42.3,7,153,459.8,411.8
141,42.3,7,153,460.6,412.2
142,42.3,7,153,459.9,413.1
143,42.3,7,153,459.9,414.0
144,42.3,7,153,460.8,414.9
145,42.3,7,153,458.9,415.4
146,42.3,7,153,460.0,416.0
147,42.3,7,153,459.8,416.9
