tick,alpha_dist_center,omega_dist_center,meditators
1,50.51159564596641,9.5,0
2,50.51159564596641,9.5,0
3,50.51159564596641,9.5,0
4,50.51159564596641,9.5,0
5,50.51159564596641,9.5,0
6,50.51159564596641,9.5,0
7,50.51159564596641,9.5,0
8,50.51159564596641,9.5,0
9,50.51159564596641,9.5,0
10,50.51159564596641,9.5,0
11,50.51159564596641,9.5,0
12,50.51159564596641,9.5,0
13,50.51159564596641,9.5,0
14,50.51159564596641,9.5,0
15,50.51159564596641,9.5,0
16,50.51159564596641,9.5,0
17,50.51159564596641,9.5,0
18,50.51159564596641,9.5,0
19,50.51159564596641,9.5,0
20,50.51159564596641,9.5,0
21,50.51159564596641,9.5,0
22,50.51159564596641,9.5,0
23,50.51159564596641,9.5,0
24,50.51159564596641,9.5,0
25,50.51159564596641,9.5,0
26,50.51159564596641,9.5,0
27,50.51159564596641,9.5,0
28,50.51159564596641,9.5,0
29,50.51159564596641,9.5,0
30,50.51159564596641,9.5,0
31,50.51159564596641,9.5,0
32,50.51159564596641,9.5,0
33,50.51159564596641,9.5,0
34,50.51159564596641,9.5,0
35,50.51159564596641,9.5,0
36,50.51159564596641,9.5,0
37,50.51159564596641,9.5,0
38,50.51159564596641,9.5,0
39,50.51159564596641,9.5,0
40,50.51159564596641,9.5,0
41,50.51159564596641,9.5,0
42,50.51159564596641,9.5,0
43,50.51159564596641,9.5,0
44,50.51159564596641,9.5,0
45,50.51159564596641,9.5,0
46,50.51159564596641,9.5,0
47,50.51159564596641,9.5,0
48,50.51159564596641,9.5,0
49,50.51159564596641,9.5,0
50,50.51159564596641,9.5,0
51,50.51159564596641,9.5,0
52,50.51159564596641,9.5,0
53,50.51159564596641,9.5,0
54,50.51159564596641,9.5,0
55,50.51159564596641,9.5,0
56,50.51159564596641,9.5,0
57,50.51159564596641,9.5,0
58,50.51159564596641,9.5,0
59,50.51159564596641,9.5,0
60,50.51159564596641,9.5,0
61,50.51159564596641,9.5,0
62,50.51159564596641,9.5,0
63,50.51159564596641,9.5,0
64,50.51159564596641,9.5,0
65,50.51159564596641,9.5,0
66,50.51159564596641,9.5,0
67,50.51159564596641,9.5,0
68,50.51159564596641,9.5,0
69,50.51159564596641,9.5,0
70,50.51159564596641,9.5,0
71,50.51159564596641,9.5,0
72,50.51159564596641,9.5,0
73,50.51159564596641,9.5,0
74,50.51159564596641,9.5,0
75,50.51159564596641,9.5,0
76,50.51159564596641,9.5,0
77,50.51159564596641,9.5,0
78,50.51159564596641,9.5,0
79,50.51159564596641,9.5,0
80,50.51159564596641,9.5,0
