tick,bridge_pi_phase,predicting_agents_count,best_predictor_phase
1,0.3141592653589793,2,0.1
2,0.6283185307179586,1,0.1
3,0.9424777960769379,2,0.1
4,1.2566370614359172,1,0.2
5,1.5707963267948966,2,0.2
6,1.8849555921538759,1,0.3
7,2.199114857512855,2,0.3
8,2.5132741228718345,1,0.4
9,2.827433388230814,2,0.4
10,3.141592653589793,1,0.5
11,3.4557519189487724,2,0.6
12,3.7699111843077517,1,0.6
13,4.084070449666731,2,0.7
14,4.39822971502571,1,0.7
15,4.71238898038469,2,0.8
16,5.026548245743669,1,0.8
17,5.340707511102648,2,0.9
18,5.654866776461628,1,0.9
19,5.969026041820607,2,0.9
20,0.0,1,0.0
21,0.3141592653589793,2,0.1
22,0.6283185307179586,1,0.1
23,0.9424777960769379,2,0.2
24,1.2566370614359172,1,0.2
25,1.5707963267948966,2,0.2
26,1.8849555921538759,1,0.3
27,2.199114857512855,2,0.4
28,2.5132741228718345,1,0.4
29,2.827433388230814,2,0.4
30,3.141592653589793,1,0.5
31,3.4557519189487724,2,0.6
32,3.7699111843077517,1,0.6
33,4.084070449666731,2,0.6
34,4.39822971502571,1,0.7
35,4.71238898038469,2,0.7
36,5.026548245743669,1,0.8
37,5.340707511102648,2,0.8
38,5.654866776461628,1,0.9
39,5.969026041820607,2,0.0
40,0.0,1,0.0
41,0.3141592653589793,2,0.1
42,0.6283185307179586,1,0.1
43,0.9424777960769379,2,0.2
44,1.2566370614359172,1,0.2
45,1.5707963267948966,2,0.3
46,1.8849555921538759,1,0.3
47,2.199114857512855,2,0.4
48,2.5132741228718345,1,0.4
49,2.827433388230814,2,0.4
50,3.141592653589793,1,0.5
51,3.4557519189487724,2,0.5
52,3.7699111843077517,1,0.6
53,4.084070449666731,2,0.6
54,4.39822971502571,1,0.7
55,4.71238898038469,2,0.8
56,5.026548245743669,1,0.8
57,5.340707511102648,2,0.9
58,5.654866776461628,1,0.9
59,5.969026041820607,2,0.0
60,0.0,1,0.0
61,0.3141592653589793,2,0.0
62,0.6283185307179586,1,0.1
63,0.9424777960769379,2,0.1
64,1.2566370614359172,1,0.2
65,1.5707963267948966,2,0.3
66,1.8849555921538759,1,0.3
67,2.199114857512855,2,0.3
68,2.5132741228718345,1,0.4
69,2.827433388230814,2,0.4
70,3.141592653589793,1,0.5
71,3.4557519189487724,2,0.5
72,3.7699111843077517,1,0.6
73,4.084070449666731,2,0.7
74,4.39822971502571,1,0.7
75,4.71238898038469,2,0.8
76,5.026548245743669,1,0.8
77,5.340707511102648,2,0.8
78,5.654866776461628,1,0.9
79,5.969026041820607,2,0.0
80,0.0,1,0.0
81,0.3141592653589793,2,0.1
82,0.6283185307179586,1,0.1
83,0.9424777960769379,2,0.1
84,1.2566370614359172,1,0.2
85,1.5707963267948966,2,0.2
86,1.8849555921538759,1,0.3
87,2.199114857512855,2,0.4
88,2.5132741228718345,1,0.4
89,2.827433388230814,2,0.4
90,3.141592653589793,1,0.5
91,3.4557519189487724,2,0.6
92,3.7699111843077517,1,0.6
93,4.084070449666731,2,0.6
94,4.39822971502571,1,0.7
95,4.71238898038469,2,0.7
96,5.026548245743669,1,0.8
97,5.340707511102648,2,0.9
98,5.654866776461628,1,0.9
99,5.969026041820607,2,0.0
100,0.0,0,0
