tick,true_value,market_price,dissonance
1,100.0,-165.53,265.53
2,100.0,384.47,284.47
3,100.0,-165.53,265.53
4,100.0,384.47,284.47
5,100.0,-165.53,265.53
6,100.0,384.47,284.47
7,100.0,-165.53,265.53
8,100.0,384.47,284.47
9,100.0,-165.53,265.53
10,100.0,384.47,284.47
11,100.0,-165.53,265.53
12,100.0,384.47,284.47
13,100.0,-165.53,265.53
14,100.0,384.47,284.47
15,100.0,-165.53,265.53
16,100.0,384.47,284.47
17,100.0,-165.53,265.53
18,100.0,384.47,284.47
19,100.0,-165.53,265.53
20,100.0,384.47,284.47
21,100.0,-165.53,265.53
22,100.0,384.47,284.47
23,100.0,-165.53,265.53
24,100.0,384.47,284.47
25,100.0,-165.53,265.53
26,100.0,384.47,284.47
27,100.0,-165.53,265.53
28,100.0,384.47,284.47
29,100.0,-165.53,265.53
30,100.0,384.47,284.47
31,100.0,-165.53,265.53
32,100.0,384.47,284.47
33,100.0,-165.53,265.53
34,100.0,384.47,284.47
35,100.0,-165.53,265.53
36,100.0,384.47,284.47
37,100.0,-165.53,265.53
38,100.0,384.47,284.47
39,100.0,-165.53,265.53
40,100.0,384.47,284.47
41,100.0,-165.53,265.53
42,100.0,384.47,284.47
43,100.0,-165.53,265.53
44,100.0,384.47,284.47
45,100.0,-165.53,265.53
46,100.0,384.47,284.47
47,100.0,-165.53,265.53
48,100.0,384.47,284.47
49,100.0,-165.53,265.53
50,50.0,384.47,334.47
51,50.0,-165.53,215.53
52,50.0,384.47,334.47
53,50.0,-165.53,215.53
54,50.0,384.47,334.47
55,50.0,-165.53,215.53
56,50.0,384.47,334.47
57,50.0,-165.53,215.53
58,50.0,384.47,334.47
59,50.0,-165.53,215.53
60,50.0,384.47,334.47
61,50.0,-165.53,215.53
62,50.0,384.47,334.47
63,50.0,-165.53,215.53
64,50.0,384.47,334.47
65,50.0,-165.53,215.53
66,50.0,384.47,334.47
67,50.0,-165.53,215.53
68,50.0,384.47,334.47
69,50.0,-165.53,215.53
70,50.0,384.47,334.47
71,50.0,-165.53,215.53
72,50.0,384.47,334.47
73,50.0,-165.53,215.53
74,50.0,384.47,334.47
75,50.0,-165.53,215.53
76,50.0,384.47,334.47
77,50.0,-165.53,215.53
78,50.0,384.47,334.47
79,50.0,-165.53,215.53
80,50.0,384.47,334.47
81,50.0,-165.53,215.53
82,50.0,384.47,334.47
83,50.0,-165.53,215.53
84,50.0,384.47,334.47
85,50.0,-165.53,215.53
86,50.0,384.47,334.47
87,50.0,-165.53,215.53
88,50.0,384.47,334.47
89,50.0,-165.53,215.53
90,50.0,384.47,334.47
91,50.0,-165.53,215.53
92,50.0,384.47,334.47
93,50.0,-165.53,215.53
94,50.0,384.47,334.47
95,50.0,-165.53,215.53
96,50.0,384.47,334.47
97,50.0,-165.53,215.53
98,50.0,384.47,334.47
99,50.0,-165.53,215.53
100,50.0,384.47,334.47
