tick,price,arb_capital,whale_capital
1,105.00,1000.00,50250.00
2,109.24,998.13,50643.87
3,112.88,994.00,51116.52
4,116.02,987.74,51626.50
5,118.75,979.66,52146.67
6,121.13,970.07,52659.06
7,123.21,959.28,53151.86
8,125.02,947.54,53617.43
9,126.61,935.10,54051.02
10,127.99,922.18,54449.87
11,129.18,908.99,54812.58
12,130.22,895.74,55138.64
13,131.11,882.62,55428.15
14,131.86,869.85,55681.56
15,132.50,857.66,55899.52
16,133.02,846.30,56082.72
17,133.43,836.07,56231.88
18,133.75,827.30,56347.57
19,133.97,820.36,56430.25
20,134.10,815.74,56480.20
21,134.15,813.97,56497.45
22,134.11,815.74,56481.82
23,133.98,821.83,56432.83
24,133.77,833.24,56349.71
25,133.47,851.16,56231.38
26,133.08,877.04,56076.39
27,132.60,912.66,55882.93
28,132.01,960.22,55648.76
29,131.33,1022.41,55371.21
30,130.53,1102.53,55047.10
31,129.61,1204.66,54672.70
32,128.56,1333.83,54243.72
33,127.36,1496.23,53755.22
34,126.02,1699.52,53201.58
35,124.50,1953.05,52576.57
36,122.80,2268.26,51873.40
37,120.90,2658.80,51085.13
38,118.78,3140.42,50205.53
39,116.43,3729.76,49230.99
40,113.87,4440.76,48164.84
41,111.14,5275.49,47025.84
42,108.36,6206.14,45862.41
43,105.74,7151.84,44766.36
44,103.57,7982.93,43857.87
45,102.04,8592.74,43216.88
46,101.11,8972.28,42827.03
47,100.60,9183.91,42612.34
48,100.33,9295.42,42499.94
49,100.19,9352.97,42442.12
50,100.12,9382.78,42412.22
51,100.09,9398.62,42396.35
52,100.06,9407.44,42387.52
53,100.05,9412.72,42382.23
54,100.04,9416.17,42378.78
55,100.04,9418.64,42376.31
56,100.03,9420.55,42374.39
57,100.03,9422.12,42372.82
58,100.03,9423.46,42371.48
59,100.02,9424.63,42370.31
60,100.02,9425.67,42369.27
61,100.02,9426.59,42368.35
62,100.02,9427.42,42367.52
63,100.02,9428.16,42366.77
64,100.01,9428.83,42366.11
65,100.01,9429.43,42365.51
66,100.01,9429.97,42364.97
67,100.01,9430.46,42364.48
68,100.01,9430.89,42364.05
69,100.01,9431.28,42363.65
70,100.01,9431.64,42363.30
71,100.01,9431.96,42362.98
72,100.01,9432.24,42362.70
73,100.01,9432.50,42362.44
74,100.00,9432.73,42362.21
75,100.00,9432.94,42362.00
76,100.00,9433.13,42361.81
77,100.00,9433.30,42361.64
78,100.00,9433.45,42361.49
79,100.00,9433.59,42361.35
80,100.00,9433.71,42361.23
81,100.00,9433.82,42361.12
82,100.00,9433.92,42361.02
83,100.00,9434.01,42360.93
84,100.00,9434.09,42360.85
85,100.00,9434.16,42360.78
86,100.00,9434.23,42360.71
87,100.00,9434.29,42360.65
88,100.00,9434.34,42360.60
89,100.00,9434.39,42360.55
90,100.00,9434.43,42360.51
91,100.00,9434.47,42360.47
92,100.00,9434.50,42360.43
93,100.00,9434.53,42360.40
94,100.00,9434.56,42360.38
95,100.00,9434.59,42360.35
96,100.00,9434.61,42360.33
97,100.00,9434.63,42360.31
98,100.00,9434.65,42360.29
99,100.00,9434.67,42360.27
100,100.00,9434.68,42360.26
101,100.00,9434.69,42360.24
102,100.00,9434.71,42360.23
103,100.00,9434.72,42360.22
104,100.00,9434.73,42360.21
105,100.00,9434.74,42360.20
106,100.00,9434.74,42360.19
107,100.00,9434.75,42360.19
108,100.00,9434.76,42360.18
109,100.00,9434.76,42360.17
110,100.00,9434.77,42360.17
111,100.00,9434.77,42360.16
112,100.00,9434.78,42360.16
113,100.00,9434.78,42360.16
114,100.00,9434.78,42360.15
115,100.00,9434.79,42360.15
116,100.00,9434.79,42360.15
117,100.00,9434.79,42360.14
118,100.00,9434.80,42360.14
119,100.00,9434.80,42360.14
120,100.00,9434.80,42360.14
121,100.00,9434.80,42360.14
122,100.00,9434.80,42360.14
123,100.00,9434.80,42360.13
124,100.00,9434.80,42360.13
125,100.00,9434.81,42360.13
126,100.00,9434.81,42360.13
127,100.00,9434.81,42360.13
128,100.00,9434.81,42360.13
129,100.00,9434.81,42360.13
130,100.00,9434.81,42360.13
131,100.00,9434.81,42360.13
