tick,total_noise,crimes_committed,police_load
1,171.9,0,52.8
2,396.8,4,58.1
3,396.8,4,63.4
4,396.8,4,68.7
5,396.8,4,73.9
6,359.4,3,50.5
7,396.8,4,55.7
8,396.8,4,61.0
9,396.8,4,66.3
10,396.8,4,71.5
11,396.8,4,76.8
12,359.4,3,53.4
13,396.8,4,58.6
14,396.8,4,63.9
15,396.8,4,69.2
16,396.8,4,74.4
17,359.4,3,51.0
18,396.8,4,56.3
19,396.8,4,61.5
20,396.8,4,66.8
21,396.8,4,72.1
22,396.8,4,77.3
23,359.4,3,53.9
24,396.8,4,59.2
25,396.8,4,64.4
26,396.8,4,69.7
27,396.8,4,75.0
28,359.4,3,51.5
29,396.8,4,56.8
30,396.8,4,62.1
31,396.8,4,67.3
32,396.8,4,72.6
33,396.8,4,77.9
34,359.4,3,54.4
35,396.8,4,59.7
36,396.8,4,65.0
37,396.8,4,70.2
38,396.8,4,75.5
39,359.4,3,52.0
40,396.8,4,57.3
41,396.8,4,62.6
42,396.8,4,67.8
43,396.8,4,73.1
44,396.8,4,78.4
45,359.4,3,54.9
46,396.8,4,60.2
47,396.8,4,65.5
48,396.8,4,70.7
49,396.8,4,76.0
50,359.4,3,52.6
