tick,consumer_demand,retail_order,dist_order,factory_prod,retail_inv
1,10.0,20.0,40.0,80.0,90.0
2,10.0,30.0,0,40.0,80.0
3,10.0,40.0,0,40.0,70.0
4,10.0,50.0,0,40.0,60.0
5,10.0,60.0,0,40.0,50.0
6,10.0,70.0,0,40.0,40.0
7,10.0,80.0,0,40.0,30.0
8,10.0,90.0,0,40.0,20.0
9,10.0,100.0,0,40.0,10.0
10,10.0,110.0,0,40.0,0.0
11,10.0,110.0,0,40.0,0.0
12,10.0,110.0,20.0,80.0,0.0
13,10.0,110.0,0,60.0,0.0
14,10.0,110.0,0,60.0,0.0
15,10.0,110.0,0,60.0,0.0
16,10.0,110.0,0,60.0,0.0
17,10.0,110.0,0,60.0,0.0
18,10.0,110.0,0,60.0,0.0
19,10.0,110.0,0,60.0,0.0
20,10.0,110.0,0,60.0,0.0
21,15.0,115.0,0,60.0,0.0
22,15.0,115.0,0,60.0,0.0
23,15.0,115.0,0,60.0,0.0
24,15.0,115.0,0,60.0,0.0
25,15.0,115.0,0,60.0,0.0
26,15.0,115.0,0,60.0,0.0
27,15.0,115.0,0,60.0,0.0
28,15.0,115.0,0,60.0,0.0
29,15.0,115.0,0,60.0,0.0
30,15.0,115.0,0,60.0,0.0
31,15.0,115.0,0,60.0,0.0
32,15.0,115.0,0,60.0,0.0
33,15.0,115.0,0,60.0,0.0
34,15.0,115.0,0,60.0,0.0
35,15.0,115.0,0,60.0,0.0
36,15.0,115.0,0,60.0,0.0
37,15.0,115.0,0,60.0,0.0
38,15.0,115.0,0,60.0,0.0
39,15.0,115.0,0,60.0,0.0
40,15.0,115.0,0,60.0,0.0
41,15.0,115.0,0,60.0,0.0
42,15.0,115.0,0,60.0,0.0
43,15.0,115.0,0,60.0,0.0
44,15.0,115.0,0,60.0,0.0
45,15.0,115.0,0,60.0,0.0
46,15.0,115.0,0,60.0,0.0
47,15.0,115.0,0,60.0,0.0
48,15.0,115.0,0,60.0,0.0
49,15.0,115.0,0,60.0,0.0
50,15.0,115.0,0,60.0,0.0
