tick,static_energy,agile_energy
0,0.10,0.00
1,0.20,0.00
2,0.29,0.01
3,0.39,0.01
4,0.49,0.01
5,0.58,0.01
6,0.67,0.01
7,0.76,0.01
8,0.86,0.02
9,0.95,0.02
10,1.04,0.02
11,1.12,0.02
12,1.21,0.02
13,1.30,0.03
14,1.39,0.03
15,1.47,0.03
16,1.55,0.03
17,1.64,0.03
18,1.72,0.03
19,1.80,0.04
20,1.88,0.04
21,1.96,0.04
22,2.04,0.04
23,2.12,0.04
24,2.20,0.04
25,2.28,0.04
26,2.35,0.05
27,2.43,0.05
28,2.50,0.05
29,2.58,0.05
30,2.65,0.05
31,2.72,0.05
32,2.79,0.05
33,2.87,0.06
34,2.94,0.06
35,3.01,0.06
36,3.07,0.06
37,3.14,0.06
38,3.21,0.06
39,3.28,0.06
40,3.34,0.07
41,3.41,0.07
42,3.47,0.07
43,3.54,0.07
44,3.60,0.07
45,3.66,0.07
46,3.73,0.07
47,3.79,0.07
48,3.85,0.08
49,3.91,0.08
50,3.97,0.08
51,4.03,0.08
52,4.09,0.08
53,4.15,0.08
54,4.20,0.08
55,4.26,0.08
56,4.32,0.08
57,4.37,0.09
58,4.43,0.09
59,4.48,0.09
60,4.54,0.09
61,4.59,0.09
62,4.64,0.09
63,4.70,0.09
64,4.75,0.09
65,4.80,0.09
66,4.85,0.10
67,4.90,0.10
68,4.95,0.10
69,5.00,0.10
70,5.05,0.10
71,5.10,0.10
72,5.15,0.10
73,5.19,0.10
74,5.24,0.10
75,5.29,0.10
76,5.33,0.10
77,5.38,0.11
78,5.42,0.11
79,5.47,0.11
80,5.51,0.11
81,5.56,0.11
82,5.60,0.11
83,5.64,0.11
84,5.69,0.11
85,5.73,0.11
86,5.77,0.11
87,5.81,0.11
88,5.85,0.11
89,5.89,0.12
90,5.93,0.12
91,5.97,0.12
92,6.01,0.12
93,6.05,0.12
94,6.09,0.12
95,6.13,0.12
96,6.17,0.12
97,6.20,0.12
98,6.24,0.12
99,6.28,0.12
100,6.31,0.12
101,6.35,0.12
102,6.38,0.13
103,6.42,0.13
104,6.45,0.13
105,6.49,0.13
106,6.52,0.13
107,6.56,0.13
108,6.59,0.13
109,6.62,0.13
110,6.66,0.13
111,6.69,0.13
112,6.72,0.13
113,6.75,0.13
114,6.78,0.13
115,6.81,0.13
116,6.85,0.13
117,6.88,0.13
118,6.91,0.14
119,6.94,0.14
120,6.97,0.14
