tick,S,I,R
1,97,3,0
2,87,13,0
3,58,42,0
4,15,82,3
5,5,83,12
6,1,82,17
7,0,72,28
8,0,63,37
9,0,52,48
10,0,48,52
11,0,43,57
12,0,39,61
13,0,37,63
14,0,34,66
15,0,33,67
16,0,26,74
17,0,24,76
18,0,22,78
19,0,19,81
20,0,14,86
21,0,12,88
22,0,12,88
23,0,11,89
24,0,9,91
25,0,8,92
26,0,7,93
27,0,7,93
28,0,7,93
29,0,7,93
30,0,7,93
31,0,7,93
32,0,5,95
33,0,5,95
34,0,5,95
35,0,5,95
36,0,5,95
37,0,5,95
38,0,5,95
39,0,4,96
40,0,4,96
41,0,4,96
42,0,4,96
43,0,4,96
44,0,4,96
45,0,4,96
46,0,2,98
47,0,2,98
48,0,2,98
49,0,2,98
50,0,2,98
51,0,2,98
52,0,2,98
53,0,2,98
54,0,1,99
55,0,0,100
